onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.27401360544;0.119002267574;4;2;1;2;2;0.307664399093;"""4/4""";70;1;1;1;Eb7;A1;*theme:t1
3.40172335601;0.156734693878;4;2;1;3;1;0.3120861678;"""4/4""";73;1;0;1;Eb7;A1;*theme:t1
3.58167800454;0.11029478458;4;2;1;3;2;0.3120861678;"""4/4""";75;1;0;1;Eb7;A1;*theme:t1
4.23473922902;0.0812698412698;4;2;2;1;2;0.318367346939;"""4/4""";63;2;1;1;Ab7;A1;*theme:t1
4.32471655329;0.148027210884;4;1;2;2;1;0.318367346939;"""4/4""";66;2;0;1;Ab7;A1;*theme:t1
4.66430839002;0.557278911565;4;1;2;3;1;0.322222222222;"""4/4""";68;2;0;1;Ab7;A1;*theme:t1
5.83111111111;0.0841723356009;4;2;3;2;2;0.323922902494;"""4/4""";63;3;1;1;Eb7;A1;#lick
5.94140589569;0.177052154195;4;3;3;3;1;0.326530612245;"""4/4""";67;3;0;1;Eb7;A1;#lick
6.1474829932;0.101587301587;4;3;3;3;3;0.326530612245;"""4/4""";70;3;0;1;Eb7;A1;#lick
7.38975056689;0.0638548752834;4;2;4;3;2;0.322244897959;"""4/4""";67;4;1;1;Eb7;A1;#lick
7.52326530612;0.0725623582766;4;1;4;4;1;0.308004535147;"""4/4""";70;4;0;1;Eb7;A1;#lick
8.3243537415;0.11029478458;4;4;5;2;3;0.303333333333;"""4/4""";70;5;1;1;Ab7;A1;#lick
8.43464852608;0.188662131519;4;4;5;2;4;0.303333333333;"""4/4""";75;5;0;1;Ab7;A1;#lick
8.64653061224;0.0957823129252;4;2;5;3;2;0.313287981859;"""4/4""";70;5;0;1;Ab7;A1;#lick
9.2589569161;0.087074829932;4;4;6;1;3;0.323242630385;"""4/4""";70;6;1;1;Ab7;A1;#lick
9.34893424036;0.11029478458;4;4;6;1;4;0.323242630385;"""4/4""";73;6;0;1;Ab7;A1;#lick
9.6885260771;0.522448979592;4;6;6;2;6;0.313287981859;"""4/4""";75;6;0;1;Ab7;A1;#lick
10.2370975057;0.0812698412698;4;2;6;4;2;0.303015873016;"""4/4""";73;6;0;1;Ab7;A1;#lick
10.3386848073;0.188662131519;4;3;7;1;1;0.307732426304;"""4/4""";77;6;0;1;Eb7;A1;#lick
10.5447619048;0.142222222222;4;3;7;1;3;0.307732426304;"""4/4""";70;6;0;1;Eb7;A1;#lick
12.0424489796;0.0957823129252;4;4;8;2;3;0.316258503401;"""4/4""";70;7;1;1;Eb7;A1;#lick
12.1440362812;0.214784580499;4;4;8;2;4;0.316258503401;"""4/4""";75;7;0;1;Eb7;A1;#lick
12.3762358277;0.087074829932;4;2;8;3;2;0.293854875283;"""4/4""";70;7;0;1;Eb7;A1;#lick
12.4836281179;0.159637188209;4;1;8;4;1;0.3079138322;"""4/4""";73;7;0;1;Eb7;A1;#lick
13.2760090703;0.124807256236;4;2;9;2;2;0.313537414966;"""4/4""";70;8;1;1;F-7;A1;#lick
13.4066213152;0.165442176871;4;2;9;3;1;0.306757369615;"""4/4""";75;8;0;1;F-7;A1;#lick
13.598185941;0.124807256236;4;2;9;3;2;0.306757369615;"""4/4""";73;8;0;1;F-7;A1;#lick
13.7287981859;0.171247165533;4;2;9;4;1;0.313424036281;"""4/4""";70;8;0;1;F-7;A1;#lick
13.9087528345;0.644353741497;4;2;9;4;2;0.313424036281;"""4/4""";68;8;0;1;F-7;A1;#lick
14.6459863946;0.470204081633;4;1;10;3;1;0.293469387755;"""4/4""";70;8;0;1;Bb7;A1;#lick
15.1161904762;0.159637188209;4;2;10;4;2;0.323083900227;"""4/4""";68;8;0;1;Bb7;A1;#lick
15.2845351474;0.0783673469388;4;4;11;1;1;0.317732426304;"""4/4""";65;8;0;1;Bb7;A1;#lick
15.3745124717;0.232199546485;4;4;11;1;2;0.317732426304;"""4/4""";67;8;0;1;Eb7;A1;#lick
15.6154195011;0.203174603175;4;4;11;2;1;0.311927437642;"""4/4""";63;8;0;1;Eb7;A1;#lick
15.8447165533;0.0667573696145;4;4;11;2;4;0.311927437642;"""4/4""";61;8;0;1;Eb7;A1;#lick
15.9201814059;0.531156462585;4;1;11;3;1;0.313333333333;"""4/4""";63;8;0;1;Eb7;A1;#lick
17.9751473923;0.113197278912;4;2;13;1;2;0.312925170068;"""4/4""";63;9;1;2;Eb7;A1;lick
18.1231746032;0.113197278912;4;2;13;2;1;0.298185941043;"""4/4""";63;9;0;2;Eb7;A1;lick
18.2799092971;0.124807256236;4;2;13;2;2;0.298185941043;"""4/4""";63;9;0;2;Eb7;A1;lick
18.4656689342;0.182857142857;4;2;13;3;1;0.322789115646;"""4/4""";67;9;0;2;Eb7;A1;lick
18.6572335601;0.0493424036281;4;2;13;3;2;0.322789115646;"""4/4""";70;9;0;2;Eb7;A1;lick
