onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.25714285714;0.167346938776;4;3;0;3;2;0.992947845805;"""4/4""";58;1;1;1;Eb7;I1;melody
3.47718820862;0.493424036281;4;3;0;3;3;0.992947845805;"""4/4""";70;1;0;1;Eb7;I1;melody
4.30149659864;0.174149659864;4;3;0;4;2;1.01700680272;"""4/4""";58;1;0;1;Eb7;I1;melody
4.53369614512;0.586303854875;4;3;0;4;3;1.01700680272;"""4/4""";70;1;0;1;Eb7;I1;melody
5.2419047619;0.150929705215;4;4;1;1;2;1.03800453515;"""4/4""";68;1;0;1;Ab6;B1;melody
5.42766439909;0.197369614512;4;4;1;1;3;1.03800453515;"""4/4""";72;1;0;1;Ab6;B1;melody
5.66530612245;0.310204081633;4;4;1;1;4;1.03800453515;"""4/4""";68;1;0;1;Ab6;B1;melody
5.99183673469;0.591836734694;4;1;1;2;1;1.0420861678;"""4/4""";68;1;0;1;Ab6;B1;melody
8.28163265306;0.122448979592;4;6;1;4;2;0.933174603175;"""4/4""";70;2;1;1;Ab6;B1;lick
8.42857142857;0.069387755102;4;6;1;4;3;0.933174603175;"""4/4""";72;2;0;1;Ab6;B1;lick
8.50612244898;0.0857142857143;4;6;1;4;4;0.933174603175;"""4/4""";70;2;0;1;Ab6;B1;lick
8.6;0.171428571429;4;6;1;4;5;0.933174603175;"""4/4""";68;2;0;1;Ab6;B1;lick
8.81020408163;0.0938775510204;4;6;1;4;6;0.933174603175;"""4/4""";72;2;0;1;Ab6;B1;lick
10.4925170068;0.139319727891;4;6;2;2;4;1.06712018141;"""4/4""";63;3;1;1;Ab6;B1;lick
10.6724716553;0.19156462585;4;6;2;2;5;1.06712018141;"""4/4""";68;3;0;1;Ab6;B1;lick
10.8814512472;0.200272108844;4;6;2;2;6;1.06712018141;"""4/4""";72;3;0;1;Ab6;B1;lick
11.1107482993;0.200272108844;4;5;2;3;1;1.11195011338;"""4/4""";68;3;0;1;Ab6;B1;lick
11.7492970522;0.16253968254;4;5;2;3;4;1.11195011338;"""4/4""";63;4;1;1;Ab6;B1;lick
11.9379591837;0.13641723356;4;5;2;3;5;1.11195011338;"""4/4""";63;4;0;1;Ab6;B1;lick
12.1179138322;0.206077097506;4;5;2;4;1;1.01290249433;"""4/4""";68;4;0;1;Ab6;B1;lick
12.3675283447;0.13641723356;4;5;2;4;2;1.01290249433;"""4/4""";68;4;0;1;Ab6;B1;lick
12.5329705215;0.087074829932;4;5;2;4;3;1.01290249433;"""4/4""";68;4;0;1;Ab6;B1;lick
12.6635827664;0.223492063492;4;5;2;4;4;1.01290249433;"""4/4""";70;4;0;1;Ab6;B1;lick
12.9073922902;0.24380952381;4;5;2;4;5;1.01290249433;"""4/4""";72;4;0;1;Ab6;B1;lick
13.7462131519;0.156734693878;4;2;3;1;2;1.09641723356;"""4/4""";63;5;1;1;Ab-6;B1;#-lick
14.4428117914;0.124807256236;4;8;3;2;3;0.912902494331;"""4/4""";63;5;0;1;Ab-6;B1;#-lick
14.5995464853;0.174149659864;4;8;3;2;4;0.912902494331;"""4/4""";68;5;0;1;Ab-6;B1;#-lick
14.7911111111;0.130612244898;4;8;3;2;6;0.912902494331;"""4/4""";68;5;0;1;Ab-6;B1;#-lick
14.9405895692;0.0638548752834;4;8;3;2;7;0.912902494331;"""4/4""";68;5;0;1;Ab-6;B1;#-lick
15.0326530612;0.232653061224;4;8;3;2;8;0.912902494331;"""4/4""";70;5;0;1;Ab-6;B1;#-lick
15.2946938776;0.233650793651;4;10;3;3;2;0.958344671202;"""4/4""";71;5;0;1;Ab-6;B1;#-lick
15.9551020408;0.0897959183673;4;10;3;3;9;0.958344671202;"""4/4""";70;6;1;1;Ab-6;B1;lick
16.0612244898;0.151020408163;4;10;3;3;10;0.958344671202;"""4/4""";68;6;0;1;Ab-6;B1;lick
16.3040816327;0.459183673469;4;7;3;4;2;1.03235827664;"""4/4""";70;6;0;1;Ab-6;B1;lick
16.7693877551;0.065306122449;4;7;3;4;5;1.03235827664;"""4/4""";72;6;0;1;Ab-6;B1;lick
16.8428571429;0.0775510204082;4;7;3;4;6;1.03235827664;"""4/4""";70;6;0;1;Ab-6;B1;lick
16.9265306122;0.155102040816;4;7;3;4;7;1.03235827664;"""4/4""";68;6;0;1;Ab-6;B1;lick
18.2244897959;0.118367346939;4;6;4;2;1;0.923469387755;"""4/4""";68;7;1;1;Db7;B1;lick
18.3469387755;0.0918367346939;4;6;4;2;2;0.923469387755;"""4/4""";70;7;0;1;Db7;B1;lick
18.4428571429;0.126530612245;4;6;4;2;3;0.923469387755;"""4/4""";73;7;0;1;Db7;B1;lick
18.5795918367;0.634693877551;4;6;4;2;4;0.923469387755;"""4/4""";70;7;0;1;Db7;B1;lick
19.2285714286;0.189795918367;4;10;4;3;2;0.968049886621;"""4/4""";68;7;0;1;Db7;B1;lick
19.4285714286;0.181632653061;4;10;4;3;4;0.968049886621;"""4/4""";66;7;0;1;Db7;B1;lick
19.6204081633;0.171428571429;4;10;4;3;6;0.968049886621;"""4/4""";63;7;0;1;Db7;B1;lick
19.8081632653;0.189795918367;4;10;4;3;8;0.968049886621;"""4/4""";58;7;0;1;Db7;B1;lick
