onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
9.31265306122;0.100136054422;4;4;1;1;4;0.444081632653;"""4/4""";59;1;1;1;Gj7;A1;theme:t26
9.43310657596;0.338140589569;4;4;1;2;1;0.446893424036;"""4/4""";60;1;0;1;Gj7;A1;theme:t26
9.77551020408;0.0908163265306;4;4;1;2;4;0.446893424036;"""4/4""";59;1;0;1;Gj7;A1;theme:t26
9.87244897959;0.316326530612;4;4;1;3;1;0.441473922902;"""4/4""";60;1;0;1;Gj7;A1;theme:t26
10.2091836735;0.370408163265;4;4;1;3;4;0.441473922902;"""4/4""";59;1;0;1;Gj7;A1;theme:t26
10.7734693878;0.263265306122;4;3;2;1;1;0.432789115646;"""4/4""";60;1;0;1;Gj7;A1;theme:t26
11.0540816327;0.0755102040816;4;3;2;1;3;0.432789115646;"""4/4""";59;1;0;1;Gj7;A1;theme:t26
11.1448979592;0.323469387755;4;4;2;2;1;0.443718820862;"""4/4""";60;1;0;1;Gj7;A1;theme:t26
11.5229024943;0.284444444444;4;4;2;2;4;0.443718820862;"""4/4""";59;1;0;1;Gj7;A1;theme:t26
12.8969387755;0.407142857143;4;1;3;2;1;0.433832199546;"""4/4""";59;2;1;1;Gj7;A1;lick
13.3214285714;0.317346938776;4;4;3;3;1;0.43306122449;"""4/4""";60;2;0;1;Gj7;A1;lick
13.6632653061;0.357142857143;4;4;3;3;4;0.43306122449;"""4/4""";59;2;0;1;Gj7;A1;lick
14.0612244898;0.344897959184;4;2;3;4;2;0.401315192744;"""4/4""";61;2;0;1;Gj7;A1;lick
14.4551020408;0.395918367347;4;2;4;1;2;0.428367346939;"""4/4""";64;2;0;1;Gj7;A1;lick
14.8867346939;0.326530612245;4;2;4;2;2;0.432811791383;"""4/4""";62;2;0;1;Gj7;A1;lick
15.343877551;0.145918367347;4;2;4;3;2;0.433945578231;"""4/4""";59;2;0;1;Gj7;A1;lick
15.8071428571;0.134693877551;4;4;4;4;4;0.434761904762;"""4/4""";57;2;0;1;Gj7;A1;lick
15.9734693878;0.35;4;1;5;1;1;0.440770975057;"""4/4""";52;2;0;1;Gj7;A1;lick
17.0897959184;0.167346938776;4;2;5;3;2;0.425464852608;"""4/4""";57;3;1;1;Gj7;A1;lick
17.2591836735;0.248979591837;4;3;5;4;1;0.423106575964;"""4/4""";59;3;0;1;Gj7;A1;lick
17.5479591837;0.226530612245;4;3;5;4;3;0.423106575964;"""4/4""";62;3;0;1;Gj7;A1;lick
18.012244898;0.30612244898;4;6;6;1;6;0.405646258503;"""4/4""";53;3;0;1;Bbo;A1;lick
18.8306122449;0.167346938776;4;4;6;3;4;0.433764172336;"""4/4""";57;4;1;1;Bbo;A1;#lick
19.0163265306;0.202040816327;4;2;6;4;1;0.413560090703;"""4/4""";59;4;0;1;Bbo;A1;#lick
19.2408163265;0.205102040816;4;2;6;4;2;0.413560090703;"""4/4""";62;4;0;1;Bbo;A1;#lick
19.7224489796;0.0950566893424;4;4;7;1;4;0.443673469388;"""4/4""";52;4;0;1;A-7;A1;#lick
19.8501587302;0.26485260771;4;1;7;2;1;0.441473922902;"""4/4""";55;4;0;1;A-7;A1;#lick
20.2710204082;0.372970521542;4;1;7;3;1;0.453628117914;"""4/4""";54;4;0;1;A-7;A1;#lick
21.7867346939;0.167346938776;4;2;8;2;2;0.40566893424;"""4/4""";55;5;1;1;D7;A1;lick
21.9663265306;0.281632653061;4;3;8;3;1;0.442811791383;"""4/4""";56;5;0;1;D7;A1;lick
22.2765306122;0.0877551020408;4;3;8;3;3;0.442811791383;"""4/4""";59;5;0;1;D7;A1;lick
22.3897959184;0.263265306122;4;3;8;4;1;0.414512471655;"""4/4""";65;5;0;1;D7;A1;lick
22.6755102041;0.0969387755102;4;3;8;4;3;0.414512471655;"""4/4""";63;5;0;1;D7;A1;lick
22.8010204082;0.280612244898;4;4;9;1;1;0.442721088435;"""4/4""";64;5;0;1;A-7;A1;lick
23.1183673469;0.145918367347;4;4;9;1;4;0.442721088435;"""4/4""";60;5;0;1;A-7;A1;lick
23.289569161;0.0443990929705;4;4;9;2;1;0.424058956916;"""4/4""";59;5;0;1;A-7;A1;lick
23.3449433107;0.0927891156463;4;4;9;2;2;0.424058956916;"""4/4""";60;5;0;1;A-7;A1;lick
23.4576870748;0.0982766439909;4;4;9;2;3;0.424058956916;"""4/4""";59;5;0;1;A-7;A1;lick
23.5769160998;0.114739229025;4;4;9;2;4;0.424058956916;"""4/4""";57;5;0;1;A-7;A1;lick
23.723537415;0.258321995465;4;3;9;3;1;0.451292517007;"""4/4""";59;5;0;1;A-7;A1;lick
24.0268480726;0.50358276644;4;3;9;3;3;0.451292517007;"""4/4""";52;5;0;1;A-7;A1;lick
24.59138322;0.265578231293;4;1;10;1;1;0.442857142857;"""4/4""";54;5;0;1;D7;A1;lick
24.9890249433;0.296054421769;4;4;10;2;1;0.441496598639;"""4/4""";59;5;0;1;D7;A1;lick
25.3170068027;0.468752834467;4;4;10;2;4;0.441496598639;"""4/4""";57;5;0;1;D7;A1;lick
26.5781405896;0.163990929705;4;2;11;1;2;0.44179138322;"""4/4""";55;6;1;1;A-7;A1;lick
26.7566439909;0.27283446712;4;3;11;2;1;0.443673469388;"""4/4""";56;6;0;1;A-7;A1;lick
27.0459183673;0.105102040816;4;3;11;2;3;0.443673469388;"""4/4""";59;6;0;1;A-7;A1;lick
