onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
8.0387755102;0.20612244898;4;2;1;1;2;0.36970521542;"""4/4""";53;1;1;1;Em7b5;A1;lick
8.25918367347;0.963265306122;4;1;1;2;1;0.32798185941;"""4/4""";57;1;0;1;Em7b5;A1;lick
10.1020408163;0.451020408163;4;2;2;3;2;0.331065759637;"""4/4""";59;2;1;1;A7;A1;lick
10.5775510204;0.232653061224;4;6;3;1;1;0.340702947846;"""4/4""";61;2;0;1;Dj7;A1;lick
10.8693877551;0.218367346939;4;6;3;1;6;0.340702947846;"""4/4""";59;2;0;1;Dj7;A1;lick
11.1204081633;0.259183673469;4;2;3;2;2;0.333219954649;"""4/4""";57;2;0;1;Dj7;A1;lick
11.4204081633;0.322448979592;4;2;3;3;2;0.330725623583;"""4/4""";54;2;0;1;Dj7;A1;lick
11.7469387755;0.10612244898;4;2;3;4;2;0.304308390023;"""4/4""";53;2;0;1;Dj7;A1;lick
11.8693877551;0.324489795918;4;1;4;1;1;0.340362811791;"""4/4""";54;2;0;1;Dj7;A1;lick
13.4182312925;0.0972335600907;4;2;5;1;2;0.351496598639;"""4/4""";57;3;1;1;Em7b5;A1;lick
13.5415873016;0.174149659864;4;2;5;2;1;0.33231292517;"""4/4""";58;3;0;1;Em7b5;A1;lick
13.7360544218;0.245260770975;4;2;5;2;2;0.33231292517;"""4/4""";60;3;0;1;Em7b5;A1;lick
14.0669387755;0.121904761905;4;2;5;3;2;0.322267573696;"""4/4""";67;3;0;1;Em7b5;A1;lick
14.2019047619;0.184308390023;4;3;5;4;1;0.307664399093;"""4/4""";65;3;0;1;Em7b5;A1;lick
14.4050793651;0.119002267574;4;3;5;4;3;0.307664399093;"""4/4""";62;3;0;1;Em7b5;A1;lick
14.5255328798;0.442630385488;4;1;6;1;1;0.346281179138;"""4/4""";64;3;0;1;A7;A1;lick
15.0189569161;0.133514739229;4;2;6;2;2;0.341972789116;"""4/4""";62;3;0;1;A7;A1;lick
15.1742403628;0.184308390023;4;1;6;3;1;0.331859410431;"""4/4""";61;3;0;1;A7;A1;lick
15.4688435374;0.198820861678;4;3;6;4;1;0.303650793651;"""4/4""";59;3;0;1;A7;A1;lick
15.7010430839;0.195918367347;4;3;6;4;3;0.303650793651;"""4/4""";61;3;0;1;A7;A1;lick
16.017414966;0.0943310657596;4;2;7;1;2;0.340566893424;"""4/4""";59;3;0;1;Dj7;A1;lick
16.1335147392;0.242358276644;4;1;7;2;1;0.333038548753;"""4/4""";57;3;0;1;Dj7;A1;lick
16.4571428571;0.219138321995;4;3;7;3;1;0.340929705215;"""4/4""";62;3;0;1;Dj7;A1;lick
16.7111111111;0.351201814059;4;3;7;3;3;0.340929705215;"""4/4""";59;3;0;1;Dj7;A1;lick
17.9940136054;0.108843537415;4;2;8;3;2;0.315600907029;"""4/4""";57;4;1;1;Dj7;A1;lick
18.1144671202;0.143673469388;4;3;8;4;1;0.32335600907;"""4/4""";59;4;0;1;Dj7;A1;lick
18.3190929705;0.103038548753;4;3;8;4;3;0.32335600907;"""4/4""";62;4;0;1;Dj7;A1;lick
18.4468027211;0.177052154195;4;2;9;1;1;0.323310657596;"""4/4""";65;4;0;1;G#m7b5;B1;lick
18.6441723356;0.111746031746;4;2;9;1;2;0.323310657596;"""4/4""";66;4;0;1;G#m7b5;B1;lick
18.770430839;0.158185941043;4;2;9;2;1;0.321201814059;"""4/4""";65;4;0;1;G#m7b5;B1;lick
18.9648979592;0.291700680272;4;2;9;2;2;0.321201814059;"""4/4""";66;4;0;1;G#m7b5;B1;lick
19.2798185941;0.114648526077;4;2;9;3;2;0.332789115646;"""4/4""";62;4;0;1;G#m7b5;B1;lick
19.4162358277;0.203174603175;4;3;9;4;1;0.323333333333;"""4/4""";59;4;0;1;G#m7b5;B1;lick
19.629569161;0.108843537415;4;3;9;4;3;0.323333333333;"""4/4""";53;4;0;1;G#m7b5;B1;lick
