onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
0.139319727891;0.70820861678;4;3;1;1;1;1.06541950113;"""4/4""";55;1;1;1;Dbj7;A1;theme:t1
0.882358276644;1.16099773243;4;3;1;1;3;1.06541950113;"""4/4""";56;1;0;1;Dbj7;A1;theme:t1
2.04335600907;0.121904761905;4;6;1;2;6;0.930022675737;"""4/4""";67;1;0;1;Dbj7;A1;theme:t1
2.18267573696;0.499229024943;4;2;1;3;1;0.90410430839;"""4/4""";70;1;0;1;Dbj7;A1;theme:t1
2.6819047619;1.9620861678;4;2;1;3;2;0.90410430839;"""4/4""";68;1;0;1;Dbj7;A1;theme:t1
5.20707482993;0.249614512472;4;6;2;2;3;0.921383219955;"""4/4""";53;2;1;1;F-7;A1;theme:t2
5.46249433107;0.203174603175;4;6;2;2;5;0.921383219955;"""4/4""";54;2;0;1;F-7;A1;theme:t2
5.66566893424;0.197369614512;4;6;2;2;6;0.921383219955;"""4/4""";57;2;0;1;F-7;A1;theme:t2
5.86303854875;0.284444444444;4;6;2;3;1;0.992653061224;"""4/4""";60;2;0;1;Bb7;A1;theme:t2
6.1474829932;0.284444444444;4;6;2;3;3;0.992653061224;"""4/4""";63;2;0;1;Bb7;A1;theme:t2
6.4377324263;0.214784580499;4;6;2;3;5;0.992653061224;"""4/4""";60;2;0;1;Bb7;A1;theme:t2
6.66412698413;1.13777777778;4;6;2;3;6;0.992653061224;"""4/4""";61;2;0;1;Bb7;A1;theme:t2
9.15918367347;0.212244897959;4;6;3;2;5;0.919410430839;"""4/4""";63;3;1;1;Eb7;A1;theme:t3-4
9.38775510204;1.55918367347;4;6;3;2;6;0.919410430839;"""4/4""";65;3;0;1;Eb7;A1;theme:t3-4
10.9469387755;0.220408163265;4;4;3;4;3;0.912108843537;"""4/4""";61;3;0;1;Eb7;A1;theme:t3-4
11.1673469388;0.318367346939;4;4;3;4;4;0.912108843537;"""4/4""";58;3;0;1;Eb7;A1;theme:t3-4
11.4857142857;0.155102040816;4;4;4;1;2;0.810045351474;"""4/4""";64;3;0;1;Eb7;A1;theme:t3-4
11.6571428571;3.00408163265;4;4;4;1;3;0.810045351474;"""4/4""";65;3;0;1;Eb7;A1;theme:t3-4
15.4612244898;0.220408163265;4;8;5;1;8;0.841723356009;"""4/4""";56;4;1;1;Eb-7;A1;theme:t5-7
15.6816326531;0.305306122449;4;4;5;2;2;0.940408163265;"""4/4""";58;4;0;1;Eb-7;A1;theme:t5-7
15.9869387755;0.214784580499;4;4;5;2;3;0.940408163265;"""4/4""";61;4;0;1;Eb-7;A1;theme:t5-7
16.2075283447;0.261224489796;4;4;5;2;4;0.940408163265;"""4/4""";63;4;0;1;Eb-7;A1;theme:t5-7
16.4977777778;0.296054421769;4;3;5;3;1;0.890589569161;"""4/4""";65;4;0;1;Eb-7;A1;theme:t5-7
16.7938321995;1.03909297052;4;3;5;3;2;0.890589569161;"""4/4""";61;4;0;1;Eb-7;A1;theme:t5-7
17.8329251701;0.377324263039;4;2;5;4;2;0.82768707483;"""4/4""";63;4;0;1;Eb-7;A1;theme:t5-7
18.2102494331;0.371519274376;4;2;6;1;1;0.95201814059;"""4/4""";65;4;0;1;F7;A1;theme:t5-7
18.5875736961;2.50775510204;4;2;6;1;2;0.95201814059;"""4/4""";68;4;0;1;F7;A1;theme:t5-7
21.1069387755;0.220589569161;4;4;6;4;2;0.906054421769;"""4/4""";61;4;0;1;Ab7;A1;theme:t5-7
21.3333333333;0.168344671202;4;4;6;4;3;0.906054421769;"""4/4""";63;4;0;1;Ab7;A1;theme:t5-7
21.5016780045;0.237097505669;4;4;6;4;4;0.906054421769;"""4/4""";58;4;0;1;Ab7;A1;theme:t5-7
21.7387755102;0.955102040816;4;1;7;1;1;0.884875283447;"""4/4""";61;4;0;1;Db6;A1;theme:t5-7
24.3102040816;0.138775510204;4;5;7;4;1;0.903696145125;"""4/4""";71;5;1;1;Bb-7;A1;line_w_d
24.4653061224;0.187755102041;4;5;7;4;2;0.903696145125;"""4/4""";73;5;0;1;Bb-7;A1;line_w_d
24.6530612245;0.212244897959;4;5;7;4;3;0.903696145125;"""4/4""";68;5;0;1;Bb-7;A1;line_w_d
24.8734693878;0.195918367347;4;5;7;4;4;0.903696145125;"""4/4""";65;5;0;1;Bb-7;A1;line_w_d
25.0693877551;0.155102040816;4;5;7;4;5;0.903696145125;"""4/4""";60;5;0;1;Bb-7;A1;line_w_d
25.2244897959;0.457142857143;4;2;8;1;1;0.847142857143;"""4/4""";61;5;0;1;Eb-7;A1;line_w_d
25.6816326531;0.326530612245;4;2;8;1;2;0.847142857143;"""4/4""";58;5;0;1;Eb-7;A1;line_w_d
26.0816326531;0.155102040816;4;4;8;2;1;0.802607709751;"""4/4""";66;5;0;1;Eb-7;A1;line_w_d
26.2367346939;0.187755102041;4;4;8;2;2;0.802607709751;"""4/4""";61;5;0;1;Eb-7;A1;line_w_d
26.4244897959;0.244897959184;4;4;8;2;3;0.802607709751;"""4/4""";58;5;0;1;Eb-7;A1;line_w_d
26.6693877551;0.254149659864;4;4;8;2;4;0.802607709751;"""4/4""";54;5;0;1;Eb-7;A1;line_w_d
26.923537415;0.249614512472;4;4;8;3;1;0.86664399093;"""4/4""";53;5;0;1;Ab7;A1;line_w_d
27.1731519274;0.185759637188;4;4;8;3;2;0.86664399093;"""4/4""";56;5;0;1;Ab7;A1;line_w_d
27.3589115646;0.24380952381;4;4;8;3;3;0.86664399093;"""4/4""";52;5;0;1;Ab7;A1;line_w_d
27.6027210884;0.220589569161;4;4;8;3;4;0.86664399093;"""4/4""";56;5;0;1;Ab7;A1;line_w_d
27.8233106576;0.661768707483;4;1;8;4;1;0.883968253968;"""4/4""";51;5;0;1;Ab7;A1;line_w_d
29.5822222222;0.348299319728;4;6;9;2;2;0.939863945578;"""4/4""";55;6;1;1;Dbj7;A2;theme:t1
29.9363265306;0.19156462585;4;6;9;2;4;0.939863945578;"""4/4""";56;6;0;1;Dbj7;A2;theme:t1
30.1278911565;0.220589569161;4;6;9;2;5;0.939863945578;"""4/4""";60;6;0;1;Dbj7;A2;theme:t1
30.3484807256;0.174149659864;4;6;9;2;6;0.939863945578;"""4/4""";61;6;0;1;Dbj7;A2;theme:t1
30.5551020408;0.112653061224;4;6;9;3;2;0.857097505669;"""4/4""";67;6;0;1;Dbj7;A2;theme:t1
30.667755102;0.139319727891;4;6;9;3;3;0.857097505669;"""4/4""";69;6;0;1;Dbj7;A2;theme:t1
30.8651247166;0.228752834467;4;6;9;3;4;0.857097505669;"""4/4""";68;6;0;1;Dbj7;A2;theme:t1
31.093877551;0.2;4;6;9;3;6;0.857097505669;"""4/4""";65;6;0;1;Dbj7;A2;theme:t1
31.293877551;0.673469387755;4;1;9;4;1;0.856825396825;"""4/4""";60;6;0;1;Dbj7;A2;theme:t1
32.8533333333;0.116099773243;4;4;10;1;4;0.849387755102;"""4/4""";58;7;1;1;Bb-7;A2;line_cx
32.9694331066;0.0667573696145;4;8;10;2;1;0.921995464853;"""4/4""";59;7;0;1;Bb-7;A2;line_cx
33.0361904762;0.0754648526077;4;8;10;2;2;0.921995464853;"""4/4""";60;7;0;1;Bb-7;A2;line_cx
33.1116553288;0.0928798185941;4;8;10;2;3;0.921995464853;"""4/4""";63;7;0;1;Bb-7;A2;line_cx
33.2045351474;0.208979591837;4;8;10;2;4;0.921995464853;"""4/4""";65;7;0;1;Bb-7;A2;line_cx
33.4251247166;0.194467120181;4;8;10;2;5;0.921995464853;"""4/4""";66;7;0;1;Bb-7;A2;line_cx
33.6282993197;0.182857142857;4;8;10;2;7;0.921995464853;"""4/4""";72;7;0;1;Bb-7;A2;line_cx
33.8111564626;0.214784580499;4;8;10;2;8;0.921995464853;"""4/4""";69;7;0;1;Bb-7;A2;line_cx
34.0317460317;0.177052154195;4;6;10;3;2;0.837233560091;"""4/4""";70;7;0;1;Bb-7;A2;line_cx
34.2087981859;0.281541950113;4;6;10;3;3;0.837233560091;"""4/4""";65;7;0;1;Bb-7;A2;line_cx
34.4932426304;0.113197278912;4;6;10;3;5;0.837233560091;"""4/4""";61;7;0;1;Bb-7;A2;line_cx
34.6064399093;0.188662131519;4;6;10;3;6;0.837233560091;"""4/4""";58;7;0;1;Bb-7;A2;line_cx
34.8009070295;0.0638548752834;4;7;10;4;1;0.839523809524;"""4/4""";56;7;0;1;Bb-7;A2;line_cx
34.8676643991;0.0696598639456;4;7;10;4;2;0.839523809524;"""4/4""";57;7;0;1;Bb-7;A2;line_cx
34.9489342404;0.0696598639456;4;7;10;4;3;0.839523809524;"""4/4""";56;7;0;1;Bb-7;A2;line_cx
35.0185941043;0.203174603175;4;7;10;4;4;0.839523809524;"""4/4""";54;7;0;1;Bb-7;A2;line_cx
35.2217687075;0.0551473922903;4;7;10;4;5;0.839523809524;"""4/4""";63;7;0;1;Bb-7;A2;~lick
35.2769160998;0.174149659864;4;7;10;4;6;0.839523809524;"""4/4""";65;7;0;1;Bb-7;A2;~lick
35.4510657596;0.165442176871;4;7;10;4;7;0.839523809524;"""4/4""";61;7;0;1;Bb-7;A2;~lick
35.6165079365;0.333786848073;4;16;11;1;2;0.81925170068;"""4/4""";55;7;0;1;Eb7;A2;~lick
35.9502947846;0.0812698412698;4;16;11;1;8;0.81925170068;"""4/4""";63;7;0;1;Eb7;A2;~#lick
36.0315646259;0.168344671202;4;16;11;1;10;0.81925170068;"""4/4""";65;7;0;1;Eb7;A2;~#lick
36.1999092971;0.0638548752834;4;16;11;1;13;0.81925170068;"""4/4""";64;7;0;1;Eb7;A2;~#lick
36.2666666667;0.0319274376417;4;16;11;1;14;0.81925170068;"""4/4""";61;7;0;1;Eb7;A2;~#lick
36.2985941043;0.046439909297;4;16;11;1;15;0.81925170068;"""4/4""";59;7;0;1;Eb7;A2;~#lick
36.3450340136;0.21768707483;4;16;11;1;16;0.81925170068;"""4/4""";55;7;0;1;Eb7;A2;~#lick
36.5714285714;0.220589569161;4;11;11;2;3;0.876349206349;"""4/4""";56;7;0;1;Eb7;A2;~#lick
36.7920181406;0.258321995465;4;11;11;2;6;0.876349206349;"""4/4""";65;7;0;1;Eb7;A2;~#lick
37.0735600907;0.0203174603175;4;11;11;2;9;0.876349206349;"""4/4""";63;7;0;1;Eb7;A2;~#lick
37.093877551;0.0493424036281;4;11;11;2;10;0.876349206349;"""4/4""";61;7;0;1;Eb7;A2;~#lick
37.1519274376;0.0986848072562;4;11;11;2;11;0.876349206349;"""4/4""";59;7;0;1;Eb7;A2;~#lick
37.2506122449;0.159637188209;4;14;11;3;1;0.866666666667;"""4/4""";56;7;0;1;Eb7;A2;~#lick
37.4102494331;0.27283446712;4;14;11;3;3;0.866666666667;"""4/4""";57;7;0;1;Eb7;A2;~#lick
37.6830839002;0.0928798185941;4;14;11;3;7;0.866666666667;"""4/4""";63;7;0;1;Eb7;A2;#lick
37.7788662132;0.206077097506;4;14;11;3;9;0.866666666667;"""4/4""";65;7;0;1;Eb7;A2;#lick
37.9849433107;0.0377324263039;4;14;11;3;12;0.866666666667;"""4/4""";63;7;0;1;Eb7;A2;#lick
