onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.67011337868;0.107392290249;4;2;-1;3;2;0.618390022676;"""4/4""";62;1;1;-1;E7;I1;line_w
4.84426303855;0.0986848072562;4;4;-1;4;1;0.663990929705;"""4/4""";67;1;0;-1;E7;I1;line_w
4.9893877551;0.148027210884;4;4;-1;4;2;0.663990929705;"""4/4""";71;1;0;-1;E7;I1;line_w
5.15482993197;0.104489795918;4;4;-1;4;3;0.663990929705;"""4/4""";72;1;0;-1;E7;I1;line_w
5.32607709751;0.168344671202;4;4;-1;4;4;0.663990929705;"""4/4""";68;1;0;-1;E7;I1;line_w
5.5031292517;0.104489795918;4;8;0;1;1;0.64410430839;"""4/4""";71;1;0;-1;E7;I1;line_w
5.63954648526;0.148027210884;4;8;0;1;3;0.64410430839;"""4/4""";69;1;0;-1;A-7;I1;line_w
5.83401360544;0.150929705215;4;8;0;1;5;0.64410430839;"""4/4""";64;1;0;-1;A-7;I1;line_w
6.02244897959;0.0406349206349;4;8;0;1;7;0.64410430839;"""4/4""";68;1;0;-1;A-7;I1;line_w
6.06326530612;0.0522448979592;4;8;0;1;8;0.64410430839;"""4/4""";69;1;0;-1;A-7;I1;line_w
6.1387755102;0.0667573696145;4;6;0;2;1;0.681995464853;"""4/4""";67;1;0;-1;A-7;I1;line_w
6.22875283447;0.0986848072562;4;6;0;2;2;0.681995464853;"""4/4""";66;1;0;-1;A-7;I1;line_w
6.37387755102;0.119002267574;4;6;0;2;3;0.681995464853;"""4/4""";64;1;0;-1;A-7;I1;line_w
6.55673469388;0.089977324263;4;6;0;2;5;0.681995464853;"""4/4""";60;1;0;-1;A-7;I1;line_w
6.69795918367;0.120408163265;4;6;0;2;6;0.681995464853;"""4/4""";57;1;0;-1;A-7;I1;line_w
6.97346938776;0.440816326531;4;1;0;3;1;0.67380952381;"""4/4""";62;1;0;-1;D7;I1;line_w
7.98163265306;0.202040816327;4;2;0;4;2;0.691020408163;"""4/4""";59;2;1;-1;D7;I1;lick
8.18979591837;0.424489795918;4;6;1;1;1;0.662653061224;"""4/4""";62;2;0;-1;D7;I1;lick
8.63469387755;0.116326530612;4;6;1;1;5;0.662653061224;"""4/4""";59;2;0;1;Gj7;A1;lick
8.79591836735;0.144897959184;4;6;1;1;6;0.662653061224;"""4/4""";62;2;0;1;Gj7;A1;lick
9.00816326531;0.163265306122;4;3;1;2;2;0.627936507937;"""4/4""";60;2;0;1;F7;A1;lick
9.21224489796;0.171428571429;4;3;1;2;3;0.627936507937;"""4/4""";57;2;0;1;F7;A1;lick
10.2816326531;0.114285714286;4;4;1;4;2;0.691587301587;"""4/4""";59;3;1;1;E7;A1;#-lick
10.4346938776;0.161224489796;4;4;1;4;3;0.691587301587;"""4/4""";56;3;0;1;E7;A1;#-lick
11.7367346939;0.114285714286;4;5;2;2;3;0.635759637188;"""4/4""";60;4;1;1;A-7;A1;line_w
11.8857142857;0.130612244898;4;5;2;2;4;0.635759637188;"""4/4""";64;4;0;1;A-7;A1;line_w
