onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.21224489796;0.404081632653;4;4;0;1;4;0.247925170068;"""4/4""";81;1;1;-1;NC;I1;expressive
4.64081632653;0.673469387755;4;2;0;3;2;0.245941043084;"""4/4""";82;1;0;-1;NC;I1;expressive
5.4693877551;0.0734693877551;4;4;1;3;1;0.259353741497;"""4/4""";81;1;0;1;Bb7;A1;~line_d
5.54897959184;0.0489795918367;4;4;1;3;2;0.259353741497;"""4/4""";82;1;0;1;Bb7;A1;~line_d
5.61224489796;0.069387755102;4;4;1;3;3;0.259353741497;"""4/4""";81;1;0;1;Bb7;A1;~line_d
5.72244897959;0.208163265306;4;4;1;4;1;0.259353741497;"""4/4""";80;1;0;1;Bb7;A1;~line_d
5.9612244898;0.230612244898;4;4;1;4;4;0.259353741497;"""4/4""";79;1;0;1;Bb7;A1;~line_d
6.21020408163;0.208163265306;4;1;2;2;1;0.238684807256;"""4/4""";78;1;0;1;Bb7;A1;~line_d
6.49183673469;0.185714285714;4;4;2;3;1;0.250396825397;"""4/4""";77;1;0;1;Bb7;A1;~line_d
6.69795918367;0.15306122449;4;4;2;3;4;0.250396825397;"""4/4""";75;1;0;1;Bb7;A1;~line_d
6.88979591837;0.128571428571;4;2;2;4;2;0.250396825397;"""4/4""";72;1;0;1;Bb7;A1;~line_d
7.16734693878;0.559183673469;4;2;3;1;2;0.25552154195;"""4/4""";72;1;0;1;Bb7;A1;~line_d
8.01020408163;0.122448979592;4;2;4;1;1;0.269183673469;"""4/4""";70;2;1;1;Bb7;A1;lick
8.14897959184;0.0897959183673;4;2;4;1;2;0.269183673469;"""4/4""";72;2;0;1;Bb7;A1;lick
8.25306122449;0.151020408163;4;2;4;2;1;0.269183673469;"""4/4""";75;2;0;1;Bb7;A1;lick
8.42244897959;0.0918367346939;4;2;4;2;2;0.269183673469;"""4/4""";77;2;0;1;Bb7;A1;lick
8.51428571429;0.0755102040816;4;2;4;3;1;0.251088435374;"""4/4""";78;2;0;1;Bb7;A1;lick
