onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.84489795918;0.159183673469;4;2;0;4;1;0.336133786848;"""4/4""";78;1;1;-1;NC;I1;lick
3.04489795918;0.10612244898;4;2;0;4;2;0.336133786848;"""4/4""";79;1;0;-1;NC;I1;lick
3.17242630385;0.0551473922902;4;4;1;1;1;0.310306122449;"""4/4""";78;1;0;1;Eb;A1;lick
3.23918367347;0.0377324263039;4;4;1;1;2;0.310306122449;"""4/4""";79;1;0;1;Eb;A1;lick
3.31755102041;0.0667573696145;4;4;1;1;3;0.310306122449;"""4/4""";78;1;0;1;Eb;A1;lick
3.42204081633;0.159637188209;4;4;1;1;4;0.310306122449;"""4/4""";77;1;0;1;Eb;A1;lick
3.76743764172;0.124807256236;4;2;1;3;1;0.300090702948;"""4/4""";75;1;0;1;Eb;A1;lick
3.9241723356;0.127709750567;4;2;1;3;2;0.300090702948;"""4/4""";72;1;0;1;Eb;A1;lick
4.0925170068;0.139319727891;4;4;1;4;1;0.300090702948;"""4/4""";70;1;0;1;Eb;A1;lick
4.33632653061;0.406349206349;4;4;1;4;4;0.300090702948;"""4/4""";75;1;0;1;Eb;A1;lick
4.83845804989;0.0754648526077;4;4;2;2;3;0.30029478458;"""4/4""";67;1;0;1;Eb;A1;lick
4.9429478458;0.185759637188;4;4;2;2;4;0.30029478458;"""4/4""";70;1;0;1;Eb;A1;lick
5.1577324263;0.113197278912;4;2;2;3;2;0.305464852608;"""4/4""";72;1;0;1;Eb;A1;lick
5.29995464853;0.127709750567;4;2;2;4;1;0.305464852608;"""4/4""";75;1;0;1;Eb;A1;lick
5.45378684807;0.0928798185941;4;2;2;4;2;0.305464852608;"""4/4""";79;1;0;1;Eb;A1;lick
5.61342403628;0.377324263039;4;1;3;1;1;0.300306122449;"""4/4""";74;1;0;1;D7;A1;lick
6.45224489796;0.208979591837;4;4;3;3;4;0.29537414966;"""4/4""";66;1;0;1;D7;A1;melody
6.68734693878;0.818503401361;4;2;3;4;2;0.29537414966;"""4/4""";72;1;0;1;D7;A1;melody
8.59428571429;0.182857142857;4;4;5;2;4;0.322517006803;"""4/4""";84;2;1;1;Eb;A1;line_t_dlas
8.7916553288;0.0841723356009;4;2;5;3;2;0.282777777778;"""4/4""";82;2;0;1;Eb;A1;line_t_dlas
8.90195011338;0.148027210884;4;2;5;4;1;0.282777777778;"""4/4""";79;2;0;1;Eb;A1;line_t_dlas
9.07900226757;0.124807256236;4;2;5;4;2;0.282777777778;"""4/4""";77;2;0;1;Eb;A1;line_t_dlas
