onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.84444444444;0.13641723356;4;1;1;1;1;0.340113378685;"""4/4""";70;1;1;1;Eb;A1;melody
3.17532879819;0.11029478458;4;1;1;2;1;0.312471655329;"""4/4""";70;1;0;1;Eb;A1;melody
3.49170068027;0.107392290249;4;3;1;3;1;0.332947845805;"""4/4""";70;1;0;1;Eb;A1;melody
3.72680272109;0.293151927438;4;3;1;3;3;0.332947845805;"""4/4""";70;1;0;1;Eb;A1;melody
4.18829931973;0.211882086168;4;1;2;1;1;0.347414965986;"""4/4""";67;1;0;1;Eb;A1;melody
5.07142857143;0.230612244898;4;2;2;3;2;0.352358276644;"""4/4""";75;2;1;1;Eb;A1;lick
5.37142857143;0.112244897959;4;2;2;4;2;0.337619047619;"""4/4""";70;2;0;1;Eb;A1;lick
5.53265306122;0.130612244898;4;3;3;1;1;0.307777777778;"""4/4""";72;2;0;1;Eb;A1;lick
5.73265306122;0.10612244898;4;3;3;1;3;0.307777777778;"""4/4""";66;2;0;1;Eb;A1;lick
5.85102040816;0.167346938776;4;1;3;2;1;0.312448979592;"""4/4""";67;2;0;1;Eb;A1;lick
6.19183673469;0.295918367347;4;1;3;3;1;0.342766439909;"""4/4""";65;2;0;1;Eb;A1;lick
6.82666666667;0.157142857143;4;2;4;1;1;0.351020408163;"""4/4""";65;3;1;1;Eb;A1;lick
7.0356462585;0.0918367346939;4;2;4;1;2;0.351020408163;"""4/4""";64;3;0;1;Eb7;A1;lick
7.19795918367;0.148979591837;4;2;4;2;1;0.329092970522;"""4/4""";75;3;0;1;Eb7;A1;lick
7.3693877551;0.108163265306;4;2;4;2;2;0.329092970522;"""4/4""";72;3;0;1;Eb7;A1;lick
7.50204081633;0.265306122449;4;1;4;3;1;0.322222222222;"""4/4""";75;3;0;1;Eb7;A1;lick
7.82802721088;0.133514739229;4;2;4;4;1;0.338412698413;"""4/4""";72;3;0;1;Eb7;A1;lick
8.01523809524;0.163990929705;4;2;4;4;2;0.338412698413;"""4/4""";63;3;0;1;Eb7;A1;lick
8.34321995465;0.223492063492;4;2;5;1;2;0.332902494331;"""4/4""";65;3;0;1;Ab;A1;lick
8.81342403628;0.25977324263;4;1;5;3;1;0.331995464853;"""4/4""";68;3;0;1;Ab;A1;lick
9.4737414966;0.153832199546;4;3;6;1;1;0.341723356009;"""4/4""";62;4;1;1;Ab;A1;lick
9.70158730159;0.0696598639456;4;3;6;1;3;0.341723356009;"""4/4""";63;4;0;1;Ab;A1;lick
9.80752834467;0.156734693878;4;1;6;2;1;0.31335600907;"""4/4""";65;4;0;1;Ab;A1;lick
10.1413151927;0.177052154195;4;2;6;3;1;0.332947845805;"""4/4""";65;4;0;1;Ab;A1;lick
10.3372335601;0.130612244898;4;2;6;3;2;0.332947845805;"""4/4""";63;4;0;1;Ab;A1;lick
10.5012244898;0.129160997732;4;2;6;4;1;0.331995464853;"""4/4""";65;4;0;1;Ab;A1;lick
10.6811791383;0.0972335600907;4;2;6;4;2;0.331995464853;"""4/4""";66;4;0;1;Ab;A1;lick
10.8001814059;0.370068027211;4;1;7;1;1;0.323083900227;"""4/4""";67;4;0;1;Ab;A1;lick
11.3591836735;0.283673469388;4;2;7;2;2;0.347233560091;"""4/4""";67;4;0;1;G7;A1;lick
12.4714285714;0.163265306122;4;2;8;2;1;0.332811791383;"""4/4""";67;5;1;1;G7;A1;lick
12.687755102;0.110204081633;4;2;8;2;2;0.332811791383;"""4/4""";68;5;0;1;G7;A1;lick
12.9897959184;0.263265306122;4;2;8;3;2;0.337596371882;"""4/4""";69;5;0;1;G7;A1;lick
13.4714285714;0.136734693878;4;1;9;1;1;0.306802721088;"""4/4""";70;5;0;1;G7;A1;lick
13.7918367347;0.24693877551;4;1;9;2;1;0.328798185941;"""4/4""";72;5;0;1;Eb;A1;lick
14.1408163265;0.161224489796;4;1;9;3;1;0.332970521542;"""4/4""";70;5;0;1;Eb;A1;lick
14.4714285714;0.120408163265;4;2;9;4;1;0.341723356009;"""4/4""";71;5;0;1;Eb;A1;lick
14.6;0.122448979592;4;2;9;4;2;0.341723356009;"""4/4""";72;5;0;1;Eb;A1;lick
14.8;0.461224489796;4;1;10;1;1;0.342562358277;"""4/4""";70;5;0;1;Eb;A1;lick
15.8224489796;0.0938775510204;4;6;10;4;1;0.313310657596;"""4/4""";67;6;1;1;Eb;A1;lick
15.9469387755;0.116326530612;4;6;10;4;3;0.313310657596;"""4/4""";68;6;0;1;Eb;A1;lick
16.106122449;0.128571428571;4;6;10;4;6;0.313310657596;"""4/4""";70;6;0;1;Eb;A1;lick
16.2857142857;0.271428571429;4;2;11;1;2;0.313514739229;"""4/4""";72;6;0;1;Eb;A1;lick
16.8204081633;0.19387755102;4;1;11;3;1;0.342766439909;"""4/4""";70;6;0;1;D7;A1;lick
17.1020408163;0.161224489796;4;2;11;4;1;0.33179138322;"""4/4""";72;6;0;1;D7;A1;lick
17.2857142857;0.459183673469;4;2;11;4;2;0.33179138322;"""4/4""";74;6;0;1;Db7;A1;lick
18.1183673469;0.15306122449;4;2;12;3;1;0.33201814059;"""4/4""";72;7;1;1;C7;A1;lick
18.3;0.136734693878;4;2;12;3;2;0.33201814059;"""4/4""";74;7;0;1;C7;A1;lick
18.4510204082;0.163265306122;4;2;12;4;1;0.313424036281;"""4/4""";75;7;0;1;C7;A1;lick
18.6428571429;0.132653061224;4;2;12;4;2;0.313424036281;"""4/4""";68;7;0;1;C7;A1;lick
18.7897959184;0.128571428571;4;2;13;1;1;0.351541950113;"""4/4""";67;7;0;1;F-7;A1;lick
18.9653061224;0.120408163265;4;2;13;1;2;0.351541950113;"""4/4""";65;7;0;1;F-7;A1;lick
19.1183673469;0.157142857143;4;2;13;2;1;0.323106575964;"""4/4""";72;7;0;1;F-7;A1;lick
19.2959183673;0.444897959184;4;2;13;2;2;0.323106575964;"""4/4""";70;7;0;1;F-7;A1;lick
20.1285714286;0.142857142857;4;6;14;1;1;0.332879818594;"""4/4""";66;8;1;1;F-7;A1;lick
20.2897959184;0.0877551020408;4;6;14;1;4;0.332879818594;"""4/4""";67;8;0;1;Bb7;A1;lick
20.4346938776;0.161224489796;4;6;14;1;6;0.332879818594;"""4/4""";70;8;0;1;Bb7;A1;lick
20.6408163265;0.0979591836735;4;2;14;2;2;0.332811791383;"""4/4""";68;8;0;1;Bb7;A1;lick
20.8040816327;0.312244897959;4;1;14;3;1;0.322335600907;"""4/4""";70;8;0;1;Bb7;A1;lick
21.4346938776;0.175510204082;4;3;15;1;1;0.312494331066;"""4/4""";70;9;1;1;Eb;A1;lick
21.6306122449;0.167346938776;4;3;15;1;3;0.312494331066;"""4/4""";70;9;0;1;Eb;A1;lick
22.0551020408;0.0510204081633;4;4;15;3;1;0.342653061224;"""4/4""";71;9;0;1;Eb;A1;lick
22.1244897959;0.171428571429;4;4;15;3;2;0.342653061224;"""4/4""";72;9;0;1;Eb;A1;lick
