onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.50040816327;0.168344671202;4;2;0;1;2;0.38;"""4/4""";63;1;1;-1;NC;I1;lick
3.8022675737;0.0986848072562;4;3;0;2;2;0.370272108844;"""4/4""";68;1;0;-1;NC;I1;lick
3.92126984127;0.0957823129252;4;3;0;2;3;0.370272108844;"""4/4""";70;1;0;-1;NC;I1;lick
4.04607709751;0.0551473922902;4;4;0;3;1;0.398934240363;"""4/4""";73;1;0;-1;NC;I1;lick
4.13315192744;0.400544217687;4;4;0;3;2;0.398934240363;"""4/4""";75;1;0;-1;NC;I1;lick
4.58594104308;0.0464399092971;4;4;0;4;2;0.377278911565;"""4/4""";71;1;0;-1;NC;I1;lick
4.66430839002;0.0783673469388;4;4;0;4;3;0.377278911565;"""4/4""";73;1;0;-1;NC;I1;lick
4.80943310658;0.220589569161;4;3;1;1;1;0.374172335601;"""4/4""";70;1;0;-1;NC;I1;lick
5.0735600907;0.0957823129252;4;3;1;1;3;0.374172335601;"""4/4""";68;1;0;1;Bb;A1;lick
6.50816326531;0.116326530612;4;2;2;1;2;0.346326530612;"""4/4""";63;2;1;1;C-7;A1;#lick
6.83265306122;0.0836734693878;4;4;2;2;3;0.371133786848;"""4/4""";67;2;0;1;C-7;A1;#lick
6.95306122449;0.0938775510204;4;4;2;2;4;0.371133786848;"""4/4""";70;2;0;1;C-7;A1;#lick
7.11224489796;0.0551020408163;4;4;2;3;2;0.339115646259;"""4/4""";74;2;0;1;F+7;A1;#lick
7.18657596372;0.32798185941;4;4;2;3;3;0.339115646259;"""4/4""";75;2;0;1;F+7;A1;#lick
7.59292517007;0.0609523809524;4;2;2;4;2;0.388934240363;"""4/4""";73;2;0;1;F+7;A1;#lick
7.8106122449;0.19156462585;4;2;3;1;1;0.41410430839;"""4/4""";70;2;0;1;Bb;A1;#lick
8.06022675737;0.0464399092971;4;2;3;1;2;0.41410430839;"""4/4""";68;2;0;1;Bb;A1;#lick
8.28081632653;0.089977324263;4;2;3;2;2;0.396961451247;"""4/4""";65;2;0;1;Bb;A1;#lick
