onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.34929705215;0.0663945578231;4;6;0;2;5;0.80798185941;"""4/4""";70;1;1;-1;NC;I1;lick
5.42448979592;3.14285714286;4;6;0;2;6;0.80798185941;"""4/4""";73;1;0;-1;NC;I1;lick
8.64489795918;0.0897959183673;4;6;1;2;5;0.824648526077;"""4/4""";69;1;0;1;Db7;A1;lick
8.74285714286;0.0979591836735;4;6;1;2;6;0.824648526077;"""4/4""";70;1;0;1;Db7;A1;lick
8.88979591837;0.824489795918;4;1;1;3;1;0.813764172336;"""4/4""";66;1;0;1;Db7;A1;lick
9.75818594104;0.111201814059;4;6;1;4;1;0.827369614512;"""4/4""";63;1;0;1;Db7;A1;lick
9.8693877551;0.359183673469;4;6;1;4;2;0.827369614512;"""4/4""";64;1;0;1;Db7;A1;lick
10.2944217687;0.122630385488;4;6;1;4;5;0.827369614512;"""4/4""";62;1;0;1;Db7;A1;lick
10.4264852608;0.0827210884354;4;6;1;4;6;0.827369614512;"""4/4""";61;1;0;1;Db7;A1;lick
11.1836734694;0.212244897959;4;2;2;1;2;0.853333333333;"""4/4""";73;2;1;1;Gb7;A1;#lick
11.9591836735;0.269387755102;4;2;2;2;2;0.827210884354;"""4/4""";70;2;0;1;Gb7;A1;#lick
12.326893424;0.119002267574;4;4;2;3;1;0.828752834467;"""4/4""";65;2;0;1;Gb7;A1;#lick
12.4571428571;0.579591836735;4;4;2;3;2;0.828752834467;"""4/4""";66;2;0;1;Gb7;A1;#lick
13.1105668934;0.0580498866213;4;4;2;4;1;0.856145124717;"""4/4""";63;2;0;1;Gb7;A1;#lick
13.1836734694;0.440816326531;4;4;2;4;2;0.856145124717;"""4/4""";64;2;0;1;Gb7;A1;#lick
13.7142857143;0.236734693878;4;4;2;4;4;0.856145124717;"""4/4""";58;2;0;1;Gb7;A1;#lick
14.036462585;0.0696598639456;4;3;3;1;1;0.875759637188;"""4/4""";64;2;0;1;Db7;A1;#lick
14.1142857143;0.644897959184;4;3;3;1;2;0.875759637188;"""4/4""";65;2;0;1;Db7;A1;#lick
14.7795011338;0.432653061224;4;1;3;2;1;0.853469387755;"""4/4""";56;2;0;1;Db7;A1;#lick
15.6571428571;1.36326530612;4;1;3;3;1;0.859455782313;"""4/4""";59;2;0;1;Db7;A1;#lick
21.1510204082;0.204081632653;4;3;5;1;2;0.869274376417;"""4/4""";58;3;1;1;Gb7;A1;lick
21.4040816327;0.212244897959;4;3;5;1;3;0.869274376417;"""4/4""";61;3;0;1;Gb7;A1;lick
