onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.87029478458;0.310566893424;4;2;0;1;2;0.219807256236;"""4/4""";63;1;1;-1;NC;I1;lick
6.26503401361;0.0943310657596;4;2;0;3;2;0.219682539683;"""4/4""";63;1;0;-1;NC;I1;lick
6.37532879819;0.130612244898;4;1;0;4;1;0.219682539683;"""4/4""";61;1;0;-1;NC;I1;lick
6.57551020408;0.171428571429;4;1;1;1;1;0.228526077098;"""4/4""";63;1;0;-1;NC;I1;lick
7.19591836735;0.0986848072562;4;2;1;3;2;0.223038548753;"""4/4""";60;2;1;1;Cj7;A1;#lick
7.4;0.127709750567;4;2;1;4;2;0.223038548753;"""4/4""";63;2;0;1;Cj7;A1;#lick
7.62448979592;0.116099773243;4;2;2;1;2;0.22858276644;"""4/4""";63;2;0;1;Cj7;A1;#lick
7.8693877551;0.290249433107;4;2;2;2;2;0.22858276644;"""4/4""";63;2;0;1;Cj7;A1;#lick
8.17551020408;0.156734693878;4;1;2;4;1;0.22089569161;"""4/4""";60;2;0;1;Cj7;A1;#lick
8.35918367347;0.127709750567;4;2;3;1;1;0.213968253968;"""4/4""";63;2;0;1;Cj7;A1;#lick
8.51011337868;0.214784580499;4;2;3;1;2;0.213968253968;"""4/4""";64;2;0;1;Cj7;A1;#lick
8.95918367347;0.0812698412698;4;2;3;3;2;0.238072562358;"""4/4""";55;3;1;1;Cj7;A1;#lick
9.0612244898;0.104489795918;4;2;3;4;1;0.238072562358;"""4/4""";58;3;0;1;Cj7;A1;#lick
9.18775510204;0.110204081633;4;2;3;4;2;0.238072562358;"""4/4""";63;3;0;1;Cj7;A1;#lick
9.40408163265;0.130612244898;4;2;4;1;2;0.211031746032;"""4/4""";63;3;0;1;Eb-7;A1;#lick
9.61224489796;0.314285714286;4;2;4;2;2;0.211031746032;"""4/4""";63;3;0;1;Eb-7;A1;#lick
9.9410430839;0.114285714286;4;4;4;4;1;0.225294784581;"""4/4""";60;3;0;1;Ab79;A1;#lick
10.1265306122;0.126530612245;4;4;4;4;4;0.225294784581;"""4/4""";64;3;0;1;Ab79;A1;~line_w
10.2653061224;0.126530612245;4;2;5;1;2;0.218752834467;"""4/4""";65;3;0;1;D-7;A1;~line_w
10.3996371882;0.133514739229;4;3;5;2;1;0.218752834467;"""4/4""";66;3;0;1;D-7;A1;~line_w
10.5551020408;0.142857142857;4;3;5;2;3;0.218752834467;"""4/4""";67;3;0;1;D-7;A1;~line_w
10.7469387755;0.122448979592;4;2;5;3;2;0.225691609977;"""4/4""";65;3;0;1;D-7;A1;~line_w
10.9102040816;0.126530612245;4;2;5;4;2;0.225691609977;"""4/4""";65;3;0;1;D-7;A1;~line_w
11.0408163265;0.118367346939;4;2;6;1;1;0.22283446712;"""4/4""";64;3;0;1;D-7;A1;~line_w
11.187755102;0.0734693877551;4;2;6;1;2;0.22283446712;"""4/4""";60;3;0;1;G7;A1;~line_w
11.2693877551;0.10612244898;4;2;6;2;1;0.22283446712;"""4/4""";56;3;0;1;G7;A1;~line_w
11.387755102;0.0734693877551;4;2;6;2;2;0.22283446712;"""4/4""";53;3;0;1;G7;A1;~line_w
11.5183673469;0.163265306122;4;4;6;3;1;0.226394557823;"""4/4""";58;3;0;1;G7;A1;~line_w
11.6897959184;0.14693877551;4;4;6;3;4;0.226394557823;"""4/4""";55;3;0;1;G7;A1;~line_w
11.9020408163;0.4;4;4;6;4;4;0.226394557823;"""4/4""";55;3;0;1;G7;A1;~line_w
13.2693877551;0.130612244898;4;2;8;3;1;0.224965986395;"""4/4""";55;4;1;1;G7;A1;line_w
13.412244898;0.0612244897959;4;2;8;3;2;0.224965986395;"""4/4""";58;4;0;1;G7;A1;line_w
13.4897959184;0.110204081633;4;2;8;4;1;0.224965986395;"""4/4""";59;4;0;1;G7;A1;line_w
13.6244897959;0.110204081633;4;2;8;4;2;0.224965986395;"""4/4""";61;4;0;1;G7;A1;line_w
13.7428571429;0.0775510204082;4;3;9;1;1;0.235102040816;"""4/4""";63;4;0;1;G7;A1;line_w
13.8408163265;0.0938775510204;4;3;9;1;2;0.235102040816;"""4/4""";65;4;0;1;Cj7;A2;line_w
13.9346938776;0.0775510204082;4;3;9;1;3;0.235102040816;"""4/4""";66;4;0;1;Cj7;A2;line_w
14.0326530612;0.110204081633;4;4;9;2;2;0.235102040816;"""4/4""";68;4;0;1;Cj7;A2;line_w
14.1428571429;0.069387755102;4;4;9;2;4;0.235102040816;"""4/4""";71;4;0;1;Cj7;A2;line_w
14.2204081633;0.167346938776;4;4;9;3;1;0.219863945578;"""4/4""";72;4;0;1;Cj7;A2;line_w
14.4;0.195918367347;4;4;9;3;4;0.219863945578;"""4/4""";71;4;0;1;Cj7;A2;line_w
14.6448979592;0.14693877551;4;4;10;1;1;0.216235827664;"""4/4""";68;4;0;1;Cj7;A2;line_w
14.8204081633;0.14693877551;4;4;10;1;4;0.216235827664;"""4/4""";70;4;0;1;Cj7;A2;line_w
14.9673469388;0.126530612245;4;2;10;2;2;0.216235827664;"""4/4""";69;4;0;1;Cj7;A2;line_w
15.0979591837;0.191836734694;4;1;10;3;1;0.221133786848;"""4/4""";66;4;0;1;Cj7;A2;line_w
15.2979591837;0.195918367347;4;1;10;4;1;0.221133786848;"""4/4""";67;4;0;1;Cj7;A2;line_w
15.5224489796;0.216326530612;4;1;11;1;1;0.215442176871;"""4/4""";65;4;0;1;Cj7;A2;line_w
15.7387755102;0.179591836735;4;1;11;2;1;0.215442176871;"""4/4""";67;4;0;1;Cj7;A2;line_w
15.9469387755;0.151020408163;4;2;11;3;1;0.233458049887;"""4/4""";64;4;0;1;Cj7;A2;line_w
16.0979591837;0.0612244897959;4;2;11;3;2;0.233458049887;"""4/4""";67;4;0;1;Cj7;A2;line_w
16.1959183673;0.10612244898;4;2;11;4;1;0.233458049887;"""4/4""";66;4;0;1;Cj7;A2;line_w
16.3265306122;0.0612244897959;4;2;11;4;2;0.233458049887;"""4/4""";64;4;0;1;Cj7;A2;line_w
