onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.03002267574;0.167346938776;4;4;-1;4;4;0.361836734694;"""4/4""";68;1;1;-1;NC;I1;lick
5.34058956916;0.165442176871;4;2;0;1;2;0.32820861678;"""4/4""";68;1;0;-1;NC;I1;lick
5.66566893424;0.177052154195;4;2;0;2;2;0.333015873016;"""4/4""";68;1;0;-1;NC;I1;lick
6.00526077098;0.220589569161;4;2;0;3;2;0.332653061224;"""4/4""";68;1;0;-1;NC;I1;lick
6.39129251701;0.319274376417;4;4;0;4;4;0.351609977324;"""4/4""";68;1;0;-1;NC;I1;lick
6.86439909297;0.284444444444;4;1;1;2;1;0.347732426304;"""4/4""";64;1;0;1;Db;A1;lick
7.18657596372;0.348299319728;4;1;1;3;1;0.367641723356;"""4/4""";65;1;0;1;Bb7;A1;lick
7.73265306122;0.102040816327;4;2;1;4;2;0.357664399093;"""4/4""";70;1;0;1;Bb7;A1;#lick
7.91020408163;0.177551020408;4;1;2;1;1;0.351632653061;"""4/4""";68;1;0;1;Eb-7;A1;#lick
8.20816326531;0.167346938776;4;3;2;2;1;0.348117913832;"""4/4""";64;1;0;1;Eb-7;A1;#lick
8.43265306122;0.375510204082;4;3;2;2;3;0.348117913832;"""4/4""";65;1;0;1;Eb-7;A1;#lick
9.08775510204;0.102040816327;4;2;2;4;2;0.322857142857;"""4/4""";70;1;0;1;Ab7;A1;#lick
9.21836734694;0.173469387755;4;1;3;1;1;0.342517006803;"""4/4""";68;1;0;1;Db;A1;#lick
9.58163265306;0.177551020408;4;1;3;2;1;0.347573696145;"""4/4""";64;1;0;1;Db;A1;#lick
9.88979591837;0.40612244898;4;1;3;3;1;0.352199546485;"""4/4""";65;1;0;1;Db;A1;#lick
10.4693877551;0.0734693877551;4;2;3;4;2;0.338412698413;"""4/4""";70;1;0;1;Bb-7;A1;#+lick
10.5795918367;0.218367346939;4;1;4;1;1;0.337052154195;"""4/4""";73;1;0;1;Bb-7;A1;#+lick
10.9183673469;0.161224489796;4;3;4;2;1;0.327505668934;"""4/4""";70;1;0;1;Eb-7;A1;#+lick
11.1428571429;0.391836734694;4;3;4;2;3;0.327505668934;"""4/4""";68;1;0;1;Eb-7;A1;#+lick
12.6346938776;0.169387755102;4;2;5;3;1;0.337959183673;"""4/4""";68;2;1;1;Db7;A1;lick
12.8326530612;0.104081632653;4;2;5;3;2;0.337959183673;"""4/4""";70;2;0;1;Db7;A1;lick
12.9510204082;0.138775510204;4;2;5;4;1;0.352131519274;"""4/4""";73;2;0;1;Db7;A1;lick
13.1346938776;0.128571428571;4;2;5;4;2;0.352131519274;"""4/4""";75;2;0;1;Db7;A1;lick
13.2795918367;0.197959183673;4;2;6;1;1;0.318140589569;"""4/4""";76;2;0;1;Db7;A1;lick
13.4979591837;0.118367346939;4;2;6;1;2;0.318140589569;"""4/4""";77;2;0;1;Gb7;A1;lick
