onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
1.07142857143;0.259183673469;4;1;0;4;1;0.391836734694;"""4/4""";62;1;1;-1;NC;I1;lick
1.40707482993;0.184535147392;4;2;1;1;1;0.391836734694;"""4/4""";65;1;0;1;F-7;A1;lick
1.64548752834;0.12693877551;4;2;1;1;2;0.391836734694;"""4/4""";65;1;0;1;F-7;A1;lick
3.60612244898;0.145918367347;4;3;2;3;1;0.386235827664;"""4/4""";60;2;1;1;F-7;A1;lick
3.75612244898;0.104081632653;4;3;2;3;2;0.386235827664;"""4/4""";62;2;0;1;F-7;A1;lick
3.86836734694;0.120408163265;4;3;2;3;3;0.386235827664;"""4/4""";65;2;0;1;F-7;A1;lick
3.99897959184;0.163265306122;4;3;2;4;1;0.35798185941;"""4/4""";67;2;0;1;F-7;A1;lick
4.16725623583;0.0631292517007;4;3;2;4;2;0.35798185941;"""4/4""";62;2;0;1;F-7;A1;lick
4.24344671202;0.471655328798;4;3;2;4;3;0.35798185941;"""4/4""";65;2;0;1;F-7;A1;lick
6.22321995465;0.285510204082;4;1;4;2;1;0.367188208617;"""4/4""";60;3;1;1;F-7;A1;#lick
6.6387755102;0.0877551020408;4;3;4;3;1;0.377596371882;"""4/4""";61;3;0;1;F-7;A1;#lick
6.73367346939;0.132653061224;4;3;4;3;2;0.377596371882;"""4/4""";62;3;0;1;F-7;A1;#lick
6.87959183673;0.122448979592;4;3;4;3;3;0.377596371882;"""4/4""";65;3;0;1;F-7;A1;#lick
7.03673469388;0.24693877551;4;1;4;4;1;0.367414965986;"""4/4""";67;3;0;1;F-7;A1;#lick
7.37523809524;0.271383219955;4;4;5;1;1;0.386598639456;"""4/4""";68;3;0;1;F-7;A1;#lick
7.65387755102;0.119387755102;4;4;5;1;4;0.386598639456;"""4/4""";65;3;0;1;F-7;A1;#lick
9.26040816327;0.321927437642;4;1;6;2;1;0.387052154195;"""4/4""";65;4;1;1;F-7;A1;line_t_alds
9.6612244898;0.242471655329;4;4;6;3;1;0.387142857143;"""4/4""";68;4;0;1;F-7;A1;line_t_alds
9.94249433107;0.0827210884354;4;4;6;3;4;0.387142857143;"""4/4""";72;4;0;1;F-7;A1;line_t_alds
10.0397278912;0.258321995465;4;4;6;4;1;0.382925170068;"""4/4""";75;4;0;1;F-7;A1;line_t_alds
10.3270748299;0.853333333333;4;4;6;4;4;0.382925170068;"""4/4""";73;4;0;1;F-7;A1;line_t_alds
11.9336054422;0.0580498866213;4;4;8;1;1;0.377437641723;"""4/4""";70;5;1;1;C7;A1;lick
