onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
1.63337868481;0.10231292517;4;2;-1;3;2;0.264081632653;"""4/4""";63;1;1;-1;NC;I1;lick_bebop
1.75020408163;0.13641723356;4;1;-1;4;1;0.281632653061;"""4/4""";65;1;0;-1;NC;I1;lick_bebop
1.98240362812;0.168344671202;4;3;0;1;1;0.273151927438;"""4/4""";68;1;0;-1;NC;I1;lick_bebop
2.16526077098;0.104489795918;4;3;0;1;3;0.273151927438;"""4/4""";67;1;0;-1;NC;I1;lick_bebop
2.29006802721;0.139319727891;4;2;0;2;1;0.273786848073;"""4/4""";65;1;0;-1;NC;I1;lick_bebop
2.43229024943;0.139319727891;4;2;0;2;2;0.273786848073;"""4/4""";64;1;0;-1;NC;I1;lick_bebop
2.57160997732;0.104489795918;4;2;0;3;1;0.277551020408;"""4/4""";63;1;0;-1;NC;I1;lick_bebop
2.72253968254;0.145124716553;4;2;0;3;2;0.277551020408;"""4/4""";61;1;0;-1;NC;I1;lick_bebop
2.92571428571;0.113197278912;4;4;0;4;3;0.273514739229;"""4/4""";61;1;0;-1;NC;I1;lick_bebop
3.05052154195;0.165442176871;4;4;0;4;4;0.273514739229;"""4/4""";63;1;0;-1;NC;I1;lick_bebop
3.24897959184;0.0673469387755;4;2;1;1;2;0.261179138322;"""4/4""";60;1;0;1;Ab;A1;lick_bebop
3.32857142857;0.16253968254;4;3;1;2;1;0.250113378685;"""4/4""";61;1;0;1;Ab;A1;lick_bebop
3.50612244898;0.448979591837;4;3;1;2;3;0.250113378685;"""4/4""";63;1;0;1;Ab;A1;lick_bebop
5.0989569161;0.11029478458;4;2;2;4;2;0.253401360544;"""4/4""";60;2;1;1;F7;A1;void->lick_bebop
5.21070294785;0.133514739229;4;2;3;1;1;0.259024943311;"""4/4""";67;2;0;1;Bb7;A1;void->lick_bebop
5.35219954649;0.127709750567;4;2;3;1;2;0.259024943311;"""4/4""";65;2;0;1;Bb7;A1;void->lick_bebop
