onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.2420861678;0.0986848072562;4;2;1;1;2;0.330249433107;"""4/4""";60;1;1;1;Bbj7;A1;lick
3.34657596372;0.0638548752834;4;4;1;2;1;0.333424036281;"""4/4""";58;1;0;1;Bbj7;A1;lick
3.410430839;0.168344671202;4;4;1;2;2;0.333424036281;"""4/4""";57;1;0;1;Bbj7;A1;lick
3.59619047619;0.087074829932;4;4;1;2;4;0.333424036281;"""4/4""";58;1;0;1;Bbj7;A1;lick
3.70648526077;0.208979591837;4;3;1;3;1;0.346167800454;"""4/4""";60;1;0;1;G7;A1;lick
3.92489795918;0.119727891156;4;3;1;3;3;0.346167800454;"""4/4""";58;1;0;1;G7;A1;lick
4.05333333333;0.180680272109;4;2;1;4;1;0.348979591837;"""4/4""";57;1;0;1;G7;A1;lick
4.25795918367;0.0957823129252;4;2;1;4;2;0.348979591837;"""4/4""";58;1;0;1;G7;A1;lick
4.36027210884;0.222040816327;4;3;2;1;1;0.332653061224;"""4/4""";62;1;0;1;G7;A1;lick
4.59755102041;0.171247165533;4;3;2;1;3;0.332653061224;"""4/4""";63;1;0;1;C-7;A1;lick
4.79201814059;0.121904761905;4;4;2;2;2;0.34693877551;"""4/4""";62;1;0;1;C-7;A1;lick
4.95310657596;0.0754648526077;4;4;2;2;4;0.34693877551;"""4/4""";58;1;0;1;C-7;A1;lick
5.03292517007;0.248163265306;4;3;2;3;1;0.332653061224;"""4/4""";60;1;0;1;C-7;A1;lick
5.28544217687;0.121904761905;4;3;2;3;3;0.332653061224;"""4/4""";57;1;0;1;F7;A1;lick
5.4189569161;0.0783673469388;4;3;2;4;1;0.35306122449;"""4/4""";58;1;0;1;F7;A1;lick
5.51401360544;0.0740136054422;4;3;2;4;2;0.35306122449;"""4/4""";61;1;0;1;F7;A1;lick
5.60471655329;0.148027210884;4;3;2;4;3;0.35306122449;"""4/4""";65;1;0;1;F7;A1;lick
5.76653061224;0.0478911564626;4;4;3;1;1;0.34693877551;"""4/4""";69;1;0;1;Bbj7;A1;lick
5.8187755102;0.167619047619;4;4;3;1;2;0.34693877551;"""4/4""";70;1;0;1;Bbj7;A1;lick
6.00163265306;0.607346938776;4;4;3;1;4;0.34693877551;"""4/4""";65;1;0;1;Bbj7;A1;lick
7.41006802721;0.116099773243;4;4;4;2;1;0.344897959184;"""4/4""";69;2;1;1;C-7;A1;line_w
7.53197278912;0.0718367346939;4;4;4;2;2;0.344897959184;"""4/4""";67;2;0;1;C-7;A1;line_w
7.60816326531;0.0892517006803;4;4;4;2;3;0.344897959184;"""4/4""";66;2;0;1;C-7;A1;line_w
7.69959183673;0.0674829931973;4;4;4;2;4;0.344897959184;"""4/4""";67;2;0;1;C-7;A1;line_w
7.77142857143;0.0544217687075;4;4;4;3;1;0.342857142857;"""4/4""";70;2;0;1;C-7;A1;line_w
7.82802721088;0.0848979591837;4;4;4;3;2;0.342857142857;"""4/4""";67;2;0;1;F7;A1;line_w
7.91727891156;0.0957823129252;4;4;4;3;3;0.342857142857;"""4/4""";63;2;0;1;F7;A1;line_w
8.01523809524;0.121904761905;4;4;4;3;4;0.342857142857;"""4/4""";62;2;0;1;F7;A1;line_w
8.14367346939;0.0783673469388;4;3;4;4;1;0.338775510204;"""4/4""";60;2;0;1;F7;A1;line_w
8.2401814059;0.121179138322;4;3;4;4;2;0.338775510204;"""4/4""";57;2;0;1;F7;A1;line_w
8.36136054422;0.0761904761905;4;3;4;4;3;0.338775510204;"""4/4""";60;2;0;1;F7;A1;line_w
8.44408163265;0.0740136054422;4;4;5;1;1;0.342857142857;"""4/4""";63;2;0;1;F7;A1;line_w
8.52027210884;0.124081632653;4;4;5;1;2;0.342857142857;"""4/4""";66;2;0;1;Bbj7;A1;line_w
8.65233560091;0.089977324263;4;4;5;1;3;0.342857142857;"""4/4""";63;2;0;1;Bbj7;A1;line_w
8.7452154195;0.0536961451247;4;4;5;1;4;0.342857142857;"""4/4""";60;2;0;1;Bbj7;A1;line_w
8.79891156463;0.148027210884;4;1;5;2;1;0.330090702948;"""4/4""";65;2;0;1;Bbj7;A1;line_w
9.29088435374;0.10231292517;4;4;5;3;3;0.328412698413;"""4/4""";68;2;0;1;Bb7;A1;line_w_d
9.39319727891;0.0848979591837;4;4;5;3;4;0.328412698413;"""4/4""";67;2;0;1;Bb7;A1;line_w_d
9.48027210884;0.0979591836735;4;6;5;4;1;0.342721088435;"""4/4""";65;2;0;1;Bb7;A1;line_w_d
9.58258503401;0.113197278912;4;6;5;4;3;0.342721088435;"""4/4""";63;2;0;1;Bb7;A1;line_w_d
9.70013605442;0.0522448979592;4;6;5;4;5;0.342721088435;"""4/4""";62;2;0;1;Bb7;A1;line_w_d
9.75891156463;0.0565986394558;4;6;5;4;6;0.342721088435;"""4/4""";60;2;0;1;Bb7;A1;line_w_d
9.82639455782;0.065306122449;4;4;6;1;1;0.347936507937;"""4/4""";58;2;0;1;Eb6;A1;line_w_d
9.89605442177;0.0761904761905;4;4;6;1;2;0.347936507937;"""4/4""";57;2;0;1;Eb6;A1;line_w_d
9.97659863946;0.0936054421769;4;4;6;1;3;0.347936507937;"""4/4""";56;2;0;1;Eb6;A1;line_w_d
10.0745578231;0.10231292517;4;4;6;1;4;0.347936507937;"""4/4""";60;2;0;1;Eb6;A1;line_w_d
10.179047619;0.137142857143;4;1;6;2;1;0.330884353741;"""4/4""";55;2;0;1;Eb6;A1;line_w_d
10.6448979592;0.124081632653;4;4;6;3;3;0.334467120181;"""4/4""";74;2;0;1;Eb-7;A1;line_t_dlas
10.7733333333;0.0783673469388;4;4;6;3;4;0.334467120181;"""4/4""";72;2;0;1;Eb-7;A1;line_t_dlas
10.8560544218;0.0565986394558;4;3;6;4;1;0.322222222222;"""4/4""";70;2;0;1;Eb-7;A1;line_t_dlas
10.9191836735;0.10231292517;4;3;6;4;2;0.322222222222;"""4/4""";66;2;0;1;Eb-7;A1;line_t_dlas
11.0236734694;0.0892517006803;4;3;6;4;3;0.322222222222;"""4/4""";63;2;0;1;Eb-7;A1;line_t_dlas
11.1172789116;0.0500680272109;4;4;7;1;1;0.323015873016;"""4/4""";60;2;0;1;Eb-7;A1;line_t_dlas
11.1695238095;0.158911564626;4;4;7;1;2;0.323015873016;"""4/4""";62;2;0;1;Bbj7;A1;line_t_dlas
11.6266666667;0.121904761905;4;6;7;2;4;0.332131519274;"""4/4""";57;2;0;1;Bbj7;A1;line_w_a
11.7529251701;0.0631292517007;4;6;7;2;6;0.332131519274;"""4/4""";58;2;0;1;Bbj7;A1;line_w_a
11.8182312925;0.150204081633;4;6;7;3;1;0.342811791383;"""4/4""";60;2;0;1;G7;A1;line_w_a
11.9706122449;0.0500680272109;4;6;7;3;4;0.342811791383;"""4/4""";58;2;0;1;G7;A1;line_w_a
12.0206802721;0.0718367346939;4;6;7;3;5;0.342811791383;"""4/4""";57;2;0;1;G7;A1;line_w_a
12.0946938776;0.0500680272109;4;6;7;3;6;0.342811791383;"""4/4""";58;2;0;1;G7;A1;line_w_a
12.1534693878;0.0936054421769;4;3;7;4;1;0.348027210884;"""4/4""";62;2;0;1;G7;A1;line_w_a
12.2492517007;0.0936054421769;4;3;7;4;2;0.348027210884;"""4/4""";65;2;0;1;G7;A1;line_w_a
12.34430839;0.130612244898;4;3;7;4;3;0.348027210884;"""4/4""";67;2;0;1;G7;A1;line_w_a
12.4821768707;0.132789115646;4;4;8;1;1;0.331950113379;"""4/4""";72;2;0;1;C-7;A1;line_w_a
12.6214965986;0.126258503401;4;4;8;1;3;0.331950113379;"""4/4""";69;2;0;1;C-7;A1;line_w_a
12.7673469388;0.0457142857143;4;4;8;1;4;0.331950113379;"""4/4""";72;2;0;1;C-7;A1;line_w_a
12.8265306122;0.12843537415;4;2;8;2;1;0.323197278912;"""4/4""";74;2;0;1;F7;A1;line_w_a
12.9673469388;0.14693877551;4;2;8;2;2;0.323197278912;"""4/4""";77;2;0;1;F7;A1;line_w_a
14.062585034;0.178503401361;4;2;9;1;2;0.332879818594;"""4/4""";66;3;1;1;Bb;A2;lick
14.2454421769;0.132789115646;4;3;9;2;2;0.347482993197;"""4/4""";67;3;0;1;Bb;A2;lick
14.387755102;0.153741496599;4;3;9;2;3;0.347482993197;"""4/4""";75;3;0;1;Bb;A2;lick
14.5414965986;0.189387755102;4;2;9;3;1;0.340816326531;"""4/4""";77;3;0;1;G7;A2;lick
14.7439455782;0.180680272109;4;2;9;3;2;0.340816326531;"""4/4""";75;3;0;1;G7;A2;lick
14.9311564626;0.137142857143;4;3;9;4;2;0.351020408163;"""4/4""";74;3;0;1;G7;A2;lick
15.074829932;0.189387755102;4;3;9;4;3;0.351020408163;"""4/4""";72;3;0;1;G7;A2;lick
15.2729251701;0.176326530612;4;6;10;1;2;0.359183673469;"""4/4""";70;3;0;1;C-7;A2;lick
15.4536054422;0.065306122449;4;6;10;1;5;0.359183673469;"""4/4""";72;3;0;1;C-7;A2;lick
15.5254421769;0.087074829932;4;6;10;1;6;0.359183673469;"""4/4""";70;3;0;1;C-7;A2;lick
