onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.33768707483;0.13641723356;4;2;0;3;2;0.319274376417;"""4/4""";74;1;1;-1;G-7;I1;melody
5.5031292517;0.0986848072562;4;4;0;4;1;0.326712018141;"""4/4""";79;1;0;-1;G-7;I1;melody
5.65405895692;0.111746031746;4;4;0;4;3;0.326712018141;"""4/4""";74;1;0;-1;G-7;I1;melody
5.8064399093;0.120453514739;4;4;0;4;4;0.326712018141;"""4/4""";72;1;0;-1;G-7;I1;melody
5.96027210884;0.242358276644;4;2;1;1;2;0.288616780045;"""4/4""";72;1;0;1;G-7;A1;melody
6.2229478458;0.13641723356;4;4;1;2;2;0.307664399093;"""4/4""";70;1;0;1;G-7;A1;melody
6.4043537415;1.03619047619;4;4;1;2;4;0.307664399093;"""4/4""";74;1;0;1;G-7;A1;melody
7.56825396825;0.140770975057;4;2;2;2;2;0.312653061224;"""4/4""";70;1;0;1;G-7;A1;melody
7.78448979592;0.169795918367;4;2;2;3;2;0.303786848073;"""4/4""";70;1;0;1;G-7;A1;melody
7.98040816327;0.105941043084;4;3;2;4;1;0.296281179138;"""4/4""";69;1;0;1;G-7;A1;melody
8.18793650794;0.262675736961;4;3;2;4;3;0.296281179138;"""4/4""";70;1;0;1;G-7;A1;melody
8.58557823129;0.153832199546;4;1;3;2;1;0.313560090703;"""4/4""";67;1;0;1;G-7;A1;melody
8.89759637188;0.238004535147;4;4;3;3;1;0.296213151927;"""4/4""";67;1;0;1;G-7;A1;melody
9.15446712018;0.105941043084;4;4;3;3;4;0.296213151927;"""4/4""";65;1;0;1;G-7;A1;melody
9.36634920635;0.446984126984;4;2;3;4;2;0.285079365079;"""4/4""";67;1;0;1;G-7;A1;melody
10.5534693878;0.177052154195;4;2;4;4;2;0.294149659864;"""4/4""";75;2;1;1;G-7;A1;#melody
10.7769614512;0.198820861678;4;1;5;1;1;0.290249433107;"""4/4""";75;2;0;1;C-7;A1;#melody
10.9902947846;0.150929705215;4;1;5;2;1;0.275736961451;"""4/4""";77;2;0;1;C-7;A1;#melody
11.2805442177;0.853333333333;4;1;5;3;1;0.290136054422;"""4/4""";79;2;0;1;C-7;A1;#melody
12.1570975057;0.155283446712;4;2;6;2;1;0.285396825397;"""4/4""";77;2;0;1;C-7;A1;#melody
12.3457596372;0.146575963719;4;2;6;2;2;0.285396825397;"""4/4""";75;2;0;1;C-7;A1;#melody
12.5082993197;0.219138321995;4;1;6;3;1;0.303673469388;"""4/4""";74;2;0;1;C-7;A1;#melody
12.7985487528;0.130612244898;4;4;6;4;1;0.285487528345;"""4/4""";72;2;0;1;C-7;A1;#melody
13.0162358277;0.441179138322;4;4;6;4;4;0.285487528345;"""4/4""";74;2;0;1;C-7;A1;#melody
13.5401360544;0.143673469388;4;2;7;2;2;0.285238095238;"""4/4""";72;2;0;1;G-7;A1;#melody
13.7186394558;0.203174603175;4;1;7;3;1;0.305986394558;"""4/4""";72;2;0;1;G-7;A1;#melody
13.9348752834;0.0914285714286;4;4;7;4;1;0.285260770975;"""4/4""";70;2;0;1;G-7;A1;#melody
14.1598185941;0.442630385488;4;4;7;4;4;0.285260770975;"""4/4""";72;2;0;1;G-7;A1;#melody
14.7359637188;0.159637188209;4;2;8;2;2;0.306145124717;"""4/4""";70;2;0;1;G-7;A1;#melody
14.9231746032;0.207528344671;4;1;8;3;1;0.292993197279;"""4/4""";70;2;0;1;G-7;A1;#melody
15.1553741497;0.145124716553;4;1;8;4;1;0.313537414966;"""4/4""";70;2;0;1;G-7;A1;#melody
15.4543310658;1.42802721088;4;1;9;1;1;0.295056689342;"""4/4""";71;2;0;1;Eb7alt;A1;#melody
16.9287981859;0.21768707483;4;1;10;2;1;0.276439909297;"""4/4""";70;2;0;1;D7;A1;#melody
17.271292517;0.213333333333;4;1;10;3;1;0.302925170068;"""4/4""";70;2;0;1;D7;A1;#melody
17.5310657596;0.179954648526;4;4;10;4;1;0.305941043084;"""4/4""";67;2;0;1;D7;A1;#melody
17.761814059;0.0551473922902;4;4;10;4;4;0.305941043084;"""4/4""";65;2;0;1;D7;A1;#melody
17.8430839002;0.391836734694;4;1;11;1;1;0.313401360544;"""4/4""";67;2;0;1;G-7;A1;#melody
18.3263492063;0.233650793651;4;2;11;2;2;0.293900226757;"""4/4""";67;2;0;1;G-7;A1;#melody
20.3653514739;0.105941043084;4;2;13;1;2;0.313492063492;"""4/4""";67;3;1;2;G-7;A1;#melody
20.5075736961;0.159637188209;4;2;13;2;1;0.296235827664;"""4/4""";70;3;0;2;G-7;A1;#melody
20.6846258503;0.130612244898;4;2;13;2;2;0.296235827664;"""4/4""";72;3;0;2;G-7;A1;#melody
20.8544217687;0.160362811791;4;3;13;3;1;0.302879818594;"""4/4""";72;3;0;2;G-7;A1;#melody
21.0459863946;0.101587301587;4;3;13;3;3;0.302879818594;"""4/4""";74;3;0;2;G-7;A1;#melody
21.2825396825;0.978140589569;4;2;13;4;2;0.286235827664;"""4/4""";74;3;0;2;G-7;A1;#melody
22.3216326531;0.137868480726;4;2;14;4;1;0.296213151927;"""4/4""";72;3;0;2;G-7;A1;#melody
22.4885260771;0.122630385488;4;2;14;4;2;0.296213151927;"""4/4""";72;3;0;2;G-7;A1;#melody
22.6670294785;0.163990929705;4;1;15;1;1;0.312585034014;"""4/4""";72;3;0;2;G-7;A1;#melody
22.8665759637;0.0754648526077;4;4;15;2;1;0.303832199546;"""4/4""";69;3;0;2;G-7;A1;#melody
