onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.04725623583;0.06820861678;4;4;1;4;3;0.5;"""4/4""";67;1;1;1;D;A1;lick
7.14739229025;0.0798185941043;4;4;1;4;4;0.5;"""4/4""";65;1;0;1;D;A1;lick
7.28526077098;0.10612244898;4;4;2;1;1;0.51;"""4/4""";67;1;0;1;D;A1;lick
7.65532879819;0.0740136054422;4;4;2;1;4;0.51;"""4/4""";67;1;0;1;D;A1;lick
8.01088435374;0.0798185941043;4;2;2;2;2;0.49;"""4/4""";67;1;0;1;D;A1;lick
8.41578231293;0.06820861678;4;2;2;3;2;0.51;"""4/4""";67;1;0;1;D;A1;lick
8.76263038549;0.065306122449;4;4;2;4;1;0.5;"""4/4""";67;1;0;1;D;A1;lick
9.13560090703;0.0609523809524;4;4;2;4;4;0.5;"""4/4""";67;1;0;1;D;A1;lick
9.52346938776;0.0510204081633;4;2;3;1;2;0.52;"""4/4""";67;1;0;1;D;A1;lick
9.90102040816;0.0683673469388;4;1;3;2;1;0.51;"""4/4""";67;1;0;1;D;A1;lick
10.2675736961;0.0551473922902;4;1;3;3;1;0.51;"""4/4""";67;1;0;1;D;A1;lick
11.046893424;0.0580498866213;4;4;3;4;3;0.51;"""4/4""";67;2;1;1;D;A1;#lick
11.1905668934;0.06820861678;4;4;3;4;4;0.51;"""4/4""";65;2;0;1;D;A1;#lick
11.2878004535;0.0551473922902;4;3;4;1;1;0.52;"""4/4""";67;2;0;1;D;A1;#lick
11.6462585034;0.0609523809524;4;3;4;1;3;0.52;"""4/4""";67;2;0;1;D;A1;#lick
12.1034013605;0.0536961451247;4;2;4;2;2;0.51;"""4/4""";67;2;0;1;D;A1;#lick
12.4836281179;0.0493424036281;4;2;4;3;2;0.52;"""4/4""";67;2;0;1;D;A1;#lick
12.8595011338;0.0522448979592;4;4;4;4;1;0.5;"""4/4""";67;2;0;1;D;A1;#lick
13.2775510204;0.0438775510204;4;4;4;4;4;0.5;"""4/4""";67;2;0;1;D;A1;#lick
13.6112244898;0.0602040816327;4;2;5;1;2;0.51;"""4/4""";67;2;0;1;D;A1;#lick
14.0285714286;0.0459183673469;4;2;5;2;2;0.5;"""4/4""";67;2;0;1;D;A1;#lick
14.3734693878;0.0448979591837;4;1;5;3;1;0.5;"""4/4""";67;2;0;1;D;A1;#lick
15.1307029478;0.0969387755102;4;4;5;4;3;0.51;"""4/4""";68;3;1;1;D;A1;#lick
15.2714285714;0.0663265306122;4;4;5;4;4;0.51;"""4/4""";66;3;0;1;D;A1;#lick
15.3933786848;0.0522448979592;4;3;6;1;1;0.52;"""4/4""";67;3;0;1;D;A1;#lick
15.7551020408;0.0612244897959;4;3;6;1;3;0.52;"""4/4""";67;3;0;1;D;A1;#lick
16.1610884354;0.0522448979592;4;2;6;2;2;0.51;"""4/4""";67;3;0;1;D;A1;#lick
16.5616326531;0.0464399092971;4;2;6;3;2;0.5;"""4/4""";67;3;0;1;D;A1;#lick
16.9163265306;0.0612244897959;4;3;6;4;1;0.5;"""4/4""";68;3;0;1;D;A1;#lick
17.2612244898;0.0469387755102;4;3;6;4;3;0.5;"""4/4""";67;3;0;1;D;A1;#lick
17.6489795918;0.0469387755102;4;2;7;1;2;0.52;"""4/4""";67;3;0;1;D;A1;#lick
18.0651247166;0.0551473922902;4;2;7;2;2;0.5;"""4/4""";67;3;0;1;D;A1;#lick
18.4424489796;0.043537414966;4;1;7;3;1;0.51;"""4/4""";67;3;0;1;D;A1;#lick
19.1897959184;0.0734693877551;4;4;7;4;3;0.51;"""4/4""";68;4;1;1;D;A1;#lick
19.3204081633;0.0673469387755;4;4;7;4;4;0.51;"""4/4""";66;4;0;1;D;A1;#lick
19.456122449;0.0632653061224;4;4;8;1;1;0.51;"""4/4""";67;4;0;1;D;A1;#lick
19.8356462585;0.0565986394558;4;4;8;1;4;0.51;"""4/4""";66;4;0;1;D;A1;#lick
20.2289342404;0.0769160997732;4;4;8;2;3;0.51;"""4/4""";65;4;0;1;D;A1;#lick
20.3479365079;0.0580498866213;4;4;8;2;4;0.51;"""4/4""";62;4;0;1;D;A1;#lick
20.6135147392;0.0667573696145;4;2;8;3;2;0.51;"""4/4""";67;4;0;1;D;A1;#lick
20.970521542;0.11029478458;4;4;8;4;1;0.51;"""4/4""";66;4;0;1;D;A1;#lick
21.1156462585;0.0711111111111;4;4;8;4;2;0.51;"""4/4""";65;4;0;1;D;A1;#lick
21.3492970522;0.0827210884354;4;4;8;4;4;0.51;"""4/4""";62;4;0;1;D;A1;#lick
21.7734693878;0.10612244898;4;4;9;1;3;0.5;"""4/4""";65;4;0;1;D;A1;#lick
21.8959183673;0.069387755102;4;4;9;1;4;0.5;"""4/4""";66;4;0;1;D;A1;#lick
22.1642857143;0.0612244897959;4;2;9;2;2;0.5;"""4/4""";67;4;0;1;D;A1;#lick
22.5262585034;0.0885260770975;4;4;9;3;1;0.52;"""4/4""";68;4;0;1;D;A1;#lick
22.653968254;0.0616780045351;4;4;9;3;2;0.52;"""4/4""";69;4;0;1;D;A1;#lick
22.8963265306;0.0674829931973;4;4;9;3;4;0.52;"""4/4""";67;4;0;1;D;A1;#lick
23.1591836735;0.0724489795918;4;4;9;4;2;0.52;"""4/4""";66;4;0;1;D;A1;#lick
23.2775510204;0.0938775510204;4;4;9;4;3;0.52;"""4/4""";67;4;0;1;D;A1;#lick
23.4051020408;0.0775510204082;4;4;9;4;4;0.52;"""4/4""";66;4;0;1;D;A1;#lick
23.693877551;0.0683673469388;4;3;10;1;2;0.51;"""4/4""";65;4;0;1;D;A1;#lick
23.9180045351;0.0667573696145;4;3;10;1;3;0.51;"""4/4""";66;4;0;1;D;A1;#lick
24.04861678;0.100136054422;4;4;10;2;1;0.52;"""4/4""";67;4;0;1;D;A1;#lick
24.1995464853;0.0580498866213;4;4;10;2;2;0.52;"""4/4""";65;4;0;1;D;A1;#lick
24.4549659864;0.0667573696145;4;4;10;2;4;0.52;"""4/4""";66;4;0;1;D;A1;#lick
24.6770068027;0.0943310657596;4;4;10;3;2;0.51;"""4/4""";65;4;0;1;D;A1;#lick
24.789478458;0.126984126984;4;4;10;3;3;0.51;"""4/4""";62;4;0;1;D;A1;#lick
24.9498412698;0.0674829931973;4;4;10;3;4;0.51;"""4/4""";65;4;0;1;D;A1;#lick
25.2020408163;0.0795918367347;4;4;10;4;2;0.52;"""4/4""";65;4;0;1;D;A1;#lick
25.4476190476;0.0812698412698;4;4;10;4;4;0.52;"""4/4""";66;4;0;1;D;A1;#lick
25.582585034;0.0812698412698;4;4;11;1;1;0.51;"""4/4""";67;4;0;1;D;A1;#lick
25.7291609977;0.0740136054422;4;4;11;1;2;0.51;"""4/4""";65;4;0;1;D;A1;#lick
25.9663265306;0.0714285714286;4;4;11;1;4;0.51;"""4/4""";66;4;0;1;D;A1;#lick
26.2132653061;0.0826530612245;4;4;11;2;2;0.52;"""4/4""";65;4;0;1;D;A1;#lick
26.3336734694;0.1;4;4;11;2;3;0.52;"""4/4""";62;4;0;1;D;A1;#lick
26.4714285714;0.0642857142857;4;4;11;2;4;0.52;"""4/4""";65;4;0;1;D;A1;#lick
26.7489795918;0.0775510204082;4;4;11;3;2;0.52;"""4/4""";65;4;0;1;D;A1;#lick
27.0040816327;0.0520408163265;4;4;11;3;4;0.52;"""4/4""";66;4;0;1;D;A1;#lick
27.1367346939;0.10306122449;4;4;11;4;1;0.52;"""4/4""";67;4;0;1;D;A1;#lick
27.2785714286;0.0765306122449;4;4;11;4;2;0.52;"""4/4""";65;4;0;1;D;A1;#lick
27.5214285714;0.080612244898;4;4;11;4;4;0.52;"""4/4""";66;4;0;1;D;A1;#lick
27.7602040816;0.0948979591837;4;4;12;1;2;0.5;"""4/4""";65;4;0;1;D;A1;#lick
27.8734693878;0.113265306122;4;4;12;1;3;0.5;"""4/4""";62;4;0;1;D;A1;#lick
28.0;0.0704081632653;4;4;12;1;4;0.5;"""4/4""";65;4;0;1;D;A1;#lick
28.2979591837;0.0785714285714;4;4;12;2;2;0.51;"""4/4""";65;4;0;1;D;A1;#lick
28.5408163265;0.0897959183673;4;4;12;2;4;0.51;"""4/4""";66;4;0;1;D;A1;#lick
28.8051020408;0.10306122449;4;4;12;3;2;0.54;"""4/4""";67;4;0;1;D;A1;#lick
29.0641269841;0.0812698412698;4;4;12;3;4;0.54;"""4/4""";68;4;0;1;D;A1;#lick
29.1976417234;0.107392290249;4;4;12;4;1;0.48;"""4/4""";69;4;0;1;D;A1;#lick
29.431292517;0.100136054422;4;4;12;4;3;0.48;"""4/4""";67;4;0;1;D;A1;#lick
29.6097959184;0.0638548752834;4;4;12;4;4;0.48;"""4/4""";68;4;0;1;D;A1;#lick
29.8224489796;0.0969387755102;4;4;13;1;2;0.52;"""4/4""";67;4;0;1;D;A1;#lick
29.9414058957;0.103038548753;4;4;13;1;3;0.52;"""4/4""";66;4;0;1;D;A1;#lick
30.0843537415;0.0631292517007;4;4;13;1;4;0.52;"""4/4""";67;4;0;1;D;A1;#lick
30.343877551;0.101020408163;4;4;13;2;2;0.51;"""4/4""";66;4;0;1;D;A1;#lick
30.4755102041;0.0867346938776;4;4;13;2;3;0.51;"""4/4""";65;4;0;1;D;A1;#lick
30.5826530612;0.0938775510204;4;4;13;2;4;0.51;"""4/4""";66;4;0;1;D;A1;#lick
30.8602040816;0.112244897959;4;4;13;3;2;0.51;"""4/4""";65;4;0;1;D;A1;#lick
30.9870294785;0.0928571428571;4;4;13;3;3;0.51;"""4/4""";62;4;0;1;D;A1;#lick
31.1336734694;0.0724489795918;4;4;13;3;4;0.51;"""4/4""";65;4;0;1;D;A1;#lick
31.3759637188;0.0841723356009;4;4;13;4;2;0.52;"""4/4""";62;4;0;1;D;A1;#lick
31.6270294785;0.103038548753;4;4;13;4;4;0.52;"""4/4""";61;4;0;1;D;A1;#lick
31.7416780045;0.101587301587;4;4;14;1;1;0.5;"""4/4""";60;4;0;1;D;A1;#lick
31.8563265306;0.0885260770975;4;4;14;1;2;0.5;"""4/4""";61;4;0;1;D;A1;#lick
32.1030385488;0.0972335600907;4;4;14;1;4;0.5;"""4/4""";62;4;0;1;D;A1;#lick
32.3468480726;0.11029478458;4;4;14;2;2;0.51;"""4/4""";60;4;0;1;D;A1;#lick
32.5050340136;0.0812698412698;4;4;14;2;3;0.51;"""4/4""";61;4;0;1;D;A1;#lick
32.6095238095;0.0754648526077;4;4;14;2;4;0.51;"""4/4""";60;4;0;1;D;A1;#lick
32.8838095238;0.0914285714286;4;4;14;3;2;0.49;"""4/4""";62;4;0;1;D;A1;#lick
33.1232653061;0.0914285714286;4;4;14;3;4;0.49;"""4/4""";60;4;0;1;D;A1;#lick
33.2466213152;0.0943310657596;4;4;14;4;1;0.49;"""4/4""";61;4;0;1;D;A1;#lick
33.3815873016;0.0711111111111;4;4;14;4;2;0.49;"""4/4""";62;4;0;1;D;A1;#lick
33.6515192744;0.065306122449;4;4;14;4;4;0.49;"""4/4""";60;4;0;1;D;A1;#lick
33.8895238095;0.0783673469388;4;4;15;1;2;0.52;"""4/4""";61;4;0;1;D;A1;#lick
33.9954648526;0.0972335600907;4;4;15;1;3;0.52;"""4/4""";60;4;0;1;D;A1;#lick
34.1159183673;0.0856235827664;4;4;15;1;4;0.52;"""4/4""";62;4;0;1;D;A1;#lick
34.3989795918;0.069387755102;4;4;15;2;2;0.52;"""4/4""";61;4;0;1;D;A1;#lick
34.6551020408;0.0734693877551;4;4;15;2;4;0.52;"""4/4""";62;4;0;1;D;A1;#lick
34.7385034014;0.112471655329;4;4;15;3;1;0.49;"""4/4""";61;4;0;1;D;A1;#lick
34.8698412698;0.0798185941043;4;4;15;3;2;0.49;"""4/4""";60;4;0;1;D;A1;#lick
35.1357142857;0.0928571428571;4;4;15;3;4;0.49;"""4/4""";61;4;0;1;D;A1;#lick
35.3979591837;0.0744897959184;4;4;15;4;2;0.49;"""4/4""";60;4;0;1;D;A1;#lick
35.487755102;0.109183673469;4;4;15;4;3;0.49;"""4/4""";61;4;0;1;D;A1;#lick
35.6163265306;0.0816326530612;4;4;15;4;4;0.49;"""4/4""";60;4;0;1;D;A1;#lick
35.8755102041;0.0765306122449;4;4;16;1;2;0.51;"""4/4""";61;4;0;1;D;A1;#lick
36.1091836735;0.109183673469;4;4;16;1;4;0.51;"""4/4""";62;4;0;1;D;A1;#lick
36.2346938776;0.0918367346939;4;4;16;2;1;0.458911564626;"""4/4""";61;4;0;1;D;A1;#lick
36.3826530612;0.0785714285714;4;4;16;2;2;0.458911564626;"""4/4""";65;4;0;1;D;A1;#lick
36.6459183673;0.118367346939;4;4;16;2;4;0.458911564626;"""4/4""";62;4;0;1;D;A1;#lick
36.8892517007;0.0878004535147;4;4;16;3;2;0.505102040816;"""4/4""";61;4;0;1;D;A1;#lick
37.0097052154;0.114648526077;4;4;16;3;3;0.505102040816;"""4/4""";62;4;0;1;D;A1;#lick
37.1359637188;0.0790929705215;4;4;16;3;4;0.505102040816;"""4/4""";61;4;0;1;D;A1;#lick
37.3908163265;0.0938775510204;4;4;16;4;2;0.50074829932;"""4/4""";60;4;0;1;D;A1;#lick
37.6132653061;0.0989795918367;4;4;16;4;4;0.50074829932;"""4/4""";61;4;0;1;D;A1;#lick
37.7724489796;0.0724489795918;4;4;17;1;1;0.495011337868;"""4/4""";60;4;0;1;D;A1;#lick
37.856122449;0.0448979591837;4;4;17;1;2;0.495011337868;"""4/4""";59;4;0;1;D;A1;#lick
38.4346485261;0.0598639455782;4;8;17;2;5;0.479002267574;"""4/4""";60;5;1;1;D;A1;line_w
38.5019954649;0.0668480725624;4;8;17;2;6;0.479002267574;"""4/4""";61;5;0;1;D;A1;line_w
38.5823129252;0.0618594104308;4;8;17;2;7;0.479002267574;"""4/4""";62;5;0;1;D;A1;line_w
38.6506575964;0.0648526077098;4;8;17;2;8;0.479002267574;"""4/4""";65;5;0;1;D;A1;line_w
38.7244897959;0.0663492063492;4;5;17;3;1;0.498979591837;"""4/4""";61;5;0;1;D;A1;line_w
38.8157823129;0.0583673469388;4;5;17;3;2;0.498979591837;"""4/4""";62;5;0;1;D;A1;line_w
38.8841269841;0.0678458049887;4;5;17;3;3;0.498979591837;"""4/4""";65;5;0;1;D;A1;line_w
38.9942857143;0.0565986394558;4;5;17;3;4;0.498979591837;"""4/4""";66;5;0;1;D;A1;line_w
39.0682993197;0.0747392290249;4;5;17;3;5;0.498979591837;"""4/4""";65;5;0;1;D;A1;line_w
39.1759637188;0.0553741496599;4;8;17;4;1;0.497142857143;"""4/4""";61;5;0;1;D;A1;line_w
39.2358276644;0.0488888888889;4;8;17;4;2;0.497142857143;"""4/4""";62;5;0;1;D;A1;line_w
39.2897052154;0.0728344671202;4;8;17;4;3;0.497142857143;"""4/4""";65;5;0;1;D;A1;line_w
39.3730612245;0.0965079365079;4;8;17;4;4;0.497142857143;"""4/4""";62;5;0;1;D;A1;line_w
39.4840816327;0.0515192743764;4;8;17;4;6;0.497142857143;"""4/4""";60;5;0;1;D;A1;line_w
39.5421315193;0.0885260770975;4;8;17;4;7;0.497142857143;"""4/4""";61;5;0;1;D;A1;line_w
39.6489795918;0.144897959184;4;8;17;4;8;0.497142857143;"""4/4""";60;5;0;1;D;A1;line_w
39.8193877551;0.435714285714;4;2;18;1;2;0.476757369615;"""4/4""";62;5;0;1;D;A1;line_w
40.2814512472;0.0583673469388;4;8;18;2;3;0.509433106576;"""4/4""";60;5;0;1;D;A1;line_w
40.3482993197;0.0638548752834;4;8;18;2;4;0.509433106576;"""4/4""";61;5;0;1;D;A1;line_w
40.4246258503;0.0478911564626;4;8;18;2;5;0.509433106576;"""4/4""";62;5;0;1;D;A1;line_w
40.4809977324;0.0598639455782;4;8;18;2;6;0.509433106576;"""4/4""";65;5;0;1;D;A1;line_w
40.5563265306;0.0513832199546;4;8;18;2;7;0.509433106576;"""4/4""";60;5;0;1;D;A1;line_w
40.6167800454;0.0471655328798;4;8;18;2;8;0.509433106576;"""4/4""";62;5;0;1;D;A1;line_w
40.6762811791;0.0391836734694;4;1;18;3;1;0.52074829932;"""4/4""";63;5;0;1;D;A1;line_w
41.8808163265;0.0573242630385;4;6;19;1;3;0.45612244898;"""4/4""";60;6;1;1;D;A1;line_w
41.9432199546;0.0507936507937;4;6;19;1;4;0.45612244898;"""4/4""";61;6;0;1;D;A1;line_w
41.9983673469;0.0972335600907;4;6;19;1;5;0.45612244898;"""4/4""";62;6;0;1;D;A1;line_w
42.1038095238;0.062358276644;4;6;19;1;6;0.45612244898;"""4/4""";60;6;0;1;D;A1;line_w
42.1711564626;0.0588662131519;4;7;19;2;1;0.49;"""4/4""";61;6;0;1;D;A1;line_w
42.2375056689;0.055873015873;4;7;19;2;2;0.49;"""4/4""";62;6;0;1;D;A1;line_w
42.2995011338;0.0613605442177;4;7;19;2;3;0.49;"""4/4""";65;6;0;1;D;A1;line_w
42.3731972789;0.0703401360544;4;7;19;2;4;0.49;"""4/4""";61;6;0;1;D;A1;line_w
42.4485260771;0.0578684807256;4;7;19;2;5;0.49;"""4/4""";62;6;0;1;D;A1;line_w
42.5110204082;0.0533333333333;4;7;19;2;6;0.49;"""4/4""";65;6;0;1;D;A1;line_w
42.5697959184;0.0671201814059;4;7;19;2;7;0.49;"""4/4""";61;6;0;1;D;A1;line_w
42.6465759637;0.0628571428571;4;4;19;3;1;0.51;"""4/4""";62;6;0;1;D;A1;line_w
42.7203628118;0.513741496599;4;4;19;3;2;0.51;"""4/4""";65;6;0;1;D;A1;line_w
43.2645804989;0.0863492063492;4;5;19;4;2;0.5;"""4/4""";62;6;0;1;D;A1;line_w
43.3596371882;0.0769160997732;4;5;19;4;3;0.5;"""4/4""";61;6;0;1;D;A1;line_w
43.4612244898;0.0761904761905;4;5;19;4;4;0.5;"""4/4""";65;6;0;1;D;A1;line_w
43.5642630385;0.0747392290249;4;5;19;4;5;0.5;"""4/4""";60;6;0;1;D;A1;line_w
43.6484353741;0.0565986394558;4;6;20;1;1;0.5;"""4/4""";61;6;0;1;D;A1;line_w
43.7173696145;0.0689342403628;4;6;20;1;2;0.5;"""4/4""";62;6;0;1;D;A1;line_w
43.7935600907;0.0602267573696;4;6;20;1;3;0.5;"""4/4""";65;6;0;1;D;A1;line_w
43.8613151927;0.0982766439909;4;6;20;1;4;0.5;"""4/4""";62;6;0;1;D;A1;line_w
43.983537415;0.0753287981859;4;6;20;1;5;0.5;"""4/4""";65;6;0;1;D;A1;line_w
44.0638548753;0.0748299319728;4;6;20;1;6;0.5;"""4/4""";67;6;0;1;D;A1;line_w
44.1448979592;0.0622448979592;4;8;20;2;1;0.51;"""4/4""";65;6;0;1;D;A1;line_w
