onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.5958276644;0.139319727891;4;6;0;3;2;1.25199546485;"""4/4""";53;1;1;-1;NC;I1;lick
7.76562358277;0.203174603175;4;6;0;3;3;1.25199546485;"""4/4""";55;1;0;-1;NC;I1;lick
7.99795918367;0.0510204081633;4;6;0;3;4;1.25199546485;"""4/4""";56;1;0;-1;NC;I1;lick
8.05816326531;0.259183673469;4;6;0;3;5;1.25199546485;"""4/4""";57;1;0;-1;NC;I1;lick
8.33596371882;0.246712018141;4;6;0;3;6;1.25199546485;"""4/4""";60;1;0;-1;NC;I1;lick
8.59718820862;0.371519274376;4;6;0;4;1;1.21024943311;"""4/4""";62;1;0;-1;NC;I1;lick
9.01514739229;0.133514739229;4;6;0;4;3;1.21024943311;"""4/4""";65;1;0;-1;NC;I1;lick
9.23573696145;0.0551473922902;4;6;0;4;4;1.21024943311;"""4/4""";68;1;0;-1;NC;I1;lick
9.30829931973;0.278639455782;4;6;0;4;5;1.21024943311;"""4/4""";69;1;0;-1;NC;I1;lick
9.60145124717;0.21768707483;4;6;0;4;6;1.21024943311;"""4/4""";72;1;0;-1;NC;I1;lick
9.82494331066;0.954920634921;4;4;1;1;1;1.22510204082;"""4/4""";71;1;0;1;D-;A1;lick
10.8466213152;0.174149659864;4;4;1;1;4;1.22510204082;"""4/4""";67;1;0;1;D-;A1;lick
11.029478458;0.121904761905;4;4;1;2;1;1.14401360544;"""4/4""";71;1;0;1;D-;A1;lick
11.1717006803;0.156734693878;4;4;1;2;2;1.14401360544;"""4/4""";67;1;0;1;D-;A1;lick
11.9800453515;0.20462585034;4;4;1;2;4;1.14401360544;"""4/4""";67;2;1;1;D-;A1;#lick
12.1977324263;0.0841723356009;4;9;1;3;1;1.26002267574;"""4/4""";69;2;0;1;D-j7;A1;#lick
12.3167346939;0.267029478458;4;9;1;3;2;1.26002267574;"""4/4""";71;2;0;1;D-j7;A1;#lick
12.6011791383;0.145124716553;4;9;1;3;4;1.26002267574;"""4/4""";67;2;0;1;D-j7;A1;#lick
12.7709750567;0.0565986394558;4;9;1;3;5;1.26002267574;"""4/4""";69;2;0;1;D-j7;A1;#lick
12.8304761905;0.177052154195;4;9;1;3;6;1.26002267574;"""4/4""";71;2;0;1;D-j7;A1;#lick
13.0118820862;0.142222222222;4;9;1;3;7;1.26002267574;"""4/4""";67;2;0;1;D-j7;A1;#lick
13.1787755102;0.0885260770975;4;9;1;3;8;1.26002267574;"""4/4""";69;2;0;1;D-j7;A1;#lick
13.290521542;0.174149659864;4;9;1;3;9;1.26002267574;"""4/4""";71;2;0;1;D-j7;A1;#lick
14.3760544218;0.142222222222;4;4;1;4;4;1.12383219955;"""4/4""";67;3;1;1;D-j7;A1;#lick
14.5777777778;0.0536961451247;4;6;2;1;1;1.17034013605;"""4/4""";69;3;0;1;D-7;A1;#lick
14.6604988662;0.304761904762;4;6;2;1;2;1.17034013605;"""4/4""";71;3;0;1;D-7;A1;#lick
14.973968254;0.148027210884;4;6;2;1;3;1.17034013605;"""4/4""";67;3;0;1;D-7;A1;#lick
15.1292517007;0.404897959184;4;6;2;1;4;1.17034013605;"""4/4""";72;3;0;1;D-7;A1;#lick
15.5588208617;0.171247165533;4;6;2;1;6;1.17034013605;"""4/4""";74;3;0;1;D-7;A1;#lick
15.7358730159;0.105941043084;4;6;2;2;1;1.16904761905;"""4/4""";69;3;0;1;D-7;A1;#lick
15.850521542;0.0754648526077;4;6;2;2;2;1.16904761905;"""4/4""";71;3;0;1;D-7;A1;#lick
15.9463038549;0.139319727891;4;6;2;2;3;1.16904761905;"""4/4""";67;3;0;1;D-7;A1;#lick
16.8936054422;0.105759637188;4;6;2;3;1;1.18260770975;"""4/4""";70;4;1;1;D-7;A1;#lick
17.0028117914;0.342494331066;4;6;2;3;2;1.18260770975;"""4/4""";72;4;0;1;D-6;A1;#lick
17.3685260771;0.140770975057;4;6;2;3;3;1.18260770975;"""4/4""";68;4;0;1;D-6;A1;#lick
17.5325170068;0.161088435374;4;6;2;3;4;1.18260770975;"""4/4""";73;4;0;1;D-6;A1;#lick
17.726984127;0.185759637188;4;6;2;3;5;1.18260770975;"""4/4""";75;4;0;1;D-6;A1;#lick
17.9838548753;0.203174603175;4;6;2;3;6;1.18260770975;"""4/4""";72;4;0;1;D-6;A1;#lick
18.5693877551;0.182857142857;4;6;2;4;3;1.20170068027;"""4/4""";68;5;1;1;D-6;A1;lick
