onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.80517006803;0.158185941043;4;2;2;1;2;0.307664399093;"""4/4""";69;1;1;1;D-6;A1;melody
3.98947845805;0.224943310658;4;2;2;2;2;0.304761904762;"""4/4""";67;1;0;1;D-6;A1;melody
4.23764172336;0.255419501134;4;1;2;3;1;0.325079365079;"""4/4""";67;1;0;1;D-6;A1;melody
5.06630385488;0.14947845805;4;4;3;1;4;0.319183673469;"""4/4""";69;2;1;1;Eb7;A1;#melody
5.23609977324;0.236553287982;4;2;3;2;2;0.316462585034;"""4/4""";65;2;0;1;Eb7;A1;#melody
5.5031292517;0.806893424036;4;1;3;3;1;0.325079365079;"""4/4""";65;2;0;1;Eb7;A1;#melody
6.34485260771;0.121904761905;4;4;4;1;4;0.307664399093;"""4/4""";62;2;0;1;D-6;A1;#melody
6.47546485261;0.06820861678;4;4;4;2;2;0.306984126984;"""4/4""";64;2;0;1;D-6;A1;#melody
6.54693877551;0.0449886621315;4;4;4;2;3;0.306984126984;"""4/4""";65;2;0;1;D-6;A1;#melody
6.59446712018;0.0740136054422;4;4;4;2;4;0.306984126984;"""4/4""";64;2;0;1;D-6;A1;#melody
6.67428571429;0.158911564626;4;2;4;3;1;0.314149659864;"""4/4""";61;2;0;1;D-6;A1;#melody
6.84408163265;0.711111111111;4;2;4;3;2;0.314149659864;"""4/4""";59;2;0;1;D-6;A1;#melody
7.5580952381;0.107392290249;4;2;5;1;2;0.310158730159;"""4/4""";60;2;0;1;Eb7;A1;#melody
8.16530612245;0.128571428571;4;2;5;3;2;0.30612244898;"""4/4""";65;3;1;1;Eb7;A1;lick
8.29532879819;0.133514739229;4;2;5;4;1;0.297959183673;"""4/4""";67;3;0;1;Eb7;A1;lick
8.46530612245;0.157142857143;4;2;5;4;2;0.297959183673;"""4/4""";70;3;0;1;Eb7;A1;lick
8.63469387755;0.397959183673;4;1;6;1;1;0.330612244898;"""4/4""";69;3;0;1;D-6;A1;lick
9.26476190476;0.146575963719;4;2;6;3;1;0.301859410431;"""4/4""";76;4;1;1;D-6;A1;lick
9.41278911565;0.130612244898;4;2;6;3;2;0.301859410431;"""4/4""";77;4;0;1;D-6;A1;lick
9.57242630385;0.0754648526077;4;4;6;4;2;0.302267573696;"""4/4""";77;4;0;1;D-6;A1;lick
9.65514739229;0.0696598639456;4;4;6;4;3;0.302267573696;"""4/4""";76;4;0;1;D-6;A1;lick
9.73979591837;0.125510204082;4;4;6;4;4;0.302267573696;"""4/4""";74;4;0;1;D-6;A1;lick
9.88734693878;0.172448979592;4;4;7;1;2;0.330612244898;"""4/4""";73;4;0;1;Em7b5;A1;lick
10.0738321995;0.12843537415;4;4;7;1;4;0.330612244898;"""4/4""";64;4;0;1;Em7b5;A1;lick
10.2022675737;0.13641723356;4;2;7;2;1;0.312244897959;"""4/4""";63;4;0;1;Em7b5;A1;lick
10.3591836735;0.154081632653;4;2;7;2;2;0.312244897959;"""4/4""";69;4;0;1;Em7b5;A1;lick
10.5204081633;0.0683673469388;4;4;7;3;2;0.318367346939;"""4/4""";70;4;0;1;A7;A1;lick
10.5969387755;0.0734693877551;4;4;7;3;3;0.318367346939;"""4/4""";69;4;0;1;A7;A1;lick
10.6908163265;0.114285714286;4;4;7;3;4;0.318367346939;"""4/4""";69;4;0;1;A7;A1;lick
10.8214285714;0.147959183673;4;2;7;4;1;0.314285714286;"""4/4""";68;4;0;1;A7;A1;lick
10.987755102;0.108163265306;4;2;7;4;2;0.314285714286;"""4/4""";69;4;0;1;A7;A1;lick
11.1310657596;0.16253968254;4;2;8;1;1;0.314648526077;"""4/4""";65;4;0;1;D-6;A1;lick
11.3110204082;0.113197278912;4;2;8;1;2;0.314648526077;"""4/4""";62;4;0;1;D-6;A1;lick
12.5428571429;0.126530612245;4;2;9;1;2;0.321156462585;"""4/4""";70;5;1;1;Eb7;A2;melody
12.7;0.140816326531;4;2;9;2;1;0.305714285714;"""4/4""";75;5;0;1;Eb7;A2;melody
12.8489795918;0.144897959184;4;2;9;2;2;0.305714285714;"""4/4""";77;5;0;1;Eb7;A2;melody
13.0163265306;0.134693877551;4;2;9;3;1;0.328321995465;"""4/4""";79;5;0;1;Eb7;A2;melody
13.1693877551;0.142857142857;4;2;9;3;2;0.328321995465;"""4/4""";81;5;0;1;Eb7;A2;melody
13.3326530612;0.142857142857;4;2;9;4;1;0.303854875283;"""4/4""";82;5;0;1;Eb7;A2;melody
13.4836734694;0.216326530612;4;2;9;4;2;0.303854875283;"""4/4""";80;5;0;1;Eb7;A2;melody
