onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.54285714286;0.0469387755102;4;6;1;1;5;0.399047619048;"""4/4""";73;1;1;1;D7;A1;rhythm_mi
4.61020408163;0.134693877551;4;6;1;1;6;0.399047619048;"""4/4""";74;1;0;1;D7;A1;rhythm_mi
4.86530612245;0.0489795918367;4;4;1;2;3;0.427256235828;"""4/4""";73;1;0;1;D7;A1;rhythm_mi
4.93673469388;0.151020408163;4;4;1;2;4;0.427256235828;"""4/4""";74;1;0;1;D7;A1;rhythm_mi
5.18979591837;0.0571428571429;4;6;1;3;3;0.441836734694;"""4/4""";73;1;0;1;G7;A1;rhythm_mi
5.25510204082;0.136734693878;4;6;1;3;4;0.441836734694;"""4/4""";74;1;0;1;G7;A1;rhythm_mi
5.47755102041;0.0591836734694;4;6;1;3;6;0.441836734694;"""4/4""";73;1;0;1;G7;A1;rhythm_mi
5.54897959184;0.161224489796;4;4;1;4;1;0.437346938776;"""4/4""";74;1;0;1;G7;A1;rhythm_mi
5.78979591837;0.065306122449;4;4;1;4;3;0.437346938776;"""4/4""";72;1;0;1;G7;A1;rhythm_mi
5.8693877551;0.140816326531;4;4;1;4;4;0.437346938776;"""4/4""";74;1;0;1;G7;A1;rhythm_mi
6.13265306122;0.124489795918;4;4;2;1;3;0.422063492063;"""4/4""";74;1;0;1;C-6;A1;~lick
6.31224489796;0.142857142857;4;4;2;1;4;0.422063492063;"""4/4""";77;1;0;1;C-6;A1;~lick
6.48367346939;0.232653061224;4;4;2;2;2;0.441587301587;"""4/4""";75;1;0;1;C-6;A1;~lick
6.74285714286;0.302040816327;4;4;2;2;4;0.441587301587;"""4/4""";72;1;0;1;C-6;A1;~lick
7.15510204082;0.142857142857;4;4;2;3;4;0.437346938776;"""4/4""";67;1;0;1;C-6;A1;lick
7.35306122449;0.148979591837;4;4;2;4;2;0.430952380952;"""4/4""";63;1;0;1;C-6;A1;lick
7.55102040816;0.136734693878;4;4;2;4;4;0.430952380952;"""4/4""";60;1;0;1;C-6;A1;lick
7.74489795918;0.171428571429;4;1;3;1;1;0.457324263039;"""4/4""";65;1;0;1;F7;A1;lick
8.44489795918;0.136734693878;4;2;3;2;2;0.431723356009;"""4/4""";67;2;1;1;F7;A1;lick
8.61224489796;0.191836734694;4;2;3;3;1;0.447324263039;"""4/4""";68;2;0;1;Bb7;A1;lick
