onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
8.93968253968;0.278639455782;4;4;0;3;4;0.595056689342;"""4/4""";51;1;1;-1;NC;I1;*theme:t1-2
9.21832199546;0.290249433107;4;3;0;4;2;0.77201814059;"""4/4""";51;1;0;-1;NC;I1;*theme:t1-2
9.50857142857;0.371519274376;4;3;0;4;3;0.77201814059;"""4/4""";51;1;0;-1;NC;I1;*theme:t1-2
10.5824943311;0.19156462585;4;4;1;2;2;0.675464852608;"""4/4""";51;2;1;1;Eb-;A1;*theme:t1-2
10.8088888889;0.145102040816;4;4;1;2;3;0.675464852608;"""4/4""";53;2;0;1;Eb-;A1;*theme:t1-2
10.9539909297;0.197369614512;4;4;1;2;4;0.675464852608;"""4/4""";54;2;0;1;Eb-;A1;*theme:t1-2
11.1755102041;0.0285714285714;4;6;1;3;1;0.590725623583;"""4/4""";53;2;0;1;D+7;A1;*theme:t1-2
11.2081632653;0.0285714285714;4;6;1;3;2;0.590725623583;"""4/4""";54;2;0;1;D+7;A1;*theme:t1-2
11.2734693878;0.771428571429;4;6;1;3;3;0.590725623583;"""4/4""";53;2;0;1;D+7;A1;*theme:t1-2
12.2285714286;0.182857142857;4;4;1;4;4;0.645170068027;"""4/4""";51;2;0;1;D+7;A1;*theme:t1-2
12.5909977324;0.348299319728;4;4;2;1;2;0.690068027211;"""4/4""";58;2;0;1;Eb-7;A1;*theme:t1-2
12.9451020408;0.284444444444;4;4;2;1;4;0.690068027211;"""4/4""";58;2;0;1;Eb-7;A1;*theme:t1-2
13.2702040816;0.499229024943;4;2;2;2;2;0.66485260771;"""4/4""";58;2;0;1;Eb-7;A1;*theme:t1-2
14.4775963719;0.174149659864;4;4;2;4;2;0.620045351474;"""4/4""";50;3;1;1;D7;A1;lick
14.6575963719;0.177052154195;4;4;2;4;3;0.620045351474;"""4/4""";57;3;0;1;D7;A1;lick
14.8346485261;0.173514739229;4;4;2;4;4;0.620045351474;"""4/4""";50;3;0;1;D7;A1;lick
15.0081632653;0.167346938776;4;2;3;1;1;0.709501133787;"""4/4""";56;3;0;1;Dbj7;A1;lick
15.2530612245;0.278639455782;4;2;3;1;2;0.709501133787;"""4/4""";49;3;0;1;Dbj7;A1;lick
16.3294104308;0.174149659864;4;3;3;3;1;0.58537414966;"""4/4""";58;4;1;1;Eb-7;A1;*theme:t3-4
16.5151927438;0.156734693878;4;3;3;3;2;0.58537414966;"""4/4""";56;4;0;1;Eb-7;A1;*theme:t3-4
16.6892970522;0.452789115646;4;3;3;3;3;0.58537414966;"""4/4""";53;4;0;1;Eb-7;A1;*theme:t3-4
17.1536961451;0.255419501134;4;3;3;4;2;0.635351473923;"""4/4""";56;4;0;1;Eb-7;A1;*theme:t3-4
17.4265986395;0.127709750567;4;3;3;4;3;0.635351473923;"""4/4""";58;4;0;1;Eb-7;A1;*theme:t3-4
17.5890929705;0.166009070295;4;3;4;1;1;0.656031746032;"""4/4""";60;4;0;1;F-7;A1;*theme:t3-4
17.7551020408;0.840816326531;4;3;4;1;2;0.656031746032;"""4/4""";63;4;0;1;F-7;A1;*theme:t3-4
18.6921088435;0.191496598639;4;4;4;2;4;0.645170068027;"""4/4""";61;4;0;1;F-7;A1;*theme:t3-4
18.9020408163;0.673469387755;4;1;4;3;1;0.655034013605;"""4/4""";60;4;0;1;Eo;A1;*theme:t3-4
19.6081632653;0.0367346938776;4;6;4;4;2;0.625578231293;"""4/4""";61;4;0;1;Eo;A1;*theme:t3-4
19.6653061224;0.0612244897959;4;6;4;4;3;0.625578231293;"""4/4""";62;4;0;1;Eo;A1;*theme:t3-4
19.7632653061;0.273469387755;4;6;4;4;4;0.625578231293;"""4/4""";63;4;0;1;Eo;A1;*theme:t3-4
20.1142857143;0.669387755102;4;1;5;1;1;0.645215419501;"""4/4""";58;4;0;1;Eo;A1;*theme:t3-4
21.48430839;0.179070294785;4;9;5;3;2;0.645238095238;"""4/4""";58;5;1;1;Eb-7;A1;*theme:t5-6
21.6633786848;0.0298185941043;4;9;5;3;4;0.645238095238;"""4/4""";58;5;0;1;Eb-7;A1;*theme:t5-6
21.6931972789;0.127709750567;4;9;5;3;5;0.645238095238;"""4/4""";60;5;0;1;Eb-7;A1;*theme:t5-6
21.8209977324;0.116009070295;4;9;5;3;7;0.645238095238;"""4/4""";61;5;0;1;Eb-7;A1;*theme:t5-6
22.0241043084;0.203174603175;4;9;5;3;9;0.645238095238;"""4/4""";61;5;0;1;Eb-7;A1;*theme:t5-6
22.2367346939;0.0408163265306;4;5;5;4;2;0.610249433107;"""4/4""";58;5;0;1;Eb-7;A1;*theme:t5-6
22.2857142857;0.045873015873;4;5;5;4;3;0.610249433107;"""4/4""";61;5;0;1;Eb-7;A1;*theme:t5-6
22.3469387755;0.0938775510204;4;5;5;4;4;0.610249433107;"""4/4""";58;5;0;1;Eb-7;A1;*theme:t5-6
22.5639909297;0.168344671202;4;5;5;4;5;0.610249433107;"""4/4""";54;5;0;1;Eb-7;A1;*theme:t5-6
22.7557596372;0.0851700680272;4;2;6;1;1;0.630022675737;"""4/4""";51;5;0;1;Cm7b5;A1;*theme:t5-6
22.9224489796;0.840816326531;4;2;6;1;2;0.630022675737;"""4/4""";53;5;0;1;Cm7b5;A1;*theme:t5-6
23.913106576;0.175328798186;4;6;6;3;1;0.655102040816;"""4/4""";48;6;1;1;B7;A1;*theme:t5-6
24.1306122449;0.0857142857143;4;6;6;3;3;0.655102040816;"""4/4""";51;6;0;1;B7;A1;*theme:t5-6
24.2367346939;0.116258503401;4;6;6;3;4;0.655102040816;"""4/4""";53;6;0;1;B7;A1;*theme:t5-6
24.3632653061;0.123015873016;4;6;6;3;5;0.655102040816;"""4/4""";57;6;0;1;B7;A1;*theme:t5-6
24.5029024943;0.17022675737;4;6;6;3;6;0.655102040816;"""4/4""";60;6;0;1;B7;A1;*theme:t5-6
24.6816326531;0.395918367347;4;1;6;4;1;0.671133786848;"""4/4""";51;6;0;1;B7;A1;*theme:t5-6
25.9265306122;0.114285714286;4;8;7;2;2;0.668911564626;"""4/4""";49;7;1;1;Bb-7;A1;*theme:t7-8
26.0875963719;0.139297052154;4;8;7;2;4;0.668911564626;"""4/4""";51;7;0;1;Bb-7;A1;*theme:t7-8
26.226893424;0.185759637188;4;8;7;2;6;0.668911564626;"""4/4""";53;7;0;1;Bb-7;A1;*theme:t7-8
26.4648979592;0.208979591837;4;8;7;2;8;0.668911564626;"""4/4""";56;7;0;1;Bb-7;A1;*theme:t7-8
26.6816326531;0.383673469388;4;1;7;3;1;0.651587301587;"""4/4""";54;7;0;1;Eb-7;A1;*theme:t7-8
27.1963945578;0.168344671202;4;4;7;4;1;0.677324263039;"""4/4""";49;7;0;1;Ab7;A1;*theme:t7-8
27.3673469388;0.0857142857143;4;4;7;4;2;0.677324263039;"""4/4""";52;7;0;1;Ab7;A1;*theme:t7-8
27.4816326531;0.114285714286;4;4;7;4;3;0.677324263039;"""4/4""";53;7;0;1;Ab7;A1;*theme:t7-8
27.658707483;0.150929705215;4;4;7;4;4;0.677324263039;"""4/4""";56;7;0;1;Ab7;A1;*theme:t7-8
27.8200907029;0.603718820862;4;1;8;1;1;0.573106575964;"""4/4""";49;7;0;1;Ab7;A1;*theme:t7-8
28.4448979592;0.214784580499;4;3;8;2;1;0.648684807256;"""4/4""";51;7;0;1;Dbj7;A1;~#+lick
28.6804081633;0.122131519274;4;3;8;2;2;0.648684807256;"""4/4""";53;7;0;1;Dbj7;A1;~#+lick
28.8025396825;0.243560090703;4;3;8;2;3;0.648684807256;"""4/4""";56;7;0;1;Dbj7;A1;~#+lick
29.0460997732;0.0995238095238;4;4;8;3;1;0.706213151927;"""4/4""";59;7;0;1;Dbj7;A1;~#+lick
