onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.0693877551;0.220408163265;4;1;0;2;1;0.443718820862;"""4/4""";63;1;1;-1;NC;I1;lick
4.55918367347;0.228571428571;4;1;0;3;1;0.497437641723;"""4/4""";67;1;0;-1;NC;I1;lick
4.94285714286;0.195918367347;4;2;0;4;1;0.481995464853;"""4/4""";68;1;0;-1;NC;I1;lick
5.20408163265;0.163265306122;4;2;0;4;2;0.481995464853;"""4/4""";66;1;0;-1;NC;I1;lick
5.42857142857;0.175510204082;4;2;1;1;1;0.44052154195;"""4/4""";67;1;0;1;Eb;A1;lick
5.65306122449;0.167346938776;4;2;1;1;2;0.44052154195;"""4/4""";63;1;0;1;Eb;A1;lick
5.87346938776;0.216326530612;4;1;1;2;1;0.450566893424;"""4/4""";60;1;0;1;Eb;A1;lick
6.38367346939;0.355102040816;4;1;1;3;1;0.46693877551;"""4/4""";60;1;0;1;Eb;A1;lick
7.00408163265;0.273469387755;4;2;1;4;2;0.47462585034;"""4/4""";66;2;1;1;Eb;A1;#lick
7.48775510204;0.461224489796;4;2;2;1;2;0.414557823129;"""4/4""";63;2;0;1;Eb;A1;#lick
8.1306122449;0.202040816327;4;2;2;3;1;0.468866213152;"""4/4""";65;2;0;1;Eb;A1;#lick
8.38571428571;0.132653061224;4;2;2;3;2;0.468866213152;"""4/4""";63;2;0;1;Eb;A1;#lick
8.58775510204;0.214285714286;4;6;2;4;1;0.476485260771;"""4/4""";60;2;0;1;Eb;A1;#lick
8.99795918367;0.416326530612;4;6;2;4;6;0.476485260771;"""4/4""";60;2;0;1;Eb;A1;#lick
11.0510204082;0.0591836734694;4;6;4;1;4;0.471428571429;"""4/4""";66;3;1;1;C7;A1;lick
11.1204081633;0.0755102040816;4;6;4;1;5;0.471428571429;"""4/4""";67;3;0;1;C7;A1;lick
11.2102040816;0.230612244898;4;6;4;1;6;0.471428571429;"""4/4""";68;3;0;1;C7;A1;lick
11.4693877551;0.159183673469;4;4;4;2;3;0.436213151927;"""4/4""";66;3;0;1;C7;A1;lick
11.6469387755;0.226530612245;4;4;4;2;4;0.436213151927;"""4/4""";67;3;0;1;C7;A1;lick
11.906122449;0.175510204082;4;6;4;3;4;0.456167800454;"""4/4""";63;3;0;1;C7;A1;lick
12.1163265306;0.179591836735;4;6;4;3;6;0.456167800454;"""4/4""";60;3;0;1;C7;A1;lick
12.5693877551;0.104081632653;4;4;5;1;1;0.437052154195;"""4/4""";63;3;0;1;C7;A1;~lick
12.6979591837;0.0428571428571;4;4;5;1;2;0.437052154195;"""4/4""";65;3;0;1;F7;A1;~lick
12.7632653061;0.0673469387755;4;4;5;1;3;0.437052154195;"""4/4""";63;3;0;1;F7;A1;~lick
12.8591836735;0.110204081633;4;4;5;1;4;0.437052154195;"""4/4""";60;3;0;1;F7;A1;~lick
13.0367346939;0.124489795918;4;1;5;2;1;0.472176870748;"""4/4""";55;3;0;1;F7;A1;~lick
13.4693877551;0.410204081633;4;1;5;3;1;0.423718820862;"""4/4""";60;3;0;1;F7;A1;~lick
13.8979591837;0.210204081633;4;2;5;4;1;0.440816326531;"""4/4""";63;3;0;1;F7;A1;~lick
14.1489795918;0.173469387755;4;2;5;4;2;0.440816326531;"""4/4""";67;3;0;1;F7;A1;~lick
14.3693877551;0.2;4;2;6;1;1;0.451292517007;"""4/4""";63;3;0;1;Bb7;A1;~lick
14.6265306122;0.148979591837;4;2;6;1;2;0.451292517007;"""4/4""";60;3;0;1;Bb7;A1;~lick
14.8204081633;0.157142857143;4;2;6;2;1;0.443854875283;"""4/4""";55;3;0;1;Bb7;A1;~lick
15.0591836735;0.14693877551;4;2;6;2;2;0.443854875283;"""4/4""";59;3;0;1;Bb7;A1;~lick
15.2489795918;0.451020408163;4;1;6;3;1;0.447709750567;"""4/4""";67;3;0;1;Bb7;A1;~lick
16.5673469388;0.2;4;2;7;2;1;0.441156462585;"""4/4""";65;4;1;1;G-7;A1;line_w
16.7816326531;0.189795918367;4;2;7;2;2;0.441156462585;"""4/4""";63;4;0;1;G-7;A1;line_w
16.993877551;0.216326530612;4;2;7;3;1;0.421609977324;"""4/4""";62;4;0;1;G-7;A1;line_w
17.2582312925;0.290249433107;4;2;7;3;2;0.421609977324;"""4/4""";60;4;0;1;Gb7;A1;line_w
17.5717006803;0.145124716553;4;4;7;4;2;0.449319727891;"""4/4""";56;4;0;1;Gb7;A1;line_w
17.7734693878;0.114285714286;4;4;7;4;4;0.449319727891;"""4/4""";58;4;0;1;Gb7;A1;line_w
17.9142857143;0.236734693878;4;2;8;1;1;0.458458049887;"""4/4""";60;4;0;1;F-7;A1;line_w
18.1510204082;0.177551020408;4;2;8;1;2;0.458458049887;"""4/4""";62;4;0;1;F-7;A1;line_w
18.3428571429;0.197959183673;4;2;8;2;1;0.44335600907;"""4/4""";63;4;0;1;F-7;A1;line_w
18.6;0.148979591837;4;2;8;2;2;0.44335600907;"""4/4""";60;4;0;1;F-7;A1;line_w
18.7959183673;0.0795918367347;4;4;8;3;1;0.426077097506;"""4/4""";62;4;0;1;Bb7;A1;line_w
18.893877551;0.0387755102041;4;4;8;3;2;0.426077097506;"""4/4""";63;4;0;1;Bb7;A1;line_w
18.9612244898;0.0571428571429;4;4;8;3;3;0.426077097506;"""4/4""";62;4;0;1;Bb7;A1;line_w
19.0632653061;0.136734693878;4;4;8;3;4;0.426077097506;"""4/4""";60;4;0;1;Bb7;A1;line_w
19.2428571429;0.224489795918;4;2;8;4;1;0.447278911565;"""4/4""";58;4;0;1;Bb7;A1;line_w
19.5102040816;0.175510204082;4;2;8;4;2;0.447278911565;"""4/4""";56;4;0;1;Bb7;A1;line_w
19.7224489796;0.212244897959;4;2;9;1;1;0.483968253968;"""4/4""";55;4;0;1;Eb;A2;line_w
19.9673469388;0.171428571429;4;2;9;1;2;0.483968253968;"""4/4""";58;4;0;1;Eb;A2;line_w
20.1836734694;0.218367346939;4;2;9;2;1;0.452630385488;"""4/4""";60;4;0;1;Eb;A2;line_w
20.4510204082;0.55306122449;4;2;9;2;2;0.452630385488;"""4/4""";63;4;0;1;Eb;A2;line_w
21.045260771;0.144399092971;4;2;9;4;1;0.441859410431;"""4/4""";65;4;0;1;Eb;A2;line_w
21.2070748299;0.122448979592;4;2;9;4;2;0.441859410431;"""4/4""";67;4;0;1;Eb;A2;line_w
23.0979591837;0.169387755102;4;2;10;4;2;0.454081632653;"""4/4""";67;5;1;1;Eb;A2;line_w
23.2959183673;0.218367346939;4;2;11;1;1;0.464988662132;"""4/4""";70;5;0;1;Eb;A2;line_w
23.5387755102;0.191836734694;4;2;11;1;2;0.464988662132;"""4/4""";68;5;0;1;Eb;A2;line_w
23.7510204082;0.216326530612;4;2;11;2;1;0.452517006803;"""4/4""";67;5;0;1;Eb;A2;line_w
