onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
8.75102040816;0.122448979592;4;8;0;4;3;0.843832199546;"""4/4""";53;1;1;-1;NC;I1;theme:t1
8.92653061224;0.179591836735;4;8;0;4;5;0.843832199546;"""4/4""";54;1;0;-1;NC;I1;theme:t1
9.11020408163;0.114285714286;4;8;0;4;7;0.843832199546;"""4/4""";53;1;0;-1;NC;I1;theme:t1
9.27346938776;0.126530612245;4;8;0;4;8;0.843832199546;"""4/4""";51;1;0;-1;NC;I1;theme:t1
9.4273015873;1.67764172336;4;1;1;1;1;0.849160997732;"""4/4""";53;1;0;1;Bb-7;A1;theme:t1
11.5345124717;0.0928798185941;4;6;1;3;4;0.888548752834;"""4/4""";54;2;1;1;Bb-7;A1;theme:t1-2
11.6448072562;0.0522448979592;4;6;1;3;5;0.888548752834;"""4/4""";55;2;0;1;Bb-7;A1;theme:t1-2
11.7260770975;0.51664399093;4;6;1;3;6;0.888548752834;"""4/4""";56;2;0;1;Bb-7;A1;theme:t1-2
12.2717460317;0.208979591837;4;3;1;4;2;0.853083900227;"""4/4""";60;2;0;1;Bb-7;A1;theme:t1-2
12.5271655329;0.197369614512;4;3;1;4;3;0.853083900227;"""4/4""";63;2;0;1;Bb-7;A1;theme:t1-2
12.7883900227;0.104489795918;4;4;2;1;1;0.814761904762;"""4/4""";64;2;0;1;Bb-7;A1;theme:t1-2
12.9335147392;0.214784580499;4;4;2;1;2;0.814761904762;"""4/4""";65;2;0;1;Gb7;A1;theme:t1-2
13.2063492063;0.220589569161;4;4;2;1;3;0.814761904762;"""4/4""";68;2;0;1;Gb7;A1;theme:t1-2
13.4907936508;0.830113378685;4;4;2;1;4;0.814761904762;"""4/4""";65;2;0;1;Gb7;A1;theme:t1-2
14.6808163265;0.168344671202;4;6;2;3;3;0.824421768707;"""4/4""";64;3;1;1;E7;A1;theme:t2-3
14.9246258503;0.214784580499;4;6;2;3;5;0.824421768707;"""4/4""";61;3;0;1;E7;A1;theme:t2-3
15.1742403628;0.255419501134;4;6;2;3;6;0.824421768707;"""4/4""";62;3;0;1;E7;A1;theme:t2-3
15.4760997732;0.510839002268;4;4;2;4;2;0.888231292517;"""4/4""";63;3;0;1;Eb7;A1;theme:t2-3
16.0159637188;0.104489795918;4;4;2;4;4;0.888231292517;"""4/4""";62;3;0;1;Eb7;A1;theme:t2-3
16.166893424;0.238004535147;4;2;3;1;1;0.878526077098;"""4/4""";60;3;0;1;Abj7;A1;theme:t2-3
16.4977777778;1.22485260771;4;2;3;1;2;0.878526077098;"""4/4""";55;3;0;1;Abj7;A1;theme:t2-3
18.3205442177;0.24380952381;4;6;3;3;4;0.799206349206;"""4/4""";51;4;1;1;Abj7;A1;theme:t3-5
18.5817687075;0.19156462585;4;6;3;3;6;0.799206349206;"""4/4""";52;4;0;1;Abj7;A1;theme:t3-5
18.8081632653;0.179954648526;4;8;3;4;2;0.824421768707;"""4/4""";53;4;0;1;Abj7;A1;theme:t3-5
19.0055328798;0.174149659864;4;8;3;4;4;0.824421768707;"""4/4""";56;4;0;1;Abj7;A1;theme:t3-5
19.208707483;0.185759637188;4;8;3;4;6;0.824421768707;"""4/4""";60;4;0;1;Abj7;A1;theme:t3-5
19.4234920635;0.0928798185941;4;8;3;4;8;0.824421768707;"""4/4""";61;4;0;1;Abj7;A1;theme:t3-5
19.5802267574;0.27283446712;4;3;4;1;1;0.853424036281;"""4/4""";63;4;0;1;Ab7;A1;theme:t3-5
19.9111111111;0.11029478458;4;3;4;1;2;0.853424036281;"""4/4""";60;4;0;1;Ab7;A1;theme:t3-5
20.0620408163;0.208979591837;4;3;4;1;3;0.853424036281;"""4/4""";63;4;0;1;Ab7;A1;theme:t3-5
20.3406802721;0.0638548752834;4;4;4;2;1;0.824399092971;"""4/4""";60;4;0;1;G7;A1;theme:t3-5
20.4393650794;0.0696598639456;4;4;4;2;2;0.824399092971;"""4/4""";61;4;0;1;G7;A1;theme:t3-5
20.5728798186;0.208979591837;4;4;4;2;3;0.824399092971;"""4/4""";62;4;0;1;G7;A1;theme:t3-5
20.8224943311;0.458594104308;4;4;4;2;4;0.824399092971;"""4/4""";53;4;0;1;G7;A1;theme:t3-5
21.39138322;0.342494331066;4;3;4;3;2;0.913718820862;"""4/4""";52;4;0;1;Gb7;A1;theme:t3-5
21.7745124717;0.365714285714;4;3;4;3;3;0.913718820862;"""4/4""";61;4;0;1;Gb7;A1;theme:t3-5
22.180861678;0.307664399093;4;6;4;4;2;0.878049886621;"""4/4""";60;4;0;1;F7;A1;theme:t3-5
22.5407709751;0.238004535147;4;6;4;4;4;0.878049886621;"""4/4""";65;4;0;1;F7;A1;theme:t3-5
22.8832653061;0.203174603175;4;6;4;4;6;0.878049886621;"""4/4""";54;4;0;1;F7;A1;theme:t3-5
23.1444897959;1.20163265306;4;1;5;1;1;0.923197278912;"""4/4""";53;4;0;1;Bb7;A1;theme:t3-5
25.187845805;0.156734693878;4;4;5;3;3;0.878616780045;"""4/4""";55;5;1;1;Bb7;A1;theme:t5-7
25.3910204082;0.19156462585;4;4;5;3;4;0.878616780045;"""4/4""";56;5;0;1;Bb7;A1;theme:t5-7
25.617414966;0.121904761905;4;4;5;4;1;0.853673469388;"""4/4""";58;5;0;1;Bb7;A1;theme:t5-7
25.8089795918;0.203174603175;4;4;5;4;2;0.853673469388;"""4/4""";60;5;0;1;Bb7;A1;theme:t5-7
26.0527891156;0.150929705215;4;4;5;4;3;0.853673469388;"""4/4""";66;5;0;1;Bb7;A1;theme:t5-7
26.2733786848;0.127709750567;4;4;5;4;4;0.853673469388;"""4/4""";65;5;0;1;Bb7;A1;theme:t5-7
26.4612244898;0.429569160998;4;4;6;1;1;0.868707482993;"""4/4""";63;5;0;1;Bb-7;A1;theme:t5-7
26.9795918367;0.171428571429;4;4;6;1;3;0.868707482993;"""4/4""";60;5;0;1;Bb-7;A1;theme:t5-7
27.1795918367;0.14693877551;4;4;6;1;4;0.868707482993;"""4/4""";61;5;0;1;Bb-7;A1;theme:t5-7
27.3836734694;0.257142857143;4;6;6;2;1;0.898344671202;"""4/4""";63;5;0;1;Bb-7;A1;theme:t5-7
27.6734693878;0.0816326530612;4;6;6;2;3;0.898344671202;"""4/4""";60;5;0;1;Bb-7;A1;theme:t5-7
27.7959183673;0.0489795918367;4;6;6;2;4;0.898344671202;"""4/4""";62;5;0;1;Bb-7;A1;theme:t5-7
27.8734693878;0.228571428571;4;6;6;2;5;0.898344671202;"""4/4""";63;5;0;1;Bb-7;A1;theme:t5-7
28.1346938776;0.702040816327;4;6;6;2;6;0.898344671202;"""4/4""";60;5;0;1;Bb-7;A1;theme:t5-7
28.8612244898;0.0571428571429;4;6;6;3;5;0.853696145125;"""4/4""";61;5;0;1;Eb7;A1;theme:t5-7
28.9551020408;0.0816326530612;4;6;6;3;6;0.853696145125;"""4/4""";62;5;0;1;Eb7;A1;theme:t5-7
29.0571428571;0.74693877551;4;14;6;4;1;0.849229024943;"""4/4""";63;5;0;1;Eb7;A1;theme:t5-7
29.8898866213;1.4570521542;4;14;6;4;14;0.849229024943;"""4/4""";55;5;0;1;Eb7;A1;theme:t5-7
32.0979591837;0.159183673469;4;4;7;3;3;0.872993197279;"""4/4""";51;6;1;1;Abj7;A1;theme:t7-8
32.3183673469;0.191836734694;4;4;7;3;4;0.872993197279;"""4/4""";53;6;0;1;Abj7;A1;theme:t7-8
32.5755102041;0.130612244898;4;12;7;4;2;0.849410430839;"""4/4""";48;6;0;1;Abj7;A1;theme:t7-8
32.7755102041;0.130612244898;4;12;7;4;5;0.849410430839;"""4/4""";51;6;0;1;Abj7;A1;theme:t7-8
32.9510204082;0.240816326531;4;12;7;4;7;0.849410430839;"""4/4""";53;6;0;1;Abj7;A1;theme:t7-8
33.212244898;0.0979591836735;4;12;7;4;11;0.849410430839;"""4/4""";52;6;0;1;Abj7;A1;theme:t7-8
33.3183673469;0.0571428571429;4;12;7;4;12;0.849410430839;"""4/4""";53;6;0;1;Abj7;A1;theme:t7-8
33.4;1.37959183673;4;1;8;1;1;0.897437641723;"""4/4""";54;6;0;1;Ab7;A1;theme:t7-8
35.1632653061;0.142857142857;4;10;8;3;2;0.833673469388;"""4/4""";50;7;1;1;F79b;A1;theme:t1
35.3163265306;0.0387755102041;4;10;8;3;4;0.833673469388;"""4/4""";51;7;0;1;F79b;A1;theme:t1
35.3693877551;0.0244897959184;4;10;8;3;5;0.833673469388;"""4/4""";52;7;0;1;F79b;A1;theme:t1
35.4;0.0163265306122;4;10;8;3;6;0.833673469388;"""4/4""";54;7;0;1;F79b;A1;theme:t1
35.4244897959;0.0142857142857;4;10;8;3;7;0.833673469388;"""4/4""";55;7;0;1;F79b;A1;theme:t1
35.4530612245;0.0938775510204;4;10;8;3;8;0.833673469388;"""4/4""";56;7;0;1;F79b;A1;theme:t1
35.6040816327;0.0857142857143;4;10;8;3;9;0.833673469388;"""4/4""";60;7;0;1;F79b;A1;theme:t1
35.7306122449;0.420408163265;4;10;8;3;10;0.833673469388;"""4/4""";65;7;0;1;F79b;A1;theme:t1
36.2163265306;0.130612244898;4;4;8;4;2;0.907528344671;"""4/4""";63;7;0;1;F79b;A1;theme:t1
36.4326530612;0.171428571429;4;4;8;4;3;0.907528344671;"""4/4""";60;7;0;1;F79b;A1;theme:t1
36.6734693878;0.118367346939;4;4;8;4;4;0.907528344671;"""4/4""";57;7;0;1;F79b;A1;theme:t1
36.8244897959;0.244897959184;4;2;9;1;1;0.859546485261;"""4/4""";58;7;0;1;Bb-7;A2;theme:t1
37.1346938776;0.473469387755;4;2;9;1;2;0.859546485261;"""4/4""";53;7;0;1;Bb-7;A2;theme:t1
37.6897959184;0.244897959184;4;8;9;2;1;0.833424036281;"""4/4""";56;7;0;1;Bb-7;A2;theme:t1
38.012244898;0.102040816327;4;8;9;2;4;0.833424036281;"""4/4""";65;7;0;1;Bb-7;A2;theme:t1
38.1755102041;0.0938775510204;4;8;9;2;6;0.833424036281;"""4/4""";61;7;0;1;Bb-7;A2;theme:t1
38.3142857143;0.065306122449;4;8;9;2;7;0.833424036281;"""4/4""";58;7;0;1;Bb-7;A2;theme:t1
38.4163265306;0.10612244898;4;8;9;2;8;0.833424036281;"""4/4""";57;7;0;1;Bb-7;A2;theme:t1
38.5591836735;0.734693877551;4;1;9;3;1;0.873129251701;"""4/4""";56;7;0;1;Bb-7;A2;theme:t1
39.6335600907;0.119002267574;4;8;9;4;3;0.815260770975;"""4/4""";58;8;1;1;Bb-7;A2;theme:t2
