onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.96326530612;0.110204081633;4;2;2;2;2;0.402653061224;"""4/4""";66;1;1;1;Abm7b5;A1;lick
5.38775510204;0.10612244898;4;2;2;3;2;0.412290249433;"""4/4""";64;1;0;1;Db7;A1;lick
6.21836734694;0.0734693877551;4;2;3;1;2;0.421315192744;"""4/4""";61;2;1;1;Gb-7;A1;lick
6.32448979592;0.24693877551;4;3;3;2;1;0.392789115646;"""4/4""";59;2;0;1;Gb-7;A1;lick
6.60408163265;0.102040816327;4;3;3;2;3;0.392789115646;"""4/4""";57;2;0;1;Gb-7;A1;lick
6.73265306122;0.157142857143;4;6;3;3;1;0.415056689342;"""4/4""";56;2;0;1;Gb-7;A1;lick
7.11632653061;0.257142857143;4;6;3;3;6;0.415056689342;"""4/4""";54;2;0;1;Gb-7;A1;lick
7.4387755102;0.0959183673469;4;2;3;4;2;0.423718820862;"""4/4""";56;2;0;1;Gb-7;A1;lick
7.54897959184;0.183673469388;4;3;4;1;1;0.391904761905;"""4/4""";57;2;0;1;Gb-7;A1;lick
7.8387755102;0.0714285714286;4;3;4;1;3;0.391904761905;"""4/4""";59;2;0;1;Gb-7;A1;lick
7.96530612245;0.238775510204;4;3;4;2;1;0.432040816327;"""4/4""";56;2;0;1;Gb-7;A1;lick
8.26412698413;0.312380952381;4;3;4;2;3;0.432040816327;"""4/4""";54;2;0;1;Gb-7;A1;lick
8.62222222222;0.106666666667;4;2;4;3;2;0.402403628118;"""4/4""";54;2;0;1;Gb-7;A1;lick
9.10204081633;0.0755102040816;4;4;4;4;4;0.39716553288;"""4/4""";52;3;1;1;Gb-7;A1;lick
9.22244897959;0.226530612245;4;2;5;1;1;0.426621315193;"""4/4""";51;3;0;1;G7;A1;lick
9.48163265306;0.126530612245;4;2;5;1;2;0.426621315193;"""4/4""";51;3;0;1;G7;A1;lick
9.67551020408;0.114285714286;4;6;5;2;2;0.407074829932;"""4/4""";54;3;0;1;G7;A1;lick
9.81428571429;0.069387755102;4;6;5;2;4;0.407074829932;"""4/4""";55;3;0;1;G7;A1;lick
9.89183673469;0.065306122449;4;6;5;2;5;0.407074829932;"""4/4""";56;3;0;1;G7;A1;lick
9.98979591837;0.25306122449;4;6;5;2;6;0.407074829932;"""4/4""";57;3;0;1;G7;A1;lick
10.312244898;0.0897959183673;4;6;5;3;5;0.437437641723;"""4/4""";60;3;0;1;G7;A1;lick
10.4285714286;0.291836734694;4;6;5;3;6;0.437437641723;"""4/4""";61;3;0;1;G7;A1;lick
10.7673469388;0.069387755102;4;2;5;4;2;0.402517006803;"""4/4""";59;3;0;1;G7;A1;lick
10.8571428571;0.271428571429;4;3;6;1;1;0.40589569161;"""4/4""";61;3;0;1;G7;A1;lick
11.1530612245;0.104081632653;4;3;6;1;3;0.40589569161;"""4/4""";64;3;0;1;G7;A1;lick
11.5775510204;0.110204081633;4;2;6;2;2;0.422199546485;"""4/4""";63;4;1;1;G7;A1;lick
11.712244898;0.514285714286;4;1;6;3;1;0.39283446712;"""4/4""";64;4;0;1;G7;A1;lick
12.3775510204;0.522448979592;4;2;6;4;2;0.422108843537;"""4/4""";64;4;0;1;G7;A1;lick
12.9142857143;0.257142857143;4;3;7;2;1;0.386235827664;"""4/4""";61;4;0;1;Gb-7;A1;lick
13.1857142857;0.102040816327;4;3;7;2;3;0.386235827664;"""4/4""";60;4;0;1;Gb-7;A1;lick
13.2992290249;0.226394557823;4;2;7;3;1;0.431972789116;"""4/4""";61;4;0;1;Gb-7;A1;lick
13.5531972789;0.0957823129252;4;2;7;3;2;0.431972789116;"""4/4""";61;4;0;1;Gb-7;A1;lick
14.8102040816;0.344897959184;4;2;8;2;2;0.412358276644;"""4/4""";64;5;1;1;E-7;A1;line_i_dd
15.187755102;0.134693877551;4;2;8;3;2;0.421950113379;"""4/4""";64;5;0;1;A7;A1;line_i_dd
15.3448979592;0.267346938776;4;4;8;4;1;0.387278911565;"""4/4""";62;5;0;1;A7;A1;line_i_dd
15.6612244898;0.0897959183673;4;4;8;4;4;0.387278911565;"""4/4""";60;5;0;1;A7;A1;line_i_dd
15.7530612245;0.257142857143;4;4;9;1;1;0.377641723356;"""4/4""";62;5;0;1;D7;A1;line_i_dd
16.0326530612;0.108163265306;4;4;9;1;4;0.377641723356;"""4/4""";61;5;0;1;D7;A1;line_i_dd
16.1918367347;0.202040816327;4;4;9;2;2;0.421927437642;"""4/4""";60;5;0;1;D7;A1;line_i_dd
16.4510204082;0.065306122449;4;4;9;2;4;0.421927437642;"""4/4""";57;5;0;1;D7;A1;line_i_dd
16.5591836735;0.25306122449;4;4;9;3;1;0.410566893424;"""4/4""";60;5;0;1;D7;A1;line_i_dd
