onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.97755102041;0.140816326531;4;4;0;4;4;0.268526077098;"""4/4""";65;1;1;-1;NC;I1;lick
6.14285714286;0.0612244897959;4;2;1;1;2;0.234013605442;"""4/4""";63;1;0;1;Bj7911#;A1;lick
6.24693877551;0.128571428571;4;2;1;2;1;0.242721088435;"""4/4""";65;1;0;1;Bj7911#;A1;lick
6.39591836735;0.0979591836735;4;2;1;2;2;0.242721088435;"""4/4""";66;1;0;1;Bj7911#;A1;lick
7.96589569161;0.143673469388;4;3;3;1;1;0.242403628118;"""4/4""";66;2;1;1;Bb79b13b;A1;#lick
8.12698412698;0.0754648526077;4;3;3;1;3;0.242403628118;"""4/4""";67;2;0;1;Ebj7911#;A1;#lick
8.22857142857;0.121904761905;4;2;3;2;1;0.239138321995;"""4/4""";66;2;0;1;Ebj7911#;A1;#lick
8.3577324263;0.0571428571429;4;2;3;2;2;0.239138321995;"""4/4""";67;2;0;1;Ebj7911#;A1;#lick
8.48108843537;0.153832199546;4;3;3;3;1;0.253265306122;"""4/4""";70;2;0;1;Ebj7911#;A1;#lick
8.64943310658;0.120408163265;4;3;3;3;3;0.253265306122;"""4/4""";63;2;0;1;Ebj7911#;A1;#lick
9.89183673469;0.159183673469;4;1;5;1;1;0.232743764172;"""4/4""";65;3;1;1;Ebj7911#;A1;#lick
10.1369614512;0.15306122449;4;3;5;2;1;0.243560090703;"""4/4""";65;3;0;1;Bj7911#;A1;#lick
10.3125623583;0.0885260770975;4;3;5;2;3;0.243560090703;"""4/4""";61;3;0;1;Bj7911#;A1;#lick
11.8428571429;0.130612244898;4;2;7;1;1;0.258866213152;"""4/4""";67;4;1;1;Ebj7911#;A1;#lick
11.9857142857;0.0734693877551;4;2;7;1;2;0.258866213152;"""4/4""";66;4;0;1;Ebj7911#;A1;#lick
12.0714285714;0.14693877551;4;3;7;2;1;0.232517006803;"""4/4""";67;4;0;1;Ebj7911#;A1;#lick
12.2428571429;0.0459183673469;4;3;7;2;3;0.232517006803;"""4/4""";70;4;0;1;Ebj7911#;A1;#lick
12.3040816327;0.218367346939;4;1;7;3;1;0.233786848073;"""4/4""";72;4;0;1;Ebj7911#;A1;#lick
12.5642857143;0.0724489795918;4;3;7;4;1;0.253265306122;"""4/4""";74;4;0;1;Ebj7911#;A1;#lick
12.7285714286;0.397959183673;4;3;7;4;3;0.253265306122;"""4/4""";70;4;0;1;Ebj7911#;A1;#lick
13.9836734694;0.0816326530612;4;2;9;2;1;0.233038548753;"""4/4""";72;5;1;1;Am7b5;A1;lick
14.0755102041;0.148979591837;4;2;9;2;2;0.233038548753;"""4/4""";74;5;0;1;Am7b5;A1;lick
14.2367346939;0.35306122449;4;1;9;3;1;0.249183673469;"""4/4""";75;5;0;1;Am7b5;A1;lick
14.906122449;0.102040816327;4;2;10;1;2;0.258367346939;"""4/4""";75;5;0;1;Ab-7;A1;#-lick
15.0173469388;0.148979591837;4;4;10;2;1;0.25335600907;"""4/4""";73;5;0;1;Ab-7;A1;#-lick
15.2102040816;0.3;4;4;10;2;4;0.25335600907;"""4/4""";70;5;0;1;Ab-7;A1;#-lick
15.9244897959;0.0683673469388;4;2;11;1;2;0.233401360544;"""4/4""";69;5;0;1;G-7;A1;#-lick
16.0010204082;0.125510204082;4;3;11;2;1;0.242766439909;"""4/4""";70;5;0;1;G-7;A1;#-lick
16.166893424;0.258321995465;4;3;11;2;3;0.242766439909;"""4/4""";72;5;0;1;G-7;A1;#-lick
