onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.89387755102;0.0979591836735;4;2;1;1;1;0.412448979592;"""4/4""";72;1;1;-1;NC;I1;lick
5.09795918367;0.114285714286;4;2;1;1;2;0.412448979592;"""4/4""";73;1;0;1;Fm7b5;A1;lick
6.24326530612;0.121904761905;4;4;1;4;2;0.399387755102;"""4/4""";72;2;1;1;Fm7b5;A1;lick
6.38367346939;0.0591836734694;4;4;1;4;3;0.399387755102;"""4/4""";73;2;0;1;Fm7b5;A1;lick
6.4612244898;0.102040816327;4;4;1;4;4;0.399387755102;"""4/4""";75;2;0;1;Fm7b5;A1;lick
6.57850340136;0.0638548752834;4;4;2;1;1;0.419002267574;"""4/4""";73;2;0;1;Bb7;A1;lick
6.6612244898;0.208979591837;4;4;2;1;2;0.419002267574;"""4/4""";75;2;0;1;Bb7;A1;lick
6.87959183673;0.15306122449;4;4;2;1;4;0.419002267574;"""4/4""";71;2;0;1;Bb7;A1;lick
8.3306122449;0.110204081633;4;3;3;1;2;0.375510204082;"""4/4""";78;3;1;1;Ebj7;A1;melody
8.46530612245;0.0959183673469;4;3;3;1;3;0.375510204082;"""4/4""";76;3;0;1;Ebj7;A1;melody
8.57551020408;0.10612244898;4;3;3;2;1;0.414240362812;"""4/4""";77;3;0;1;Ebj7;A1;melody
8.7;0.0816326530612;4;3;3;2;2;0.414240362812;"""4/4""";76;3;0;1;Ebj7;A1;melody
8.80816326531;0.114285714286;4;3;3;2;3;0.414240362812;"""4/4""";75;3;0;1;Ebj7;A1;melody
8.94897959184;0.128571428571;4;3;3;3;1;0.39283446712;"""4/4""";73;3;0;1;Ebj7;A1;melody
9.10408163265;0.114285714286;4;3;3;3;2;0.39283446712;"""4/4""";70;3;0;1;Ebj7;A1;melody
9.24081632653;0.0938775510204;4;3;3;3;3;0.39283446712;"""4/4""";66;3;0;1;Ebj7;A1;melody
9.37142857143;0.065306122449;4;4;3;4;1;0.39619047619;"""4/4""";64;3;0;1;Ebj7;A1;melody
9.4387755102;0.122448979592;4;4;3;4;2;0.39619047619;"""4/4""";65;3;0;1;Ebj7;A1;melody
9.56662131519;0.0856235827664;4;4;3;4;3;0.39619047619;"""4/4""";64;3;0;1;Ebj7;A1;melody
9.66530612245;0.132653061224;4;4;3;4;4;0.39619047619;"""4/4""";63;3;0;1;Ebj7;A1;melody
