onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.30204081633;0.183854875283;4;4;0;1;1;0.228514739229;"""4/4""";68;1;1;-1;NC;I1;lick
3.48589569161;0.0493424036281;4;4;0;1;4;0.228514739229;"""4/4""";66;1;0;-1;NC;I1;lick
3.54975056689;0.0377324263039;4;4;0;2;1;0.228514739229;"""4/4""";64;1;0;-1;NC;I1;lick
3.60489795918;0.255419501134;4;4;0;2;2;0.228514739229;"""4/4""";63;1;0;-1;NC;I1;lick
3.87482993197;0.0755102040816;4;3;0;3;2;0.225306122449;"""4/4""";61;1;0;-1;NC;I1;lick
3.9619047619;0.087074829932;4;3;0;3;3;0.225306122449;"""4/4""";58;1;0;-1;NC;I1;lick
4.06639455782;0.0725623582766;4;3;0;4;2;0.225306122449;"""4/4""";56;1;0;-1;NC;I1;lick
4.15637188209;0.0667573696145;4;3;0;4;3;0.225306122449;"""4/4""";55;1;0;-1;NC;I1;lick
4.24925170068;0.313469387755;4;1;1;1;1;0.223571428571;"""4/4""";58;1;0;1;Ebj7;A1;lick
4.60408163265;0.267346938776;4;2;1;2;2;0.223571428571;"""4/4""";63;1;0;1;Ebj7;A1;lick
5.22040816327;0.267346938776;4;2;2;1;2;0.232653061224;"""4/4""";65;1;0;1;F-7/Bb;A1;lick
5.52653061224;0.422448979592;4;4;2;2;4;0.232653061224;"""4/4""";62;1;0;1;F-7/Bb;A1;lick
6.05750566893;0.307664399093;4;2;3;1;2;0.235736961451;"""4/4""";58;1;0;1;Ebj7;A1;lick
6.41451247166;0.838820861678;4;4;3;2;4;0.235736961451;"""4/4""";67;1;0;1;Ebj7;A1;lick
7.8570521542;0.2989569161;4;1;5;1;1;0.238775510204;"""4/4""";56;2;1;1;Eb7;A1;#-lick
8.2314739229;0.351201814059;4;2;5;2;2;0.238775510204;"""4/4""";65;2;0;1;Eb7;A1;#-lick
10.0919727891;0.174149659864;4;2;7;2;2;0.220419501134;"""4/4""";55;3;1;1;F-7;A1;lick
10.2806349206;0.0812698412698;4;2;7;3;2;0.215997732426;"""4/4""";60;3;0;1;F-7;A1;lick
10.4721995465;0.307664399093;4;2;7;4;2;0.215997732426;"""4/4""";51;3;0;1;F-7;A1;lick
10.8;0.069387755102;4;2;8;2;1;0.213741496599;"""4/4""";49;3;0;1;Bb7;A1;lick
10.8930612245;0.124807256236;4;2;8;2;2;0.213741496599;"""4/4""";50;3;0;1;Bb7;A1;lick
11.106122449;0.324489795918;4;2;8;3;2;0.2160430839;"""4/4""";58;3;0;1;Bb7;A1;lick
11.8741043084;0.127709750567;4;2;9;3;1;0.210702947846;"""4/4""";56;4;1;1;F-7;A1;lick
12.0221315193;0.116099773243;4;2;9;3;2;0.210702947846;"""4/4""";60;4;0;1;F-7;A1;lick
12.1614512472;0.449886621315;4;1;9;4;1;0.210702947846;"""4/4""";63;4;0;1;F-7;A1;lick
13.5430385488;0.238004535147;4;1;11;2;1;0.238299319728;"""4/4""";54;5;1;1;F-7;A1;#+lick
13.7955555556;0.194467120181;4;2;11;3;2;0.228458049887;"""4/4""";61;5;0;1;F-7;A1;#+lick
14.0020408163;0.555102040816;4;1;11;4;1;0.228458049887;"""4/4""";64;5;0;1;F-7;A1;#+lick
15.0087981859;0.269931972789;4;4;12;4;4;0.218219954649;"""4/4""";55;6;1;1;Bb7;A1;lick
15.2932426304;0.238004535147;4;1;13;2;1;0.220907029478;"""4/4""";56;6;0;1;F-7;A1;lick
15.5486621315;0.203174603175;4;1;13;3;1;0.233321995465;"""4/4""";60;6;0;1;F-7;A1;lick
15.7692517007;0.21768707483;4;1;13;4;1;0.233321995465;"""4/4""";63;6;0;1;F-7;A1;lick
16.0836734694;0.0612244897959;4;2;14;1;2;0.228514739229;"""4/4""";65;6;0;1;Bb7;A1;lick
16.1714285714;0.151020408163;4;4;14;2;1;0.228514739229;"""4/4""";67;6;0;1;Bb7;A1;lick
16.3497505669;0.0755102040816;4;4;14;2;4;0.228514739229;"""4/4""";61;6;0;1;Bb7;A1;lick
16.4428571429;0.187755102041;4;1;14;3;1;0.223605442177;"""4/4""";66;6;0;1;Bb7;A1;lick
16.6632199546;0.165442176871;4;1;14;4;1;0.223605442177;"""4/4""";62;6;0;1;Bb7;A1;lick
16.9204081633;0.377551020408;4;1;15;1;1;0.215941043084;"""4/4""";63;6;0;1;Ebj7;A1;lick
17.7864852608;0.0406349206349;4;2;16;1;1;0.220907029478;"""4/4""";60;7;1;1;F-7;A1;lick
17.8445351474;0.267029478458;4;2;16;1;2;0.220907029478;"""4/4""";61;7;0;1;F-7;A1;lick
18.1231746032;0.0754648526077;4;2;16;2;2;0.220907029478;"""4/4""";56;7;0;1;F-7;A1;lick
18.1986394558;0.153832199546;4;1;16;3;1;0.214829931973;"""4/4""";54;7;0;1;Bb7;A1;lick
18.4076190476;0.238004535147;4;1;16;4;1;0.214829931973;"""4/4""";49;7;0;1;Bb7;A1;lick
18.6591836735;0.210204081633;4;1;17;1;1;0.229603174603;"""4/4""";48;7;0;1;Ebj7;A2;lick
18.9126530612;0.240907029478;4;1;17;2;1;0.229603174603;"""4/4""";53;7;0;1;Ebj7;A2;lick
19.1854875283;0.182857142857;4;2;17;3;2;0.22358276644;"""4/4""";58;7;0;1;Ebj7;A2;lick
19.4699319728;0.182857142857;4;2;17;4;2;0.22358276644;"""4/4""";60;7;0;1;Ebj7;A2;lick
19.681814059;0.211882086168;4;2;18;1;2;0.210702947846;"""4/4""";65;7;0;1;F-7/Bb;A2;lick
19.9430385488;0.24380952381;4;1;18;3;1;0.228378684807;"""4/4""";70;7;0;1;F-7/Bb;A2;lick
20.2274829932;0.27283446712;4;1;18;4;1;0.228378684807;"""4/4""";65;7;0;1;F-7/Bb;A2;lick
20.5206349206;0.208979591837;4;2;19;1;2;0.216020408163;"""4/4""";67;7;0;1;Ebj7;A2;lick
20.8040816327;0.220408163265;4;4;19;2;4;0.216020408163;"""4/4""";60;7;0;1;Ebj7;A2;lick
21.0489795918;0.424489795918;4;1;19;4;1;0.219875283447;"""4/4""";65;7;0;1;Ebj7;A2;lick
22.1707029478;0.06820861678;4;3;21;1;1;0.227993197279;"""4/4""";48;8;1;1;F-7/Bb;A2;line_w
22.2592290249;0.0551473922902;4;3;21;1;2;0.227993197279;"""4/4""";52;8;0;1;Eb7;A2;line_w
22.3303401361;0.0696598639456;4;3;21;1;3;0.227993197279;"""4/4""";58;8;0;1;Eb7;A2;line_w
22.4145124717;0.0711111111111;4;3;21;2;1;0.227993197279;"""4/4""";60;8;0;1;Eb7;A2;line_w
22.5030385488;0.0319274376417;4;3;21;2;2;0.227993197279;"""4/4""";65;8;0;1;Eb7;A2;line_w
22.5451247166;0.0609523809524;4;3;21;2;3;0.227993197279;"""4/4""";70;8;0;1;Eb7;A2;line_w
22.6147845805;0.065306122449;4;4;21;3;1;0.223594104308;"""4/4""";65;8;0;1;Eb7;A2;line_w
22.6975056689;0.0232199546485;4;4;21;3;2;0.223594104308;"""4/4""";62;8;0;1;Ab7;A2;line_w
22.7323356009;0.0464399092971;4;4;21;3;3;0.223594104308;"""4/4""";60;8;0;1;Ab7;A2;line_w
22.7932879819;0.0377324263039;4;4;21;3;4;0.223594104308;"""4/4""";62;8;0;1;Ab7;A2;line_w
22.838276644;0.0638548752834;4;3;21;4;1;0.223594104308;"""4/4""";60;8;0;1;Ab7;A2;line_w
22.9093877551;0.0725623582766;4;3;21;4;2;0.223594104308;"""4/4""";58;8;0;1;Ab7;A2;line_w
23.006122449;0.0673469387755;4;3;21;4;3;0.223594104308;"""4/4""";53;8;0;1;Ab7;A2;line_w
23.1081632653;0.263265306122;4;1;22;1;1;0.238378684807;"""4/4""";48;8;0;1;G-7;A2;line_w
23.4020408163;0.332653061224;4;2;22;2;2;0.238378684807;"""4/4""";53;8;0;1;G-7;A2;line_w
