onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.85297052154;0.214784580499;4;4;0;3;4;0.243095238095;"""4/4""";53;1;1;-1;NC;I1;lick
5.08517006803;0.0928798185941;4;4;0;4;4;0.243095238095;"""4/4""";53;1;0;-1;NC;I1;lick
5.28571428571;0.179591836735;4;2;1;1;2;0.23843537415;"""4/4""";65;1;0;1;Bb6;A1;lick
5.60761904762;0.197369614512;4;1;1;3;1;0.250181405896;"""4/4""";62;1;0;1;Bb6;A1;lick
5.84081632653;0.636734693878;4;1;1;4;1;0.250181405896;"""4/4""";58;1;0;1;G-7;A1;lick
6.98367346939;0.151020408163;4;2;2;4;2;0.245975056689;"""4/4""";55;2;1;1;F7;A1;#+lick
7.2693877551;0.14693877551;4;2;3;1;2;0.250702947846;"""4/4""";65;2;0;1;Bb6;A1;#+lick
7.43673469388;0.208163265306;4;1;3;2;1;0.250702947846;"""4/4""";67;2;0;1;Bb6;A1;#+lick
7.80408163265;0.171428571429;4;4;3;3;4;0.238287981859;"""4/4""";63;2;0;1;G-7;A1;#+lick
7.99591836735;0.510204081633;4;2;3;4;2;0.238287981859;"""4/4""";60;2;0;1;G-7;A1;#+lick
8.57959183673;0.183673469388;4;4;4;3;1;0.250839002268;"""4/4""";58;2;0;1;C-7;A1;#+lick
8.78367346939;0.159183673469;4;4;4;3;4;0.250839002268;"""4/4""";53;2;0;1;F7;A1;#+lick
8.99591836735;0.159183673469;4;2;4;4;2;0.250839002268;"""4/4""";65;2;0;1;F7;A1;lick
9.21632653061;0.142857142857;4;2;5;1;2;0.24089569161;"""4/4""";62;2;0;1;Bb6;A1;lick
9.45714285714;0.130612244898;4;2;5;2;2;0.24089569161;"""4/4""";61;2;0;1;Bb6;A1;lick
9.60408163265;0.0857142857143;4;2;5;3;1;0.252959183673;"""4/4""";60;2;0;1;Bb7;A1;lick
9.70408163265;0.10612244898;4;2;5;3;2;0.252959183673;"""4/4""";61;2;0;1;Bb7;A1;lick
9.82857142857;0.142857142857;4;2;5;4;1;0.252959183673;"""4/4""";58;2;0;1;Bb7;A1;lick
9.97959183673;0.14693877551;4;2;5;4;2;0.252959183673;"""4/4""";61;2;0;1;Bb7;A1;lick
10.1387755102;0.0836734693878;4;3;6;1;2;0.240952380952;"""4/4""";60;2;0;1;Eb6;A1;lick
10.2224489796;0.118367346939;4;3;6;1;3;0.240952380952;"""4/4""";61;2;0;1;Eb6;A1;lick
10.3510204082;0.0897959183673;4;2;6;2;1;0.240952380952;"""4/4""";58;2;0;1;Eb6;A1;lick
10.4571428571;0.134693877551;4;2;6;2;2;0.240952380952;"""4/4""";61;2;0;1;Eb6;A1;lick
10.606122449;0.0857142857143;4;2;6;3;1;0.245963718821;"""4/4""";60;2;0;1;Eo7;A1;lick
10.706122449;0.116326530612;4;2;6;3;2;0.245963718821;"""4/4""";61;2;0;1;Eo7;A1;lick
10.8285714286;0.142857142857;4;3;6;4;1;0.245963718821;"""4/4""";58;2;0;1;Eo7;A1;lick
10.9959183673;0.275510204082;4;3;6;4;3;0.245963718821;"""4/4""";65;2;0;1;Eo7;A1;lick
11.3265306122;0.142857142857;4;3;7;2;1;0.248038548753;"""4/4""";58;2;0;1;Bb6;A1;lick
11.4816326531;0.14693877551;4;3;7;2;3;0.248038548753;"""4/4""";61;2;0;1;Bb6;A1;lick
11.6387755102;0.0714285714286;4;3;7;3;2;0.241009070295;"""4/4""";60;2;0;1;F7;A1;lick
11.7265306122;0.0877551020408;4;3;7;3;3;0.241009070295;"""4/4""";61;2;0;1;F7;A1;lick
11.8204081633;0.14693877551;4;3;7;4;1;0.241009070295;"""4/4""";58;2;0;1;F7;A1;lick
11.9755102041;0.159183673469;4;3;7;4;3;0.241009070295;"""4/4""";61;2;0;1;F7;A1;lick
12.1632653061;0.302040816327;4;2;8;1;2;0.241530612245;"""4/4""";62;2;0;1;Bb6;A1;lick
