onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.96530612245;0.144897959184;4;2;0;1;2;0.283424036281;"""4/4""";67;1;1;-1;F7;I1;lick
4.2306122449;0.120408163265;4;2;0;2;2;0.277052154195;"""4/4""";65;1;0;-1;F7;I1;lick
4.51224489796;0.220408163265;4;2;0;3;2;0.280498866213;"""4/4""";65;1;0;-1;F7;I1;lick
4.93133786848;0.146575963719;4;3;1;1;1;0.288480725624;"""4/4""";58;1;0;1;Bbj7;A1;lick
5.13469387755;0.102040816327;4;3;1;1;3;0.288480725624;"""4/4""";62;1;0;1;Bbj7;A1;lick
5.24081632653;0.14693877551;4;1;1;2;1;0.281020408163;"""4/4""";63;1;0;1;Bbj7;A1;lick
5.47990929705;0.274285714286;4;1;1;3;1;0.278163265306;"""4/4""";65;1;0;1;Bbj7;A1;lick
6.0693877551;0.118367346939;4;4;2;1;2;0.2879138322;"""4/4""";58;2;1;1;Bbj7;A1;#lick
6.2;0.0530612244898;4;4;2;1;3;0.2879138322;"""4/4""";60;2;0;1;Bbj7;A1;#lick
6.27083900227;0.142222222222;4;4;2;1;4;0.2879138322;"""4/4""";62;2;0;1;Bbj7;A1;#lick
6.4377324263;0.197369614512;4;2;2;2;2;0.288662131519;"""4/4""";67;2;0;1;Bbj7;A1;#lick
6.72653061224;0.235102040816;4;2;2;3;2;0.266870748299;"""4/4""";58;2;0;1;Bbj7;A1;#lick
6.99210884354;0.0740136054422;4;3;2;4;2;0.267120181406;"""4/4""";61;2;0;1;Bbj7;A1;#lick
7.0864399093;0.159637188209;4;3;2;4;3;0.267120181406;"""4/4""";62;2;0;1;Bbj7;A1;#lick
7.27655328798;0.113197278912;4;2;3;1;2;0.269047619048;"""4/4""";65;2;0;1;Bo;A1;#lick
7.57696145125;0.0565986394558;4;2;3;2;2;0.277233560091;"""4/4""";59;2;0;1;Bo;A1;lick
7.65242630385;0.181405895692;4;1;3;3;1;0.27;"""4/4""";65;2;0;1;Bo;A1;lick
7.92380952381;0.171247165533;4;1;3;4;1;0.268934240363;"""4/4""";65;2;0;1;Bo;A1;lick
8.22421768707;0.195918367347;4;1;4;1;1;0.274761904762;"""4/4""";65;2;0;1;Bo;A1;lick
8.4970521542;0.214784580499;4;1;4;2;1;0.28231292517;"""4/4""";67;2;0;1;Bo;A1;lick
8.75537414966;0.182857142857;4;1;4;3;1;0.260884353741;"""4/4""";67;2;0;1;Bo;A1;lick
9.07319727891;0.127709750567;4;2;4;4;1;0.286961451247;"""4/4""";58;2;0;1;Bo;A1;lick
9.22993197279;0.111746031746;4;2;4;4;2;0.286961451247;"""4/4""";61;2;0;1;Bo;A1;lick
9.36054421769;0.120453514739;4;2;5;1;1;0.277324263039;"""4/4""";62;2;0;1;C-7;A1;lick
9.50131519274;0.168344671202;4;2;5;1;2;0.277324263039;"""4/4""";65;2;0;1;C-7;A1;lick
9.7683446712;0.101587301587;4;2;5;2;2;0.28029478458;"""4/4""";65;2;0;1;C-7;A1;lick
9.88299319728;0.0522448979592;4;3;5;3;1;0.258684807256;"""4/4""";64;2;0;1;C-7;A1;lick
10.0585941043;0.148027210884;4;3;5;3;3;0.258684807256;"""4/4""";58;2;0;1;C-7;A1;lick
10.2979591837;0.0696598639456;4;4;5;4;3;0.282743764172;"""4/4""";61;2;0;1;C-7;A1;lick
10.3795918367;0.104489795918;4;4;5;4;4;0.282743764172;"""4/4""";62;2;0;1;C-7;A1;lick
10.5941043084;0.129160997732;4;2;6;1;2;0.268888888889;"""4/4""";58;2;0;1;F7;A1;lick
10.8466213152;0.129160997732;4;2;6;2;2;0.271655328798;"""4/4""";61;2;0;1;F7;A1;lick
10.9757823129;0.256870748299;4;1;6;3;1;0.292358276644;"""4/4""";62;2;0;1;F7;A1;lick
11.2448979592;0.148027210884;4;3;6;4;1;0.261156462585;"""4/4""";58;2;0;1;F7;A1;lick
11.4242176871;0.145124716553;4;3;6;4;3;0.261156462585;"""4/4""";56;2;0;1;F7;A1;lick
