onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.50902494331;0.145124716553;4;1;1;2;1;0.238503401361;"""4/4""";74;1;1;1;Bb6;A1;lick
4.75863945578;0.359909297052;4;1;1;3;1;0.250816326531;"""4/4""";77;1;0;1;Bb6;A1;lick
5.15192743764;0.105941043084;4;2;1;4;2;0.249909297052;"""4/4""";74;1;0;1;G7;A1;lick
5.27818594104;0.178503401361;4;4;2;1;1;0.256712018141;"""4/4""";75;1;0;1;C-7;A1;lick
5.48136054422;0.223492063492;4;4;2;1;4;0.256712018141;"""4/4""";77;1;0;1;C-7;A1;lick
6.46240362812;0.163990929705;4;1;3;2;1;0.240657596372;"""4/4""";74;2;1;1;Bb6;A1;#lick
6.71492063492;0.371519274376;4;1;3;3;1;0.248639455782;"""4/4""";75;2;0;1;Bb6;A1;#lick
7.259138322;0.126258503401;4;1;4;1;1;0.248321995465;"""4/4""";75;2;0;1;C7;A1;#lick
7.46811791383;0.146575963719;4;3;4;2;1;0.258367346939;"""4/4""";74;2;0;1;C7;A1;#lick
7.63501133787;0.317823129252;4;3;4;2;3;0.258367346939;"""4/4""";77;2;0;1;C7;A1;#lick
9.16607709751;0.141496598639;4;4;6;1;1;0.222403628118;"""4/4""";86;3;1;1;Bb7;A1;line_w_d
9.35909297052;0.052970521542;4;4;6;1;4;0.222403628118;"""4/4""";84;3;0;1;Eb6;A1;line_w_d
9.42222222222;0.129160997732;4;1;6;2;1;0.248662131519;"""4/4""";82;3;0;1;Eb6;A1;line_w_d
9.67183673469;0.129886621315;4;3;6;3;1;0.240657596372;"""4/4""";84;3;0;1;Eb-6;A1;line_w_d
9.82494331066;0.0660317460317;4;3;6;3;3;0.240657596372;"""4/4""";82;3;0;1;Eb-6;A1;line_w_d
9.90476190476;0.12843537415;4;2;6;4;1;0.258321995465;"""4/4""";81;3;0;1;Eb-6;A1;line_w_d
10.0578684807;0.0573242630385;4;2;6;4;2;0.258321995465;"""4/4""";79;3;0;1;Eb-6;A1;line_w_d
10.1282539683;0.12843537415;4;2;7;1;1;0.238571428571;"""4/4""";77;3;0;1;Eb-6;A1;line_w_d
10.2864399093;0.109569160998;4;2;7;1;2;0.238571428571;"""4/4""";75;3;0;1;D-7;A1;line_w_d
10.4177777778;0.0863492063492;4;2;7;2;1;0.248639455782;"""4/4""";73;3;0;1;D-7;A1;line_w_d
10.5135600907;0.077641723356;4;2;7;2;2;0.248639455782;"""4/4""";74;3;0;1;D-7;A1;line_w_d
10.6078911565;0.15746031746;4;4;7;3;1;0.239795918367;"""4/4""";75;3;0;1;D-7;A1;line_w_d
10.8030612245;0.0448979591837;4;4;7;3;4;0.239795918367;"""4/4""";73;3;0;1;G7;A1;line_w_d
10.8744897959;0.125510204082;4;2;7;4;1;0.240839002268;"""4/4""";74;3;0;1;G7;A1;line_w_d
11.0236734694;0.169070294785;4;2;7;4;2;0.240839002268;"""4/4""";70;3;0;1;G7;A1;line_w_d
12.3175056689;0.0663492063492;4;3;9;2;1;0.248480725624;"""4/4""";84;4;1;1;Bb6;A2;expressive
12.401814059;0.0783219954649;4;3;9;2;2;0.248480725624;"""4/4""";86;4;0;1;Bb6;A2;expressive
12.4959183673;0.25306122449;4;3;9;2;3;0.248480725624;"""4/4""";89;4;0;1;Bb6;A2;expressive
13.273106576;0.15;4;4;10;1;4;0.248639455782;"""4/4""";87;5;1;1;C-7;A2;line_w_d
13.5224489796;0.111224489796;4;2;10;3;1;0.238820861678;"""4/4""";80;5;0;1;C-7;A2;line_w_d
13.656462585;0.178095238095;4;2;10;3;2;0.238820861678;"""4/4""";84;5;0;1;F7;A2;line_w_d
13.8714739229;0.123219954649;4;2;10;4;2;0.239841269841;"""4/4""";82;5;0;1;F7;A2;line_w_d
14.0030612245;0.122448979592;4;4;11;1;1;0.248526077098;"""4/4""";81;5;0;1;F7;A2;line_w_d
14.1520408163;0.0612244897959;4;4;11;1;3;0.248526077098;"""4/4""";79;5;0;1;Bb6;A2;line_w_d
14.2265306122;0.157142857143;4;4;11;1;4;0.248526077098;"""4/4""";77;5;0;1;Bb6;A2;line_w_d
14.4040816327;0.0918367346939;4;2;11;2;2;0.239863945578;"""4/4""";76;5;0;1;Bb6;A2;line_w_d
14.5214285714;0.123469387755;4;3;11;3;1;0.248503401361;"""4/4""";75;5;0;1;G-7;A2;line_w_d
14.6795918367;0.0765306122449;4;3;11;3;3;0.248503401361;"""4/4""";67;5;0;1;G-7;A2;line_w_d
14.7602040816;0.0938775510204;4;2;11;4;1;0.230975056689;"""4/4""";70;5;0;1;G-7;A2;line_w_d
14.873106576;0.114648526077;4;2;11;4;2;0.230975056689;"""4/4""";74;5;0;1;G-7;A2;line_w_d
14.996462585;0.0551473922902;4;3;12;1;1;0.249841269841;"""4/4""";72;5;0;1;C7;A2;line_w_d
15.066122449;0.065306122449;4;3;12;1;2;0.249841269841;"""4/4""";74;5;0;1;C7;A2;line_w_d
15.158276644;0.0616780045351;4;3;12;1;3;0.249841269841;"""4/4""";72;5;0;1;C7;A2;line_w_d
15.233015873;0.138594104308;4;2;12;2;1;0.238548752834;"""4/4""";70;5;0;1;C7;A2;line_w_d
15.3853968254;0.0609523809524;4;2;12;2;2;0.238548752834;"""4/4""";67;5;0;1;C7;A2;line_w_d
15.4739229025;0.134965986395;4;2;12;3;1;0.241020408163;"""4/4""";68;5;0;1;C7;A2;line_w_d
15.6241269841;0.0921541950113;4;2;12;3;2;0.241020408163;"""4/4""";70;5;0;1;F7;A2;line_w_d
15.7358730159;0.065306122449;4;3;12;4;1;0.239931972789;"""4/4""";68;5;0;1;F7;A2;line_w_d
15.8127891156;0.0565986394558;4;3;12;4;2;0.239931972789;"""4/4""";70;5;0;1;F7;A2;line_w_d
15.8788208617;0.0696598639456;4;3;12;4;3;0.239931972789;"""4/4""";68;5;0;1;F7;A2;line_w_d
15.9724263039;0.108117913832;4;2;13;1;1;0.248390022676;"""4/4""";67;5;0;1;Bb7;A2;line_w_d
16.093877551;0.114285714286;4;2;13;1;2;0.248390022676;"""4/4""";65;5;0;1;Bb7;A2;line_w_d
16.2306122449;0.0612244897959;4;2;13;2;1;0.240702947846;"""4/4""";64;5;0;1;Bb7;A2;line_w_d
16.3520408163;0.105102040816;4;2;13;2;2;0.240702947846;"""4/4""";70;5;0;1;Bb7;A2;line_w_d
16.4765306122;0.105102040816;4;2;13;3;1;0.248707482993;"""4/4""";73;5;0;1;Bb7;A2;line_w_d
16.593877551;0.084693877551;4;2;13;3;2;0.248707482993;"""4/4""";74;5;0;1;Bb7;A2;line_w_d
16.6860770975;0.141678004535;4;3;13;4;1;0.237551020408;"""4/4""";75;5;0;1;Bb7;A2;line_w_d
16.850430839;0.065306122449;4;3;13;4;3;0.237551020408;"""4/4""";76;5;0;1;Bb7;A2;line_w_d
16.9309750567;0.133514739229;4;1;14;1;1;0.241088435374;"""4/4""";77;5;0;1;Bb7;A2;line_w_d
17.1755102041;0.126984126984;4;2;14;2;1;0.23977324263;"""4/4""";70;5;0;1;Eb6;A2;line_w_d
17.3300680272;0.087074829932;4;2;14;2;2;0.23977324263;"""4/4""";74;5;0;1;Eb6;A2;line_w_d
17.4345578231;0.119727891156;4;1;14;3;1;0.258344671202;"""4/4""";73;5;0;1;Eb-6;A2;line_w_d
17.6580498866;0.156734693878;4;3;14;4;1;0.238594104308;"""4/4""";72;5;0;1;Eb-6;A2;line_w_d
17.836553288;0.077641723356;4;3;14;4;3;0.238594104308;"""4/4""";68;5;0;1;Eb-6;A2;line_w_d
17.9229024943;0.129160997732;4;3;15;1;1;0.240839002268;"""4/4""";67;5;0;1;D-7;A2;line_w_d
18.0854421769;0.0602267573696;4;3;15;1;3;0.240839002268;"""4/4""";65;5;0;1;D-7;A2;line_w_d
18.1529251701;0.148027210884;4;4;15;2;1;0.239954648526;"""4/4""";70;5;0;1;D-7;A2;line_w_d
18.3394104308;0.0645804988662;4;4;15;2;4;0.239954648526;"""4/4""";67;5;0;1;D-7;A2;line_w_d
18.4214058957;0.156734693878;4;2;15;3;1;0.258390022676;"""4/4""";68;5;0;1;G7;A2;line_w_d
18.5803174603;0.0602267573696;4;2;15;3;2;0.258390022676;"""4/4""";70;5;0;1;G7;A2;line_w_d
18.6507029478;0.0921541950113;4;3;15;4;1;0.23843537415;"""4/4""";68;5;0;1;G7;A2;line_w_d
18.7537414966;0.0522448979592;4;3;15;4;2;0.23843537415;"""4/4""";70;5;0;1;G7;A2;line_w_d
18.8161451247;0.0645804988662;4;3;15;4;3;0.23843537415;"""4/4""";68;5;0;1;G7;A2;line_w_d
18.9053968254;0.119002267574;4;2;16;1;1;0.258390022676;"""4/4""";67;5;0;1;C-7;A2;line_w_d
19.0410884354;0.25977324263;4;2;16;1;2;0.258390022676;"""4/4""";65;5;0;1;C-7;A2;line_w_d
19.3132653061;0.0631292517007;4;2;16;2;2;0.23977324263;"""4/4""";67;5;0;1;F7;A2;line_w_d
19.3928571429;0.698979591837;4;1;16;3;1;0.258571428571;"""4/4""";64;5;0;1;F7;A2;line_w_d
20.1070294785;0.148752834467;4;2;17;2;1;0.248662131519;"""4/4""";69;5;0;1;D7;B1;line_w_a
20.2739229025;0.0703854875283;4;2;17;2;2;0.248662131519;"""4/4""";71;5;0;1;D7;B1;line_w_a
20.3602721088;0.131337868481;4;2;17;3;1;0.23970521542;"""4/4""";72;5;0;1;D7;B1;line_w_a
20.5053968254;0.077641723356;4;2;17;3;2;0.23970521542;"""4/4""";71;5;0;1;D7;B1;line_w_a
20.598276644;0.142947845805;4;3;17;4;1;0.231065759637;"""4/4""";69;5;0;1;D7;B1;line_w_a
20.765170068;0.0972335600907;4;3;17;4;3;0.231065759637;"""4/4""";67;5;0;1;D7;B1;line_w_a
20.8870748299;0.108117913832;4;1;18;1;1;0.248548752834;"""4/4""";66;5;0;1;D7;B1;line_w_a
21.0800907029;0.151655328798;4;2;18;2;1;0.24977324263;"""4/4""";72;5;0;1;D7;B1;line_w_a
21.2390022676;0.126258503401;4;2;18;2;2;0.24977324263;"""4/4""";75;5;0;1;D7;B1;line_w_a
21.3703401361;0.100861678005;4;2;18;3;1;0.238594104308;"""4/4""";74;5;0;1;D7;B1;line_w_a
21.4842630385;0.0907029478458;4;2;18;3;2;0.238594104308;"""4/4""";72;5;0;1;D7;B1;line_w_a
