onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.96462585034;0.0986848072562;4;3;0;4;1;0.508775510204;"""4/4""";72;1;1;-1;NC;I1;lick
6.1387755102;0.139319727891;4;3;0;4;2;0.508775510204;"""4/4""";77;1;0;-1;NC;I1;lick
6.29841269841;0.127709750567;4;3;0;4;3;0.508775510204;"""4/4""";81;1;0;-1;NC;I1;lick
6.47836734694;0.168344671202;4;3;1;1;1;0.560770975057;"""4/4""";82;1;0;1;F7;A1;lick
6.6612244898;0.142222222222;4;3;1;1;2;0.560770975057;"""4/4""";82;1;0;1;F7;A1;lick
6.81215419501;0.220589569161;4;3;1;1;3;0.560770975057;"""4/4""";81;1;0;1;F7;A1;lick
7.04725623583;0.133514739229;4;3;1;2;1;0.544603174603;"""4/4""";82;1;0;1;F7;A1;lick
7.19528344671;0.139319727891;4;3;1;2;2;0.544603174603;"""4/4""";82;1;0;1;F7;A1;lick
7.35201814059;0.208979591837;4;3;1;2;3;0.544603174603;"""4/4""";81;1;0;1;F7;A1;lick
7.57142857143;0.183673469388;4;1;1;3;1;0.563106575964;"""4/4""";77;1;0;1;F7;A1;lick
8.29242630385;0.113197278912;4;5;1;4;3;0.533492063492;"""4/4""";72;2;1;1;F7;A1;#lick
8.4085260771;0.133514739229;4;5;1;4;4;0.533492063492;"""4/4""";77;2;0;1;F7;A1;#lick
8.55918367347;0.0725623582766;4;5;1;4;5;0.533492063492;"""4/4""";81;2;0;1;F7;A1;#lick
8.69006802721;0.153832199546;4;3;2;1;1;0.543832199546;"""4/4""";82;2;0;1;Bb7;A1;#lick
8.86421768707;0.130612244898;4;3;2;1;2;0.543832199546;"""4/4""";82;2;0;1;Bb7;A1;#lick
9.02675736961;0.133514739229;4;3;2;1;3;0.543832199546;"""4/4""";81;2;0;1;Bb7;A1;#lick
9.17188208617;0.208979591837;4;3;2;2;1;0.571451247166;"""4/4""";82;2;0;1;Bb7;A1;#lick
9.39537414966;0.16253968254;4;3;2;2;2;0.571451247166;"""4/4""";82;2;0;1;Bb7;A1;#lick
9.56371882086;0.159637188209;4;3;2;2;3;0.571451247166;"""4/4""";81;2;0;1;Bb7;A1;#lick
