onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
6.03718820862;0.220589569161;4;2;0;4;2;0.763650793651;"""4/4""";55;1;1;-1;NC;I1;line_w
6.28099773243;0.19156462585;4;8;1;1;1;0.838503401361;"""4/4""";51;1;0;-1;NC;I1;line_w
6.49578231293;0.168344671202;4;8;1;1;3;0.838503401361;"""4/4""";53;1;0;1;Gj7;A1;line_w
6.72217687075;0.150929705215;4;8;1;1;5;0.838503401361;"""4/4""";57;1;0;1;Gj7;A1;line_w
6.88471655329;0.156734693878;4;8;1;1;7;0.838503401361;"""4/4""";60;1;0;1;Gj7;A1;line_w
7.0820861678;0.168344671202;4;8;1;1;8;0.838503401361;"""4/4""";62;1;0;1;Gj7;A1;line_w
7.29106575964;0.185759637188;4;10;1;2;3;0.854376417234;"""4/4""";64;1;0;1;Gj7;A1;line_w
7.48263038549;0.174149659864;4;10;1;2;5;0.854376417234;"""4/4""";67;1;0;1;Gj7;A1;line_w
7.65714285714;0.0367346938776;4;10;1;2;7;0.854376417234;"""4/4""";65;1;0;1;Gj7;A1;line_w
7.71428571429;0.0857142857143;4;10;1;2;8;0.854376417234;"""4/4""";67;1;0;1;Gj7;A1;line_w
7.81224489796;0.0612244897959;4;10;1;2;9;0.854376417234;"""4/4""";65;1;0;1;Gj7;A1;line_w
7.88163265306;0.163265306122;4;10;1;2;10;0.854376417234;"""4/4""";62;1;0;1;Gj7;A1;line_w
8.07755102041;0.167346938776;4;4;1;3;1;0.844149659864;"""4/4""";64;1;0;1;Gj7;A1;line_w
8.29795918367;0.175510204082;4;4;1;3;2;0.844149659864;"""4/4""";60;1;0;1;Gj7;A1;line_w
8.48163265306;0.183673469388;4;4;1;3;3;0.844149659864;"""4/4""";57;1;0;1;Gj7;A1;line_w
8.72244897959;0.538775510204;4;4;1;3;4;0.844149659864;"""4/4""";62;1;0;1;Gj7;A1;line_w
9.30204081633;0.195918367347;4;4;1;4;3;0.862925170068;"""4/4""";58;1;0;1;Gj7;A1;line_w
9.56326530612;0.151020408163;4;4;1;4;4;0.862925170068;"""4/4""";53;1;0;1;Gj7;A1;line_w
