onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
6.94285714286;0.130612244898;4;2;0;3;2;0.561995464853;"""4/4""";57;1;1;-1;NC;I1;line_w
7.09387755102;0.122448979592;4;6;0;4;1;0.581315192744;"""4/4""";58;1;0;-1;NC;I1;line_w
7.22857142857;0.126530612245;4;6;0;4;2;0.581315192744;"""4/4""";60;1;0;-1;NC;I1;line_w
7.35510204082;0.151020408163;4;6;0;4;3;0.581315192744;"""4/4""";64;1;0;-1;NC;I1;line_w
7.52244897959;0.118367346939;4;6;0;4;5;0.581315192744;"""4/4""";68;1;0;-1;NC;I1;line_w
7.64489795918;0.138775510204;4;6;0;4;6;0.581315192744;"""4/4""";72;1;0;-1;NC;I1;line_w
7.78775510204;0.54693877551;4;1;1;1;1;0.563129251701;"""4/4""";69;1;0;1;F/C;A1;line_w
8.3620861678;0.177052154195;4;4;1;2;2;0.561700680272;"""4/4""";64;1;0;1;F/C;A1;line_w
8.56380952381;0.116099773243;4;4;1;2;3;0.561700680272;"""4/4""";65;1;0;1;F/C;A1;line_w
8.69006802721;0.104489795918;4;4;1;2;4;0.561700680272;"""4/4""";67;1;0;1;F/C;A1;line_w
8.80181405896;0.0943310657596;4;4;1;3;1;0.561882086168;"""4/4""";65;1;0;1;F/C;A1;line_w
8.91210884354;0.577596371882;4;4;1;3;2;0.561882086168;"""4/4""";66;1;0;1;Dbo;A1;line_w
9.5193877551;0.133673469388;4;4;1;4;2;0.598571428571;"""4/4""";63;1;0;1;Dbo;A1;line_w
9.67244897959;0.115306122449;4;4;1;4;3;0.598571428571;"""4/4""";62;1;0;1;Dbo;A1;line_w
9.79183673469;0.14693877551;4;4;1;4;4;0.598571428571;"""4/4""";60;1;0;1;Dbo;A1;line_w
9.94693877551;0.134693877551;4;3;2;1;1;0.562970521542;"""4/4""";59;1;0;1;Dbo;A1;line_w
10.1153061224;0.426530612245;4;3;2;1;2;0.562970521542;"""4/4""";58;1;0;1;D-;A1;line_w
10.5540816327;0.0734693877551;4;4;2;2;1;0.581519274376;"""4/4""";57;1;0;1;D-;A1;line_w
10.6489795918;0.326530612245;4;4;2;2;2;0.581519274376;"""4/4""";55;1;0;1;D-;A1;line_w
11.012244898;0.155102040816;4;4;2;2;4;0.581519274376;"""4/4""";50;1;0;1;D-;A1;line_w
11.1948979592;0.14693877551;4;3;2;3;1;0.571609977324;"""4/4""";54;1;0;1;G-7;A1;line_w
11.4031746032;0.125510204082;4;3;2;3;2;0.571609977324;"""4/4""";58;1;0;1;G-7;A1;line_w
11.5497505669;0.0841723356009;4;3;2;3;3;0.571609977324;"""4/4""";53;1;0;1;G-7;A1;line_w
11.6653061224;0.134693877551;4;4;2;4;1;0.561950113379;"""4/4""";50;1;0;1;G-7;A1;line_w
11.8211337868;0.159183673469;4;4;2;4;2;0.561950113379;"""4/4""";52;1;0;1;G-7;A1;line_w
12.9676190476;0.105941043084;4;6;3;2;2;0.563083900227;"""4/4""";73;2;1;1;C7;A1;line_w_d
13.085170068;0.0754648526077;4;6;3;2;3;0.563083900227;"""4/4""";72;2;0;1;C7;A1;line_w_d
13.1628117914;0.0428117913832;4;6;3;2;4;0.563083900227;"""4/4""";71;2;0;1;C7;A1;line_w_d
13.2215873016;0.142222222222;4;6;3;2;5;0.563083900227;"""4/4""";70;2;0;1;C7;A1;line_w_d
13.3915646259;0.123219954649;4;5;3;3;1;0.580453514739;"""4/4""";66;2;0;1;C7;A1;line_w_d
13.5262585034;0.108253968254;4;5;3;3;2;0.580453514739;"""4/4""";69;2;0;1;G-7;A1;line_w_d
13.6497052154;0.109569160998;4;5;3;3;3;0.580453514739;"""4/4""";67;2;0;1;G-7;A1;line_w_d
13.7839455782;0.10612244898;4;5;3;3;4;0.580453514739;"""4/4""";65;2;0;1;G-7;A1;line_w_d
13.9102040816;0.114285714286;4;5;3;3;5;0.580453514739;"""4/4""";62;2;0;1;G-7;A1;line_w_d
14.0429931973;0.265306122449;4;4;3;4;1;0.544172335601;"""4/4""";64;2;0;1;C7;A1;line_w_d
14.3274376417;0.132063492063;4;4;3;4;3;0.544172335601;"""4/4""";61;2;0;1;C7;A1;line_w_d
14.4693877551;0.151020408163;4;4;3;4;4;0.544172335601;"""4/4""";60;2;0;1;C7;A1;line_w_d
14.6224489796;0.110204081633;4;5;4;1;2;0.535759637188;"""4/4""";58;2;0;1;Fj7;A1;line_w_d
14.7504761905;0.108117913832;4;5;4;1;3;0.535759637188;"""4/4""";55;2;0;1;Fj7;A1;line_w_d
14.8673015873;0.0943310657596;4;5;4;1;4;0.535759637188;"""4/4""";56;2;0;1;Fj7;A1;line_w_d
14.9816326531;0.144897959184;4;5;4;1;5;0.535759637188;"""4/4""";57;2;0;1;Fj7;A1;line_w_d
15.4204081633;0.126530612245;4;4;4;2;3;0.552108843537;"""4/4""";67;2;0;1;Fj7;A1;line_w
15.5632653061;0.10612244898;4;4;4;2;4;0.552108843537;"""4/4""";64;2;0;1;Fj7;A1;line_w
15.6816326531;0.432653061224;4;5;4;3;1;0.55335600907;"""4/4""";65;2;0;1;Fj7;A1;line_w
16.1224489796;0.122448979592;4;5;4;3;5;0.55335600907;"""4/4""";62;2;0;1;Fj7;A1;line_w
16.2857142857;0.0948979591837;4;4;4;4;2;0.571632653061;"""4/4""";58;2;0;1;Fj7;A1;line_w
16.4275510204;0.126530612245;4;4;4;4;3;0.571632653061;"""4/4""";55;2;0;1;Fj7;A1;line_w
16.5714285714;0.0979591836735;4;4;4;4;4;0.571632653061;"""4/4""";52;2;0;1;Fj7;A1;line_w
16.8432199546;0.0972789115646;4;6;5;1;2;0.580453514739;"""4/4""";55;2;0;1;Fj7;A1;line_w
16.9569614512;0.131201814059;4;6;5;1;3;0.580453514739;"""4/4""";52;2;0;1;Fj7;A1;line_w
17.106122449;0.14693877551;4;6;5;1;5;0.580453514739;"""4/4""";53;2;0;1;Fj7;A1;line_w
17.2704081633;0.113741496599;4;6;5;1;6;0.580453514739;"""4/4""";57;2;0;1;Fj7;A1;line_w
17.3959183673;0.10612244898;4;4;5;2;1;0.581473922902;"""4/4""";60;2;0;1;Fj7;A1;line_w
17.5317913832;0.0972335600907;4;4;5;2;2;0.581473922902;"""4/4""";62;2;0;1;Fj7;A1;line_w
17.6406349206;0.126258503401;4;4;5;2;3;0.581473922902;"""4/4""";63;2;0;1;Fj7;A1;line_w
17.7857596372;0.154557823129;4;4;5;2;4;0.581473922902;"""4/4""";65;2;0;1;Fj7;A1;line_w
17.9678911565;0.674829931973;4;1;5;3;1;0.551950113379;"""4/4""";67;2;0;1;A7;A1;line_w
19.4397959184;0.220408163265;4;2;6;1;2;0.548594104308;"""4/4""";65;3;1;1;D-7;A1;line_w
19.6908163265;0.192857142857;4;4;6;2;2;0.594761904762;"""4/4""";69;3;0;1;D-7;A1;line_w
19.8959183673;0.169387755102;4;4;6;2;3;0.594761904762;"""4/4""";72;3;0;1;D-7;A1;line_w
20.0775510204;0.187755102041;4;4;6;2;4;0.594761904762;"""4/4""";70;3;0;1;D-7;A1;line_w
20.2836734694;0.161224489796;4;8;6;3;2;0.543673469388;"""4/4""";65;3;0;1;Dbo;A1;line_w
20.4795918367;0.155102040816;4;8;6;3;5;0.543673469388;"""4/4""";63;3;0;1;Dbo;A1;line_w
20.6897959184;0.159183673469;4;8;6;3;8;0.543673469388;"""4/4""";61;3;0;1;Dbo;A1;line_w
20.8489795918;0.142857142857;4;4;6;4;2;0.600793650794;"""4/4""";58;3;0;1;Dbo;A1;line_w
21.0040816327;0.159183673469;4;4;6;4;3;0.600793650794;"""4/4""";53;3;0;1;Dbo;A1;line_w
21.1826530612;0.165306122449;4;4;6;4;4;0.600793650794;"""4/4""";49;3;0;1;Dbo;A1;line_w
21.356122449;0.163265306122;4;8;7;1;1;0.579365079365;"""4/4""";48;3;0;1;C7;A1;line_w
21.5285714286;0.168367346939;4;8;7;1;4;0.579365079365;"""4/4""";55;3;0;1;C7;A1;line_w
21.7112244898;0.135714285714;4;8;7;1;6;0.579365079365;"""4/4""";52;3;0;1;C7;A1;line_w
21.8693877551;0.14387755102;4;8;7;1;8;0.579365079365;"""4/4""";53;3;0;1;C7;A1;line_w
22.0734693878;0.204081632653;4;3;7;2;2;0.553242630385;"""4/4""";60;3;0;1;C7;A1;line_w
22.2979591837;0.204081632653;4;3;7;2;3;0.553242630385;"""4/4""";57;3;0;1;C7;A1;line_w
22.5142857143;0.138775510204;4;3;7;3;1;0.581609977324;"""4/4""";58;3;0;1;G-7;A1;line_w
22.6944217687;0.183673469388;4;3;7;3;2;0.581609977324;"""4/4""";52;3;0;1;G-7;A1;line_w
22.893877551;0.186734693878;4;3;7;3;3;0.581609977324;"""4/4""";56;3;0;1;G-7;A1;line_w
23.100952381;0.493424036281;4;1;7;4;1;0.561700680272;"""4/4""";60;3;0;1;C7;A1;line_w
24.1792290249;0.212607709751;4;3;8;2;1;0.581337868481;"""4/4""";55;4;1;1;Fj7;A1;line_w
24.4041723356;0.161088435374;4;3;8;2;2;0.581337868481;"""4/4""";57;4;0;1;Fj7;A1;line_w
24.5744897959;0.689795918367;4;3;8;2;3;0.581337868481;"""4/4""";65;4;0;1;Fj7;A1;line_w
25.2775510204;0.05;4;8;8;3;8;0.56179138322;"""4/4""";66;4;0;1;Fj7;A1;line_w
25.337755102;0.0724489795918;4;4;8;4;1;0.571746031746;"""4/4""";65;4;0;1;Fj7;A1;line_w
25.4244897959;0.130612244898;4;4;8;4;2;0.571746031746;"""4/4""";62;4;0;1;Fj7;A1;line_w
25.5795918367;0.138775510204;4;4;8;4;3;0.571746031746;"""4/4""";64;4;0;1;Fj7;A1;line_w
25.7408163265;0.109183673469;4;4;8;4;4;0.571746031746;"""4/4""";60;4;0;1;Fj7;A1;line_w
25.8897959184;0.113265306122;4;4;9;1;1;0.570634920635;"""4/4""";55;4;0;1;F/C;A2;line_w
26.037755102;0.113265306122;4;4;9;1;2;0.570634920635;"""4/4""";52;4;0;1;F/C;A2;line_w
26.1632653061;0.126530612245;4;4;9;1;3;0.570634920635;"""4/4""";55;4;0;1;F/C;A2;line_w
26.3161904762;0.111746031746;4;4;9;1;4;0.570634920635;"""4/4""";52;4;0;1;F/C;A2;line_w
26.4389115646;0.103265306122;4;4;9;2;1;0.544535147392;"""4/4""";53;4;0;1;F/C;A2;line_w
26.5506575964;0.122448979592;4;4;9;2;2;0.544535147392;"""4/4""";57;4;0;1;F/C;A2;line_w
26.6918367347;0.926530612245;4;4;9;2;3;0.544535147392;"""4/4""";60;4;0;1;F/C;A2;line_w
27.8606802721;0.10126984127;4;4;9;4;3;0.581541950113;"""4/4""";59;4;0;1;Dbo;A2;line_w_a
27.9694331066;0.113242630385;4;4;9;4;4;0.581541950113;"""4/4""";60;4;0;1;Dbo;A2;line_w_a
28.1055782313;0.171428571429;4;8;10;1;1;0.543333333333;"""4/4""";61;4;0;1;Dbo;A2;line_w_a
28.3123809524;0.155102040816;4;8;10;1;4;0.543333333333;"""4/4""";62;4;0;1;D-7;A2;line_w_a
28.5003174603;0.126530612245;4;8;10;1;6;0.543333333333;"""4/4""";65;4;0;1;D-7;A2;line_w_a
28.638185941;0.214784580499;4;8;10;1;8;0.543333333333;"""4/4""";62;4;0;1;D-7;A2;line_w_a
28.8754648526;0.22566893424;4;3;10;2;2;0.575419501134;"""4/4""";64;4;0;1;D-7;A2;line_w_a
29.1127437642;0.153106575964;4;3;10;2;3;0.575419501134;"""4/4""";67;4;0;1;D-7;A2;line_w_a
29.3935600907;0.722448979592;4;1;10;3;1;0.567596371882;"""4/4""";72;4;0;1;G-7;A2;line_w_a
31.0806349206;0.0885260770975;4;6;11;2;2;0.589818594104;"""4/4""";74;5;1;1;C7;A2;line_w_d
31.1822222222;0.0856235827664;4;6;11;2;3;0.589818594104;"""4/4""";73;5;0;1;C7;A2;line_w_d
31.2729251701;0.0805442176871;4;6;11;2;4;0.589818594104;"""4/4""";72;5;0;1;C7;A2;line_w_d
31.3614512472;0.065306122449;4;6;11;2;5;0.589818594104;"""4/4""";71;5;0;1;C7;A2;line_w_d
31.4383673469;0.628390022676;4;6;11;2;6;0.589818594104;"""4/4""";70;5;0;1;C7;A2;line_w_d
32.0815873016;0.129206349206;4;4;11;4;1;0.561156462585;"""4/4""";67;5;0;1;C7;A2;line_w_d
32.2204081633;0.134693877551;4;4;11;4;2;0.561156462585;"""4/4""";66;5;0;1;C7;A2;line_w_d
32.363446712;0.122222222222;4;4;11;4;3;0.561156462585;"""4/4""";63;5;0;1;C7;A2;line_w_d
32.4926530612;0.133696145125;4;4;11;4;4;0.561156462585;"""4/4""";61;5;0;1;C7;A2;line_w_d
32.6408163265;0.0816326530612;4;6;12;1;1;0.554081632653;"""4/4""";57;5;0;1;Fj7;A2;line_w_d
32.7346938776;0.114285714286;4;6;12;1;2;0.554081632653;"""4/4""";54;5;0;1;Fj7;A2;line_w_d
32.8721995465;0.156734693878;4;6;12;1;4;0.554081632653;"""4/4""";51;5;0;1;Fj7;A2;line_w_d
33.0489795918;0.0857142857143;4;6;12;1;5;0.554081632653;"""4/4""";49;5;0;1;Fj7;A2;line_w_d
33.1414058957;0.114648526077;4;6;12;1;6;0.554081632653;"""4/4""";48;5;0;1;Fj7;A2;line_w_d
33.2879818594;0.151020408163;4;4;12;2;2;0.589115646259;"""4/4""";55;5;0;1;Fj7;A2;line_w_d
33.4657596372;0.102040816327;4;4;12;2;3;0.589115646259;"""4/4""";52;5;0;1;Fj7;A2;line_w_d
33.5804081633;0.208979591837;4;4;12;2;4;0.589115646259;"""4/4""";53;5;0;1;Fj7;A2;line_w_d
33.8517913832;0.395918367347;4;4;12;3;1;0.560975056689;"""4/4""";62;5;0;1;Fj7;A2;~lick
34.2682993197;0.167346938776;4;4;12;3;4;0.560975056689;"""4/4""";57;5;0;1;Fj7;A2;~lick
34.4671201814;0.448979591837;4;1;12;4;1;0.554308390023;"""4/4""";60;5;0;1;Fj7;A2;~lick
35.5040816327;0.131632653061;4;6;13;2;1;0.571882086168;"""4/4""";67;6;1;1;A7;A2;line_w_d
