onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.72244897959;0.0609523809524;4;6;-2;4;5;0.394739229025;"""4/4""";79;1;1;-1;NC;I1;line_w
3.79501133787;0.0595011337868;4;6;-2;4;6;0.394739229025;"""4/4""";80;1;0;-1;NC;I1;line_w
3.86321995465;0.224943310658;4;2;-1;1;1;0.406349206349;"""4/4""";79;1;0;-1;NC;I1;line_w
4.10557823129;0.121904761905;4;2;-1;1;2;0.406349206349;"""4/4""";77;1;0;-1;NC;I1;line_w
4.24780045351;0.113197278912;4;4;-1;2;1;0.423764172336;"""4/4""";76;1;0;-1;NC;I1;line_w
4.37405895692;0.0478911564626;4;4;-1;2;2;0.423764172336;"""4/4""";77;1;0;-1;NC;I1;line_w
4.44081632653;0.0536961451247;4;4;-1;2;3;0.423764172336;"""4/4""";76;1;0;-1;NC;I1;line_w
4.49795918367;0.126530612245;4;4;-1;2;4;0.423764172336;"""4/4""";74;1;0;-1;NC;I1;line_w
4.63469387755;0.184693877551;4;4;-1;3;1;0.406349206349;"""4/4""";75;1;0;-1;NC;I1;line_w
4.87142857143;0.0959183673469;4;4;-1;3;3;0.406349206349;"""4/4""";66;1;0;-1;NC;I1;line_w
4.99285714286;0.0571428571429;4;4;-1;3;4;0.406349206349;"""4/4""";63;1;0;-1;NC;I1;line_w
5.06428571429;0.0581632653061;4;4;-1;4;1;0.40925170068;"""4/4""";68;1;0;-1;NC;I1;line_w
5.13571428571;0.0734693877551;4;4;-1;4;2;0.40925170068;"""4/4""";72;1;0;-1;NC;I1;line_w
5.23979591837;0.190816326531;4;4;-1;4;3;0.40925170068;"""4/4""";77;1;0;-1;NC;I1;line_w
5.45306122449;0.219387755102;4;6;0;1;1;0.403446712018;"""4/4""";75;1;0;-1;NC;I1;line_w
5.69387755102;0.138775510204;4;6;0;1;4;0.403446712018;"""4/4""";73;1;0;-1;NC;I1;line_w
5.8398185941;0.212244897959;4;6;0;1;6;0.403446712018;"""4/4""";74;1;0;-1;NC;I1;line_w
6.0612244898;0.169387755102;4;2;0;2;2;0.400544217687;"""4/4""";73;1;0;-1;NC;I1;line_w
6.24897959184;0.126530612245;4;4;0;3;1;0.400544217687;"""4/4""";72;1;0;-1;NC;I1;line_w
6.39081632653;0.0928571428571;4;4;0;3;2;0.400544217687;"""4/4""";66;1;0;-1;NC;I1;line_w
6.4887755102;0.065306122449;4;4;0;3;3;0.400544217687;"""4/4""";63;1;0;-1;NC;I1;line_w
6.56530612245;0.319387755102;4;4;0;3;4;0.400544217687;"""4/4""";61;1;0;-1;NC;I1;line_w
6.98571428571;0.391836734694;4;4;0;4;4;0.393287981859;"""4/4""";60;1;0;-1;NC;I1;~lick
7.42142857143;0.375510204082;4;4;1;1;4;0.410702947846;"""4/4""";61;1;0;1;Gj7;A1;~lick
7.82448979592;0.0673469387755;4;4;1;2;4;0.412154195011;"""4/4""";60;1;0;1;Gj7;A1;~lick
7.91836734694;0.275510204082;4;4;1;3;1;0.417959183673;"""4/4""";62;1;0;1;Gj7;A1;~lick
8.21986394558;0.351201814059;4;4;1;3;4;0.417959183673;"""4/4""";63;1;0;1;Gj7;A1;~lick
9.41836734694;0.0581632653061;4;4;2;2;4;0.377324263039;"""4/4""";62;2;1;1;Gj7;A1;#lick
9.49591836735;0.25;4;3;2;3;1;0.413605442177;"""4/4""";64;2;0;1;Gj7;A1;#lick
9.76224489796;0.115306122449;4;3;2;3;3;0.413605442177;"""4/4""";65;2;0;1;Gj7;A1;#lick
9.88979591837;0.219387755102;4;2;2;4;1;0.397641723356;"""4/4""";67;2;0;1;Gj7;A1;#lick
10.1336734694;0.111224489796;4;2;2;4;2;0.397641723356;"""4/4""";69;2;0;1;Gj7;A1;#lick
10.2653061224;0.310204081633;4;4;3;1;1;0.378775510204;"""4/4""";70;2;0;1;Gj7;A1;#lick
10.6183673469;0.0612244897959;4;4;3;1;4;0.378775510204;"""4/4""";70;2;0;1;Bb-7;A1;#lick
10.7102040816;0.271428571429;4;4;3;2;1;0.383129251701;"""4/4""";72;2;0;1;Bb-7;A1;#lick
10.9989795918;0.0755102040816;4;4;3;2;4;0.383129251701;"""4/4""";70;2;0;1;Bb-7;A1;#lick
11.0918367347;0.270408163265;4;4;3;3;1;0.40925170068;"""4/4""";73;2;0;1;Bb-7;A1;#lick
11.4009977324;0.336689342404;4;4;3;3;4;0.40925170068;"""4/4""";75;2;0;1;Bb-7;A1;#lick
12.537755102;0.0714285714286;4;4;4;2;4;0.397641723356;"""4/4""";70;3;1;1;Eb7;A1;lick
12.6448979592;0.30612244898;4;1;4;3;1;0.420861678005;"""4/4""";76;3;0;1;Eb7;A1;lick
13.0469387755;0.289795918367;4;4;4;4;1;0.394739229025;"""4/4""";78;3;0;1;Eb7;A1;lick
13.3530612245;0.218367346939;4;4;4;4;4;0.394739229025;"""4/4""";74;3;0;1;Eb7;A1;lick
13.7505668934;0.268480725624;4;4;5;1;4;0.370068027211;"""4/4""";71;3;0;1;Gj7;A1;lick
14.1482086168;0.127709750567;4;4;5;2;4;0.39619047619;"""4/4""";67;3;0;1;Gj7;A1;~lick
14.3136507937;0.190113378685;4;6;5;3;3;0.400544217687;"""4/4""";64;3;0;1;Gj7;A1;~lick
