onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.30848072562;0.16253968254;4;10;1;1;6;0.875011337868;"""4/4""";67;1;1;1;F7;A1;lick
7.47682539683;0.0638548752834;4;10;1;1;8;0.875011337868;"""4/4""";66;1;0;1;F7;A1;lick
7.56530612245;0.0580498866213;4;10;1;1;9;0.875011337868;"""4/4""";64;1;0;1;F7;A1;lick
7.62653061224;0.0696598639456;4;10;1;1;10;0.875011337868;"""4/4""";62;1;0;1;F7;A1;lick
7.71224489796;0.0734693877551;4;8;1;2;1;0.838684807256;"""4/4""";63;1;0;1;F7;A1;lick
7.82244897959;0.167346938776;4;8;1;2;2;0.838684807256;"""4/4""";63;1;0;1;F7;A1;lick
8.08163265306;0.0591836734694;4;8;1;2;4;0.838684807256;"""4/4""";54;1;0;1;F7;A1;lick
8.14693877551;0.0448979591837;4;8;1;2;5;0.838684807256;"""4/4""";56;1;0;1;F7;A1;lick
8.24081632653;0.228571428571;4;8;1;2;6;0.838684807256;"""4/4""";58;1;0;1;F7;A1;lick
8.50408163265;0.230612244898;4;8;1;2;8;0.838684807256;"""4/4""";62;1;0;1;F7;A1;lick
8.74081632653;0.0612244897959;4;7;1;3;2;0.856371882086;"""4/4""";60;1;0;1;F7;A1;lick
8.81020408163;0.0571428571429;4;7;1;3;3;0.856371882086;"""4/4""";62;1;0;1;F7;A1;lick
8.88571428571;0.065306122449;4;7;1;3;4;0.856371882086;"""4/4""";60;1;0;1;F7;A1;lick
8.9612244898;0.130612244898;4;7;1;3;5;0.856371882086;"""4/4""";58;1;0;1;F7;A1;lick
9.10612244898;0.165306122449;4;7;1;3;6;0.856371882086;"""4/4""";57;1;0;1;F7;A1;lick
9.31020408163;0.0714285714286;4;7;1;3;7;0.856371882086;"""4/4""";60;1;0;1;F7;A1;lick
9.38163265306;0.0428571428571;4;6;1;4;1;0.824761904762;"""4/4""";63;1;0;1;F7;A1;lick
9.51632653061;0.183673469388;4;6;1;4;2;0.824761904762;"""4/4""";67;1;0;1;F7;A1;lick
9.74077097506;0.0530612244898;4;6;1;4;3;0.824761904762;"""4/4""";59;1;0;1;F7;A1;lick
9.810430839;0.0510204081633;4;6;1;4;4;0.824761904762;"""4/4""";60;1;0;1;F7;A1;~melody
9.87959183673;0.0775510204082;4;6;1;4;5;0.824761904762;"""4/4""";64;1;0;1;F7;A1;~melody
9.97959183673;0.187755102041;4;6;1;4;6;0.824761904762;"""4/4""";65;1;0;1;F7;A1;~melody
10.2244897959;0.155102040816;4;4;2;1;1;0.886326530612;"""4/4""";67;1;0;1;F7;A1;~melody
10.4265306122;0.183673469388;4;4;2;1;2;0.886326530612;"""4/4""";68;1;0;1;Bb7;A1;~melody
10.6224489796;0.19387755102;4;4;2;1;3;0.886326530612;"""4/4""";70;1;0;1;Bb7;A1;~melody
10.8204081633;0.226530612245;4;4;2;1;4;0.886326530612;"""4/4""";72;1;0;1;Bb7;A1;~melody
11.0959183673;0.19387755102;4;4;2;2;1;0.857959183673;"""4/4""";64;1;0;1;Bb7;A1;~melody
11.3326530612;0.240816326531;4;4;2;2;2;0.857959183673;"""4/4""";60;1;0;1;Bb7;A1;~melody
