onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.6;0.10612244898;4;6;0;4;6;0.812131519274;"""4/4""";62;1;1;-1;NC;I1;lick
5.77959183673;0.224489795918;4;2;1;1;1;0.81925170068;"""4/4""";65;1;0;1;Ebj7;A1;lick
6.04897959184;0.159183673469;4;2;1;1;2;0.81925170068;"""4/4""";65;1;0;1;Ebj7;A1;lick
6.51609977324;0.316371882086;4;1;1;2;1;0.841292517007;"""4/4""";65;1;0;1;Ebj7;A1;lick
8.02448979592;0.0857142857143;4;4;1;3;4;0.817392290249;"""4/4""";62;2;1;1;Ebj7;A1;#lick
8.13469387755;0.302040816327;4;2;1;4;1;0.842743764172;"""4/4""";65;2;0;1;Ebj7;A1;#lick
8.51591836735;0.179591836735;4;2;1;4;2;0.842743764172;"""4/4""";65;2;0;1;Ebj7;A1;#lick
9.39591836735;0.0734693877551;4;4;2;1;3;0.828526077098;"""4/4""";62;3;1;1;Ab7911#;A1;#lick
9.48571428571;0.302040816327;4;4;2;1;4;0.828526077098;"""4/4""";65;3;0;1;Ab7911#;A1;#lick
9.80816326531;0.155102040816;4;2;2;2;1;0.819455782313;"""4/4""";66;3;0;1;Ab7911#;A1;#lick
10.1795918367;0.395918367347;4;2;2;2;2;0.819455782313;"""4/4""";56;3;0;1;Ab7911#;A1;#lick
11.1142857143;0.0897959183673;4;6;2;3;4;0.830657596372;"""4/4""";66;4;1;1;Ab7911#;A1;lick
11.2163265306;0.114285714286;4;6;2;3;5;0.830657596372;"""4/4""";62;4;0;1;Ab7911#;A1;lick
11.3551020408;0.110204081633;4;6;2;3;6;0.830657596372;"""4/4""";56;4;0;1;Ab7911#;A1;lick
11.493877551;0.2;4;1;2;4;1;0.824489795918;"""4/4""";54;4;0;1;Ab7911#;A1;lick
12.612244898;0.0816326530612;4;10;3;1;5;0.783673469388;"""4/4""";53;5;1;1;Db7;A1;lick
12.7102040816;0.118367346939;4;10;3;1;6;0.783673469388;"""4/4""";49;5;0;1;Db7;A1;lick
12.8530612245;0.0448979591837;4;10;3;1;8;0.783673469388;"""4/4""";51;5;0;1;Db7;A1;lick
12.9181405896;0.0483900226757;4;10;3;1;9;0.783673469388;"""4/4""";53;5;0;1;Db7;A1;lick
12.9750113379;0.0638548752834;4;10;3;1;10;0.783673469388;"""4/4""";55;5;0;1;Db7;A1;lick
13.0612244898;0.0489795918367;4;6;3;2;1;0.809047619048;"""4/4""";61;5;0;1;Db7;A1;lick
13.1306122449;0.0734693877551;4;6;3;2;2;0.809047619048;"""4/4""";63;5;0;1;Db7;A1;lick
13.2266666667;0.197369614512;4;6;3;2;3;0.809047619048;"""4/4""";67;5;0;1;Db7;A1;lick
13.5469387755;0.244897959184;4;6;3;2;4;0.809047619048;"""4/4""";71;5;0;1;Db7;A1;lick
13.8187755102;0.206077097506;4;6;3;2;6;0.809047619048;"""4/4""";75;5;0;1;Db7;A1;lick
14.1583673469;0.197369614512;4;10;3;3;4;0.79641723356;"""4/4""";71;5;0;1;Db7;A1;lick
14.4734693878;0.155102040816;4;10;3;3;8;0.79641723356;"""4/4""";67;5;0;1;Db7;A1;lick
14.6448979592;0.0897959183673;4;10;3;3;10;0.79641723356;"""4/4""";63;5;0;1;Db7;A1;lick
