onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.77551020408;0.216326530612;4;4;1;1;2;0.435102040816;"""4/4""";79;1;1;1;Bbj7;A1;lick
5.08163265306;0.151020408163;4;4;1;1;4;0.435102040816;"""4/4""";79;1;0;1;Bbj7;A1;lick
5.36734693878;0.204081632653;4;2;1;2;2;0.433129251701;"""4/4""";74;1;0;1;Bbj7;A1;lick
5.60816326531;0.408163265306;4;1;1;3;1;0.387052154195;"""4/4""";77;1;0;1;G-7;A1;lick
6.6612244898;0.142222222222;4;2;2;1;2;0.4;"""4/4""";75;2;1;1;C-7;A1;#line_w
6.95727891156;0.185759637188;4;2;2;2;2;0.405578231293;"""4/4""";77;2;0;1;C-7;A1;#line_w
7.17206349206;0.194467120181;4;2;2;3;1;0.396462585034;"""4/4""";75;2;0;1;C-7;A1;#line_w
7.40426303855;0.16253968254;4;2;2;3;2;0.396462585034;"""4/4""";74;2;0;1;F7;A1;#line_w
7.59873015873;0.238004535147;4;4;2;4;1;0.40612244898;"""4/4""";72;2;0;1;F7;A1;#line_w
7.92671201814;0.0754648526077;4;4;2;4;4;0.40612244898;"""4/4""";73;2;0;1;F7;A1;#line_w
8.02249433107;0.177052154195;4;3;3;1;1;0.410340136054;"""4/4""";74;2;0;1;Bbj7;A1;#line_w
8.29242630385;0.174149659864;4;3;3;1;3;0.410340136054;"""4/4""";74;2;0;1;Bbj7;A1;#line_w
8.64362811791;0.127709750567;4;2;3;2;2;0.401451247166;"""4/4""";69;2;0;1;Bbj7;A1;#line_w
8.84489795918;0.0530612244898;4;4;3;3;1;0.419523809524;"""4/4""";72;2;0;1;G-7;A1;#line_w
8.91020408163;0.0408163265306;4;4;3;3;2;0.419523809524;"""4/4""";74;2;0;1;G-7;A1;#line_w
8.96734693878;0.108163265306;4;4;3;3;3;0.419523809524;"""4/4""";72;2;0;1;G-7;A1;#line_w
9.08979591837;0.163265306122;4;4;3;3;4;0.419523809524;"""4/4""";70;2;0;1;G-7;A1;#line_w
9.28163265306;0.0530612244898;4;6;3;4;2;0.431315192744;"""4/4""";69;2;0;1;G-7;A1;#line_w
9.34081632653;0.0591836734694;4;6;3;4;3;0.431315192744;"""4/4""";70;2;0;1;G-7;A1;#line_w
9.41020408163;0.0448979591837;4;6;3;4;4;0.431315192744;"""4/4""";69;2;0;1;G-7;A1;#line_w
9.49183673469;0.155102040816;4;6;3;4;5;0.431315192744;"""4/4""";67;2;0;1;G-7;A1;#line_w
9.67755102041;0.175510204082;4;6;4;1;1;0.420045351474;"""4/4""";65;2;0;1;C-7;A1;#line_w
9.90612244898;0.10612244898;4;6;4;1;5;0.420045351474;"""4/4""";62;2;0;1;C-7;A1;#line_w
10.0285714286;0.0816326530612;4;6;4;1;6;0.420045351474;"""4/4""";63;2;0;1;C-7;A1;#line_w
10.1632653061;0.065306122449;4;4;4;2;2;0.39156462585;"""4/4""";67;2;0;1;C-7;A1;#line_w
10.2571428571;0.151020408163;4;4;4;2;3;0.39156462585;"""4/4""";70;2;0;1;C-7;A1;#line_w
10.4469387755;0.179591836735;4;2;4;3;1;0.395578231293;"""4/4""";74;2;0;1;C-7;A1;#line_w
10.6571428571;0.144897959184;4;2;4;3;2;0.395578231293;"""4/4""";77;2;0;1;F7;A1;#line_w
10.8244897959;0.216326530612;4;2;4;4;1;0.381201814059;"""4/4""";75;2;0;1;F7;A1;#line_w
11.0775510204;0.0632653061224;4;2;4;4;2;0.381201814059;"""4/4""";72;2;0;1;F7;A1;#line_w
11.2183673469;0.208163265306;4;2;5;1;1;0.392879818594;"""4/4""";74;2;0;1;F7;A1;#line_w
11.4612244898;0.151020408163;4;2;5;1;2;0.392879818594;"""4/4""";70;2;0;1;Bbj7;A1;#line_w
11.6265306122;0.0428571428571;4;4;5;2;1;0.379160997732;"""4/4""";69;2;0;1;Bbj7;A1;#line_w
11.6816326531;0.0551020408163;4;4;5;2;2;0.379160997732;"""4/4""";70;2;0;1;Bbj7;A1;#line_w
11.7469387755;0.0612244897959;4;4;5;2;3;0.379160997732;"""4/4""";69;2;0;1;Bbj7;A1;#line_w
11.8428571429;0.155102040816;4;4;5;2;4;0.379160997732;"""4/4""";67;2;0;1;Bbj7;A1;#line_w
12.0204081633;0.236734693878;4;4;5;3;1;0.401904761905;"""4/4""";68;2;0;1;Bb7;A1;#line_w
12.3204081633;0.336734693878;4;4;5;3;4;0.401904761905;"""4/4""";79;2;0;1;Bb7;A1;#line_w
13.406122449;0.0959183673469;4;3;6;2;2;0.394693877551;"""4/4""";77;3;1;1;Ebj7;A1;line_w
13.5173469388;0.0887755102041;4;3;6;2;3;0.394693877551;"""4/4""";76;3;0;1;Ebj7;A1;line_w
