onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.28716553288;0.19156462585;4;4;0;3;4;0.288412698413;"""4/4""";77;1;1;-1;B7911#;I1;lick
2.58321995465;0.174149659864;4;4;0;4;4;0.302675736961;"""4/4""";80;1;0;-1;B7911#;I1;lick
2.91990929705;0.145124716553;4;2;1;2;1;0.306984126984;"""4/4""";77;1;0;1;Bb7913;A1;lick
3.10566893424;0.133514739229;4;2;1;2;2;0.306984126984;"""4/4""";80;1;0;1;Bb7913;A1;lick
3.23918367347;0.197369614512;4;3;1;3;1;0.293854875283;"""4/4""";79;1;0;1;Bb7913;A1;lick
3.45396825397;0.168344671202;4;3;1;3;3;0.293854875283;"""4/4""";77;1;0;1;Bb7913;A1;lick
3.71519274376;0.104489795918;4;2;1;4;2;0.306893424036;"""4/4""";75;1;0;1;Bb7913;A1;lick
3.81968253968;0.0464399092971;4;4;2;1;1;0.313265306122;"""4/4""";76;1;0;1;Bb7913;A1;lick
3.89514739229;0.0464399092971;4;4;2;1;2;0.313265306122;"""4/4""";77;1;0;1;Eb79#;A1;lick
3.96480725624;0.0754648526077;4;4;2;1;3;0.313265306122;"""4/4""";76;1;0;1;Eb79#;A1;lick
4.05188208617;0.104489795918;4;4;2;1;4;0.313265306122;"""4/4""";74;1;0;1;Eb79#;A1;lick
4.37696145125;0.0928798185941;4;2;2;2;2;0.313378684807;"""4/4""";69;2;1;1;Eb79#;A1;line_w
4.46984126984;0.0464399092971;4;4;2;3;1;0.322290249433;"""4/4""";73;2;0;1;Eb79#;A1;line_w
4.51628117914;0.0638548752834;4;4;2;3;2;0.322290249433;"""4/4""";74;2;0;1;Eb79#;A1;line_w
4.59174603175;0.127709750567;4;4;2;3;3;0.322290249433;"""4/4""";73;2;0;1;Eb79#;A1;line_w
4.7368707483;0.133514739229;4;4;2;3;4;0.322290249433;"""4/4""";71;2;0;1;Eb79#;A1;line_w
4.88780045351;0.116099773243;4;3;2;4;2;0.30798185941;"""4/4""";69;2;0;1;Eb79#;A1;line_w
5.00970521542;0.116099773243;4;3;2;4;3;0.30798185941;"""4/4""";67;2;0;1;Eb79#;A1;line_w
5.14902494331;0.127709750567;4;2;3;1;1;0.302607709751;"""4/4""";68;2;0;1;Abj7;A1;line_w
5.27673469388;0.121904761905;4;2;3;1;2;0.302607709751;"""4/4""";70;2;0;1;Abj7;A1;line_w
5.39863945578;0.168344671202;4;2;3;2;1;0.307891156463;"""4/4""";68;2;0;1;Abj7;A1;line_w
5.56698412698;0.139319727891;4;2;3;2;2;0.307891156463;"""4/4""";70;2;0;1;Abj7;A1;line_w
5.71210884354;0.139319727891;4;2;3;3;1;0.293945578231;"""4/4""";72;2;0;1;Abj7;A1;line_w
5.8862585034;0.139319727891;4;2;3;3;2;0.293945578231;"""4/4""";75;2;0;1;Abj7;A1;line_w
6.03138321995;0.16253968254;4;3;3;4;1;0.29693877551;"""4/4""";77;2;0;1;Abj7;A1;line_w
6.22875283447;0.0986848072562;4;3;3;4;3;0.29693877551;"""4/4""";75;2;0;1;Abj7;A1;line_w
6.37387755102;0.208979591837;4;1;4;1;1;0.323106575964;"""4/4""";78;2;0;1;F7;A1;line_w
6.68734693878;0.185759637188;4;4;4;2;2;0.322335600907;"""4/4""";72;2;0;1;F7;A1;line_w
6.90793650794;0.359909297052;4;4;4;2;4;0.322335600907;"""4/4""";77;2;0;1;F7;A1;line_w
7.40136054422;0.150929705215;4;2;4;4;2;0.312426303855;"""4/4""";75;2;0;1;F7;A1;line_d
7.56390022676;0.133514739229;4;2;5;1;1;0.288140589569;"""4/4""";74;2;0;1;Bb7;A1;line_d
7.69741496599;0.16253968254;4;2;5;1;2;0.288140589569;"""4/4""";73;2;0;1;Bb7;A1;line_d
7.85995464853;0.133514739229;4;2;5;2;1;0.293038548753;"""4/4""";72;2;0;1;Bb7;A1;line_d
8.0166893424;0.145124716553;4;2;5;2;2;0.293038548753;"""4/4""";71;2;0;1;Bb7;A1;line_d
8.16181405896;0.156734693878;4;2;5;3;1;0.298095238095;"""4/4""";70;2;0;1;Bb7;A1;line_d
8.31854875283;0.116099773243;4;2;5;3;2;0.298095238095;"""4/4""";69;2;0;1;Bb7;A1;line_d
8.4462585034;0.139319727891;4;2;5;4;1;0.303514739229;"""4/4""";68;2;0;1;Bb7;A1;line_d
8.59138321995;0.127709750567;4;2;5;4;2;0.303514739229;"""4/4""";70;2;0;1;Bb7;A1;line_d
8.73650793651;0.255419501134;4;1;6;1;1;0.297097505669;"""4/4""";69;2;0;1;Bb-7;A1;line_d
9.6885260771;0.11029478458;4;4;6;4;2;0.323106575964;"""4/4""";75;3;1;1;Bo7;A1;line_w
9.810430839;0.0638548752834;4;4;6;4;3;0.323106575964;"""4/4""";74;3;0;1;Bo7;A1;line_w
9.89170068027;0.0638548752834;4;4;6;4;4;0.323106575964;"""4/4""";73;3;0;1;Bo7;A1;line_w
9.96716553288;0.139319727891;4;2;7;1;1;0.297324263039;"""4/4""";74;3;0;1;Ab/C;A1;line_w
