onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.56326530612;0.195918367347;4;2;2;4;2;0.481972789116;"""4/4""";62;1;1;1;Dsus7;A1;melody
7.75918367347;0.224489795918;4;2;3;1;1;0.486303854875;"""4/4""";64;1;0;1;Dsus7;A1;melody
8.00408163265;0.208163265306;4;2;3;1;2;0.486303854875;"""4/4""";62;1;0;1;Dsus7;A1;melody
8.24489795918;0.236734693878;4;2;3;2;1;0.486507936508;"""4/4""";69;1;0;1;Dsus7;A1;melody
8.49387755102;0.220408163265;4;2;3;2;2;0.486507936508;"""4/4""";71;1;0;1;Dsus7;A1;melody
8.77551020408;0.404081632653;4;8;3;3;2;0.491473922902;"""4/4""";62;1;0;1;Dsus7;A1;melody
9.18775510204;0.265306122449;4;8;3;3;8;0.491473922902;"""4/4""";64;1;0;1;Dsus7;A1;melody
9.47346938776;0.175510204082;4;2;3;4;2;0.447437641723;"""4/4""";62;1;0;1;Dsus7;A1;melody
9.64897959184;5.29306122449;4;1;4;1;1;0.485827664399;"""4/4""";67;1;0;1;Dsus7;A1;melody
14.9884807256;0.0812698412698;4;5;6;4;2;0.44716553288;"""4/4""";67;1;0;1;Fsus7;A1;~lick
15.0697505669;0.0754648526077;4;5;6;4;3;0.44716553288;"""4/4""";69;1;0;1;Fsus7;A1;~lick
15.1800453515;0.0696598639456;4;5;6;4;4;0.44716553288;"""4/4""";72;1;0;1;Fsus7;A1;~lick
15.2787301587;0.11029478458;4;5;6;4;5;0.44716553288;"""4/4""";74;1;0;1;Fsus7;A1;~lick
15.3890249433;0.0812698412698;4;4;7;1;1;0.486258503401;"""4/4""";72;1;0;1;Fsus7;A1;~lick
15.4993197279;0.0638548752834;4;4;7;1;2;0.486258503401;"""4/4""";69;1;0;1;Fsus7;A1;~lick
15.5980045351;0.487619047619;4;4;7;1;3;0.486258503401;"""4/4""";67;1;0;1;Fsus7;A1;~lick
16.0856235828;0.0522448979592;4;6;7;2;4;0.491882086168;"""4/4""";66;1;0;1;Fsus7;A1;~lick
16.1610884354;0.0638548752834;4;6;7;2;5;0.491882086168;"""4/4""";65;1;0;1;Fsus7;A1;~lick
16.236553288;0.0638548752834;4;6;7;2;6;0.491882086168;"""4/4""";64;1;0;1;Fsus7;A1;~lick
16.3178231293;0.104489795918;4;3;7;3;1;0.476462585034;"""4/4""";62;1;0;1;Fsus7;A1;~lick
16.4629478458;0.748843537415;4;3;7;3;2;0.476462585034;"""4/4""";60;1;0;1;Fsus7;A1;~lick
19.1680725624;0.446984126984;4;8;9;1;1;0.46231292517;"""4/4""";74;2;1;1;Fsus7;A1;##+melody
19.6150566893;0.307664399093;4;8;9;1;8;0.46231292517;"""4/4""";76;2;0;1;Dsus7;A2;##+melody
19.9227210884;0.296054421769;4;2;9;2;2;0.450430839002;"""4/4""";74;2;0;1;Dsus7;A2;##+melody
20.2536054422;0.284444444444;4;6;9;3;3;0.492380952381;"""4/4""";76;2;0;1;Dsus7;A2;##+melody
20.5380498866;0.232199546485;4;6;9;3;6;0.492380952381;"""4/4""";74;2;0;1;Dsus7;A2;##+melody
20.7934693878;0.220589569161;4;2;9;4;2;0.456213151927;"""4/4""";76;2;0;1;Dsus7;A2;##+melody
21.0488888889;0.238004535147;4;2;10;1;1;0.487052154195;"""4/4""";74;2;0;1;Dsus7;A2;##+melody
21.30430839;0.278639455782;4;2;10;1;2;0.487052154195;"""4/4""";83;2;0;1;Dsus7;A2;##+melody
21.6177777778;0.197369614512;4;3;10;2;1;0.500612244898;"""4/4""";81;2;0;1;Dsus7;A2;##+melody
21.9370521542;1.71247165533;4;3;10;2;3;0.500612244898;"""4/4""";81;2;0;1;Dsus7;A2;##+melody
24.1603628118;0.214784580499;4;4;11;3;4;0.466757369615;"""4/4""";74;3;1;1;Dsus7;A2;#melody
24.3925623583;0.19156462585;4;3;11;4;2;0.465827664399;"""4/4""";76;3;0;1;Dsus7;A2;#melody
24.5899319728;0.203174603175;4;3;11;4;3;0.465827664399;"""4/4""";74;3;0;1;Dsus7;A2;#melody
24.8163265306;0.226394557823;4;2;12;1;1;0.4820861678;"""4/4""";83;3;0;1;Dsus7;A2;#melody
25.0717460317;0.203174603175;4;2;12;1;2;0.4820861678;"""4/4""";81;3;0;1;Dsus7;A2;#melody
25.3678004535;0.220589569161;4;4;12;2;2;0.48619047619;"""4/4""";81;3;0;1;Dsus7;A2;#melody
25.6406349206;0.156734693878;4;4;12;2;4;0.48619047619;"""4/4""";72;3;0;1;Dsus7;A2;#melody
25.8902494331;0.203174603175;4;4;12;3;2;0.466893424036;"""4/4""";72;3;0;1;Dsus7;A2;#melody
26.1050340136;0.214784580499;4;4;12;3;4;0.466893424036;"""4/4""";74;3;0;1;Dsus7;A2;#melody
26.3720634921;0.156734693878;4;3;12;4;2;0.511360544218;"""4/4""";74;3;0;1;Dsus7;A2;#melody
26.5346031746;0.145124716553;4;3;12;4;3;0.511360544218;"""4/4""";72;3;0;1;Dsus7;A2;#melody
26.7609977324;0.19156462585;4;2;13;1;1;0.481950113379;"""4/4""";79;3;0;1;Fsus7;A2;#melody
26.9699773243;0.203174603175;4;2;13;1;2;0.481950113379;"""4/4""";77;3;0;1;Fsus7;A2;#melody
27.2253968254;3.00117913832;4;1;13;2;1;0.495804988662;"""4/4""";77;3;0;1;Fsus7;A2;#melody
30.2408163265;0.0938775510204;4;6;14;4;3;0.466734693878;"""4/4""";74;3;0;1;Fsus7;A2;~lick
30.3428571429;0.0734693877551;4;6;14;4;4;0.466734693878;"""4/4""";72;3;0;1;Fsus7;A2;~lick
30.4326530612;0.0571428571429;4;6;14;4;5;0.466734693878;"""4/4""";70;3;0;1;Fsus7;A2;~lick
30.5306122449;0.0530612244898;4;6;14;4;6;0.466734693878;"""4/4""";69;3;0;1;Fsus7;A2;~lick
30.6081632653;0.277551020408;4;3;15;1;1;0.486394557823;"""4/4""";67;3;0;1;Fsus7;A2;~lick
30.9102040816;0.220408163265;4;3;15;1;3;0.486394557823;"""4/4""";68;3;0;1;Fsus7;A2;~lick
31.1387755102;0.10612244898;4;3;15;2;1;0.471179138322;"""4/4""";67;3;0;1;Fsus7;A2;~lick
31.2857142857;0.118367346939;4;3;15;2;2;0.471179138322;"""4/4""";65;3;0;1;Fsus7;A2;~lick
31.4530612245;0.102040816327;4;3;15;2;3;0.471179138322;"""4/4""";63;3;0;1;Fsus7;A2;~lick
31.5755102041;0.126530612245;4;3;15;3;1;0.486507936508;"""4/4""";62;3;0;1;Fsus7;A2;~lick
31.7142857143;0.163265306122;4;3;15;3;2;0.486507936508;"""4/4""";63;3;0;1;Fsus7;A2;~lick
31.8775510204;1.23673469388;4;3;15;3;3;0.486507936508;"""4/4""";60;3;0;1;Fsus7;A2;~lick
34.7265306122;0.689795918367;4;2;17;1;2;0.482040816327;"""4/4""";65;4;1;1;Ebsus7;B1;melody
35.4367346939;0.285714285714;4;3;17;3;1;0.466530612245;"""4/4""";68;4;0;1;Ebsus7;B1;melody
35.7265306122;0.175510204082;4;3;17;3;3;0.466530612245;"""4/4""";65;4;0;1;Ebsus7;B1;melody
35.9020408163;0.4;4;1;17;4;1;0.46589569161;"""4/4""";68;4;0;1;Ebsus7;B1;melody
36.3183673469;1.08163265306;4;1;18;1;1;0.48716553288;"""4/4""";72;4;0;1;Ebsus7;B1;melody
37.4693877551;0.281632653061;4;2;18;3;2;0.511541950113;"""4/4""";72;4;0;1;Ebsus7;B1;melody
37.7755102041;0.236734693878;4;2;18;4;1;0.466621315193;"""4/4""";73;4;0;1;Ebsus7;B1;melody
38.0367346939;0.302040816327;4;2;18;4;2;0.466621315193;"""4/4""";75;4;0;1;Ebsus7;B1;melody
38.3836734694;0.355102040816;4;1;19;1;1;0.491836734694;"""4/4""";77;4;0;1;Ebsus7;B1;melody
38.7551020408;3.38775510204;4;1;19;2;1;0.491609977324;"""4/4""";70;4;0;1;Ebsus7;B1;melody
42.2367346939;0.289795918367;4;1;21;1;1;0.481700680272;"""4/4""";71;4;0;1;Dbsus7;B1;~rhythm_mr
42.6897959184;0.285714285714;4;1;21;2;1;0.511541950113;"""4/4""";70;4;0;1;Dbsus7;B1;~rhythm_mr
