onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.99365079365;0.089977324263;4;4;0;3;1;0.249138321995;"""4/4""";50;1;1;-1;NC;I1;lick
6.23746031746;0.0957823129252;4;4;0;3;4;0.249138321995;"""4/4""";52;1;0;-1;NC;I1;lick
6.49868480726;0.104489795918;4;1;1;1;1;0.240702947846;"""4/4""";55;1;0;-1;NC;I1;lick
7.01678004535;0.146575963719;4;4;1;3;1;0.269591836735;"""4/4""";55;1;0;1;G;A1;lick
7.2126984127;0.0841723356009;4;4;1;3;4;0.269591836735;"""4/4""";55;1;0;1;G;A1;lick
7.39845804989;0.116099773243;4;2;1;4;2;0.257868480726;"""4/4""";58;1;0;1;G;A1;lick
7.66258503401;0.316371882086;4;2;2;1;2;0.243741496599;"""4/4""";55;1;0;1;C-7;A1;lick
8.00217687075;0.0986848072562;4;4;2;2;4;0.268004535147;"""4/4""";50;1;0;1;C-7;A1;~#+lick
8.25759637188;0.116099773243;4;1;2;4;1;0.252562358277;"""4/4""";52;1;0;1;F7;A1;~#+lick
8.51882086168;0.089977324263;4;1;3;1;1;0.248911564626;"""4/4""";55;1;0;1;F7;A1;~#+lick
9.03836734694;0.133514739229;4;1;3;3;1;0.248888888889;"""4/4""";55;1;0;1;G;A1;~#+lick
9.28798185941;0.120453514739;4;3;3;4;1;0.242743764172;"""4/4""";55;1;0;1;G;A1;~#+lick
9.45342403628;0.12335600907;4;3;3;4;3;0.242743764172;"""4/4""";61;1;0;1;G;A1;~#+lick
9.70013605442;0.156734693878;4;2;4;1;2;0.253492063492;"""4/4""";60;1;0;1;C-7;A1;~#+lick
9.93523809524;0.116099773243;4;2;4;2;2;0.258049886621;"""4/4""";60;1;0;1;C-7;A1;~line_w
10.0687528345;0.124807256236;4;2;4;3;1;0.253628117914;"""4/4""";58;1;0;1;F7;A1;~line_w
10.2066213152;0.0972335600907;4;2;4;3;2;0.253628117914;"""4/4""";55;1;0;1;F7;A1;~line_w
10.3038548753;0.116099773243;4;2;4;4;1;0.248299319728;"""4/4""";51;1;0;1;F7;A1;~line_w
10.4344671202;0.127709750567;4;2;4;4;2;0.248299319728;"""4/4""";48;1;0;1;F7;A1;~line_w
10.5766893424;0.111746031746;4;2;5;1;1;0.263265306122;"""4/4""";49;1;0;1;Bb;A1;~line_w
10.7073015873;0.119002267574;4;2;5;1;2;0.263265306122;"""4/4""";50;1;0;1;Bb;A1;~line_w
10.8408163265;0.148027210884;4;1;5;2;1;0.240975056689;"""4/4""";53;1;0;1;Bb;A1;~line_w
11.0744671202;0.132063492063;4;2;5;3;1;0.2510430839;"""4/4""";53;1;0;1;Bb;A1;~line_w
11.2181405896;0.065306122449;4;2;5;3;2;0.2510430839;"""4/4""";50;1;0;1;Bb;A1;~line_w
11.300861678;0.107392290249;4;2;5;4;1;0.252358276644;"""4/4""";44;1;0;1;Bb;A1;~line_w
11.4372789116;0.0827210884354;4;2;5;4;2;0.252358276644;"""4/4""";43;1;0;1;Bb;A1;~line_w
11.5446712018;0.133514739229;4;2;6;1;1;0.248321995465;"""4/4""";45;1;0;1;Bb;A1;~line_w
11.7014058957;0.155283446712;4;2;6;1;2;0.248321995465;"""4/4""";48;1;0;1;A-7;A1;~line_w
11.8682993197;0.0798185941043;4;4;6;2;2;0.243673469388;"""4/4""";52;1;0;1;A-7;A1;~line_w
11.9785941043;0.0740136054422;4;4;6;2;4;0.243673469388;"""4/4""";55;1;0;1;A-7;A1;~line_w
12.0714739229;0.124807256236;4;2;6;3;1;0.2679138322;"""4/4""";54;1;0;1;D7;A1;~line_w
12.1991836735;0.0812698412698;4;2;6;3;2;0.2679138322;"""4/4""";55;1;0;1;D7;A1;~line_w
12.3007709751;0.150929705215;4;2;6;4;1;0.243764172336;"""4/4""";57;1;0;1;D7;A1;~line_w
12.4676643991;0.101587301587;4;2;6;4;2;0.243764172336;"""4/4""";54;1;0;1;D7;A1;~line_w
12.5997278912;0.116099773243;4;2;7;1;1;0.242471655329;"""4/4""";55;1;0;1;G;A1;~line_w
