onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.24081632653;0.0734693877551;4;4;-1;1;4;0.339002267574;"""4/4""";58;1;1;-1;NC;I1;line_w
5.34857142857;0.0783673469388;4;3;-1;2;1;0.375396825397;"""4/4""";60;1;0;-1;NC;I1;line_w
5.43782312925;0.0914285714286;4;3;-1;2;2;0.375396825397;"""4/4""";62;1;0;-1;NC;I1;line_w
5.54666666667;0.158911564626;4;3;-1;2;3;0.375396825397;"""4/4""";70;1;0;-1;NC;I1;line_w
5.71863945578;0.165442176871;4;2;-1;3;1;0.368911564626;"""4/4""";68;1;0;-1;NC;I1;line_w
5.90149659864;0.132789115646;4;2;-1;3;2;0.368911564626;"""4/4""";67;1;0;-1;NC;I1;line_w
6.05170068027;0.130612244898;4;2;-1;4;1;0.374603174603;"""4/4""";66;1;0;-1;NC;I1;line_w
6.24081632653;0.179501133787;4;2;-1;4;2;0.374603174603;"""4/4""";65;1;0;-1;NC;I1;line_w
6.42031746032;0.180317460317;4;2;0;1;1;0.364897959184;"""4/4""";63;1;0;-1;NC;I1;line_w
6.62040816327;0.130612244898;4;2;0;1;2;0.364897959184;"""4/4""";61;1;0;-1;NC;I1;line_w
6.78775510204;0.154557823129;4;2;0;2;1;0.341383219955;"""4/4""";60;1;0;-1;NC;I1;line_w
6.94857142857;0.132789115646;4;2;0;2;2;0.341383219955;"""4/4""";58;1;0;-1;NC;I1;line_w
7.10530612245;0.174149659864;4;2;0;3;1;0.368616780045;"""4/4""";56;1;0;-1;NC;I1;line_w
7.30993197279;0.185759637188;4;2;0;3;2;0.368616780045;"""4/4""";55;1;0;-1;NC;I1;line_w
7.52326530612;0.16253968254;4;2;0;4;1;0.358458049887;"""4/4""";54;1;0;-1;NC;I1;line_w
7.70902494331;0.16253968254;4;2;0;4;2;0.358458049887;"""4/4""";56;1;0;-1;NC;I1;line_w
7.95863945578;0.0696598639456;4;4;1;1;2;0.34768707483;"""4/4""";52;1;0;1;Db7;A1;lick
8.04897959184;0.367346938776;4;4;1;1;3;0.34768707483;"""4/4""";53;1;0;1;Db7;A1;lick
8.43936507937;0.187936507937;4;2;1;2;2;0.344829931973;"""4/4""";63;1;0;1;Db7;A1;lick
8.63782312925;0.197369614512;4;1;1;3;1;0.345782312925;"""4/4""";61;1;0;1;Db7;A1;lick
8.9306122449;0.232199546485;4;3;1;4;1;0.36664399093;"""4/4""";56;1;0;1;Db7;A1;lick
9.16607709751;0.150929705215;4;3;1;4;3;0.36664399093;"""4/4""";53;1;0;1;Db7;A1;lick
9.34603174603;0.522448979592;4;1;2;1;1;0.375260770975;"""4/4""";52;1;0;1;C7;A1;lick
9.91238095238;0.15746031746;4;2;2;2;2;0.369387755102;"""4/4""";61;1;0;1;C7;A1;#-lick
10.0816326531;0.25306122449;4;1;2;3;1;0.364444444444;"""4/4""";60;1;0;1;C7;A1;#-lick
10.3822222222;0.208979591837;4;3;2;4;1;0.372562358277;"""4/4""";55;1;0;1;C7;A1;#-lick
10.6144217687;0.148027210884;4;3;2;4;3;0.372562358277;"""4/4""";52;1;0;1;C7;A1;#-lick
10.7918367347;0.563265306122;4;1;3;1;1;0.353718820862;"""4/4""";51;1;0;1;B7911#;A1;#-lick
11.3959183673;0.465306122449;4;4;3;2;4;0.372154195011;"""4/4""";59;1;0;1;B7911#;A1;#-lick
11.8915192744;0.236734693878;4;1;3;4;1;0.360453514739;"""4/4""";51;1;0;1;B7911#;A1;#-lick
12.2753741497;0.340317460317;4;1;4;1;1;0.345192743764;"""4/4""";50;1;0;1;Bb7;A1;#-lick
12.6396371882;0.132063492063;4;3;4;2;2;0.350113378685;"""4/4""";50;1;0;1;Bb7;A1;#-lick
12.773877551;0.142222222222;4;3;4;2;3;0.350113378685;"""4/4""";58;1;0;1;Bb7;A1;#-lick
13.8693877551;0.14693877551;4;2;5;1;2;0.382857142857;"""4/4""";58;2;1;1;Bb-7;A1;lick
14.0408163265;0.118367346939;4;3;5;2;1;0.376666666667;"""4/4""";61;2;0;1;Bb-7;A1;lick
14.1591836735;0.0551020408163;4;3;5;2;2;0.376666666667;"""4/4""";65;2;0;1;Bb-7;A1;lick
14.2302040816;0.236734693878;4;3;5;2;3;0.376666666667;"""4/4""";68;2;0;1;Bb-7;A1;lick
14.4734693878;0.236734693878;4;1;5;3;1;0.345034013605;"""4/4""";72;2;0;1;Bb-7;A1;lick
14.7183673469;0.179591836735;4;2;5;4;1;0.367777777778;"""4/4""";65;2;0;1;Bb-7;A1;lick
14.9428571429;0.187755102041;4;2;5;4;2;0.367777777778;"""4/4""";72;2;0;1;Bb-7;A1;lick
15.1346938776;0.261224489796;4;1;6;1;1;0.36566893424;"""4/4""";71;2;0;1;Eb79b;A1;lick
15.4612244898;0.473469387755;4;1;6;2;1;0.349841269841;"""4/4""";64;2;0;1;Eb79b;A1;lick
16.6334693878;0.12843537415;4;3;7;1;2;0.347551020408;"""4/4""";70;3;1;1;Abj7;A1;line_w
16.7735147392;0.133514739229;4;3;7;1;3;0.347551020408;"""4/4""";68;3;0;1;Abj7;A1;line_w
16.9244444444;0.177052154195;4;2;7;2;1;0.374013605442;"""4/4""";70;3;0;1;Abj7;A1;line_w
17.1265306122;0.163265306122;4;2;7;2;2;0.374013605442;"""4/4""";68;3;0;1;Abj7;A1;line_w
17.3220861678;0.133514739229;4;2;7;3;1;0.368390022676;"""4/4""";67;3;0;1;Abj7;A1;line_w
17.473015873;0.156734693878;4;2;7;3;2;0.368390022676;"""4/4""";65;3;0;1;Abj7;A1;line_w
17.6408163265;0.155102040816;4;2;7;4;1;0.361700680272;"""4/4""";63;3;0;1;Abj7;A1;line_w
17.8358276644;0.156734693878;4;2;7;4;2;0.361700680272;"""4/4""";65;3;0;1;Abj7;A1;line_w
18.0186848073;0.156734693878;4;2;8;1;1;0.343560090703;"""4/4""";66;3;0;1;Eb-7;A1;line_w
18.2040816327;0.138775510204;4;2;8;1;2;0.343560090703;"""4/4""";68;3;0;1;Eb-7;A1;line_w
18.3531972789;0.161088435374;4;2;8;2;1;0.354920634921;"""4/4""";69;3;0;1;Eb-7;A1;line_w
18.5142857143;0.155102040816;4;2;8;2;2;0.354920634921;"""4/4""";67;3;0;1;Eb-7;A1;line_w
18.7020408163;0.204081632653;4;2;8;3;1;0.379591836735;"""4/4""";68;3;0;1;Ab7;A1;line_w
18.9300680272;0.14693877551;4;2;8;3;2;0.379591836735;"""4/4""";66;3;0;1;Ab7;A1;line_w
19.1013151927;0.150929705215;4;2;8;4;1;0.356235827664;"""4/4""";65;3;0;1;Ab7;A1;line_w
19.2816326531;0.212244897959;4;2;8;4;2;0.356235827664;"""4/4""";63;3;0;1;Ab7;A1;line_w
19.493877551;0.473469387755;4;1;9;1;1;0.363401360544;"""4/4""";61;3;0;1;Db7;A2;line_w
20.041723356;0.139319727891;4;4;9;2;4;0.353242630385;"""4/4""";68;3;0;1;Db7;A2;line_w
20.8816326531;0.130612244898;4;2;10;1;1;0.372857142857;"""4/4""";65;4;1;1;C7;A2;lick
21.012244898;0.465306122449;4;2;10;1;2;0.372857142857;"""4/4""";67;4;0;1;C7;A2;lick
21.483537415;0.0391836734694;4;6;10;2;5;0.360385487528;"""4/4""";66;4;0;1;C7;A2;lick
21.5306122449;0.0612244897959;4;6;10;2;6;0.360385487528;"""4/4""";65;4;0;1;C7;A2;lick
21.6040816327;0.204081632653;4;2;10;3;1;0.373015873016;"""4/4""";64;4;0;1;C7;A2;lick
21.8204081633;0.187755102041;4;2;10;3;2;0.373015873016;"""4/4""";60;4;0;1;C7;A2;lick
22.0081632653;0.212244897959;4;1;10;4;1;0.3520861678;"""4/4""";55;4;0;1;C7;A2;lick
22.3448526077;0.121179138322;4;2;11;1;1;0.352653061224;"""4/4""";65;4;0;1;B7911#;A2;#-lick
22.474739229;0.377324263039;4;2;11;1;2;0.352653061224;"""4/4""";66;4;0;1;B7911#;A2;#-lick
22.8653061224;0.155102040816;4;2;11;2;2;0.348299319728;"""4/4""";64;4;0;1;B7911#;A2;#-lick
23.0204081633;0.171428571429;4;2;11;3;1;0.357551020408;"""4/4""";63;4;0;1;B7911#;A2;#-lick
23.2428571429;0.122448979592;4;2;11;3;2;0.357551020408;"""4/4""";59;4;0;1;B7911#;A2;#-lick
23.387755102;0.244897959184;4;4;11;4;1;0.354580498866;"""4/4""";54;4;0;1;B7911#;A2;#-lick
23.6408163265;0.0848979591837;4;4;11;4;4;0.354580498866;"""4/4""";52;4;0;1;B7911#;A2;#-lick
23.7772335601;0.54566893424;4;1;12;1;1;0.351541950113;"""4/4""";53;4;0;1;Bb7;A2;#-lick
26.4272108844;0.182857142857;4;2;13;4;2;0.368911564626;"""4/4""";63;5;1;1;Bb-7;A2;line_w
26.6346938776;0.236734693878;4;3;14;1;1;0.377256235828;"""4/4""";68;5;0;1;Eb79b;A2;line_w
26.8857142857;0.0795918367347;4;3;14;1;3;0.377256235828;"""4/4""";63;5;0;1;Eb79b;A2;line_w
26.9816326531;0.210204081633;4;2;14;2;1;0.362947845805;"""4/4""";67;5;0;1;Eb79b;A2;line_w
27.1979591837;0.14693877551;4;2;14;2;2;0.362947845805;"""4/4""";70;5;0;1;Eb79b;A2;line_w
27.3510204082;0.220408163265;4;3;14;3;1;0.347505668934;"""4/4""";68;5;0;1;Eb79b;A2;line_w
27.5836734694;0.114285714286;4;3;14;3;3;0.347505668934;"""4/4""";63;5;0;1;Eb79b;A2;line_w
27.7387755102;0.185714285714;4;2;14;4;1;0.357256235828;"""4/4""";62;5;0;1;Eb79b;A2;line_w
27.9346938776;0.14693877551;4;2;14;4;2;0.357256235828;"""4/4""";65;5;0;1;Eb79b;A2;line_w
28.1306122449;0.130612244898;4;3;15;1;2;0.3579138322;"""4/4""";63;5;0;1;Abj7;A2;line_w
28.2857142857;0.155102040816;4;3;15;1;3;0.3579138322;"""4/4""";60;5;0;1;Abj7;A2;line_w
28.4714285714;0.142857142857;4;2;15;2;1;0.353492063492;"""4/4""";59;5;0;1;Abj7;A2;line_w
28.6306122449;0.187755102041;4;2;15;2;2;0.353492063492;"""4/4""";61;5;0;1;Abj7;A2;line_w
28.8489795918;0.155102040816;4;4;15;3;2;0.348480725624;"""4/4""";60;5;0;1;Abj7;A2;line_w
