onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
0.69387755102;0.351020408163;4;1;-1;1;1;0.625986394558;"""4/4""";63;1;1;-1;Eb7;I1;melody
1.23646258503;0.226394557823;4;2;-1;2;1;0.626689342404;"""4/4""";60;1;0;-1;Eb7;I1;melody
1.47446712018;0.220589569161;4;2;-1;2;2;0.626689342404;"""4/4""";61;1;0;-1;Eb7;I1;melody
1.77551020408;0.424489795918;4;4;-1;3;1;0.571496598639;"""4/4""";58;1;0;-1;Eb7;I1;melody
2.2;0.285714285714;4;4;-1;3;4;0.571496598639;"""4/4""";56;1;0;-1;Eb7;I1;melody
3.30884353741;0.139319727891;4;4;0;1;3;0.5989569161;"""4/4""";70;1;0;-1;Eb7;I1;melody
3.45977324263;0.43537414966;4;4;0;1;4;0.5989569161;"""4/4""";72;1;0;-1;Eb7;I1;melody
3.90095238095;0.197369614512;4;2;0;2;2;0.581337868481;"""4/4""";70;1;0;-1;Eb7;I1;melody
4.10993197279;0.197369614512;4;7;0;3;1;0.608616780045;"""4/4""";63;1;0;-1;Eb7;I1;melody
4.3306122449;0.191836734694;4;7;0;3;3;0.608616780045;"""4/4""";68;1;0;-1;Eb7;I1;melody
4.57142857143;0.110204081633;4;7;0;3;6;0.608616780045;"""4/4""";67;1;0;-1;Eb7;I1;melody
4.70204081633;0.163265306122;4;7;0;3;7;0.608616780045;"""4/4""";63;1;0;-1;Eb7;I1;melody
4.91020408163;0.122448979592;4;8;0;4;3;0.553469387755;"""4/4""";58;1;0;-1;Eb7;I1;melody
5.09387755102;0.134693877551;4;8;0;4;6;0.553469387755;"""4/4""";56;1;0;-1;Eb7;I1;melody
5.26530612245;0.444897959184;4;8;0;4;8;0.553469387755;"""4/4""";55;1;0;-1;Eb7;I1;melody
5.71020408163;1.36734693878;4;2;1;1;2;0.598707482993;"""4/4""";63;1;0;1;Eb7;A1;melody
7.74385487528;0.150022675737;4;4;2;1;1;0.607120181406;"""4/4""";68;2;1;1;Eb7;A1;lick
7.89387755102;0.0897959183673;4;4;2;1;2;0.607120181406;"""4/4""";70;2;0;1;Eb7;A1;lick
8.0;0.102040816327;4;4;2;1;3;0.607120181406;"""4/4""";68;2;0;1;Eb7;A1;lick
8.11020408163;0.759183673469;4;4;2;1;4;0.607120181406;"""4/4""";63;2;0;1;Eb7;A1;lick
8.8693877551;0.224489795918;4;8;2;2;8;0.6;"""4/4""";68;2;0;1;Eb7;A1;lick
9.09387755102;0.171428571429;4;3;2;3;2;0.5520861678;"""4/4""";67;2;0;1;Eb7;A1;lick
9.26530612245;0.65306122449;4;3;2;3;3;0.5520861678;"""4/4""";63;2;0;1;Eb7;A1;lick
9.9306122449;0.130612244898;4;4;2;4;4;0.608412698413;"""4/4""";60;2;0;1;Eb7;A1;lick
10.1355102041;0.185759637188;4;2;3;1;1;0.57179138322;"""4/4""";63;2;0;1;Eb7;A1;lick
10.3328798186;0.171428571429;4;2;3;1;2;0.57179138322;"""4/4""";63;2;0;1;Eb7;A1;lick
11.5983673469;0.116099773243;4;8;3;3;6;0.598571428571;"""4/4""";55;3;1;1;Eb7;A1;melody
11.7144671202;0.0696598639456;4;8;3;3;7;0.598571428571;"""4/4""";58;3;0;1;Eb7;A1;melody
11.7841269841;0.249614512472;4;8;3;3;8;0.598571428571;"""4/4""";61;3;0;1;Eb7;A1;melody
12.0337414966;0.19156462585;4;3;3;4;2;0.57179138322;"""4/4""";65;3;0;1;Eb7;A1;melody
12.2253061224;0.278639455782;4;3;3;4;3;0.57179138322;"""4/4""";67;3;0;1;Eb7;A1;melody
12.5794104308;0.116099773243;4;4;4;1;2;0.543492063492;"""4/4""";70;3;0;1;Eb7;A1;melody
12.6955102041;0.661768707483;4;4;4;1;3;0.543492063492;"""4/4""";72;3;0;1;Eb7;A1;melody
13.4037188209;0.185759637188;4;2;4;2;2;0.626961451247;"""4/4""";67;3;0;1;Eb7;A1;melody
13.7346031746;0.0754648526077;4;6;4;3;3;0.561904761905;"""4/4""";69;3;0;1;Eb7;A1;melody
13.8332879819;0.158548752834;4;6;4;3;4;0.561904761905;"""4/4""";70;3;0;1;Eb7;A1;melody
13.9918367347;0.0897959183673;4;6;4;3;5;0.561904761905;"""4/4""";67;3;0;1;Eb7;A1;melody
14.0816326531;0.0734693877551;4;6;4;3;6;0.561904761905;"""4/4""";63;3;0;1;Eb7;A1;melody
14.1551020408;0.432653061224;4;4;4;4;1;0.608480725624;"""4/4""";61;3;0;1;Eb7;A1;melody
14.6367346939;0.277551020408;4;4;4;4;4;0.608480725624;"""4/4""";63;3;0;1;Eb7;A1;melody
14.9387755102;0.130612244898;4;4;5;1;2;0.589070294785;"""4/4""";59;3;0;1;Ab7;A1;melody
15.0693877551;0.65306122449;4;4;5;1;3;0.589070294785;"""4/4""";60;3;0;1;Ab7;A1;melody
15.8285714286;0.669387755102;4;4;5;2;4;0.618571428571;"""4/4""";68;3;0;1;Ab7;A1;melody
17.5775056689;0.116099773243;4;4;6;1;4;0.581587301587;"""4/4""";68;4;1;1;Ab7;A1;lick
17.8775510204;0.244897959184;4;3;6;2;2;0.608616780045;"""4/4""";68;4;0;1;Ab7;A1;lick
