onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.49133786848;0.284444444444;4;4;-1;2;4;0.509455782313;"""4/4""";80;1;1;-1;NC;I1;lick
7.99346938776;0.287346938776;4;4;-1;3;4;0.515419501134;"""4/4""";78;1;0;-1;NC;I1;lick
8.47528344671;0.275736961451;4;2;-1;4;2;0.536303854875;"""4/4""";75;1;0;-1;NC;I1;lick
8.96734693878;0.244897959184;4;2;0;1;2;0.485850340136;"""4/4""";73;1;0;-1;NC;I1;lick
9.40612244898;0.208163265306;4;2;0;2;2;0.500952380952;"""4/4""";68;1;0;-1;NC;I1;lick
9.75238095238;0.0812698412698;4;6;0;3;3;0.514693877551;"""4/4""";72;1;0;-1;NC;I1;lick
9.83945578231;0.0696598639456;4;6;0;3;4;0.514693877551;"""4/4""";73;1;0;-1;NC;I1;lick
9.92653061224;0.0638548752834;4;6;0;3;5;0.514693877551;"""4/4""";72;1;0;-1;NC;I1;lick
10.0310204082;0.0928798185941;4;6;0;3;6;0.514693877551;"""4/4""";71;1;0;-1;NC;I1;lick
10.1819501134;0.290249433107;4;1;0;4;1;0.515442176871;"""4/4""";68;1;0;-1;NC;I1;lick
10.652154195;0.0754648526077;4;8;1;1;1;0.512607709751;"""4/4""";70;1;0;1;Bb7;A1;lick
10.7450340136;0.278639455782;4;8;1;1;3;0.512607709751;"""4/4""";72;1;0;1;Bb7;A1;lick
11.0410884354;0.0464399092971;4;8;1;1;7;0.512607709751;"""4/4""";70;1;0;1;Bb7;A1;lick
11.106122449;0.181632653061;4;8;1;1;8;0.512607709751;"""4/4""";72;1;0;1;Bb7;A1;lick
13.2163265306;0.330612244898;4;1;2;2;1;0.499727891156;"""4/4""";65;2;1;1;Eb7;A1;lick_blues
13.7265306122;0.261224489796;4;3;2;3;1;0.469727891156;"""4/4""";77;2;0;1;Eb7;A1;lick_blues
14.0408163265;0.10612244898;4;3;2;3;3;0.469727891156;"""4/4""";75;2;0;1;Eb7;A1;lick_blues
14.212244898;0.142857142857;4;3;2;4;1;0.531995464853;"""4/4""";70;2;0;1;Eb7;A1;lick_blues
