onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.01632653061;0.0775510204082;4;3;2;2;2;0.205102040816;"""4/4""";60;1;1;1;NC;A1;lick
3.09795918367;0.0734693877551;4;3;2;2;3;0.205102040816;"""4/4""";63;1;0;1;NC;A1;lick
3.19387755102;0.55306122449;4;1;2;3;1;0.210759637188;"""4/4""";67;1;0;1;NC;A1;lick
4.28979591837;0.108163265306;4;2;3;4;2;0.204421768707;"""4/4""";63;1;0;1;NC;A1;lick
4.41020408163;0.104081632653;4;2;4;1;1;0.195986394558;"""4/4""";65;1;0;1;NC;A1;lick
4.52040816327;0.0877551020408;4;2;4;1;2;0.195986394558;"""4/4""";62;1;0;1;NC;A1;lick
5.90657596372;0.087074829932;4;2;5;4;2;0.195680272109;"""4/4""";62;2;1;1;NC;A1;lick
6.00671201814;0.148027210884;4;1;6;1;1;0.197517006803;"""4/4""";63;2;0;1;NC;A1;lick
6.2316553288;0.0783673469388;4;2;6;2;1;0.197517006803;"""4/4""";61;2;0;1;NC;A1;lick
6.32244897959;0.0612244897959;4;2;6;2;2;0.197517006803;"""4/4""";62;2;0;1;NC;A1;lick
6.39591836735;0.122448979592;4;3;6;3;1;0.212800453515;"""4/4""";63;2;0;1;NC;A1;lick
6.54285714286;0.0857142857143;4;3;6;3;3;0.212800453515;"""4/4""";66;2;0;1;NC;A1;lick
6.6387755102;0.10612244898;4;2;6;4;1;0.212800453515;"""4/4""";67;2;0;1;NC;A1;lick
6.74693877551;0.065306122449;4;2;6;4;2;0.212800453515;"""4/4""";69;2;0;1;NC;A1;lick
6.81428571429;0.161224489796;4;1;7;1;1;0.200600907029;"""4/4""";70;2;0;1;NC;A1;lick
7.61904761905;0.276530612245;4;1;8;1;1;0.19962585034;"""4/4""";63;3;1;1;NC;A1;lick
7.91510204082;0.271428571429;4;2;8;2;2;0.19962585034;"""4/4""";63;3;0;1;NC;A1;lick
8.22857142857;0.112244897959;4;2;8;4;1;0.193424036281;"""4/4""";77;3;0;1;NC;A1;lick
8.34489795918;0.108163265306;4;2;8;4;2;0.193424036281;"""4/4""";76;3;0;1;NC;A1;lick
8.45496598639;0.0885260770975;4;2;9;1;1;0.193990929705;"""4/4""";75;3;0;1;NC;A1;lick
8.54897959184;0.110204081633;4;2;9;1;2;0.193990929705;"""4/4""";71;3;0;1;NC;A1;lick
8.66394557823;0.101587301587;4;4;9;2;2;0.193990929705;"""4/4""";70;3;0;1;NC;A1;lick
8.76734693878;0.10612244898;4;4;9;2;4;0.193990929705;"""4/4""";69;3;0;1;NC;A1;lick
8.87873015873;0.0595011337868;4;3;9;3;2;0.197505668934;"""4/4""";68;3;0;1;NC;A1;lick
8.94285714286;0.140816326531;4;3;9;3;3;0.197505668934;"""4/4""";71;3;0;1;NC;A1;lick
10.3897959184;0.130612244898;4;2;11;3;1;0.205850340136;"""4/4""";71;4;1;1;NC;A1;line_w_d
10.5244897959;0.0836734693878;4;2;11;3;2;0.205850340136;"""4/4""";69;4;0;1;NC;A1;line_w_d
10.6081632653;0.0938775510204;4;2;11;4;1;0.205850340136;"""4/4""";67;4;0;1;NC;A1;line_w_d
10.7285714286;0.0959183673469;4;2;11;4;2;0.205850340136;"""4/4""";62;4;0;1;NC;A1;line_w_d
10.8285714286;0.102040816327;4;2;12;1;1;0.19537414966;"""4/4""";66;4;0;1;NC;A1;line_w_d
10.9306122449;0.10612244898;4;2;12;1;2;0.19537414966;"""4/4""";63;4;0;1;NC;A1;line_w_d
11.0387755102;0.1;4;2;12;2;1;0.19537414966;"""4/4""";65;4;0;1;NC;A1;line_w_d
11.1489795918;0.0816326530612;4;2;12;2;2;0.19537414966;"""4/4""";63;4;0;1;NC;A1;line_w_d
11.2367346939;0.0897959183673;4;2;12;3;1;0.196428571429;"""4/4""";62;4;0;1;NC;A1;line_w_d
11.3326530612;0.0918367346939;4;2;12;3;2;0.196428571429;"""4/4""";60;4;0;1;NC;A1;line_w_d
11.4387301587;0.0928798185941;4;2;12;4;1;0.196428571429;"""4/4""";59;4;0;1;NC;A1;line_w_d
11.5403174603;0.11029478458;4;2;12;4;2;0.196428571429;"""4/4""";62;4;0;1;NC;A1;line_w_d
11.6520634921;0.0769160997732;4;2;13;1;1;0.195;"""4/4""";61;4;0;1;NC;A1;line_w_d
11.7367346939;0.0551020408163;4;2;13;1;2;0.195;"""4/4""";59;4;0;1;NC;A1;line_w_d
11.7942857143;0.146575963719;4;4;13;2;1;0.195;"""4/4""";60;4;0;1;NC;A1;line_w_d
11.9466666667;0.0754648526077;4;4;13;2;4;0.195;"""4/4""";56;4;0;1;NC;A1;line_w_d
12.0293877551;0.087074829932;4;2;13;3;1;0.205113378685;"""4/4""";55;4;0;1;NC;A1;line_w_d
12.116462585;0.107392290249;4;2;13;3;2;0.205113378685;"""4/4""";56;4;0;1;NC;A1;line_w_d
12.2354648526;0.0885260770975;4;2;13;4;1;0.205113378685;"""4/4""";58;4;0;1;NC;A1;line_w_d
12.3285714286;0.0918367346939;4;2;13;4;2;0.205113378685;"""4/4""";59;4;0;1;NC;A1;line_w_d
13.1530612245;0.0673469387755;4;2;14;4;2;0.206224489796;"""4/4""";51;5;1;1;NC;A1;lick
13.2440816327;0.0986848072562;4;2;15;1;1;0.210884353741;"""4/4""";55;5;0;1;NC;A1;lick
13.3529251701;0.0914285714286;4;2;15;1;2;0.210884353741;"""4/4""";56;5;0;1;NC;A1;lick
13.4443537415;0.0985034013605;4;2;15;2;1;0.210884353741;"""4/4""";58;5;0;1;NC;A1;lick
13.5428571429;0.122448979592;4;2;15;2;2;0.210884353741;"""4/4""";59;5;0;1;NC;A1;lick
14.3397732426;0.0642857142857;4;3;16;2;2;0.205555555556;"""4/4""";55;5;0;1;NC;A1;#+lick
14.4210430839;0.0595691609977;4;3;16;2;3;0.205555555556;"""4/4""";57;5;0;1;NC;A1;#+lick
14.4806122449;0.084693877551;4;2;16;3;1;0.205260770975;"""4/4""";58;5;0;1;NC;A1;#+lick
14.5653061224;0.0959183673469;4;2;16;3;2;0.205260770975;"""4/4""";60;5;0;1;NC;A1;#+lick
14.6632653061;0.15306122449;4;1;16;4;1;0.205260770975;"""4/4""";61;5;0;1;NC;A1;#+lick
15.4412698413;0.0798185941043;4;2;17;3;2;0.205952380952;"""4/4""";50;5;0;1;NC;A1;#-lick
15.5653061224;0.112244897959;4;4;17;4;2;0.205952380952;"""4/4""";55;5;0;1;NC;A1;#-lick
15.687755102;0.0918367346939;4;4;17;4;4;0.205952380952;"""4/4""";56;5;0;1;NC;A1;#-lick
15.7795918367;0.0959183673469;4;4;18;1;2;0.208798185941;"""4/4""";58;5;0;1;NC;A1;#-lick
15.8816326531;0.148979591837;4;4;18;1;4;0.208798185941;"""4/4""";59;5;0;1;NC;A1;#-lick
16.7096598639;0.0507936507937;4;2;19;1;2;0.216541950113;"""4/4""";55;5;0;1;NC;A1;#+lick
16.7720634921;0.0609523809524;4;4;19;2;1;0.216541950113;"""4/4""";57;5;0;1;NC;A1;#+lick
16.8518820862;0.0914285714286;4;4;19;2;2;0.216541950113;"""4/4""";58;5;0;1;NC;A1;#+lick
16.9520181406;0.0856235827664;4;4;19;2;4;0.216541950113;"""4/4""";60;5;0;1;NC;A1;#+lick
17.0530612245;0.14693877551;4;1;19;3;1;0.211950113379;"""4/4""";61;5;0;1;NC;A1;#+lick
17.9204081633;0.108163265306;4;2;20;3;2;0.221179138322;"""4/4""";55;5;0;1;NC;A1;#-lick
18.0448979592;0.0857142857143;4;3;20;4;1;0.221179138322;"""4/4""";56;5;0;1;NC;A1;#-lick
18.1408163265;0.0857142857143;4;3;20;4;2;0.221179138322;"""4/4""";58;5;0;1;NC;A1;#-lick
18.2448979592;0.208163265306;4;3;20;4;3;0.221179138322;"""4/4""";59;5;0;1;NC;A1;#-lick
19.0959183673;0.104081632653;4;2;21;4;2;0.226099773243;"""4/4""";55;5;0;1;NC;A1;#+lick
19.2058049887;0.0667573696145;4;2;22;1;1;0.214807256236;"""4/4""";57;5;0;1;NC;A1;#+lick
