onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.04897959184;0.132653061224;4;3;1;3;1;0.213265306122;"""4/4""";65;1;1;1;NC;A1;line_w
4.18775510204;0.110204081633;4;3;1;3;3;0.213265306122;"""4/4""";63;1;0;1;NC;A1;line_w
4.30408163265;0.0816326530612;4;3;1;4;2;0.213265306122;"""4/4""";62;1;0;1;NC;A1;line_w
4.39183673469;0.069387755102;4;3;1;4;3;0.213265306122;"""4/4""";60;1;0;1;NC;A1;line_w
4.4612244898;0.132653061224;4;3;2;1;1;0.224909297052;"""4/4""";63;1;0;1;NC;A1;line_w
4.60816326531;0.0673469387755;4;3;2;1;3;0.224909297052;"""4/4""";59;1;0;1;NC;A1;line_w
4.68571428571;0.138775510204;4;3;2;2;1;0.224909297052;"""4/4""";62;1;0;1;NC;A1;line_w
4.82857142857;0.0650340136054;4;3;2;2;3;0.224909297052;"""4/4""";59;1;0;1;NC;A1;line_w
4.89360544218;0.120408163265;4;2;2;3;1;0.224569160998;"""4/4""";60;1;0;1;NC;A1;line_w
5.01836734694;0.11179138322;4;2;2;3;2;0.224569160998;"""4/4""";62;1;0;1;NC;A1;line_w
5.13015873016;0.100136054422;4;2;2;4;1;0.224569160998;"""4/4""";63;1;0;1;NC;A1;line_w
5.23029478458;0.120453514739;4;2;2;4;2;0.224569160998;"""4/4""";65;1;0;1;NC;A1;line_w
5.35074829932;0.111746031746;4;2;3;1;1;0.215317460317;"""4/4""";66;1;0;1;NC;A1;line_w
5.46394557823;0.0914285714286;4;2;3;1;2;0.215317460317;"""4/4""";63;1;0;1;NC;A1;line_w
5.56408163265;0.104489795918;4;2;3;2;1;0.215317460317;"""4/4""";67;1;0;1;NC;A1;line_w
5.67437641723;0.100136054422;4;2;3;2;2;0.215317460317;"""4/4""";64;1;0;1;NC;A1;line_w
5.78902494331;0.0754648526077;4;2;3;3;1;0.202131519274;"""4/4""";60;1;0;1;NC;A1;line_w
5.88770975057;0.0725623582766;4;2;3;3;2;0.202131519274;"""4/4""";56;1;0;1;NC;A1;line_w
6.57850340136;0.152380952381;4;3;4;3;1;0.213299319728;"""4/4""";63;2;1;1;NC;A1;line_d
6.73378684807;0.0914285714286;4;3;4;3;3;0.213299319728;"""4/4""";62;2;0;1;NC;A1;line_d
6.82811791383;0.111746031746;4;2;4;4;1;0.213299319728;"""4/4""";61;2;0;1;NC;A1;line_d
6.94276643991;0.100136054422;4;2;4;4;2;0.213299319728;"""4/4""";60;2;0;1;NC;A1;line_d
7.04870748299;0.0841723356009;4;2;5;1;1;0.202131519274;"""4/4""";58;2;0;1;NC;A1;line_d
