onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
6.05;0.0642857142857;4;2;0;3;2;0.268707482993;"""4/4""";63;1;1;-1;NC;I1;lick
6.16428571429;0.113265306122;4;1;0;4;1;0.262426303855;"""4/4""";62;1;0;-1;NC;I1;lick
6.40816326531;0.650158730159;4;1;1;1;1;0.249092970522;"""4/4""";58;1;0;1;Bb7;A1;lick
7.12272108844;0.089977324263;4;2;1;3;2;0.271065759637;"""4/4""";63;1;0;1;Bb7;A1;#lick
7.22653061224;0.130612244898;4;2;1;4;1;0.270453514739;"""4/4""";62;1;0;1;Bb7;A1;#lick
7.38265306122;0.0867346938776;4;2;1;4;2;0.270453514739;"""4/4""";58;1;0;1;Bb7;A1;#lick
7.63163265306;0.370408163265;4;2;2;1;2;0.275759637188;"""4/4""";58;1;0;1;Eb7;A1;#lick
8.17632653061;0.0696598639456;4;2;2;3;2;0.267755102041;"""4/4""";63;1;0;1;Eb7;A1;#lick
8.30403628118;0.113197278912;4;1;2;4;1;0.26873015873;"""4/4""";62;1;0;1;Eb7;A1;#lick
8.54591836735;0.430612244898;4;1;3;1;1;0.258866213152;"""4/4""";58;1;0;1;Bb7;A1;#lick
9.09693877551;0.216326530612;4;1;3;3;1;0.277097505669;"""4/4""";63;1;0;1;Bb7;A1;#lick
9.34591836735;0.124807256236;4;3;3;4;1;0.25873015873;"""4/4""";62;1;0;1;Bb7;A1;#lick
9.52551020408;0.150929705215;4;3;3;4;3;0.25873015873;"""4/4""";58;1;0;1;Bb7;A1;#lick
10.2980498866;0.258321995465;4;2;4;3;2;0.262653061224;"""4/4""";63;2;1;1;Bb7;A1;lick
10.6028117914;0.0841723356009;4;4;4;4;4;0.259750566893;"""4/4""";61;2;0;1;Bb7;A1;lick
10.7336734694;0.159637188209;4;2;5;1;2;0.286621315193;"""4/4""";63;2;0;1;Eb7;A1;lick
10.9387755102;0.145124716553;4;1;5;2;1;0.268594104308;"""4/4""";61;2;0;1;Eb7;A1;lick
11.206122449;0.226394557823;4;1;5;3;1;0.277800453515;"""4/4""";61;2;0;1;Eb7;A1;lick
11.4755102041;0.148027210884;4;1;5;4;1;0.263106575964;"""4/4""";58;2;0;1;Eb7;A1;lick
11.7551020408;0.344897959184;4;1;6;1;1;0.258231292517;"""4/4""";58;2;0;1;Eb7;A1;lick
12.7;0.101587301587;4;2;6;4;2;0.268820861678;"""4/4""";63;3;1;1;Eb7;A1;##lick
12.8142857143;0.127709750567;4;3;7;1;1;0.262358276644;"""4/4""";62;3;0;1;Bb7;A1;##lick
12.9948979592;0.0696598639456;4;3;7;1;3;0.262358276644;"""4/4""";58;3;0;1;Bb7;A1;##lick
13.2326530612;0.0783673469388;4;2;7;2;2;0.268798185941;"""4/4""";63;3;0;1;Bb7;A1;#lick
13.3311564626;0.142222222222;4;3;7;3;1;0.267641723356;"""4/4""";62;3;0;1;Bb7;A1;#lick
13.5193877551;0.0580498866213;4;3;7;3;3;0.267641723356;"""4/4""";58;3;0;1;Bb7;A1;#lick
14.0136507937;0.0987755102041;4;2;8;1;2;0.262290249433;"""4/4""";67;3;0;1;G7;A1;#+lick
14.1204081633;0.144172335601;4;3;8;2;1;0.249115646259;"""4/4""";65;3;0;1;G7;A1;#+lick
14.2802721088;0.121904761905;4;3;8;2;3;0.249115646259;"""4/4""";62;3;0;1;G7;A1;#+lick
14.8048979592;0.099410430839;4;2;8;4;2;0.274920634921;"""4/4""";63;3;0;1;G7;A1;#-lick
14.9159183673;0.133514739229;4;2;9;1;1;0.268299319728;"""4/4""";62;3;0;1;C-7;A1;#-lick
15.0588662132;0.12843537415;4;2;9;1;2;0.268299319728;"""4/4""";58;3;0;1;C-7;A1;#-lick
15.4369160998;0.281541950113;4;1;9;3;1;0.267959183673;"""4/4""";53;3;0;1;C-7;A1;#-lick
16.1117460317;0.0841723356009;4;4;10;1;3;0.267891156463;"""4/4""";62;3;0;1;F7;A1;#-lick
16.2133333333;0.13641723356;4;4;10;1;4;0.267891156463;"""4/4""";60;3;0;1;F7;A1;#-lick
16.3874829932;0.104489795918;4;2;10;2;2;0.249160997732;"""4/4""";53;3;0;1;F7;A1;#-lick
16.9436734694;0.0359183673469;4;6;10;4;5;0.268820861678;"""4/4""";64;3;0;1;F7;A1;#+lick
16.9853968254;0.0362811791383;4;6;10;4;6;0.268820861678;"""4/4""";63;3;0;1;F7;A1;#+lick
17.0387755102;0.0957823129252;4;2;11;1;1;0.252562358277;"""4/4""";62;3;0;1;Bb7;A1;#+lick
