onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
6.4306122449;0.140816326531;4;2;0;4;2;0.184285714286;"""4/4""";53;1;1;-1;C7;I1;lick
6.62857142857;0.163265306122;4;4;1;1;4;0.189648526077;"""4/4""";55;1;0;1;F7;A1;lick
6.81632653061;0.530612244898;4;4;1;2;4;0.189648526077;"""4/4""";57;1;0;1;F7;A1;lick
7.43673469388;0.0816326530612;4;3;2;2;1;0.187290249433;"""4/4""";58;1;0;1;C7;A1;lick
7.55510204082;0.171428571429;4;3;2;2;3;0.187290249433;"""4/4""";60;1;0;1;C7;A1;lick
7.76530612245;0.0571428571429;4;4;2;3;4;0.197063492063;"""4/4""";62;1;0;1;C7;A1;lick
7.84693877551;0.0816326530612;4;4;2;4;2;0.197063492063;"""4/4""";63;1;0;1;C7;A1;lick
7.95714285714;0.0591836734694;4;4;2;4;4;0.197063492063;"""4/4""";64;1;0;1;C7;A1;lick
8.04693877551;0.0755102040816;4;4;3;1;2;0.186859410431;"""4/4""";67;1;0;1;F7;A1;lick
8.13469387755;0.122448979592;4;4;3;1;4;0.186859410431;"""4/4""";66;1;0;1;F7;A1;lick
8.27142857143;0.0632653061224;4;2;3;2;2;0.186859410431;"""4/4""";65;1;0;1;F7;A1;lick
8.34489795918;0.0836734693878;4;2;3;3;1;0.200136054422;"""4/4""";64;1;0;1;F7;A1;lick
8.44489795918;0.0551020408163;4;2;3;3;2;0.200136054422;"""4/4""";63;1;0;1;F7;A1;lick
8.64285714286;0.0734693877551;4;4;3;4;2;0.200136054422;"""4/4""";58;1;0;1;F7;A1;lick
8.73265306122;0.114285714286;4;4;3;4;4;0.200136054422;"""4/4""";62;1;0;1;F7;A1;lick
8.93532879819;0.124807256236;4;4;4;1;4;0.198979591837;"""4/4""";60;1;0;1;F7;A1;lick
9.07609977324;0.0522448979592;4;2;4;2;2;0.198979591837;"""4/4""";58;1;0;1;F7;A1;lick
9.14430839002;0.0536961451247;4;2;4;3;1;0.191235827664;"""4/4""";57;1;0;1;F7;A1;lick
9.22993197279;0.0711111111111;4;2;4;3;2;0.191235827664;"""4/4""";55;1;0;1;F7;A1;lick
9.5158276644;0.297505668934;4;4;4;4;4;0.191235827664;"""4/4""";53;1;0;1;F7;A1;lick
9.95700680272;0.317823129252;4;1;5;3;1;0.186700680272;"""4/4""";65;1;0;1;Bb7;A1;lick
10.9830385488;0.239455782313;4;2;6;4;2;0.193480725624;"""4/4""";65;2;1;1;Bb7;A1;lick
11.2529705215;0.108843537415;4;4;7;1;4;0.186870748299;"""4/4""";63;2;0;1;Bb7;A1;lick
11.4024489796;0.0507936507937;4;2;7;2;2;0.186870748299;"""4/4""";61;2;0;1;Bb7;A1;lick
11.459047619;0.0972335600907;4;2;7;3;1;0.187857142857;"""4/4""";62;2;0;1;Bb7;A1;lick
11.5765986395;0.0972335600907;4;2;7;3;2;0.187857142857;"""4/4""";58;2;0;1;Bb7;A1;lick
12.6;0.0769160997732;4;2;8;4;2;0.196281179138;"""4/4""";58;3;1;1;Bb7;A1;lick
12.7463038549;0.120453514739;4;2;9;1;2;0.1879138322;"""4/4""";61;3;0;1;Bb-7;A1;lick
12.9262585034;0.0580498866213;4;2;9;2;2;0.1879138322;"""4/4""";64;3;0;1;Bb-7;A1;lick
13.027845805;0.121904761905;4;1;9;3;1;0.197811791383;"""4/4""";65;3;0;1;Bb-7;A1;lick
13.212154195;0.114648526077;4;1;9;4;1;0.197811791383;"""4/4""";64;3;0;1;Bb-7;A1;lick
13.4037188209;0.116099773243;4;1;10;1;1;0.19522675737;"""4/4""";63;3;0;1;Bb-7;A1;lick
13.5952834467;0.113197278912;4;2;10;2;1;0.19522675737;"""4/4""";62;3;0;1;Eb7;A1;lick
13.7186394558;0.148027210884;4;2;10;2;2;0.19522675737;"""4/4""";61;3;0;1;Eb7;A1;lick
13.9421315193;0.0667573696145;4;2;10;3;2;0.187414965986;"""4/4""";56;3;0;1;Eb7;A1;lick
14.027755102;0.116099773243;4;1;10;4;1;0.187414965986;"""4/4""";60;3;0;1;Eb7;A1;lick
14.2207709751;0.114648526077;4;1;11;1;1;0.189977324263;"""4/4""";58;3;0;1;Bb-7;A1;lick
14.4239455782;0.043537414966;4;4;11;2;2;0.189977324263;"""4/4""";56;3;0;1;Bb-7;A1;lick
