onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
8.71328798186;0.255419501134;4;4;1;4;4;0.456961451247;"""4/4""";58;1;1;1;F7;A1;fragment
8.9977324263;0.232199546485;4;2;2;1;2;0.46589569161;"""4/4""";57;1;0;1;Bb7;A1;fragment
10.5650793651;0.239455782313;4;2;2;4;2;0.491814058957;"""4/4""";58;2;1;1;Bb7;A1;#lick
10.8204081633;0.216326530612;4;4;3;1;2;0.456825396825;"""4/4""";57;2;0;1;F7;A1;#lick
11.0816326531;0.232653061224;4;4;3;1;4;0.456825396825;"""4/4""";58;2;0;1;F7;A1;#lick
11.3224489796;0.167346938776;4;4;3;2;2;0.466802721088;"""4/4""";57;2;0;1;F7;A1;#lick
11.5469387755;0.277551020408;4;4;3;2;4;0.466802721088;"""4/4""";58;2;0;1;F7;A1;#lick
11.8326530612;0.2;4;2;3;3;2;0.467052154195;"""4/4""";57;2;0;1;F7;A1;#lick
12.2020861678;0.268480725624;4;4;3;4;2;0.491519274376;"""4/4""";53;2;0;1;F7;A1;#lick
12.4807256236;0.21768707483;4;4;3;4;4;0.491519274376;"""4/4""";51;2;0;1;F7;A1;#lick
13.5111111111;0.181405895692;4;2;4;3;1;0.466848072562;"""4/4""";61;3;1;1;F7;A1;lick
13.7070294785;0.522448979592;4;2;4;3;2;0.466848072562;"""4/4""";62;3;0;1;F7;A1;lick
14.2570521542;0.185759637188;4;2;4;4;2;0.447188208617;"""4/4""";60;3;0;1;F7;A1;lick
14.5995464853;0.188662131519;4;3;5;1;2;0.476530612245;"""4/4""";53;3;0;1;Bb7;A1;lick
14.8027210884;0.166893424036;4;3;5;1;3;0.476530612245;"""4/4""";53;3;0;1;Bb7;A1;lick
14.9986394558;0.268480725624;4;1;5;2;1;0.491927437642;"""4/4""";53;3;0;1;Bb7;A1;lick
15.3904761905;0.319274376417;4;1;5;3;1;0.466666666667;"""4/4""";53;3;0;1;Bb7;A1;lick
16.306122449;0.395918367347;4;1;6;1;1;0.456916099773;"""4/4""";53;3;0;1;Bb7;A1;#fragment
17.2698412698;0.232199546485;4;2;6;3;1;0.44126984127;"""4/4""";53;4;1;1;Bb7;A1;##lick
17.5102040816;0.138775510204;4;2;6;3;2;0.44126984127;"""4/4""";55;4;0;1;Bb7;A1;##lick
17.6816326531;0.236734693878;4;2;6;4;1;0.466689342404;"""4/4""";56;4;0;1;Bb7;A1;##lick
17.9306122449;0.2;4;2;6;4;2;0.466689342404;"""4/4""";58;4;0;1;Bb7;A1;##lick
18.3673469388;0.114285714286;4;4;7;1;3;0.462653061224;"""4/4""";59;4;0;1;F7;A1;##lick
18.5102040816;0.159183673469;4;4;7;1;4;0.462653061224;"""4/4""";59;4;0;1;F7;A1;##lick
18.7306122449;0.240816326531;4;2;7;2;2;0.466712018141;"""4/4""";59;4;0;1;F7;A1;##lick
19.1755102041;0.171428571429;4;1;7;3;1;0.475442176871;"""4/4""";59;4;0;1;F7;A1;##lick
19.7717913832;0.220589569161;4;2;7;4;2;0.451609977324;"""4/4""";62;4;0;1;F7;A1;lick
20.015600907;0.268480725624;4;3;8;1;1;0.447142857143;"""4/4""";60;4;0;1;F7;A1;lick
20.2942403628;0.150929705215;4;3;8;1;3;0.447142857143;"""4/4""";57;4;0;1;F7;A1;lick
20.9102040816;0.277551020408;4;1;8;3;1;0.476553287982;"""4/4""";58;4;0;1;F7;A1;lick
22.0995918367;0.156734693878;4;2;9;1;2;0.454739229025;"""4/4""";59;5;1;1;G-7;A1;fragment
22.3387755102;0.269387755102;4;1;9;2;1;0.47664399093;"""4/4""";60;5;0;1;G-7;A1;fragment
23.1306122449;0.130612244898;4;4;9;3;4;0.45693877551;"""4/4""";57;5;0;1;G-7;A1;lick
