onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.30848072562;0.0478911564626;4;4;2;3;1;0.22619047619;"""4/4""";69;1;1;1;D79b;A1;rhythm_mr
7.36362811791;0.21768707483;4;4;2;3;2;0.22619047619;"""4/4""";70;1;0;1;D79b;A1;rhythm_mr
7.61179138322;0.043537414966;4;3;2;4;2;0.23693877551;"""4/4""";72;1;0;1;D79b;A1;rhythm_mr
7.67419501134;0.0449886621315;4;3;2;4;3;0.23693877551;"""4/4""";70;1;0;1;D79b;A1;rhythm_mr
7.75546485261;0.0696598639456;4;2;3;1;1;0.221292517007;"""4/4""";69;1;0;1;D79b;A1;rhythm_mr
7.84253968254;0.211882086168;4;2;3;1;2;0.221292517007;"""4/4""";70;1;0;1;G-6;A1;rhythm_mr
8.08344671202;0.0449886621315;4;3;3;2;2;0.269319727891;"""4/4""";72;1;0;1;G-6;A1;rhythm_mr
8.14585034014;0.0536961451247;4;3;3;2;3;0.269319727891;"""4/4""";70;1;0;1;G-6;A1;rhythm_mr
8.23002267574;0.0580498866213;4;3;3;3;1;0.229750566893;"""4/4""";69;1;0;1;G-6;A1;rhythm_mr
8.30113378685;0.235102040816;4;3;3;3;2;0.229750566893;"""4/4""";70;1;0;1;G-6;A1;rhythm_mr
8.55365079365;0.0667573696145;4;3;3;4;2;0.249614512472;"""4/4""";72;1;0;1;G-6;A1;rhythm_mr
8.63927437642;0.0957823129252;4;3;3;4;3;0.249614512472;"""4/4""";70;1;0;1;G-6;A1;rhythm_mr
8.7452154195;0.0638548752834;4;3;4;1;1;0.247959183673;"""4/4""";69;1;0;1;Eb7;A1;rhythm_mr
8.82648526077;0.220589569161;4;3;4;1;2;0.247959183673;"""4/4""";70;1;0;1;Eb7;A1;rhythm_mr
9.07609977324;0.0812698412698;4;3;4;2;2;0.249795918367;"""4/4""";72;1;0;1;Eb7;A1;rhythm_mr
9.16027210884;0.0522448979592;4;3;4;2;3;0.249795918367;"""4/4""";70;1;0;1;Eb7;A1;rhythm_mr
9.2212244898;0.0841723356009;4;2;4;3;1;0.258752834467;"""4/4""";69;1;0;1;Eb7;A1;rhythm_mr
9.33732426304;0.21768707483;4;2;4;3;2;0.258752834467;"""4/4""";70;1;0;1;D79b;A1;rhythm_mr
9.59854875283;0.0667573696145;4;3;4;4;2;0.257709750567;"""4/4""";72;1;0;1;D79b;A1;rhythm_mr
9.6798185941;0.0565986394558;4;3;4;4;3;0.257709750567;"""4/4""";69;1;0;1;D79b;A1;rhythm_mr
9.75092970522;0.0565986394558;4;4;5;1;1;0.263038548753;"""4/4""";70;1;0;1;G-6;A1;rhythm_mr
9.82058956916;0.0638548752834;4;4;5;1;2;0.263038548753;"""4/4""";72;1;0;1;G-6;A1;rhythm_mr
9.89605442177;0.0740136054422;4;4;5;1;3;0.263038548753;"""4/4""";70;1;0;1;G-6;A1;rhythm_mr
10.0107029478;0.525351473923;4;1;5;2;1;0.243446712018;"""4/4""";67;1;0;1;G-6;A1;~#-rhythm_mr
10.5505668934;0.0536961451247;4;3;5;4;2;0.249546485261;"""4/4""";69;1;0;1;G-6;A1;~#-rhythm_mr
10.6202267574;0.0536961451247;4;3;5;4;3;0.249546485261;"""4/4""";67;1;0;1;G-6;A1;~#-rhythm_mr
10.6942403628;0.0972335600907;4;2;6;1;1;0.265124716553;"""4/4""";66;1;0;1;G-6;A1;~#-rhythm_mr
10.8059863946;0.24380952381;4;2;6;1;2;0.265124716553;"""4/4""";67;1;0;1;Eb7;A1;~#-rhythm_mr
11.0614058957;0.0580498866213;4;3;6;2;2;0.240476190476;"""4/4""";69;1;0;1;Eb7;A1;~#-rhythm_mr
11.1368707483;0.0740136054422;4;3;6;2;3;0.240476190476;"""4/4""";67;1;0;1;Eb7;A1;~#-rhythm_mr
11.2355555556;0.0725623582766;4;3;6;3;1;0.24566893424;"""4/4""";66;1;0;1;D79b;A1;~#-rhythm_mr
11.3110204082;0.188662131519;4;3;6;3;2;0.24566893424;"""4/4""";67;1;0;1;D79b;A1;~#-rhythm_mr
11.5316099773;0.0638548752834;4;4;6;4;2;0.253106575964;"""4/4""";69;1;0;1;D79b;A1;~#-rhythm_mr
11.6157823129;0.0522448979592;4;4;6;4;3;0.253106575964;"""4/4""";67;1;0;1;D79b;A1;~#-rhythm_mr
11.6810884354;0.0841723356009;4;4;6;4;4;0.253106575964;"""4/4""";66;1;0;1;D79b;A1;~#-rhythm_mr
11.7841269841;0.0507936507937;4;4;7;1;2;0.240997732426;"""4/4""";69;1;0;1;G-6;A1;~#-rhythm_mr
11.8479818594;0.0565986394558;4;4;7;1;3;0.240997732426;"""4/4""";67;1;0;1;G-6;A1;~#-rhythm_mr
11.9176417234;0.0464399092971;4;4;7;1;4;0.240997732426;"""4/4""";65;1;0;1;G-6;A1;~#-rhythm_mr
11.984399093;0.103038548753;4;2;7;2;1;0.24664399093;"""4/4""";63;1;0;1;G-6;A1;~#-rhythm_mr
12.1034013605;0.415056689342;4;2;7;2;2;0.24664399093;"""4/4""";62;1;0;1;G-6;A1;~#-rhythm_mr
12.5518367347;0.113197278912;4;2;7;4;2;0.25029478458;"""4/4""";60;1;0;1;G-6;A1;~#-rhythm_mr
12.6839002268;0.0246712018141;4;4;8;1;1;0.248367346939;"""4/4""";62;1;0;1;G-6;A1;~#-rhythm_mr
12.7158276644;0.0449886621315;4;4;8;1;2;0.248367346939;"""4/4""";63;1;0;1;Eb7;A1;~#-rhythm_mr
12.7680725624;0.0551473922902;4;4;8;1;3;0.248367346939;"""4/4""";62;1;0;1;Eb7;A1;~#-rhythm_mr
12.8464399093;0.0841723356009;4;4;8;1;4;0.248367346939;"""4/4""";60;1;0;1;Eb7;A1;~#-rhythm_mr
12.9422222222;0.0261224489796;4;6;8;2;1;0.226961451247;"""4/4""";62;1;0;1;Eb7;A1;~#-rhythm_mr
12.9712471655;0.0304761904762;4;6;8;2;2;0.226961451247;"""4/4""";63;1;0;1;Eb7;A1;~#-rhythm_mr
13.0075283447;0.0536961451247;4;6;8;2;3;0.226961451247;"""4/4""";62;1;0;1;Eb7;A1;~#-rhythm_mr
13.0887981859;0.087074829932;4;6;8;2;5;0.226961451247;"""4/4""";60;1;0;1;Eb7;A1;~#-rhythm_mr
13.1932879819;0.0406349206349;4;3;8;3;1;0.243968253968;"""4/4""";63;1;0;1;D79b;A1;~#-rhythm_mr
13.2426303855;0.0580498866213;4;3;8;3;2;0.243968253968;"""4/4""";62;1;0;1;D79b;A1;~#-rhythm_mr
