onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
1.76836734694;0.140770975057;4;2;1;4;2;0.401950113379;"""4/4""";67;1;1;1;NC;A1;lick
1.91419501134;0.142222222222;4;3;2;1;1;0.365396825397;"""4/4""";70;1;0;1;G+7;A1;lick
2.06222222222;0.0972335600907;4;3;2;1;2;0.365396825397;"""4/4""";67;1;0;1;G+7;A1;lick
2.16453514739;0.134965986395;4;3;2;1;3;0.365396825397;"""4/4""";68;1;0;1;G+7;A1;lick
2.32142857143;0.139795918367;4;2;2;2;1;0.408163265306;"""4/4""";63;1;0;1;G+7;A1;lick
2.48961451247;0.121428571429;4;2;2;2;2;0.408163265306;"""4/4""";59;1;0;1;G+7;A1;lick
3.02448979592;0.0683673469388;4;4;2;3;4;0.391836734694;"""4/4""";67;2;1;1;G+7;A1;melody
3.09696145125;0.0548752834467;4;4;2;4;1;0.404081632653;"""4/4""";68;2;0;1;G+7;A1;melody
3.15782312925;0.210022675737;4;4;2;4;2;0.404081632653;"""4/4""";67;2;0;1;G+7;A1;melody
3.38575963719;0.154557823129;4;4;2;4;4;0.404081632653;"""4/4""";65;2;0;1;G+7;A1;melody
3.58163265306;0.231632653061;4;4;3;1;2;0.411473922902;"""4/4""";63;2;0;1;Abj7;A1;melody
3.83469387755;0.44693877551;4;4;3;1;4;0.411473922902;"""4/4""";60;2;0;1;Abj7;A1;melody
4.30439909297;0.249614512472;4;3;3;3;1;0.411768707483;"""4/4""";61;2;0;1;Gbj7;A1;melody
4.58775510204;0.480362811791;4;3;3;3;3;0.411768707483;"""4/4""";58;2;0;1;Gbj7;A1;melody
5.13451247166;0.182857142857;4;4;4;1;2;0.38693877551;"""4/4""";59;2;0;1;E-7;A1;melody
5.35083900227;0.118231292517;4;4;4;1;4;0.38693877551;"""4/4""";55;2;0;1;E-7;A1;melody
5.47857142857;0.164285714286;4;2;4;2;1;0.372517006803;"""4/4""";52;2;0;1;E-7;A1;melody
5.69183673469;0.155102040816;4;2;4;2;2;0.372517006803;"""4/4""";50;2;0;1;E-7;A1;melody
5.84897959184;0.241836734694;4;4;4;3;1;0.405419501134;"""4/4""";49;2;0;1;A7;A1;melody
6.13775510204;0.706757369615;4;4;4;3;4;0.405419501134;"""4/4""";60;2;0;1;A7;A1;melody
6.86077097506;0.134965986395;4;2;5;1;2;0.404512471655;"""4/4""";56;2;0;1;F-7;A1;melody
7.05015873016;0.163990929705;4;2;5;2;1;0.395487528345;"""4/4""";53;2;0;1;F-7;A1;melody
7.23011337868;0.161814058957;4;2;5;2;2;0.395487528345;"""4/4""";51;2;0;1;F-7;A1;melody
7.40498866213;0.235827664399;4;6;5;3;1;0.380657596372;"""4/4""";50;2;0;1;Bb7;A1;melody
7.65859410431;0.0628571428571;4;6;5;3;5;0.380657596372;"""4/4""";61;2;0;1;Bb7;A1;melody
7.72743764172;0.136689342404;4;6;5;3;6;0.380657596372;"""4/4""";62;2;0;1;Bb7;A1;melody
8.05918367347;0.163265306122;4;2;5;4;2;0.390408163265;"""4/4""";60;2;0;1;Bb7;A1;melody
