onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.7768707483;0.32;4;2;1;2;2;0.432040816327;"""4/4""";58;1;1;1;Eb-79;A1;melody
4.13315192744;1.23065759637;4;1;1;3;1;0.427482993197;"""4/4""";70;1;0;1;Eb-79;A1;melody
5.44507936508;0.156734693878;4;3;2;2;2;0.431927437642;"""4/4""";68;1;0;1;Eb-79;A1;melody
5.60544217687;0.156734693878;4;3;2;2;3;0.431927437642;"""4/4""";66;1;0;1;Eb-79;A1;melody
5.77959183673;0.182857142857;4;3;2;3;1;0.43746031746;"""4/4""";68;1;0;1;Eb-79;A1;melody
6.05170068027;0.126984126984;4;3;2;3;3;0.43746031746;"""4/4""";70;1;0;1;Eb-79;A1;melody
6.25197278912;0.180680272109;4;2;2;4;1;0.431972789116;"""4/4""";66;1;0;1;Eb-79;A1;melody
6.45986394558;0.157823129252;4;2;2;4;2;0.431972789116;"""4/4""";63;1;0;1;Eb-79;A1;melody
6.61768707483;0.62693877551;4;1;3;1;1;0.422993197279;"""4/4""";69;1;0;1;Eb-79;A1;melody
7.26530612245;0.510204081633;4;2;3;2;2;0.436439909297;"""4/4""";72;1;0;1;F7;A1;melody
9.44036281179;0.150204081633;4;7;4;3;5;0.448503401361;"""4/4""";72;2;1;1;F7;A1;melody
9.6;0.0938775510204;4;7;4;3;7;0.448503401361;"""4/4""";70;2;0;1;F7;A1;melody
9.7052154195;0.150204081633;4;2;4;4;1;0.447188208617;"""4/4""";69;2;0;1;F7;A1;melody
9.89931972789;0.215510204082;4;2;4;4;2;0.447188208617;"""4/4""";65;2;0;1;F7;A1;melody
10.2857142857;0.465306122449;4;2;5;1;2;0.422222222222;"""4/4""";71;2;0;1;E7;A1;melody
10.7733333333;0.163265306122;4;2;5;2;2;0.405850340136;"""4/4""";69;2;0;1;E7;A1;melody
10.9510204082;0.122448979592;4;2;5;3;1;0.447120181406;"""4/4""";68;2;0;1;E7;A1;melody
