onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
6.5683446712;0.134965986395;4;1;1;1;1;0.266802721088;"""4/4""";65;1;1;1;Fm7b5;A1;lick
7.82367346939;0.0725623582766;4;4;2;1;4;0.263514739229;"""4/4""";60;1;0;1;Bb7;A1;lick
7.91074829932;0.178503401361;4;3;2;2;1;0.285238095238;"""4/4""";63;1;0;1;Bb7;A1;lick
8.1052154195;0.0725623582766;4;3;2;2;3;0.285238095238;"""4/4""";60;1;0;1;Bb7;A1;lick
8.1980952381;0.148027210884;4;2;2;3;1;0.275396825397;"""4/4""";62;1;0;1;Bb7;A1;lick
8.3664399093;0.16253968254;4;2;2;3;2;0.275396825397;"""4/4""";58;1;0;1;Bb7;A1;lick
8.67555555556;0.134965986395;4;4;2;4;4;0.275782312925;"""4/4""";61;1;0;1;Bb7;A1;lick
8.99482993197;0.184308390023;4;1;3;2;1;0.265034013605;"""4/4""";58;1;0;1;Eb-7;A1;lick
9.26911564626;0.206077097506;4;4;3;3;1;0.300340136054;"""4/4""";59;1;0;1;Eb-7;A1;lick
9.48825396825;0.12335600907;4;4;3;3;4;0.300340136054;"""4/4""";60;1;0;1;Eb-7;A1;lick
10.5781405896;0.0928798185941;4;4;4;3;4;0.282879818594;"""4/4""";72;2;1;1;Ab7;A1;line_d
10.6884353741;0.148027210884;4;4;4;4;2;0.267482993197;"""4/4""";70;2;0;1;Ab7;A1;line_d
10.8524263039;0.11029478458;4;4;4;4;4;0.267482993197;"""4/4""";68;2;0;1;Ab7;A1;line_d
10.9786848073;0.203174603175;4;2;5;1;2;0.281904761905;"""4/4""";65;2;0;1;Dbo7;A1;line_d
11.2181405896;0.155283446712;4;3;5;2;1;0.289229024943;"""4/4""";63;2;0;1;Dbo7;A1;line_d
11.4155102041;0.377324263039;4;3;5;2;3;0.289229024943;"""4/4""";61;2;0;1;Dbo7;A1;line_d
11.8131519274;0.104489795918;4;4;5;4;2;0.298253968254;"""4/4""";60;2;0;1;Db6;A1;line_d
11.9466666667;0.11029478458;4;4;5;4;4;0.298253968254;"""4/4""";58;2;0;1;Db6;A1;line_d
12.0874376417;0.111746031746;4;2;6;1;1;0.26977324263;"""4/4""";57;2;0;1;Dbj7;A1;line_d
12.2078911565;0.0841723356009;4;2;6;1;2;0.26977324263;"""4/4""";56;2;0;1;Dbj7;A1;line_d
12.318185941;0.0841723356009;4;2;6;2;1;0.264421768707;"""4/4""";54;2;0;1;Dbj7;A1;line_d
12.422675737;0.100136054422;4;2;6;2;2;0.264421768707;"""4/4""";53;2;0;1;Dbj7;A1;line_d
12.5402267574;0.0304761904762;4;4;6;3;1;0.280385487528;"""4/4""";51;2;0;1;Dbj7;A1;line_d
12.6011791383;0.148027210884;4;4;6;3;2;0.280385487528;"""4/4""";49;2;0;1;Dbj7;A1;line_d
12.7883900227;0.0740136054422;4;4;6;3;4;0.280385487528;"""4/4""";51;2;0;1;Dbj7;A1;line_d
13.1584580499;0.150929705215;4;1;7;1;1;0.28022675737;"""4/4""";58;3;1;1;Db-7;A1;line_w
