onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
0.883673469388;0.104081632653;4;4;-2;1;4;0.332040816327;"""4/4""";67;1;1;-1;C-;I1;line_w
1.00612244898;0.130612244898;4;2;-2;2;1;0.303741496599;"""4/4""";65;1;0;-1;C-;I1;line_w
1.14489795918;0.144897959184;4;2;-2;2;2;0.303741496599;"""4/4""";63;1;0;-1;C-;I1;line_w
1.30612244898;0.126530612245;4;2;-2;3;1;0.317210884354;"""4/4""";62;1;0;-1;C-;I1;line_w
1.46734693878;0.144897959184;4;2;-2;3;2;0.317210884354;"""4/4""";63;1;0;-1;C-;I1;line_w
1.63265306122;0.0979591836735;4;4;-2;4;2;0.283038548753;"""4/4""";65;1;0;-1;C-;I1;line_w
1.78571428571;0.136734693878;4;4;-2;4;4;0.283038548753;"""4/4""";67;1;0;-1;C-;I1;line_w
1.95918367347;0.126530612245;4;3;-1;1;2;0.33612244898;"""4/4""";70;1;0;-1;C-;I1;line_w
2.10102040816;0.0836734693878;4;3;-1;1;3;0.33612244898;"""4/4""";71;1;0;-1;C-;I1;line_w
2.20204081633;0.0785714285714;4;4;-1;2;1;0.30306122449;"""4/4""";72;1;0;-1;C-;I1;line_w
2.29183673469;0.124489795918;4;4;-1;2;2;0.30306122449;"""4/4""";73;1;0;-1;C-;I1;line_w
2.43469387755;0.194897959184;4;4;-1;2;4;0.30306122449;"""4/4""";74;1;0;-1;C-;I1;line_w
2.66428571429;0.101020408163;4;2;-1;3;2;0.312879818594;"""4/4""";71;1;0;-1;C-;I1;line_w
2.79081632653;0.127551020408;4;1;-1;4;1;0.263310657596;"""4/4""";67;1;0;-1;C-;I1;line_w
3.06734693878;0.113265306122;4;4;0;1;1;0.275759637188;"""4/4""";70;1;0;-1;C-;I1;line_w
3.27959183673;0.267346938776;4;4;0;1;4;0.275759637188;"""4/4""";71;1;0;-1;C-;I1;line_w
3.59591836735;0.0836734693878;4;4;0;3;1;0.313764172336;"""4/4""";66;1;0;-1;C-;I1;line_w
3.70204081633;0.116326530612;4;4;0;3;2;0.313764172336;"""4/4""";70;1;0;-1;C-;I1;line_w
3.85102040816;0.115306122449;4;4;0;3;4;0.313764172336;"""4/4""";67;1;0;-1;C-;I1;line_w
3.98979591837;0.0724489795918;4;2;0;4;1;0.303945578231;"""4/4""";65;1;0;-1;C-;I1;line_w
4.15408163265;0.0775510204082;4;2;0;4;2;0.303945578231;"""4/4""";65;1;0;-1;C-;I1;line_w
4.27142857143;0.15306122449;4;1;1;1;1;0.311632653061;"""4/4""";67;1;0;1;C-7;A1;line_w
4.8306122449;0.166326530612;4;2;1;3;1;0.293446712018;"""4/4""";65;2;1;1;C-7;A1;lick
5.0112244898;0.105102040816;4;2;1;3;2;0.293446712018;"""4/4""";63;2;0;1;C-7;A1;lick
5.46224489796;0.179591836735;4;3;2;1;1;0.300884353741;"""4/4""";62;2;0;1;C-7;A1;lick
5.65714285714;0.0836734693878;4;3;2;1;3;0.300884353741;"""4/4""";63;2;0;1;C-7;A1;lick
5.78469387755;0.24693877551;4;1;2;2;1;0.307936507937;"""4/4""";65;2;0;1;C-7;A1;lick
6.05612244898;0.25612244898;4;1;2;3;1;0.310090702948;"""4/4""";63;2;0;1;C-7;A1;lick
