onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.54489795918;0.397959183673;3;1;1;1;1;0.328662131519;"""3/4""";62;1;1;1;G;A1;lick
3.01836734694;0.408163265306;3;2;1;2;2;0.325170068027;"""3/4""";64;1;0;1;G;A1;lick
3.44671201814;0.089977324263;3;3;2;1;1;0.333786848073;"""3/4""";64;1;0;1;G;A1;lick
3.56571428571;0.381678004535;3;3;2;1;2;0.333786848073;"""3/4""";65;1;0;1;G;A1;lick
3.97641723356;0.441179138322;3;2;2;2;2;0.327959183673;"""3/4""";64;1;0;1;G;A1;lick
4.45097505669;0.70820861678;3;1;3;1;1;0.329387755102;"""3/4""";62;1;0;1;Bb;A1;lick
5.22244897959;0.0448979591837;3;4;3;3;2;0.31693877551;"""3/4""";60;1;0;1;Bb;A1;lick
5.27959183673;0.155102040816;3;4;3;3;3;0.31693877551;"""3/4""";58;1;0;1;Bb;A1;lick
5.46326530612;0.261224489796;3;1;4;1;1;0.319115646259;"""3/4""";57;1;0;1;Bb;A1;lick
5.74897959184;0.176530612245;3;3;4;2;1;0.323265306122;"""3/4""";58;1;0;1;Bb;A1;lick
5.96224489796;0.123469387755;3;3;4;2;3;0.323265306122;"""3/4""";60;1;0;1;Bb;A1;lick
6.15204081633;0.231632653061;3;1;4;3;1;0.323310657596;"""3/4""";63;1;0;1;Bb;A1;lick
6.40714285714;0.505102040816;3;1;5;1;1;0.32126984127;"""3/4""";62;1;0;1;Ebj7911#;A1;lick
6.94183673469;0.288775510204;3;2;5;2;2;0.323197278912;"""3/4""";55;1;0;1;Ebj7911#;A1;lick
7.27074829932;1.02022675737;3;2;5;3;2;0.31358276644;"""3/4""";57;1;0;1;Ebj7911#;A1;lick
8.63927437642;0.291700680272;3;1;7;2;1;0.321156462585;"""3/4""";60;2;1;1;Ebj7911#;A1;lick
8.94693877551;0.288798185941;3;1;7;3;1;0.315782312925;"""3/4""";62;2;0;1;Ebj7911#;A1;lick
9.58403628118;0.291700680272;3;1;8;2;1;0.313741496599;"""3/4""";63;2;0;1;Ebj7911#;A1;lick
9.92653061224;0.236553287982;3;1;8;3;1;0.313446712018;"""3/4""";65;2;0;1;Ebj7911#;A1;lick
10.3909297052;0.426666666667;3;2;9;1;2;0.322426303855;"""3/4""";67;2;0;1;Dbj7;A1;lick
10.8582312925;0.222040816327;3;1;9;3;1;0.323378684807;"""3/4""";68;2;0;1;Dbj7;A1;lick
11.2312018141;0.446984126984;3;1;10;1;1;0.340589569161;"""3/4""";58;2;0;1;Dbj7;A1;lick
11.7014058957;0.44843537415;3;2;10;2;2;0.33485260771;"""3/4""";60;2;0;1;Dbj7;A1;lick
12.1745124717;0.486167800454;3;6;10;3;6;0.338979591837;"""3/4""";61;2;0;1;Dbj7;A1;lick
12.7187301587;0.57179138322;3;2;11;2;2;0.321156462585;"""3/4""";63;2;0;1;Dbj7;A1;lick
13.5053061224;0.278639455782;3;1;12;2;1;0.313514739229;"""3/4""";53;3;1;1;Dbj7;A1;#lick
13.8071655329;0.297505668934;3;1;12;3;1;0.302902494331;"""3/4""";55;3;0;1;Dbj7;A1;#lick
14.1336961451;0.381678004535;3;1;13;1;1;0.313492063492;"""3/4""";56;3;0;1;Dbj7;A1;#lick
14.553106576;0.449886621315;3;2;13;2;2;0.333265306122;"""3/4""";58;3;0;1;Dbj7;A1;#lick
15.0552380952;0.288798185941;3;1;14;1;1;0.313718820862;"""3/4""";60;3;0;1;Dbj7;A1;#lick
15.3585487528;0.190113378685;3;3;14;2;1;0.302743764172;"""3/4""";61;3;0;1;Dbj7;A1;#lick
15.570430839;0.684988662132;3;3;14;2;3;0.302743764172;"""3/4""";63;3;0;1;Dbj7;A1;#lick
16.2771882086;0.116099773243;3;4;15;1;4;0.303786848073;"""3/4""";65;3;0;1;Dbj7;A1;lick
16.4136054422;0.152380952381;3;2;15;2;2;0.285102040816;"""3/4""";67;3;0;1;Dbj7;A1;lick
16.5863038549;0.143673469388;3;2;15;3;1;0.306099773243;"""3/4""";68;3;0;1;Dbj7;A1;lick
16.7428571429;0.133673469388;3;2;15;3;2;0.306099773243;"""3/4""";70;3;0;1;Dbj7;A1;lick
16.9020408163;0.133673469388;3;2;16;1;1;0.302902494331;"""3/4""";72;3;0;1;Dbj7;A1;lick
17.0602040816;0.118367346939;3;2;16;1;2;0.302902494331;"""3/4""";73;3;0;1;Dbj7;A1;lick
17.2051020408;0.145918367347;3;2;16;2;1;0.296099773243;"""3/4""";72;3;0;1;Dbj7;A1;lick
17.3653061224;0.0928571428571;3;2;16;2;2;0.296099773243;"""3/4""";68;3;0;1;Dbj7;A1;lick
17.4788208617;0.276530612245;3;1;16;3;1;0.313537414966;"""3/4""";63;3;0;1;Dbj7;A1;lick
18.293877551;0.142857142857;3;2;17;2;2;0.303764172336;"""3/4""";72;4;1;1;A-79;A1;#lick
18.4418367347;0.134693877551;3;2;17;3;1;0.313605442177;"""3/4""";71;4;0;1;A-79;A1;#lick
18.6040816327;0.114285714286;3;2;17;3;2;0.313605442177;"""3/4""";67;4;0;1;A-79;A1;#lick
18.7979591837;0.432653061224;3;1;18;1;1;0.323287981859;"""3/4""";62;4;0;1;A-79;A1;#lick
20.1704081633;0.144897959184;3;2;19;2;2;0.309138321995;"""3/4""";71;5;1;1;F+j7;A1;#lick
20.3232653061;0.132789115646;3;2;19;3;1;0.284444444444;"""3/4""";69;5;0;1;F+j7;A1;#lick
