onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.50467120181;0.182857142857;4;2;0;1;2;0.325306122449;"""4/4""";70;1;1;-1;Eb7;I1;lick
4.69333333333;0.0986848072562;4;4;0;2;2;0.332448979592;"""4/4""";68;1;0;-1;Eb7;I1;lick
4.88780045351;0.603718820862;4;4;0;2;4;0.332448979592;"""4/4""";70;1;0;-1;Eb7;I1;lick
5.56734693878;0.0877551020408;4;4;0;4;4;0.328072562358;"""4/4""";63;1;0;-1;Eb7;I1;lick
5.6612244898;0.287755102041;4;1;1;1;1;0.323083900227;"""4/4""";67;1;0;1;Eb7;A1;lick
5.96172335601;0.150929705215;4;3;1;2;1;0.322766439909;"""4/4""";68;1;0;1;Eb7;A1;lick
6.16734693878;0.659183673469;4;3;1;2;3;0.322766439909;"""4/4""";70;1;0;1;Eb7;A1;lick
6.84693877551;0.0632653061224;4;4;1;4;4;0.321746031746;"""4/4""";63;1;0;1;Eb7;A1;lick
6.92653061224;0.21768707483;4;3;2;1;1;0.329024943311;"""4/4""";66;1;0;1;Ab7;A1;lick
7.14693877551;0.151020408163;4;3;2;1;3;0.329024943311;"""4/4""";63;1;0;1;Ab7;A1;lick
7.30557823129;0.0565986394558;4;4;2;2;2;0.330680272109;"""4/4""";68;1;0;1;Ab7;A1;lick
7.36507936508;0.104489795918;4;4;2;2;3;0.330680272109;"""4/4""";66;1;0;1;Ab7;A1;lick
7.49786848073;0.226394557823;4;4;2;2;4;0.330680272109;"""4/4""";70;1;0;1;Ab7;A1;lick
7.74820861678;0.156734693878;4;2;2;3;2;0.329387755102;"""4/4""";63;1;0;1;Ab7;A1;lick
8.42594104308;0.13641723356;4;2;3;1;2;0.334739229025;"""4/4""";63;2;1;1;Eb7;A1;lick
8.5693877551;0.0965079365079;4;3;3;2;1;0.328027210884;"""4/4""";67;2;0;1;Eb7;A1;lick
8.67244897959;0.0965079365079;4;3;3;2;2;0.328027210884;"""4/4""";68;2;0;1;Eb7;A1;lick
8.77551020408;0.0928798185941;4;3;3;2;3;0.328027210884;"""4/4""";67;2;0;1;Eb7;A1;lick
8.88961451247;0.194467120181;4;6;3;3;1;0.330657596372;"""4/4""";70;2;0;1;Eb7;A1;lick
9.18421768707;0.256145124717;4;6;3;3;6;0.330657596372;"""4/4""";70;2;0;1;Eb7;A1;lick
9.45052154195;0.134965986395;4;2;3;4;2;0.342199546485;"""4/4""";68;2;0;1;Eb7;A1;lick
9.6;0.117551020408;4;4;4;1;2;0.312902494331;"""4/4""";67;2;0;1;Eb7;A1;lick
9.72335600907;0.0950566893424;4;4;4;1;3;0.312902494331;"""4/4""";63;2;0;1;Eb7;A1;lick
9.8306122449;0.0732879818594;4;4;4;1;4;0.312902494331;"""4/4""";67;2;0;1;Eb7;A1;lick
9.92959183673;0.0986848072562;4;4;4;2;2;0.329977324263;"""4/4""";65;2;0;1;Eb7;A1;lick
10.0285714286;0.0959183673469;4;4;4;2;3;0.329977324263;"""4/4""";61;2;0;1;Eb7;A1;lick
10.1295918367;0.0928571428571;4;4;4;2;4;0.329977324263;"""4/4""";65;2;0;1;Eb7;A1;lick
10.2298412698;0.528253968254;4;1;4;3;1;0.331247165533;"""4/4""";63;2;0;1;Eb7;A1;lick
10.8163265306;0.0887755102041;4;4;4;4;4;0.336734693878;"""4/4""";63;2;0;1;Eb7;A1;lick
11.0120634921;0.108843537415;4;3;5;1;2;0.323401360544;"""4/4""";68;2;0;1;Ab7;A1;lick
11.1354195011;0.111746031746;4;3;5;1;3;0.323401360544;"""4/4""";70;2;0;1;Ab7;A1;lick
11.3298866213;0.642902494331;4;2;5;2;2;0.339115646259;"""4/4""";72;2;0;1;Ab7;A1;lick
12.0;0.0885260770975;4;3;5;4;2;0.326893424036;"""4/4""";68;2;0;1;Ab7;A1;lick
12.1153061224;0.102040816327;4;3;5;4;3;0.326893424036;"""4/4""";73;2;0;1;Ab7;A1;lick
12.2326530612;0.112244897959;4;3;6;1;1;0.336371882086;"""4/4""";72;2;0;1;Ab7;A1;lick
12.3612244898;0.0632653061224;4;3;6;1;2;0.336371882086;"""4/4""";68;2;0;1;Ab7;A1;lick
12.4342857143;0.105941043084;4;3;6;1;3;0.336371882086;"""4/4""";72;2;0;1;Ab7;A1;lick
12.5489795918;0.127551020408;4;3;6;2;1;0.348979591837;"""4/4""";68;2;0;1;Ab7;A1;lick
12.6868027211;0.117278911565;4;3;6;2;2;0.348979591837;"""4/4""";63;2;0;1;Ab7;A1;lick
12.8040816327;0.0734693877551;4;3;6;2;3;0.348979591837;"""4/4""";68;2;0;1;Ab7;A1;lick
12.8836734694;0.233673469388;4;3;6;3;1;0.347891156463;"""4/4""";66;2;0;1;Ab7;A1;lick
13.1275510204;0.164285714286;4;3;6;3;3;0.347891156463;"""4/4""";63;2;0;1;Ab7;A1;lick
13.8042630385;0.0827210884354;4;2;7;1;2;0.344081632653;"""4/4""";63;3;1;1;Eb7;A1;lick
13.9225396825;0.0972335600907;4;3;7;2;1;0.337551020408;"""4/4""";67;3;0;1;Eb7;A1;lick
14.0342857143;0.103038548753;4;3;7;2;2;0.337551020408;"""4/4""";63;3;0;1;Eb7;A1;lick
14.1532879819;0.100861678005;4;3;7;2;3;0.337551020408;"""4/4""";67;3;0;1;Eb7;A1;lick
14.2577777778;0.0892517006803;4;3;7;3;1;0.342857142857;"""4/4""";68;3;0;1;Eb7;A1;lick
14.3550113379;0.0819954648526;4;3;7;3;2;0.342857142857;"""4/4""";67;3;0;1;Eb7;A1;lick
14.4428117914;0.143673469388;4;3;7;3;3;0.342857142857;"""4/4""";68;3;0;1;Eb7;A1;lick
14.593015873;0.19156462585;4;2;7;4;1;0.333673469388;"""4/4""";70;3;0;1;Eb7;A1;lick
14.7925623583;0.134965986395;4;2;7;4;2;0.333673469388;"""4/4""";67;3;0;1;Eb7;A1;lick
14.9333333333;0.219863945578;4;4;8;1;1;0.32;"""4/4""";63;3;0;1;Eb7;A1;lick
15.1727891156;0.0754648526077;4;4;8;1;4;0.32;"""4/4""";65;3;0;1;Eb7;A1;lick
15.293968254;0.126258503401;4;2;8;2;1;0.322721088435;"""4/4""";67;3;0;1;Eb7;A1;lick
15.4598639456;0.107256235828;4;2;8;2;2;0.322721088435;"""4/4""";70;3;0;1;Eb7;A1;lick
15.5769614512;0.176326530612;4;4;8;3;1;0.344671201814;"""4/4""";75;3;0;1;Eb7;A1;lick
15.8403628118;0.0711111111111;4;4;8;3;4;0.344671201814;"""4/4""";82;3;0;1;Eb7;A1;lick
15.9418367347;0.166326530612;4;3;8;4;1;0.332721088435;"""4/4""";70;3;0;1;Eb7;A1;lick
16.1602721088;0.102766439909;4;3;8;4;3;0.332721088435;"""4/4""";74;3;0;1;Eb7;A1;lick
16.2808163265;0.310566893424;4;1;9;1;1;0.325804988662;"""4/4""";72;3;0;1;Bb7;A1;lick
16.6087981859;0.155283446712;4;2;9;2;1;0.322040816327;"""4/4""";68;3;0;1;Bb7;A1;lick
16.7778684807;0.158185941043;4;2;9;2;2;0.322040816327;"""4/4""";67;3;0;1;Bb7;A1;lick
16.9396825397;0.158185941043;4;2;9;3;1;0.338798185941;"""4/4""";65;3;0;1;Bb7;A1;lick
17.126893424;0.135691609977;4;2;9;3;2;0.338798185941;"""4/4""";67;3;0;1;Bb7;A1;lick
17.2640362812;0.165442176871;4;2;9;4;1;0.332902494331;"""4/4""";68;3;0;1;Bb7;A1;lick
17.4469387755;0.136734693878;4;2;9;4;2;0.332902494331;"""4/4""";70;3;0;1;Bb7;A1;lick
17.6065306122;0.155283446712;4;2;10;1;1;0.324829931973;"""4/4""";68;3;0;1;Ab7;A1;lick
17.7683446712;0.11029478458;4;2;10;1;2;0.324829931973;"""4/4""";66;3;0;1;Ab7;A1;lick
17.8880725624;0.232199546485;4;1;10;2;1;0.322494331066;"""4/4""";63;3;0;1;Ab7;A1;lick
18.2265306122;0.495918367347;4;1;10;3;1;0.330090702948;"""4/4""";66;3;0;1;Ab7;A1;lick
18.7326984127;0.190113378685;4;2;10;4;2;0.332108843537;"""4/4""";63;3;0;1;Ab7;A1;lick
18.9293424036;0.11537414966;4;2;11;1;1;0.325079365079;"""4/4""";58;3;0;1;Eb7;A1;lick
