onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.65306122449;0.163265306122;4;4;0;2;1;0.4;"""4/4""";65;1;1;-1;NC;I1;lick
2.84081632653;0.122448979592;4;4;0;2;3;0.4;"""4/4""";63;1;0;-1;NC;I1;lick
3.02040816327;0.114285714286;4;4;0;2;4;0.4;"""4/4""";65;1;0;-1;NC;I1;lick
3.14285714286;0.10612244898;4;2;0;3;1;0.428571428571;"""4/4""";63;1;0;-1;NC;I1;lick
3.30594104308;0.159637188209;4;2;0;3;2;0.428571428571;"""4/4""";61;1;0;-1;NC;I1;lick
3.53233560091;0.107392290249;4;2;0;4;1;0.420408163265;"""4/4""";58;1;0;-1;NC;I1;lick
3.67346938776;0.228571428571;4;2;0;4;2;0.420408163265;"""4/4""";63;1;0;-1;NC;I1;lick
3.92653061224;1.75510204082;4;1;1;1;1;0.387755102041;"""4/4""";65;1;0;1;Eb7;A1;lick
5.72952380952;0.163265306122;4;2;2;1;2;0.368616780045;"""4/4""";63;1;0;1;Ab7;A1;lick
5.92979591837;0.220408163265;4;2;2;2;1;0.393378684807;"""4/4""";65;1;0;1;Ab7;A1;lick
6.17142857143;0.359183673469;4;2;2;2;2;0.393378684807;"""4/4""";63;1;0;1;Ab7;A1;lick
6.56326530612;0.0734693877551;4;4;2;3;4;0.383015873016;"""4/4""";61;1;0;1;Ab7;A1;lick
6.67573696145;0.244897959184;4;3;2;4;1;0.393310657596;"""4/4""";63;1;0;1;Ab7;A1;lick
6.9387755102;0.359183673469;4;3;2;4;3;0.393310657596;"""4/4""";65;1;0;1;Ab7;A1;lick
7.31428571429;0.0571428571429;4;6;3;1;5;0.389977324263;"""4/4""";64;1;0;1;Eb7;A1;lick
7.37959183673;0.759183673469;4;6;3;1;6;0.389977324263;"""4/4""";65;1;0;1;Eb7;A1;lick
8.87727891156;0.065306122449;4;2;4;1;2;0.402176870748;"""4/4""";64;2;1;1;Eb7;A1;#lick
8.95510204082;1.10204081633;4;1;4;2;1;0.387029478458;"""4/4""";65;2;0;1;Eb7;A1;#lick
10.0897959184;0.163265306122;4;4;4;4;4;0.421995464853;"""4/4""";63;2;0;1;Eb7;A1;#lick
10.3227210884;0.130612244898;4;3;5;1;2;0.396349206349;"""4/4""";65;2;0;1;Ab7;A1;#lick
10.4721995465;0.171428571429;4;3;5;1;3;0.396349206349;"""4/4""";63;2;0;1;Ab7;A1;#lick
10.6753741497;0.130612244898;4;4;5;2;2;0.402630385488;"""4/4""";68;2;0;1;Ab7;A1;#lick
10.8125170068;0.0986848072562;4;4;5;2;3;0.402630385488;"""4/4""";66;2;0;1;Ab7;A1;#lick
10.9242630385;0.145124716553;4;4;5;2;4;0.402630385488;"""4/4""";63;2;0;1;Ab7;A1;#lick
11.0918820862;0.555102040816;4;1;5;3;1;0.397074829932;"""4/4""";65;2;0;1;Ab7;A1;#lick
11.6760090703;0.10612244898;4;4;5;4;4;0.382947845805;"""4/4""";63;2;0;1;Ab7;A1;#lick
11.8040816327;0.122448979592;4;3;6;1;1;0.412176870748;"""4/4""";68;2;0;1;Ab7;A1;#lick
11.937755102;0.069387755102;4;3;6;1;2;0.412176870748;"""4/4""";66;2;0;1;Ab7;A1;#lick
12.0367346939;0.122448979592;4;3;6;1;3;0.412176870748;"""4/4""";63;2;0;1;Ab7;A1;#lick
12.1795918367;0.084693877551;4;4;6;2;1;0.386553287982;"""4/4""";65;2;0;1;Ab7;A1;#lick
12.2826530612;0.123469387755;4;4;6;2;2;0.386553287982;"""4/4""";63;2;0;1;Ab7;A1;#lick
12.5714285714;0.122448979592;4;3;6;3;1;0.402471655329;"""4/4""";68;2;0;1;Ab7;A1;~#lick
12.725260771;0.099410430839;4;3;6;3;2;0.402471655329;"""4/4""";66;2;0;1;Ab7;A1;~#lick
12.8355555556;0.105941043084;4;3;6;3;3;0.402471655329;"""4/4""";63;2;0;1;Ab7;A1;~#lick
12.98430839;0.138775510204;4;2;6;4;1;0.422040816327;"""4/4""";65;2;0;1;Ab7;A1;~#lick
13.1468480726;0.116099773243;4;2;6;4;2;0.422040816327;"""4/4""";63;2;0;1;Ab7;A1;~#lick
13.3959183673;0.14693877551;4;3;7;1;1;0.386961451247;"""4/4""";66;2;0;1;Eb7;A1;~#lick
13.5492063492;0.119229024943;4;3;7;1;2;0.386961451247;"""4/4""";63;2;0;1;Eb7;A1;~#lick
13.6933786848;0.0848072562358;4;3;7;1;3;0.386961451247;"""4/4""";65;2;0;1;Eb7;A1;~#lick
13.8175963719;0.120725623583;4;3;7;2;1;0.377664399093;"""4/4""";63;2;0;1;Eb7;A1;~#lick
13.9510204082;0.114285714286;4;3;7;2;2;0.377664399093;"""4/4""";61;2;0;1;Eb7;A1;~#lick
14.0653061224;0.14693877551;4;3;7;2;3;0.377664399093;"""4/4""";58;2;0;1;Eb7;A1;~#lick
14.2448979592;0.114285714286;4;4;7;3;2;0.384965986395;"""4/4""";56;2;0;1;Eb7;A1;~#lick
14.4163265306;0.0734693877551;4;4;7;3;4;0.384965986395;"""4/4""";53;2;0;1;Eb7;A1;~#lick
14.5142857143;0.0734693877551;4;3;7;4;1;0.384489795918;"""4/4""";55;2;0;1;Eb7;A1;~#lick
14.6530612245;0.791836734694;4;3;7;4;2;0.384489795918;"""4/4""";63;2;0;1;Eb7;A1;~#lick
15.6326530612;0.155102040816;4;4;8;2;4;0.411632653061;"""4/4""";63;3;1;1;C7;A1;#lick
15.8234693878;0.114285714286;4;3;8;3;2;0.432380952381;"""4/4""";61;3;0;1;C7;A1;#lick
15.9755102041;0.889795918367;4;3;8;3;3;0.432380952381;"""4/4""";65;3;0;1;C7;A1;#lick
16.8816326531;0.138775510204;4;6;9;1;6;0.401179138322;"""4/4""";63;3;0;1;F-7;A1;#lick
17.1673469388;0.0979591836735;4;4;9;2;3;0.402743764172;"""4/4""";66;3;0;1;F-7;A1;#lick
17.2653061224;0.10612244898;4;4;9;2;4;0.402743764172;"""4/4""";63;3;0;1;F-7;A1;#lick
17.3714285714;0.122448979592;4;2;9;3;1;0.406848072562;"""4/4""";58;3;0;1;F-7;A1;#lick
17.5346938776;0.342857142857;4;2;9;3;2;0.406848072562;"""4/4""";56;3;0;1;F-7;A1;#lick
18.5551020408;0.114285714286;4;5;10;2;1;0.42768707483;"""4/4""";56;4;1;1;Bb7;A1;line_w_cx
18.693877551;0.0979591836735;4;5;10;2;3;0.42768707483;"""4/4""";59;4;0;1;Bb7;A1;line_w_cx
18.7918367347;0.0897959183673;4;5;10;2;4;0.42768707483;"""4/4""";63;4;0;1;Bb7;A1;line_w_cx
18.8816326531;0.0897959183673;4;5;10;2;5;0.42768707483;"""4/4""";66;4;0;1;Bb7;A1;line_w_cx
18.9714285714;0.114285714286;4;3;10;3;1;0.406961451247;"""4/4""";70;4;0;1;Bb7;A1;line_w_cx
19.1081632653;0.152040816327;4;3;10;3;2;0.406961451247;"""4/4""";73;4;0;1;Bb7;A1;line_w_cx
19.2897959184;0.069387755102;4;3;10;3;3;0.406961451247;"""4/4""";71;4;0;1;Bb7;A1;line_w_cx
19.3724716553;0.0728344671202;4;4;10;4;1;0.402222222222;"""4/4""";70;4;0;1;Bb7;A1;line_w_cx
19.4782312925;0.0708390022676;4;4;10;4;2;0.402222222222;"""4/4""";68;4;0;1;Bb7;A1;line_w_cx
19.5735147392;0.0878004535147;4;4;10;4;3;0.402222222222;"""4/4""";67;4;0;1;Bb7;A1;line_w_cx
19.6867573696;0.0863038548753;4;4;10;4;4;0.402222222222;"""4/4""";65;4;0;1;Bb7;A1;line_w_cx
19.7865306122;0.108253968254;4;3;11;1;1;0.393083900227;"""4/4""";63;4;0;1;Eb7;A1;line_w_cx
19.914739229;0.095283446712;4;3;11;1;2;0.393083900227;"""4/4""";60;4;0;1;Eb7;A1;line_w_cx
20.0183673469;0.0877551020408;4;3;11;1;3;0.393083900227;"""4/4""";56;4;0;1;Eb7;A1;line_w_cx
20.1578231293;0.0333786848073;4;4;11;2;1;0.380952380952;"""4/4""";54;4;0;1;Eb7;A1;line_w_cx
20.2224489796;0.101020408163;4;4;11;2;2;0.380952380952;"""4/4""";62;4;0;1;Eb7;A1;~lick
20.3459183673;0.0897959183673;4;4;11;2;3;0.380952380952;"""4/4""";63;4;0;1;Eb7;A1;~lick
20.4408163265;0.0897959183673;4;4;11;2;4;0.380952380952;"""4/4""";65;4;0;1;Eb7;A1;~lick
20.5336961451;0.0783219954649;4;4;11;3;1;0.391836734694;"""4/4""";62;4;0;1;Eb7;A1;~lick
