onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
10.4141496599;0.185759637188;4;4;1;2;4;0.413990929705;"""4/4""";63;1;1;1;Eb-;A1;theme:t1-2
10.6463492063;0.27283446712;4;2;1;3;2;0.425056689342;"""4/4""";65;1;0;1;Eb-j7;A1;theme:t1-2
10.9220861678;0.249614512472;4;6;1;4;1;0.443673469388;"""4/4""";63;1;0;1;Eb-7;A1;theme:t1-2
11.2152380952;0.0812698412698;4;6;1;4;5;0.443673469388;"""4/4""";64;1;0;1;Eb-7;A1;theme:t1-2
11.3168253968;0.806893424036;4;6;1;4;6;0.443673469388;"""4/4""";65;1;0;1;Eb-7;A1;theme:t1-2
12.1527437642;0.179954648526;4;2;2;2;2;0.46619047619;"""4/4""";63;1;0;1;Ab7;A1;theme:t1-2
12.3733333333;0.235102040816;4;4;2;3;2;0.462290249433;"""4/4""";65;1;0;1;Ab7;A1;theme:t1-2
12.6490702948;0.220589569161;4;4;2;3;4;0.462290249433;"""4/4""";63;1;0;1;Ab7;A1;theme:t1-2
12.9040816327;0.121428571429;4;3;2;4;2;0.427528344671;"""4/4""";66;1;0;1;Ab7;A1;theme:t1-2
13.0448979592;0.332653061224;4;3;2;4;3;0.427528344671;"""4/4""";70;1;0;1;Ab7;A1;theme:t1-2
13.4153287982;1.4106122449;4;2;3;1;2;0.423741496599;"""4/4""";70;1;0;1;Eb-;A1;theme:t1-2
15.537755102;0.152040816327;4;2;4;2;2;0.438911564626;"""4/4""";69;2;1;1;Ab7;A1;melody
15.6995918367;0.592108843537;4;1;4;3;1;0.446077097506;"""4/4""";72;2;0;1;Ab7;A1;melody
16.3120181406;0.133514739229;4;3;4;4;2;0.418299319728;"""4/4""";68;2;0;1;Ab7;A1;melody
16.4591836735;0.101020408163;4;3;4;4;3;0.418299319728;"""4/4""";65;2;0;1;Ab7;A1;melody
16.5848526077;0.754648526077;4;1;5;1;1;0.418299319728;"""4/4""";63;2;0;1;Db/Ab;A1;melody
17.9664399093;0.113197278912;4;3;5;4;2;0.432675736961;"""4/4""";68;3;1;1;Db/Ab;A1;theme:t3-4
