onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.7093877551;0.255419501134;3;2;-3;1;2;0.342607709751;"""3/4""";59;1;1;-1;NC;I1;theme:t13-16
4.0170521542;0.249614512472;3;1;-3;2;1;0.328639455782;"""3/4""";60;1;0;-1;NC;I1;theme:t13-16
4.36535147392;0.284444444444;3;1;-3;3;1;0.376734693878;"""3/4""";62;1;0;-1;NC;I1;theme:t13-16
4.7368707483;0.290249433107;3;1;-2;1;1;0.352448979592;"""3/4""";64;1;0;-1;NC;I1;theme:t13-16
5.09678004535;0.261224489796;3;1;-2;2;1;0.332902494331;"""3/4""";66;1;0;-1;NC;I1;theme:t13-16
5.3812244898;0.301859410431;3;1;-2;3;1;0.327709750567;"""3/4""";67;1;0;-1;NC;I1;theme:t13-16
5.75854875283;0.145124716553;3;4;-1;1;2;0.352380952381;"""3/4""";69;1;0;-1;NC;I1;theme:t13-16
5.97333333333;0.609523809524;3;4;-1;1;4;0.352380952381;"""3/4""";71;1;0;-1;NC;I1;theme:t13-16
6.61188208617;0.0928798185941;3;2;-1;3;2;0.351587301587;"""3/4""";69;1;0;-1;NC;I1;theme:t13-16
6.72798185941;0.197369614512;3;4;0;1;1;0.357868480726;"""3/4""";71;1;0;-1;NC;I1;theme:t13-16
7.00081632653;0.11029478458;3;4;0;1;4;0.357868480726;"""3/4""";71;1;0;-1;NC;I1;theme:t13-16
7.73224489796;0.116099773243;3;4;0;3;4;0.371156462585;"""3/4""";71;2;1;-1;NC;I1;lick
7.99346938776;1.49188208617;3;2;1;1;2;0.348049886621;"""3/4""";71;2;0;1;E-7;A1;lick
9.58367346939;0.0571428571429;3;4;2;3;2;0.358095238095;"""3/4""";69;2;0;1;E-7;A1;rhythm_mr
9.67346938776;0.0571428571429;3;4;2;3;3;0.358095238095;"""3/4""";67;2;0;1;E-7;A1;rhythm_mr
9.77142857143;0.069387755102;3;4;2;3;4;0.358095238095;"""3/4""";64;2;0;1;E-7;A1;rhythm_mr
9.84671201814;0.0530612244898;3;6;3;1;1;0.296984126984;"""3/4""";71;2;0;1;E-7;A1;rhythm_mr
9.90911564626;0.0333786848073;3;6;3;1;2;0.296984126984;"""3/4""";69;2;0;1;E-7;A1;rhythm_mr
9.96136054422;0.0638548752834;3;6;3;1;3;0.296984126984;"""3/4""";67;2;0;1;E-7;A1;rhythm_mr
10.0571428571;0.0612244897959;3;6;3;1;5;0.296984126984;"""3/4""";64;2;0;1;E-7;A1;rhythm_mr
10.1265306122;0.065306122449;3;6;3;1;6;0.296984126984;"""3/4""";71;2;0;1;E-7;A1;rhythm_mr
10.205170068;0.0464399092971;3;6;3;2;2;0.323129251701;"""3/4""";69;2;0;1;E-7;A1;rhythm_mr
10.2762811791;0.069387755102;3;6;3;2;3;0.323129251701;"""3/4""";67;2;0;1;E-7;A1;rhythm_mr
10.3632653061;0.069387755102;3;6;3;2;5;0.323129251701;"""3/4""";64;2;0;1;E-7;A1;rhythm_mr
10.4562358277;0.0571428571429;3;6;3;2;6;0.323129251701;"""3/4""";71;2;0;1;E-7;A1;rhythm_mr
10.5215419501;0.0319274376417;3;4;3;3;1;0.348321995465;"""3/4""";69;2;0;1;E-7;A1;rhythm_mr
10.5723356009;0.065306122449;3;4;3;3;2;0.348321995465;"""3/4""";67;2;0;1;E-7;A1;rhythm_mr
10.6693877551;0.0530612244898;3;4;3;3;3;0.348321995465;"""3/4""";64;2;0;1;E-7;A1;rhythm_mr
