onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
7.61795918367;0.16;4;4;0;3;2;0.760544217687;"""4/4""";67;1;1;-1;NC;I1;line_w
7.80734693878;0.120816326531;4;4;0;3;3;0.760544217687;"""4/4""";65;1;0;-1;NC;I1;line_w
7.9412244898;0.192653061224;4;4;0;3;4;0.760544217687;"""4/4""";63;1;0;-1;NC;I1;line_w
8.14693877551;0.208979591837;4;6;0;4;1;0.744489795918;"""4/4""";60;1;0;-1;NC;I1;line_w
8.36244897959;0.140408163265;4;6;0;4;3;0.744489795918;"""4/4""";56;1;0;-1;NC;I1;line_w
8.52244897959;0.065306122449;4;6;0;4;4;0.744489795918;"""4/4""";53;1;0;-1;NC;I1;line_w
8.6106122449;0.189387755102;4;6;0;4;5;0.744489795918;"""4/4""";62;1;0;-1;NC;I1;line_w
8.81306122449;0.192653061224;4;6;0;4;6;0.744489795918;"""4/4""";60;1;0;-1;NC;I1;line_w
9.0612244898;0.189387755102;4;4;1;1;2;0.731428571429;"""4/4""";58;1;0;1;Ebj7;A1;line_w
9.34530612245;0.0881632653061;4;4;1;1;3;0.731428571429;"""4/4""";57;1;0;1;Ebj7;A1;line_w
9.43346938776;0.179591836735;4;4;1;1;4;0.731428571429;"""4/4""";58;1;0;1;Ebj7;A1;line_w
9.61959183673;0.127346938776;4;8;1;2;1;0.714013605442;"""4/4""";60;1;0;1;Ebj7;A1;line_w
9.76;0.212244897959;4;8;1;2;3;0.714013605442;"""4/4""";62;1;0;1;Ebj7;A1;line_w
10.0179591837;0.117551020408;4;8;1;2;5;0.714013605442;"""4/4""";63;1;0;1;Ebj7;A1;line_w
10.1518367347;0.107755102041;4;8;1;2;7;0.714013605442;"""4/4""";65;1;0;1;Ebj7;A1;line_w
10.2857142857;0.14693877551;4;8;1;2;8;0.714013605442;"""4/4""";67;1;0;1;Ebj7;A1;line_w
10.4896145125;0.185759637188;4;4;1;3;2;0.712040816327;"""4/4""";68;1;0;1;Ebj7;A1;line_w
10.6775510204;0.648979591837;4;4;1;3;3;0.712040816327;"""4/4""";70;1;0;1;Ebj7;A1;line_w
11.3534693878;0.169795918367;4;6;1;4;3;0.759523809524;"""4/4""";67;1;0;1;Ebj7;A1;line_d
11.5591836735;0.13387755102;4;6;1;4;5;0.759523809524;"""4/4""";65;1;0;1;Ebj7;A1;line_d
11.706122449;0.182857142857;4;6;1;4;6;0.759523809524;"""4/4""";63;1;0;1;Ebj7;A1;line_d
11.9755102041;0.595918367347;4;1;2;1;1;0.735782312925;"""4/4""";61;1;0;1;Gm7b5;A1;line_d
13.547755102;0.143673469388;4;5;2;3;3;0.718367346939;"""4/4""";67;2;1;1;C7;A1;lick
13.7044897959;0.166530612245;4;5;2;3;4;0.718367346939;"""4/4""";68;2;0;1;C7;A1;lick
13.8710204082;0.0587755102041;4;5;2;3;5;0.718367346939;"""4/4""";67;2;0;1;C7;A1;lick
13.987755102;0.126530612245;4;4;2;4;1;0.757551020408;"""4/4""";65;2;0;1;C7;A1;lick
14.1306122449;0.159183673469;4;4;2;4;2;0.757551020408;"""4/4""";64;2;0;1;C7;A1;lick
14.3102040816;0.159183673469;4;4;2;4;3;0.757551020408;"""4/4""";60;2;0;1;C7;A1;lick
14.533877551;0.17306122449;4;4;2;4;4;0.757551020408;"""4/4""";62;2;0;1;C7;A1;lick
14.7469387755;0.159183673469;4;4;3;1;1;0.709659863946;"""4/4""";64;2;0;1;F-7;A1;lick
14.9224489796;0.158911564626;4;4;3;1;2;0.709659863946;"""4/4""";64;2;0;1;F-7;A1;lick
15.0813605442;0.156734693878;4;4;3;1;3;0.709659863946;"""4/4""";65;2;0;1;F-7;A1;lick
15.2848979592;0.271020408163;4;4;3;1;4;0.709659863946;"""4/4""";60;2;0;1;F-7;A1;lick
15.5624489796;0.17306122449;4;5;3;2;2;0.722721088435;"""4/4""";58;2;0;1;F-7;A1;lick
15.7681632653;0.117551020408;4;5;3;2;3;0.722721088435;"""4/4""";56;2;0;1;F-7;A1;lick
15.8955102041;0.0685714285714;4;5;3;2;4;0.722721088435;"""4/4""";59;2;0;1;F-7;A1;lick
15.9804081633;0.414693877551;4;5;3;2;5;0.722721088435;"""4/4""";60;2;0;1;F-7;A1;lick
16.4081632653;0.195918367347;4;4;3;3;2;0.735782312925;"""4/4""";56;2;0;1;F-7;A1;lick
16.6073469388;0.130612244898;4;4;3;3;3;0.735782312925;"""4/4""";55;2;0;1;F-7;A1;lick
16.7542857143;0.124081632653;4;4;3;3;4;0.735782312925;"""4/4""";53;2;0;1;F-7;A1;lick
16.8946938776;0.17306122449;4;3;3;4;1;0.711111111111;"""4/4""";58;2;0;1;F-7;A1;lick
17.113106576;0.496326530612;4;3;3;4;2;0.711111111111;"""4/4""";56;2;0;1;F-7;A1;lick
18.3183673469;0.169795918367;4;1;4;1;1;0.741950113379;"""4/4""";59;3;1;1;Db7;A1;line_t_dsal
18.4979591837;0.0783673469388;4;12;4;2;3;0.720907029478;"""4/4""";58;3;0;1;Db7;A1;line_t_dsal
18.5926530612;0.0751020408163;4;12;4;2;5;0.720907029478;"""4/4""";59;3;0;1;Db7;A1;line_t_dsal
18.6710204082;0.18612244898;4;12;4;2;6;0.720907029478;"""4/4""";61;3;0;1;Db7;A1;line_t_dsal
18.8669387755;0.0424489795918;4;12;4;2;9;0.720907029478;"""4/4""";63;3;0;1;Db7;A1;line_t_dsal
18.9224489796;0.0489795918367;4;12;4;2;10;0.720907029478;"""4/4""";66;3;0;1;Db7;A1;line_t_dsal
18.9812244898;0.0489795918367;4;12;4;2;11;0.720907029478;"""4/4""";70;3;0;1;Db7;A1;line_t_dsal
19.0334693878;0.228571428571;4;12;4;2;12;0.720907029478;"""4/4""";73;3;0;1;Db7;A1;line_t_dsal
19.4351020408;0.127346938776;4;8;4;3;5;0.731428571429;"""4/4""";71;3;0;1;Db7;A1;line_d
19.5624489796;0.179591836735;4;8;4;3;6;0.731428571429;"""4/4""";70;3;0;1;Db7;A1;line_d
19.7583673469;0.231836734694;4;8;4;3;8;0.731428571429;"""4/4""";68;3;0;1;Db7;A1;line_d
19.9934693878;0.14693877551;4;4;4;4;2;0.777868480726;"""4/4""";66;3;0;1;Db7;A1;line_d
20.1436734694;0.18612244898;4;4;4;4;3;0.777868480726;"""4/4""";63;3;0;1;Db7;A1;line_d
20.3632653061;0.228571428571;4;4;4;4;4;0.777868480726;"""4/4""";61;3;0;1;Db7;A1;line_d
20.6326530612;0.277551020408;4;4;5;1;1;0.748843537415;"""4/4""";59;3;0;1;Ab-7;A1;line_d
21.2440816327;0.182857142857;4;4;5;1;4;0.748843537415;"""4/4""";58;4;1;1;Ab-7;A1;melody
21.44;0.143673469388;4;6;5;2;2;0.717278911565;"""4/4""";59;4;0;1;Ab-7;A1;melody
21.7404081633;0.218775510204;4;6;5;2;4;0.717278911565;"""4/4""";63;4;0;1;Ab-7;A1;melody
21.9787755102;0.208979591837;4;6;5;2;6;0.717278911565;"""4/4""";66;4;0;1;Ab-7;A1;melody
22.2008163265;0.0718367346939;4;6;5;3;2;0.734693877551;"""4/4""";68;4;0;1;Db7;A1;melody
22.3053061224;0.339591836735;4;6;5;3;3;0.734693877551;"""4/4""";70;4;0;1;Db7;A1;melody
22.6579591837;0.153469387755;4;6;5;3;6;0.734693877551;"""4/4""";68;4;0;1;Db7;A1;melody
22.9746938776;0.208979591837;4;6;5;4;3;0.728163265306;"""4/4""";63;4;0;1;Do;A1;melody
23.1902040816;0.176326530612;4;6;5;4;4;0.728163265306;"""4/4""";65;4;0;1;Do;A1;melody
23.4481632653;0.382040816327;4;6;5;4;6;0.728163265306;"""4/4""";67;4;0;1;Do;A1;melody
23.8987755102;0.0881632653061;4;8;6;1;5;0.731428571429;"""4/4""";58;4;0;1;Ebj7;A1;line_t_dsal
24.0032653061;0.0783673469388;4;8;6;1;6;0.731428571429;"""4/4""";57;4;0;1;Ebj7;A1;line_t_dsal
24.0914285714;0.0848979591837;4;8;6;1;7;0.731428571429;"""4/4""";58;4;0;1;Ebj7;A1;line_t_dsal
24.1763265306;0.107755102041;4;8;6;1;8;0.731428571429;"""4/4""";60;4;0;1;Ebj7;A1;line_t_dsal
24.2840816327;0.107755102041;4;6;6;2;1;0.705306122449;"""4/4""";62;4;0;1;Ebj7;A1;line_t_dsal
24.4016326531;0.0587755102041;4;6;6;2;2;0.705306122449;"""4/4""";63;4;0;1;Ebj7;A1;line_t_dsal
24.4669387755;0.0587755102041;4;6;6;2;3;0.705306122449;"""4/4""";65;4;0;1;Ebj7;A1;line_t_dsal
24.532244898;0.101224489796;4;6;6;2;4;0.705306122449;"""4/4""";67;4;0;1;Ebj7;A1;line_t_dsal
25.4628571429;0.195918367347;4;2;6;3;2;0.749931972789;"""4/4""";63;5;1;1;G7;A1;lick
25.6857142857;0.0612244897959;4;4;6;4;1;0.735782312925;"""4/4""";65;5;0;1;G7;A1;lick
25.7755102041;0.240816326531;4;4;6;4;2;0.735782312925;"""4/4""";68;5;0;1;C7;A1;lick
26.0448979592;0.163265306122;4;4;6;4;3;0.735782312925;"""4/4""";67;5;0;1;C7;A1;lick
26.213877551;0.208979591837;4;4;6;4;4;0.735782312925;"""4/4""";64;5;0;1;C7;A1;lick
26.4555102041;0.150204081633;4;6;7;1;1;0.743038548753;"""4/4""";62;5;0;1;F7;A1;lick
26.8016326531;0.0587755102041;4;6;7;1;4;0.743038548753;"""4/4""";66;5;0;1;F7;A1;#lick
26.88;0.189387755102;4;6;7;1;5;0.743038548753;"""4/4""";67;5;0;1;F7;A1;#lick
27.0775510204;0.204081632653;4;6;7;1;6;0.743038548753;"""4/4""";63;5;0;1;F7;A1;#lick
27.4318367347;0.300408163265;4;3;7;2;2;0.719818594104;"""4/4""";63;5;0;1;F7;A1;#lick
27.7485714286;0.238367346939;4;3;7;2;3;0.719818594104;"""4/4""";60;5;0;1;F7;A1;#lick
28.1469387755;0.17306122449;4;4;7;3;2;0.728163265306;"""4/4""";67;5;0;1;Bb7;A1;line_cv
28.3232653061;0.14693877551;4;4;7;3;3;0.728163265306;"""4/4""";65;5;0;1;Bb7;A1;line_cv
28.4767346939;0.163265306122;4;4;7;3;4;0.728163265306;"""4/4""";63;5;0;1;Bb7;A1;line_cv
28.6530612245;0.114285714286;4;4;7;4;1;0.734693877551;"""4/4""";60;5;0;1;Bb7;A1;line_cv
28.8693877551;0.175510204082;4;4;7;4;2;0.734693877551;"""4/4""";62;5;0;1;Bb7;A1;line_cv
29.0546938776;0.0914285714286;4;4;7;4;3;0.734693877551;"""4/4""";63;5;0;1;Bb7;A1;line_cv
29.2342857143;0.124081632653;4;4;7;4;4;0.734693877551;"""4/4""";65;5;0;1;Bb7;A1;line_cv
29.3714285714;0.107755102041;4;4;8;1;1;0.719818594104;"""4/4""";67;5;0;1;G-7;A1;line_cv
29.5608163265;0.150204081633;4;4;8;1;2;0.719818594104;"""4/4""";68;5;0;1;G-7;A1;line_cv
29.7110204082;0.0751020408163;4;4;8;1;3;0.719818594104;"""4/4""";69;5;0;1;G-7;A1;line_cv
29.7959183673;0.927346938776;4;4;8;1;4;0.719818594104;"""4/4""";70;5;0;1;G-7;A1;line_cv
31.5152834467;0.159637188209;4;5;8;4;1;0.731428571429;"""4/4""";73;6;1;1;Bb7;A1;lick
31.6775510204;0.0571428571429;4;5;8;4;2;0.731428571429;"""4/4""";72;6;0;1;Bb7;A1;lick
31.7693877551;0.102040816327;4;5;8;4;3;0.731428571429;"""4/4""";71;6;0;1;Bb7;A1;lick
31.9367346939;0.130612244898;4;5;8;4;4;0.731428571429;"""4/4""";66;6;0;1;Bb7;A1;lick
32.0816326531;0.150204081633;4;5;8;4;5;0.731428571429;"""4/4""";62;6;0;1;Bb7;A1;lick
32.2448979592;0.176326530612;4;4;9;1;1;0.748843537415;"""4/4""";61;6;0;1;Ebj7;A2;lick
32.4310204082;0.124081632653;4;4;9;1;2;0.748843537415;"""4/4""";59;6;0;1;Ebj7;A2;lick
32.5746938776;0.444081632653;4;4;9;1;3;0.748843537415;"""4/4""";58;6;0;1;Ebj7;A2;lick
33.0530612245;0.126530612245;4;1;9;2;1;0.713424036281;"""4/4""";63;6;0;1;Ebj7;A2;lick
34.5469387755;0.238367346939;4;3;9;4;1;0.718367346939;"""4/4""";62;7;1;1;Ebj7;A2;melody
34.7983673469;0.18612244898;4;3;9;4;2;0.718367346939;"""4/4""";63;7;0;1;Ebj7;A2;melody
34.987755102;0.166530612245;4;3;9;4;3;0.718367346939;"""4/4""";62;7;0;1;Ebj7;A2;melody
35.1673469388;0.183673469388;4;3;10;1;1;0.727074829932;"""4/4""";60;7;0;1;Ebj7;A2;melody
