onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.43501133787;0.142222222222;4;6;4;1;2;0.363786848073;"""4/4""";62;1;1;1;Bb7;A1;lick
4.57959183673;0.138775510204;4;6;4;1;4;0.363786848073;"""4/4""";60;1;0;1;Bb7;A1;lick
4.72448979592;0.0857142857143;4;6;4;1;6;0.363786848073;"""4/4""";58;1;0;1;Bb7;A1;lick
4.81428571429;0.157142857143;4;4;4;2;2;0.368820861678;"""4/4""";63;1;0;1;Bb7;A1;lick
4.98068027211;0.0755102040816;4;4;4;2;3;0.368820861678;"""4/4""";65;1;0;1;Bb7;A1;lick
5.05918367347;0.126530612245;4;4;4;2;4;0.368820861678;"""4/4""";67;1;0;1;Bb7;A1;lick
5.19591836735;0.489795918367;4;1;4;3;1;0.34589569161;"""4/4""";65;1;0;1;Bb7;A1;lick
5.85723356009;0.252517006803;4;1;5;1;1;0.378004535147;"""4/4""";70;1;0;1;Eb7;A1;lick
6.46530612245;0.0979591836735;4;2;5;2;2;0.367777777778;"""4/4""";59;2;1;1;Eb7;A1;lick
6.57414965986;0.70820861678;4;1;5;3;1;0.351473922902;"""4/4""";63;2;0;1;Eb7;A1;lick
7.41587301587;0.206077097506;4;2;6;1;2;0.361746031746;"""4/4""";67;2;0;1;Eb7;A1;lick
7.70031746032;0.664671201814;4;1;6;2;1;0.369455782313;"""4/4""";70;2;0;1;Eb7;A1;lick
10.3038548753;0.177052154195;4;4;8;1;2;0.3720861678;"""4/4""";70;3;1;1;D-7;A1;lick
10.4896145125;0.206077097506;4;4;8;1;4;0.3720861678;"""4/4""";69;3;0;1;D-7;A1;lick
10.8582312925;0.211882086168;4;4;8;2;4;0.372199546485;"""4/4""";73;3;0;1;D-7;A1;lick
11.0759183673;0.226394557823;4;2;8;3;2;0.381428571429;"""4/4""";71;3;0;1;G7;A1;lick
11.4967800454;0.278639455782;4;2;8;4;2;0.345646258503;"""4/4""";66;3;0;1;G7;A1;lick
11.7899319728;0.113197278912;4;2;9;1;2;0.367641723356;"""4/4""";64;3;0;1;C-7;A1;lick
13.4327437642;0.116099773243;4;4;10;1;4;0.369750566893;"""4/4""";68;4;1;1;F7;A1;line_d
13.5604535147;0.179954648526;4;2;10;2;1;0.34410430839;"""4/4""";67;4;0;1;F7;A1;line_d
13.7578231293;0.179954648526;4;2;10;2;2;0.34410430839;"""4/4""";66;4;0;1;F7;A1;line_d
13.9493877551;0.168344671202;4;4;10;3;2;0.357596371882;"""4/4""";65;4;0;1;F7;A1;line_d
14.132244898;0.133514739229;4;4;10;3;4;0.357596371882;"""4/4""";63;4;0;1;F7;A1;line_d
14.2889795918;0.165442176871;4;4;10;4;2;0.382290249433;"""4/4""";62;4;0;1;F7;A1;line_d
14.4776417234;0.156734693878;4;4;10;4;4;0.382290249433;"""4/4""";60;4;0;1;F7;A1;line_d
14.6546938776;0.165442176871;4;1;11;1;1;0.370090702948;"""4/4""";58;4;0;1;Bb7;A1;line_d
15.2177777778;0.139319727891;4;2;11;2;2;0.355351473923;"""4/4""";68;5;1;1;Bb7;A1;lick
15.4180498866;0.139319727891;4;3;11;3;2;0.364648526077;"""4/4""";66;5;0;1;Bb7;A1;lick
15.5718820862;0.104489795918;4;3;11;3;3;0.364648526077;"""4/4""";67;5;0;1;Bb7;A1;lick
15.7576417234;0.156734693878;4;4;11;4;2;0.365918367347;"""4/4""";64;5;0;1;Bb7;A1;lick
15.9637188209;0.124807256236;4;4;11;4;4;0.365918367347;"""4/4""";60;5;0;1;Bb7;A1;lick
16.1552834467;0.139319727891;4;4;12;1;2;0.353174603175;"""4/4""";59;5;0;1;C-7;A1;lick
16.3352380952;0.179954648526;4;4;12;1;4;0.353174603175;"""4/4""";61;5;0;1;C-7;A1;lick
16.5384126984;0.16253968254;4;4;12;2;2;0.381882086168;"""4/4""";63;5;0;1;C-7;A1;lick
16.7125623583;0.13641723356;4;4;12;2;4;0.381882086168;"""4/4""";66;5;0;1;C-7;A1;lick
