onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.19591836735;0.16253968254;4;3;0;4;2;0.449070294785;"""4/4""";77;1;1;-1;NC;I1;lick
3.36326530612;0.138775510204;4;3;0;4;3;0.449070294785;"""4/4""";78;1;0;-1;NC;I1;lick
3.52;0.102040816327;4;4;1;1;1;0.452789115646;"""4/4""";79;1;0;1;Eb;A1;lick
3.63174603175;0.0725623582766;4;4;1;1;2;0.452789115646;"""4/4""";82;1;0;1;Eb;A1;lick
3.71519274376;0.489070294785;4;4;1;1;3;0.452789115646;"""4/4""";79;1;0;1;Eb;A1;lick
4.2231292517;0.087074829932;4;4;1;2;3;0.418548752834;"""4/4""";77;1;0;1;Eb;A1;lick
4.32244897959;0.10612244898;4;4;1;2;4;0.418548752834;"""4/4""";75;1;0;1;Eb;A1;lick
4.47346938776;0.608163265306;4;1;1;3;1;0.41126984127;"""4/4""";72;1;0;1;C7;A1;lick
5.19256235828;0.786575963719;4;1;2;1;1;0.412380952381;"""4/4""";85;1;0;1;C7;A1;lick
6.04589569161;0.0957823129252;4;4;2;3;1;0.431020408163;"""4/4""";82;1;0;1;F7;A1;lick
6.16199546485;0.0667573696145;4;4;2;3;2;0.431020408163;"""4/4""";84;1;0;1;Bb7;A1;lick
6.25777777778;0.49052154195;4;4;2;3;3;0.431020408163;"""4/4""";82;1;0;1;Bb7;A1;lick
6.89052154195;0.208979591837;4;6;2;4;6;0.437392290249;"""4/4""";78;2;1;1;Bb7;A1;lick
7.20108843537;0.0928798185941;4;2;3;1;2;0.431972789116;"""4/4""";79;2;0;1;Eb;A1;lick
7.3387755102;0.185759637188;4;3;3;2;1;0.402653061224;"""4/4""";75;2;0;1;Eb;A1;lick
7.61614512472;0.116099773243;4;3;3;2;3;0.402653061224;"""4/4""";72;2;0;1;Eb;A1;lick
7.77578231293;0.0812698412698;4;3;3;3;1;0.431337868481;"""4/4""";75;2;0;1;C7;A1;lick
7.90408163265;0.484716553288;4;3;3;3;2;0.431337868481;"""4/4""";72;2;0;1;C7;A1;lick
8.64591836735;0.16253968254;4;2;4;1;1;0.438276643991;"""4/4""";73;3;1;1;C7;A1;lick
8.90510204082;0.133514739229;4;2;4;1;2;0.438276643991;"""4/4""";74;3;0;1;F7;A1;lick
9.0819047619;0.165442176871;4;4;4;2;1;0.434693877551;"""4/4""";77;3;0;1;F7;A1;lick
9.31700680272;0.116099773243;4;4;4;2;3;0.434693877551;"""4/4""";74;3;0;1;F7;A1;lick
9.4737414966;0.226394557823;4;4;4;2;4;0.434693877551;"""4/4""";79;3;0;1;F7;A1;lick
9.74947845805;0.0957823129252;4;4;4;3;3;0.416780045351;"""4/4""";77;3;0;1;Bb7;A1;lick
9.8946031746;0.203174603175;4;4;4;3;4;0.416780045351;"""4/4""";80;3;0;1;Bb7;A1;lick
10.1761451247;0.130612244898;4;2;4;4;2;0.402448979592;"""4/4""";70;3;0;1;Bb7;A1;lick
10.3531972789;0.188662131519;4;2;5;1;1;0.411496598639;"""4/4""";79;3;0;1;Eb;A1;lick
10.5912018141;0.142222222222;4;2;5;1;2;0.411496598639;"""4/4""";82;3;0;1;Eb;A1;lick
10.7846938776;0.185759637188;4;1;5;2;1;0.438888888889;"""4/4""";84;3;0;1;Eb;A1;lick
11.2204081633;0.171247165533;4;2;5;3;1;0.430453514739;"""4/4""";84;3;0;1;Eb;A1;lick
11.4648526077;0.13641723356;4;2;5;3;2;0.430453514739;"""4/4""";72;3;0;1;Eb;A1;lick
11.6215873016;0.185759637188;4;2;5;4;1;0.425782312925;"""4/4""";75;3;0;1;Eb;A1;lick
11.8530612245;0.108163265306;4;2;5;4;2;0.425782312925;"""4/4""";72;3;0;1;Eb;A1;lick
12.2688435374;0.156734693878;4;6;6;1;4;0.449886621315;"""4/4""";75;3;0;1;Eb;A1;lick
12.4546031746;0.165442176871;4;6;6;1;6;0.449886621315;"""4/4""";77;3;0;1;Eb;A1;lick
12.6664852608;0.121904761905;4;4;6;2;2;0.434399092971;"""4/4""";78;3;0;1;Eb;A1;lick
12.860952381;0.101587301587;4;4;6;2;4;0.434399092971;"""4/4""";79;3;0;1;Eb;A1;lick
13.0234920635;0.429569160998;4;1;6;3;1;0.412403628118;"""4/4""";84;3;0;1;C7;A1;lick
13.7275510204;0.159637188209;4;6;6;4;6;0.418684807256;"""4/4""";77;4;1;1;C7;A1;lick
13.9639002268;0.127709750567;4;4;7;1;3;0.400793650794;"""4/4""";79;4;0;1;F7;A1;lick
14.112244898;0.194467120181;4;4;7;1;4;0.400793650794;"""4/4""";75;4;0;1;F7;A1;lick
14.3644444444;0.145124716553;4;4;7;2;3;0.417777777778;"""4/4""";77;4;0;1;F7;A1;lick
14.5275510204;0.177052154195;4;4;7;2;4;0.417777777778;"""4/4""";72;4;0;1;F7;A1;lick
14.8085260771;0.348299319728;4;2;7;3;2;0.431133786848;"""4/4""";75;4;0;1;F7;A1;lick
15.2030612245;0.155102040816;4;3;7;4;2;0.451496598639;"""4/4""";70;4;0;1;F7;A1;lick
15.3704081633;0.1;4;3;7;4;3;0.451496598639;"""4/4""";73;4;0;1;F7;A1;lick
