onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.7558276644;0.0406349206349;4;3;-1;1;1;0.368594104308;"""4/4""";64;1;1;-1;NC;I1;line_w
3.83129251701;0.133514739229;4;3;-1;1;2;0.368594104308;"""4/4""";63;1;0;-1;NC;I1;line_w
4.01124716553;0.133514739229;4;3;-1;1;3;0.368594104308;"""4/4""";65;1;0;-1;NC;I1;line_w
4.18249433107;0.139319727891;4;6;-1;2;1;0.432993197279;"""4/4""";67;1;0;-1;NC;I1;line_w
4.38566893424;0.124807256236;4;6;-1;2;4;0.432993197279;"""4/4""";68;1;0;-1;NC;I1;line_w
4.54530612245;0.168344671202;4;6;-1;2;6;0.432993197279;"""4/4""";70;1;0;-1;NC;I1;line_w
4.77170068027;0.150929705215;4;6;-1;3;4;0.40566893424;"""4/4""";72;1;0;-1;NC;I1;line_w
4.9516553288;0.185759637188;4;6;-1;3;6;0.40566893424;"""4/4""";73;1;0;-1;NC;I1;line_w
5.20707482993;0.142222222222;4;6;-1;4;4;0.404693877551;"""4/4""";71;1;0;-1;NC;I1;line_w
5.36090702948;0.359909297052;4;6;-1;4;6;0.404693877551;"""4/4""";72;1;0;-1;NC;I1;line_w
5.7643537415;0.150929705215;4;4;0;2;1;0.423378684807;"""4/4""";70;1;0;-1;NC;I1;line_w
5.95882086168;0.148027210884;4;4;0;2;3;0.423378684807;"""4/4""";68;1;0;-1;NC;I1;line_w
6.15619047619;0.16253968254;4;4;0;2;4;0.423378684807;"""4/4""";67;1;0;-1;NC;I1;line_w
6.38548752834;0.165442176871;4;2;0;3;2;0.386167800454;"""4/4""";65;1;0;-1;NC;I1;line_w
6.6147845805;0.322176870748;4;1;0;4;1;0.424126984127;"""4/4""";64;1;0;-1;NC;I1;line_w
7.0443537415;0.185759637188;4;3;1;1;1;0.38746031746;"""4/4""";67;1;0;1;F-7;A1;lick
7.29396825397;0.11029478458;4;3;1;1;3;0.38746031746;"""4/4""";63;1;0;1;F-7;A1;lick
7.4274829932;0.246712018141;4;3;1;2;1;0.42410430839;"""4/4""";67;1;0;1;F-7;A1;lick
7.72934240363;0.182857142857;4;3;1;2;3;0.42410430839;"""4/4""";65;1;0;1;F-7;A1;lick
8.09215419501;0.0696598639456;4;2;1;3;2;0.424285714286;"""4/4""";60;1;0;1;F-7;A1;line_w
8.26326530612;0.0755102040816;4;4;1;4;1;0.405623582766;"""4/4""";63;1;0;1;F-7;A1;line_w
8.35510204082;0.0489795918367;4;4;1;4;2;0.405623582766;"""4/4""";65;1;0;1;F-7;A1;line_w
8.4306122449;0.0551020408163;4;4;1;4;3;0.405623582766;"""4/4""";63;1;0;1;F-7;A1;line_w
8.54285714286;0.114285714286;4;4;1;4;4;0.405623582766;"""4/4""";60;1;0;1;F-7;A1;line_w
8.74489795918;0.155102040816;4;4;2;1;2;0.387641723356;"""4/4""";61;1;0;1;Bb-7;A1;line_w
8.97755102041;0.0591836734694;4;4;2;1;4;0.387641723356;"""4/4""";63;1;0;1;Bb-7;A1;line_w
9.07551020408;0.0959183673469;4;3;2;2;1;0.395827664399;"""4/4""";65;1;0;1;Bb-7;A1;line_w
9.19183673469;0.1;4;3;2;2;2;0.395827664399;"""4/4""";68;1;0;1;Bb-7;A1;line_w
9.32448979592;0.144897959184;4;3;2;2;3;0.395827664399;"""4/4""";72;1;0;1;Bb-7;A1;line_w
9.54897959184;0.163265306122;4;4;2;3;2;0.414399092971;"""4/4""";75;1;0;1;Bb-7;A1;line_w
9.7387755102;0.177551020408;4;4;2;3;4;0.414399092971;"""4/4""";74;1;0;1;Bb-7;A1;line_w
9.94489795918;0.212244897959;4;4;2;4;2;0.425260770975;"""4/4""";73;1;0;1;Bb-7;A1;line_w
10.1795918367;0.110204081633;4;4;2;4;4;0.425260770975;"""4/4""";72;1;0;1;Bb-7;A1;line_w
10.3775510204;0.148979591837;4;4;3;1;2;0.404580498866;"""4/4""";70;1;0;1;Eb7;A1;line_w
10.5755102041;0.132653061224;4;4;3;1;4;0.404580498866;"""4/4""";69;1;0;1;Eb7;A1;line_w
10.7775510204;0.0448979591837;4;6;3;2;2;0.415464852608;"""4/4""";68;1;0;1;Eb7;A1;line_w
10.8387755102;0.0285714285714;4;6;3;2;3;0.415464852608;"""4/4""";69;1;0;1;Eb7;A1;line_w
10.887755102;0.0530612244898;4;6;3;2;4;0.415464852608;"""4/4""";68;1;0;1;Eb7;A1;line_w
10.9632653061;0.136734693878;4;6;3;2;5;0.415464852608;"""4/4""";67;1;0;1;Eb7;A1;line_w
11.1979591837;0.122448979592;4;2;3;3;1;0.415714285714;"""4/4""";66;1;0;1;Eb7;A1;line_w
11.393877551;0.134693877551;4;2;3;3;2;0.415714285714;"""4/4""";65;1;0;1;Eb7;A1;line_w
11.5795918367;0.155102040816;4;2;3;4;1;0.376349206349;"""4/4""";64;1;0;1;Eb7;A1;line_w
11.787755102;0.130612244898;4;2;3;4;2;0.376349206349;"""4/4""";60;1;0;1;Eb7;A1;line_w
11.9571428571;0.222448979592;4;2;4;1;1;0.415623582766;"""4/4""";63;1;0;1;Abj7;A1;line_w
12.2040816327;0.326530612245;4;2;4;1;2;0.415623582766;"""4/4""";60;1;0;1;Abj7;A1;line_w
13.8081632653;0.171428571429;4;2;5;1;2;0.39612244898;"""4/4""";80;2;1;1;Dbj7;A1;line_d
14.0489795918;0.140816326531;4;3;5;2;2;0.43387755102;"""4/4""";77;2;0;1;Dbj7;A1;line_d
14.2163265306;0.140816326531;4;3;5;2;3;0.43387755102;"""4/4""";75;2;0;1;Dbj7;A1;line_d
14.3959183673;0.157142857143;4;2;5;3;1;0.360408163265;"""4/4""";73;2;0;1;Dbj7;A1;line_d
14.5836734694;0.167346938776;4;2;5;3;2;0.360408163265;"""4/4""";72;2;0;1;Dbj7;A1;line_d
14.8306122449;0.179591836735;4;4;5;4;2;0.431700680272;"""4/4""";70;2;0;1;Dbj7;A1;line_d
15.0632653061;0.0755102040816;4;4;5;4;4;0.431700680272;"""4/4""";68;2;0;1;Dbj7;A1;~lick
15.1489795918;0.069387755102;4;4;6;1;1;0.398049886621;"""4/4""";67;2;0;1;D-7;A1;~lick
15.2346938776;0.365306122449;4;4;6;1;2;0.398049886621;"""4/4""";68;2;0;1;D-7;A1;~lick
15.6918367347;0.134693877551;4;3;6;2;2;0.451337868481;"""4/4""";67;2;0;1;D-7;A1;~lick
15.887755102;0.134693877551;4;3;6;2;3;0.451337868481;"""4/4""";65;2;0;1;D-7;A1;~lick
16.0632653061;0.195918367347;4;1;6;3;1;0.386077097506;"""4/4""";70;2;0;1;G7;A1;~lick
16.8576870748;0.06820861678;4;6;7;1;2;0.388367346939;"""4/4""";67;3;1;1;Cj7;A1;quote: ???
16.9447619048;0.0522448979592;4;6;7;1;3;0.388367346939;"""4/4""";67;3;0;1;Cj7;A1;quote: ???
17.0463492063;0.0536961451247;4;6;7;1;5;0.388367346939;"""4/4""";67;3;0;1;Cj7;A1;quote: ???
17.1450340136;0.065306122449;4;6;7;1;6;0.388367346939;"""4/4""";67;3;0;1;Cj7;A1;quote: ???
17.2770975057;0.0783673469388;4;2;7;2;1;0.414512471655;"""4/4""";64;3;0;1;Cj7;A1;quote: ???
17.4570521542;0.089977324263;4;2;7;2;2;0.414512471655;"""4/4""";67;3;0;1;Cj7;A1;quote: ???
17.6936054422;0.0769160997732;4;4;7;3;2;0.377596371882;"""4/4""";69;3;0;1;Cj7;A1;quote: ???
17.9040362812;0.0740136054422;4;4;7;3;4;0.377596371882;"""4/4""";67;3;0;1;Cj7;A1;quote: ???
18.147845805;0.203174603175;4;2;7;4;2;0.405850340136;"""4/4""";64;3;0;1;Cj7;A1;quote: ???
18.4448979592;0.232653061224;4;3;8;1;1;0.39589569161;"""4/4""";64;3;0;1;Cj7;A1;quote: ???
18.7163265306;0.185714285714;4;3;8;1;3;0.39589569161;"""4/4""";62;3;0;1;Cj7;A1;quote: ???
20.3392290249;0.0667573696145;4;4;9;2;1;0.405578231293;"""4/4""";67;4;1;1;C-7;B1;line_w
20.427755102;0.0769160997732;4;4;9;2;2;0.405578231293;"""4/4""";69;4;0;1;C-7;B1;line_w
20.5351473923;0.0928798185941;4;4;9;2;3;0.405578231293;"""4/4""";71;4;0;1;C-7;B1;line_w
20.6526984127;0.0624036281179;4;4;9;2;4;0.405578231293;"""4/4""";72;4;0;1;C-7;B1;line_w
20.7600907029;0.0841723356009;4;5;9;3;1;0.397482993197;"""4/4""";74;4;0;1;C-7;B1;line_w
20.9023129252;0.0798185941043;4;5;9;3;3;0.397482993197;"""4/4""";71;4;0;1;C-7;B1;line_w
21.0009977324;0.0551473922902;4;5;9;3;4;0.397482993197;"""4/4""";72;4;0;1;C-7;B1;line_w
21.0692063492;0.0609523809524;4;5;9;3;5;0.397482993197;"""4/4""";74;4;0;1;C-7;B1;line_w
21.1678911565;0.087074829932;4;5;9;4;1;0.386916099773;"""4/4""";75;4;0;1;C-7;B1;line_w
21.2941496599;0.0754648526077;4;5;9;4;3;0.386916099773;"""4/4""";71;4;0;1;C-7;B1;line_w
