onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
3.89224489796;0.220589569161;4;4;2;2;2;0.400839002268;"""4/4""";78;1;1;1;Dj7;A1;melody
4.13469387755;2.02448979592;4;4;2;2;4;0.400839002268;"""4/4""";73;1;0;1;Dj7;A1;melody
6.19102040816;0.229297052154;4;2;3;4;1;0.412426303855;"""4/4""";75;1;0;1;Bj7;A1;melody
6.44353741497;1.50058956916;4;2;3;4;2;0.412426303855;"""4/4""";70;1;0;1;Bj7;A1;melody
8.05442176871;0.0783673469388;4;4;4;4;4;0.406984126984;"""4/4""";68;1;0;1;Abj7;A1;melody
8.18793650794;0.287346938776;4;6;5;1;2;0.392698412698;"""4/4""";70;1;0;1;Fm7b5;A1;melody
8.47818594104;0.0812698412698;4;6;5;1;6;0.392698412698;"""4/4""";68;1;0;1;Fm7b5;A1;melody
8.57106575964;0.278639455782;4;1;5;2;1;0.405986394558;"""4/4""";70;1;0;1;Fm7b5;A1;melody
8.89904761905;0.998458049887;4;1;5;3;1;0.402653061224;"""4/4""";68;1;0;1;Fm7b5;A1;melody
11.572244898;0.0711111111111;4;4;7;1;4;0.383038548753;"""4/4""";70;2;1;1;Ej7911#;A1;melody
11.7101133787;0.181405895692;4;2;7;2;1;0.395918367347;"""4/4""";75;2;0;1;Ej7911#;A1;melody
11.9394104308;0.161088435374;4;2;7;2;2;0.395918367347;"""4/4""";77;2;0;1;Ej7911#;A1;melody
12.1063038549;0.187210884354;4;3;7;3;1;0.397346938776;"""4/4""";78;2;0;1;Ej7911#;A1;melody
12.3588208617;0.133514739229;4;3;7;3;3;0.397346938776;"""4/4""";80;2;0;1;Ej7911#;A1;melody
12.5141043084;0.174149659864;4;4;7;4;2;0.367709750567;"""4/4""";82;2;0;1;Ej7911#;A1;melody
12.7579138322;0.0725623582766;4;4;7;4;4;0.367709750567;"""4/4""";77;2;0;1;Ej7911#;A1;melody
12.9030385488;0.253968253968;4;1;8;1;1;0.39179138322;"""4/4""";80;2;0;1;Ej7911#;A1;melody
13.1715192744;0.0754648526077;4;4;8;2;1;0.387301587302;"""4/4""";82;2;0;1;Ej7911#;A1;melody
13.2890702948;0.211882086168;4;4;8;2;2;0.387301587302;"""4/4""";78;2;0;1;Ej7911#;A1;melody
13.5270748299;0.467301587302;4;4;8;2;4;0.387301587302;"""4/4""";75;2;0;1;Ej7911#;A1;melody
14.0045351474;0.296054421769;4;6;8;4;2;0.362267573696;"""4/4""";70;2;0;1;Ej7911#;A1;melody
14.3005895692;0.745941043084;4;6;8;4;6;0.362267573696;"""4/4""";68;2;0;1;Ej7911#;A1;melody
15.0697505669;0.0986848072562;4;4;9;3;1;0.402721088435;"""4/4""";70;2;0;1;Ej7911#;A1;melody
15.1814965986;0.227845804989;4;4;9;3;2;0.402721088435;"""4/4""";68;2;0;1;Ej7911#;A1;melody
15.4238548753;0.410702947846;4;4;9;3;4;0.402721088435;"""4/4""";70;2;0;1;Ej7911#;A1;melody
15.8592290249;0.0841723356009;4;4;10;1;1;0.377573696145;"""4/4""";66;2;0;1;Ej7911#;A1;melody
15.956462585;0.236553287982;4;4;10;1;2;0.377573696145;"""4/4""";68;2;0;1;Ej7911#;A1;melody
16.201723356;1.0274829932;4;1;10;2;1;0.402675736961;"""4/4""";70;2;0;1;Ej7911#;A1;melody
18.0941496599;0.0609523809524;4;6;11;2;5;0.40253968254;"""4/4""";79;3;1;1;Abj7;B1;line_w_d
18.1551020408;0.0464399092971;4;6;11;2;6;0.40253968254;"""4/4""";80;3;0;1;Abj7;B1;line_w_d
